"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5158,0.490952380952381,35,0.7324,0.379937748071256,0.222392421336448,0.0098572753392574,1,1
"2010001K21Rik",0.6157,0.607994842037395,47,0.4636,0.279709711007778,0.678071905112638,-1.10179686719591,0.137689405958884,0.402388707165159
"2610037D02Rik",0.3807,0.418367346938776,49,3e-04,0.10224390435506,-0.700439718141092,-2.2934027049983,0.0322190120739572,0.177963653078664
"2610307P16Rik",0.4202,0.420426065162907,76,0.3098,0.231091796393506,-0.53051471669878,-2.92378887521777,0.0155985071587829,0.109709500350107
"4732440D04Rik",0.3188,0.30718954248366,51,0.9133,0.449020288490863,-1.13750352374993,-5.78048230240351,0.000673509033365642,0.00922794844416561
"5031425E22Rik",0.6014,0.603030303030303,55,0.1674,0.16630604123216,0.599462070416271,-0.868902731255709,0.187417129533315,0.47492547091649
"9530026P05Rik",0.5213,0.535826638347647,119,0.1608,0.171932058439421,0.0931094043914815,-0.00875291424830493,0.894739419678707,0.971638828882859
"Aak1",0.5092,0.514705882352941,51,1.5107,0.674470443590849,-0.084888897586513,-0.0541118054850287,0.742175663853923,0.910008364968727
"Abca1",0.4664,0.450308641975309,36,0.2405,0.193459094228477,-0.137503523749935,-0.337890958238823,0.411043001194057,0.707423109722235
"Abca8a",0.6846,0.709038800705467,18,0.3431,0.231190330776799,0.935869662580284,-2.10898180812518,0.0399981369139969,0.199990684569984
"Abcb1b",1,1,19,2e-04,0.115753057583873,Inf,NA,NA,NA
"Abi1",0.9139,0.907075898228062,121,0.1496,0.159154234317214,3.57022595746426,-123.161197112294,1.64518315586675e-55,5.78556076479807e-53
"Abi3bp",0.5252,0.517241379310345,29,0.2556,0.220999404702744,0.184424571137427,3.57554821768247e-05,1,1
"Ablim1",0.4588,0.428217503217503,74,1e-04,0.11303964739605,-0.238159737194765,-1.56348884530151,0.0770063796499231,0.305420039588981
"Ablim3",0.3481,0.316666666666667,41,2e-04,0.101155532377556,-0.902702798645085,-4.10292774294116,0.00417554171274012,0.0393321116691146
"Acaca",0.6039,0.6,30,0.4399,0.30464377383189,0.556393348524385,-0.464644575825744,0.335047706718155,0.642589861574419
"Ackr3",0.3351,0.313846153846154,25,1.6472,0.739459677561099,0.111031312388744,-1.72780085744858,0.0630377867385407,0.271448428608818
"Acss3",0.4154,0.472222222222222,30,0.1609,0.173428329142344,-0.60768257722124,-1.07780946831004,0.142049192511351,0.410580542738288
"Acyp2",0.2799,0.272435897435897,26,0.6255,0.369154731233975,-1.25375659224578,-4.32489032171121,0.0032710073503814,0.032865835758594
