"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"1700025G04Rik",0.355376344086021,0.3789,0.4338,0.207456495668883,0.065251221051608,1.28985507246377,31
"2210408F21Rik",0.470481310803891,0.5429,2e-04,0.0458202997005446,0.0698668710759651,1.52173913043478,31
"2610037D02Rik",0.388157894736842,0.3878,1e-04,0.055686713667102,0.0849941740075537,0.898550724637681,38
"2610307P16Rik",0.468794326241135,0.4577,0.2284,0.136227134520226,0.0755922434572244,1.76811594202899,47
"4632427E13Rik",0.502873563218391,0.4591,0.2652,0.166705095108769,0.100798248596127,0.710144927536232,29
"4732440D04Rik",0.334072871572872,0.3451,0.0782,0.0761943945554936,0.0710182386177573,1.56521739130435,44
"5031425E22Rik",0.537857142857143,0.5757,0.1235,0.0895888605829236,0.065202053063652,1.23188405797101,40
"9330159M07Rik",0.0921052631578947,0.1469,2e-04,0.056318971658594,0.085901842713226,0.492753623188406,19
"9530026P05Rik",0.648650599841076,0.6228,0.121,0.101668759499621,0.0851020853424204,3.88405797101449,63
"AU040320",0.591954022988506,0.5717,0.0472,0.0844479649731931,0.101604191835724,0.608695652173913,29
"Aak1",0.433227513227513,0.423,0.2865,0.152880930685249,0.0673301414666039,1.42028985507246,45
"Abca8a",0.712103174603175,0.6811,0.493,0.243829596788432,0.0864690708281979,0.884057971014493,16
"Abcc5",0.401836734693878,0.4185,0.5185,0.241906523161927,0.0687418963759826,1.10144927536232,35
"Abhd18",0.457692307692308,0.48,0.1349,0.10784225501628,0.0864690708281979,0.884057971014493,26
"Abi1",0.894260461760462,0.8983,0.1477,0.111464529955912,0.084577492085996,4.07246376811594,55
"Abi3bp",0.631944444444444,0.6651,0.2186,0.150068342807626,0.102416382248181,0.63768115942029,24
"Ablim1",0.493841694102878,0.5127,0.0465,0.068455591765088,0.0775845071558778,7.85507246376812,59
"Ablim3",0.365151515151515,0.4038,0.0355,0.0805366972380059,0.102416382248181,0.63768115942029,22
