"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"1700025G04Rik",0.601388888888889,60,-48.5675642274388,-48.5367877951206,-0.0307764323182411,0.804058197832291,0.999997774956151
"2210408F21Rik",0.38855421686747,83,-65.1146945436904,-64.8109136482513,-0.303780895439147,0.435707318648333,0.999997774956151
"2610035D17Rik",0.976190476190476,42,-5.00401900833902,-4.88801277927364,-0.116006229065382,0.630035619527899,0.999997774956151
"2610307P16Rik",0.388888888888889,27,-23.857548517838,-23.8189020388997,-0.0386464789383076,0.780999991456136,0.999997774956151
"3110082I17Rik",0.49685534591195,53,-42.618010485969,-42.0511102655687,-0.566900220400264,0.286966147428192,0.999997774956151
"4632427E13Rik",0.452380952380952,70,-52.900023283691,-52.8837070936032,-0.016316190087764,0.856646744442533,0.999997774956151
"4732440D04Rik",0.203125,64,-36.6920222744982,-36.2025499523168,-0.489472322181349,0.322459495419865,0.999997774956151
"4732471J01Rik",0.634408602150538,93,-65.3515732511043,-65.3463008376147,-0.00527241348966356,0.918210591586366,1
"4933406I18Rik",0.432831325301205,166,-143.460092815152,-142.974998363291,-0.485094451860277,0.324633071379159,0.999997774956151
"5031425E22Rik",0.60974358974359,130,-102.634782676844,-102.57996655417,-0.0548161226744242,0.740563208227451,0.999997774956151
"5033421B08Rik",0.507575757575758,66,-50.9951253924582,-50.9925937959731,-0.00253159648514867,0.943273506494671,1
"9530026P05Rik",0.524702380952381,48,-49.9829876693493,-49.7798221856757,-0.203165483673594,0.523837660550472,0.999997774956151
"AW554918",0.48952380952381,70,-59.6351353496888,-59.3027178668933,-0.33241748279552,0.414858190061429,0.999997774956151
"Aak1",0.396713615023474,71,-58.9745745989188,-58.7080347605551,-0.266539838363698,0.465314969480629,0.999997774956151
"Abca1",0.502294447190641,289,-305.973663919414,-305.978251591684,0.00458767227036105,1,1
"Abca8a",0.568025493025493,18,-23.3299120672946,-23.0243921915253,-0.305519875769303,0.434396593710434,0.999997774956151
"Abca9",0.542272727272727,220,-208.124454795122,-207.358023273815,-0.766431521307425,0.21568326116809,0.999997774956151
"Abcc1",0.601449275362319,92,-69.9365302853007,-69.7721940711384,-0.164336214162333,0.56644185798962,0.999997774956151
"Abcc3",0.5,57,-44.1859214635198,-43.9491233962383,-0.236798067281519,0.491337413870674,0.999997774956151
"Abhd12",0.508771929824561,76,-61.7722197639962,-61.7525619416515,-0.019657822344783,0.842824644784218,0.999997774956151
"Abi1",0.517202181876095,184,-165.397798112775,-165.362307567373,-0.0354905454020127,0.789913633089929,0.999997774956151
"Abl2",0.538617886178862,82,-68.0228003630189,-66.8143694795229,-1.20843088349608,0.120035185695641,0.923255706892837
"Ablim1",0.461022050865801,64,-71.2740826514031,-71.0341685123993,-0.239914139003744,0.488500109920593,0.999997774956151
"Ablim3",0.47463768115942,23,-20.5106468082914,-20.0223008356991,-0.488345972592253,0.323016878503925,0.999997774956151
"Abr",0.59775641025641,104,-82.7102010548432,-82.7102538460564,5.27912132071151e-05,1,1
"Abtb2",0.413690476190476,42,-38.7912504419899,-36.7285689872358,-2.06268145475408,0.0422449588410442,0.627987561233215
"Acap2",0.434959349593496,82,-62.0623800814914,-61.7308474765048,-0.331532604986556,0.415479890069072,0.999997774956151
"Acer3",0.562141541699553,181,-151.085953078712,-150.877360142065,-0.208592936646312,0.518344589253243,0.999997774956151
"Actr2",0.515151515151515,154,-123.515697822347,-123.367703251777,-0.147994570569665,0.586407863887498,0.999997774956151
"Actr3",0.446687370600414,161,-135.124155406414,-134.386076131229,-0.738079275185157,0.224376521284863,0.999997774956151
"Acvr1",0.617021276595745,47,-39.373368034017,-36.5074361461182,-2.8659318878988,0.0166597923295229,0.448961733959851
"Acvr2a",0.414814814814815,90,-68.4499048250042,-68.4471812903237,-0.00272353468048436,0.941166134227292,1
"Acyp2",0.367222222222222,60,-51.8290743244569,-51.4348977530917,-0.394176571365229,0.374598563932183,0.999997774956151
"Adam10",0.535140562248996,83,-65.0193581660374,-64.9734908245867,-0.0458673414506876,0.761983341036515,0.999997774956151
"Adam17",0.407142857142857,70,-54.2746076409485,-54.2666708094563,-0.00793683149222346,0.899739265824066,0.999997774956151
"Adam19",0.56980056980057,117,-96.5596616853117,-96.232806639682,-0.326855045629671,0.418789339944277,0.999997774956151
"Adam22",0.284722222222222,60,-40.9987337844418,-40.9389740403384,-0.0597597441034097,0.72955622868856,0.999997774956151
"Adam9",0.4996336996337,91,-71.3290904514639,-71.3225929373761,-0.00649751408781185,0.909241172374476,1
"Adamts9",0.568475073313783,31,-34.6260128704427,-34.4828343777798,-0.143178492662983,0.5925645738707,0.999997774956151
"Adamtsl3",0.417233560090703,21,-21.9989896207463,-21.9970067995061,-0.00198282124014426,0.949787727894217,1
"Adap2",0.48478835978836,126,-104.163396594891,-104.159479021764,-0.00391757312647201,0.929466280786006,1
"Adap2os",0.561224489795918,49,-39.1640884610512,-39.1164941192877,-0.0475943417634994,0.757681637473956,0.999997774956151
"Adarb1",0.258771929824561,38,-25.9100178320091,-25.5055520395929,-0.404465792416246,0.368436316590348,0.999997774956151
"Adcy7",0.582352941176471,85,-61.7859061027488,-61.75039904011,-0.0355070626387999,0.789865897898778,0.999997774956151
"Adcy9",0.4898753894081,107,-87.0055731564572,-86.0715980154038,-0.933975141053381,0.171710020964913,0.999997774956151
"Adgre1",0.568927064496685,158,-133.869698836662,-133.839834300123,-0.029864536538895,0.806924664992324,0.999997774956151
"Adgrf5",0.583333333333333,38,-31.9575305700995,-31.9124639617817,-0.0450666083177822,0.764007866544459,0.999997774956151
"Adgrg6",0.391710114702815,137,-119.655935250707,-119.644341941272,-0.0115933094352982,0.878972778757491,0.999997774956151
"Adgrl2",0.642857142857143,35,-28.8107862647631,-28.0885895491947,-0.722196715568455,0.229429708862097,0.999997774956151
"Adgrl4",0.400573764859479,42,-45.9916967335935,-45.9878053789208,-0.00389135467270307,0.929702087605931,1
"Adipor2",0.513020833333333,64,-51.5933801669649,-50.9753580291153,-0.61802213784965,0.266234782517993,0.999997774956151
"Adk",0.291594202898551,115,-87.0135427814727,-86.5943320397017,-0.419210741770968,0.359848617871421,0.999997774956151
"Afap1l1",0.598870056497175,59,-44.436621812213,-43.9981958328483,-0.438425979364666,0.349065354596323,0.999997774956151
"Aff1",0.423341946597761,129,-111.669115507672,-111.419536946068,-0.249578561603442,0.479870709215789,0.999997774956151
