"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"9530026P05Rik",0.520502645502645,0.5011,0.0238,0.0562999216239562,0.0721847469603224,0.888888888888889,18
"Abca1",0.528095238095238,0.5465,0.0022,0.0585221669202611,0.0881068562762122,2.4,35
"Abca9",0.408333333333333,0.3476,0.1797,0.125781828231598,0.0878847789857279,1.35555555555556,28
"Abi1",0.656617826617827,0.6754,0.1291,0.100715387791031,0.0789479689528346,2.02222222222222,30
"Ablim1",0.498015873015873,0.5608,0.1019,0.0891650328863774,0.077082726895127,1.93333333333333,24
"Acer3",0.448571428571429,0.5294,0.0243,0.056483284274889,0.0721748028491804,0.955555555555556,25
"Actr3",0.321428571428571,0.3332,0.077,0.0785660705575519,0.0753365784315676,0.844444444444444,21
"Acyp2",0.375438596491228,0.3502,0.6295,0.286010312074047,0.0717230833077608,0.933333333333333,19
"Adam19",0.696078431372549,0.7221,0.5291,0.259276037448079,0.0891229345290326,0.777777777777778,17
"Adgre1",0.611190476190476,0.6197,0.2413,0.138888347566028,0.0721748028491804,0.955555555555556,20
"Adgrg6",0.421052631578947,0.3502,0.0831,0.0808825262537544,0.0753365784315676,0.844444444444444,19
"Adgrl4",0.446650175221604,0.4522,0.0538,0.0772794107919432,0.0868274200828946,1.24444444444444,21
"Adk",0.388888888888889,0.3823,1.1509,0.484306069085016,0.0721748028491804,0.955555555555556,24
"Aff1",0.306818181818182,0.3191,0.3399,0.184905217498967,0.0852699021934217,1.2,22
"Aftph",0.379710144927536,0.4643,1e-04,0.0472934108571674,0.0721748028491804,0.955555555555556,23
"Agap1",0.434782608695652,0.4604,0.4493,0.219856841521723,0.0752006826175122,1.02222222222222,23
"Agfg1",0.448412698412698,0.4597,1e-04,0.0528715537644141,0.0806944864495152,1.11111111111111,21
"Agmo",0.530917874396135,0.5477,0.6334,0.297742099736308,0.0873794336639208,1.26666666666667,23
"Ago3",0.461805555555556,0.4781,0.3632,0.185185997573323,0.0721847469603224,0.888888888888889,24
"Ahnak",0.447619047619048,0.381,1e-04,0.0469976538461987,0.0717230833077608,0.933333333333333,20
"Airn",0.746376811594203,0.7461,0.5749,0.272781870861106,0.0831868440951952,1.15555555555556,23
"Akap13",0.226190476190476,0.273,1e-04,0.0564242793380937,0.0861206826423817,1.22222222222222,29
"Akt3",0.459770114942529,0.4723,1e-04,0.0518751778258709,0.0791726882660468,1.6,29
"Alcam",0.356623700054735,0.3566,0.6271,0.311418657877788,0.111922096798675,4.17777777777778,30
"Ank2",0.156486291486292,0.1728,0.6448,0.299431633189509,0.0833479144247762,2.2,30
"Ankhd1",0.28125,0.3002,2e-04,0.0529095284479585,0.0806944864495152,1.11111111111111,32
"Ankrd11",0.537202380952381,0.5276,0.3944,0.200543923960104,0.0775454198617315,1.66666666666667,32
"Ankrd17",0.607142857142857,0.5465,1e-04,0.0503004589313849,0.0767675676078685,1.91111111111111,33
"Ankrd44",0.434770114942529,0.4155,0.0593,0.0778116764115466,0.0844503671059021,1.46666666666667,29
"Anks1",0.454861111111111,0.45,4e-04,0.0474138456745891,0.0721847469603224,0.888888888888889,24
"Ano6",0.505555555555556,0.5608,0.0283,0.0608445067846812,0.0765158433624697,1.88888888888889,33
"Antxr2",0.625457875457875,0.6116,0.5135,0.250185957795291,0.0842873528726751,1.17777777777778,26
"Aoah",0.337301587301587,0.3358,0.5197,0.248685751339687,0.0784000375461488,0.822222222222222,21
"Aopep",0.546550671550672,0.5618,0.3919,0.209441307543789,0.0925846903885477,2.62222222222222,39
"Ap2a2",0.438505747126437,0.4648,0.3128,0.171072120072638,0.0798601513909419,1.57777777777778,29
"Ap3b1",0.562820512820513,0.5667,0.0236,0.0567283541485505,0.0729551062362195,0.977777777777778,26
"Apba1",0.593055555555556,0.6111,2e-04,0.0559052174989666,0.0852699021934217,1.2,24
"Apoe",0.732506613756614,0.7025,0.0471,0.0677855559665999,0.0762131391463202,1.77777777777778,36
"App",0.674988065401599,0.6783,0.2254,0.160033198932716,0.113692039169901,4.57777777777778,42
"Arb2a",0.363520408163265,0.4267,0,0.0498528895960284,0.0761419800430007,1.82222222222222,28
"Arhgap10",0.258045977011494,0.3161,2e-04,0.0577091856298999,0.0880251628520671,1.33333333333333,29
"Arhgap15",0.594444444444444,0.5683,0,0.0477663288320948,0.0729551062362195,0.977777777777778,24
"Arhgap18",0.409876543209877,0.4126,0.2511,0.152819086539259,0.087767684840961,1.28888888888889,27
"Arhgap21",0.411210317460317,0.4489,0.6026,0.27986138464105,0.0779336214750965,1.06666666666667,24
"Arhgap26",0.411211407639979,0.4449,0.0405,0.0654774181770862,0.0765158433624697,1.88888888888889,28
"Arhgef12",0.509770114942529,0.4927,0.6194,0.29267984603293,0.087767684840961,1.28888888888889,29
"Arhgef3",0.494949494949495,0.4444,0.1426,0.109438562578745,0.0844411645786038,2.24444444444444,33
"Arid1b",0.462265512265512,0.4711,0.1787,0.117715790807394,0.0761452511598261,1.8,33
"Arih1",0.454166666666667,0.4995,0.0871,0.0833666812344852,0.0768107111388036,1.71111111111111,28
"Arl15",0.435330261136713,0.4223,0.3082,0.166930729988904,0.0762028682697193,1.84444444444444,31
"Arpc2",0.609259259259259,0.5608,0.1896,0.120441653693517,0.073986552407898,1,27
"Asap1",0.547702297702298,0.539,0.1992,0.131985378004812,0.0860496673393493,2.31111111111111,31
"Ascc3",0.426344086021505,0.4393,0.0701,0.0841615750670414,0.0878847789857279,1.35555555555556,31
"Ash1l",0.428846153846154,0.4211,1e-04,0.0572484288502319,0.0873794336639208,1.26666666666667,26
"Atf7",0.341269841269841,0.3433,0.4167,0.222187821909061,0.0976688666624394,0.755555555555556,21
"Atp2a2",0.542391304347826,0.5841,0.1816,0.116728354148551,0.0729551062362195,0.977777777777778,23
"Atp2b1",0.652777777777778,0.66,0.2344,0.144305347297623,0.0844503671059021,1.46666666666667,30
"Atp6v0b",0.441954022988506,0.4375,0.0016,0.0571538168216291,0.0863649295589016,1.42222222222222,29
"Atxn1",0.474774774774775,0.4767,0.1855,0.120335793280043,0.0762028682697193,1.84444444444444,37
"B4galt1",0.406526806526807,0.4271,0.315,0.171457456306884,0.0791726882660468,1.6,26
"Babam2",0.619047619047619,0.5942,0.1619,0.108419150777709,0.0716901829544877,0.911111111111111,21
"Baz2b",0.441176470588235,0.4238,0.3612,0.208584867569609,0.109082621067982,0.733333333333333,17
"Bicc1",0.527450980392157,0.4889,0,0.0484416536935168,0.073986552407898,1,17
"Birc6",0.580882352941176,0.5688,0.2525,0.147321235417197,0.078558633560533,1.62222222222222,34
"Bmpr2",0.6,0.574,0.1829,0.116393834322013,0.0716901829544877,0.911111111111111,22
"Btbd9",0.574285714285714,0.6163,0.2222,0.141844402994955,0.087767684840961,1.28888888888889,25
"C1qa",0.300595238095238,0.3439,0.1066,0.0963102807901059,0.0852699021934217,1.2,28
"C1qc",0.342307692307692,0.3911,0.0017,0.0498821579774196,0.0752006826175122,1.02222222222222,26
"C5ar1",0.521739130434783,0.5031,0.3667,0.186191302676443,0.0716901829544877,0.911111111111111,23
"Camk1d",0.551825396825397,0.5491,0.1345,0.112186481735598,0.0933361531041705,2.66666666666667,35
"Camk2d",0.578914141414141,0.5613,0.5997,0.285275499117674,0.0878847789857279,1.35555555555556,24
"Ccdc50",0.433333333333333,0.3939,1e-04,0.0714582852911276,0.109082621067982,0.733333333333333,20
"Ccdc88a",0.445098039215686,0.4551,0.1285,0.107149455169598,0.0891229345290326,0.777777777777778,17
"Ccnd3",0.432022084195997,0.4667,2e-04,0.0577091856298999,0.0880251628520671,1.33333333333333,23
"Ccny",0.577956989247312,0.5685,0.7432,0.339557445284144,0.0875614047639831,1.37777777777778,31
"Cd163",0.274630541871921,0.3419,0.2505,0.148613321769524,0.0816920801159861,2.13333333333333,29
"Cd2ap",0.595238095238095,0.6098,1e-04,0.0469761128030255,0.0716901829544877,0.911111111111111,21
"Cd36",0.431150793650794,0.4304,0.5156,0.249733008042387,0.0823775476167393,1.51111111111111,24
"Cd44",0.319111111111111,0.4151,0.2308,0.14158110930821,0.0823775476167393,1.51111111111111,25
"Cdc37l1",0.589583333333333,0.5666,0,0.11205461929874,0.171144755208942,0.666666666666667,16
"Cdc42",0.309895833333333,0.3166,0,0.0576332362628113,0.0880251628520671,1.33333333333333,32
"Cdh13",0.534453781512605,0.5728,0.0948,0.090465415164903,0.0831868440951952,1.15555555555556,17
"Cdk13",0.446527777777778,0.4256,1e-04,0.0501484917735253,0.0765354631020977,1.04444444444444,24
"Cdk14",0.56510496671787,0.4855,0.0121,0.0732187482153682,0.104811434774272,3.4,31
"Cdk6",0.607777777777778,0.5583,0.0915,0.129236144213788,0.144316670929191,0.688888888888889,15
"Cdkal1",0.626543209876543,0.6221,0.2681,0.150251780275795,0.073986552407898,1,27
"Celf1",0.232183908045977,0.2602,0,0.055829268131878,0.0852699021934217,1.2,29
"Celf2",0.579445187165775,0.5295,0.0768,0.0979891654450066,0.105118118689673,3.42222222222222,34
"Cep85l",0.486363636363636,0.5076,0.0901,0.0814706260470409,0.0721748028491804,0.955555555555556,22
"Cert1",0.696666666666667,0.6846,1.4468,0.597859375212504,0.073986552407898,1,25
"Chd2",0.496794871794872,0.5204,0.0409,0.0632979744017151,0.0729551062362195,0.977777777777778,26
"Chd7",0.528888888888889,0.4574,0,0.0583519868151676,0.0891229345290326,0.777777777777778,15
"Chd9",0.4109375,0.5193,2e-04,0.0503666812344851,0.0768107111388036,1.71111111111111,32
"Clic4",0.396545454545455,0.3798,0.2054,0.133976928504015,0.0854954288017982,1.44444444444444,25
"Cltc",0.373563218390805,0.3998,1e-04,0.0564242793380937,0.0861206826423817,1.22222222222222,29
"Cmip",0.508684405025868,0.5274,0.1067,0.100878524144019,0.0921891325426315,2.6,41
"Cnot4",0.555555555555556,0.5609,3e-04,0.0470520621701141,0.0716901829544877,0.911111111111111,24
"Colec12",0.439114357864358,0.4596,0.5993,0.2873990866724,0.0913602050443114,2.55555555555556,28
"Cped1",0.588461538461538,0.5726,0.3023,0.169385063576918,0.0833734537698132,1.48888888888889,26
"Cpne8",0.404761904761905,0.4461,0.1116,0.0903994582020771,0.0733421058273058,0.866666666666667,21
"Crebbp",0.556565656565657,0.5326,0.1869,0.128581502023844,0.0879848140910842,1.31111111111111,33
"Csnk1a1",0.522222222222222,0.5311,1e-04,0.0519830059934213,0.0793373778206188,1.08888888888889,30
"Ctsc",0.6375,0.6896,0.2047,0.134583208260298,0.0868274200828946,1.24444444444444,24
"Cul3",0.420289855072464,0.4309,0.1403,0.100238160175313,0.0717230833077608,0.933333333333333,23
"Cux1",0.435897435897436,0.4591,1e-04,0.0510639162866193,0.0779336214750965,1.06666666666667,26
"Cyfip1",0.34375,0.3605,0.7669,0.344061427182136,0.0806944864495152,1.11111111111111,24
"Cyrib",0.382266009852217,0.4066,0.0686,0.0799861725993492,0.0823775476167393,1.51111111111111,29
"Cyth1",0.499479166666667,0.5279,0.1827,0.120151518896812,0.0775454198617315,1.66666666666667,32
"Cyth3",0.464965986394558,0.502,0.1934,0.120402717137338,0.0717230833077608,0.933333333333333,14
"Cyyr1",0.374242424242424,0.4616,1e-04,0.0501548281607243,0.0765451408774796,1.73333333333333,22
"Dab2",0.408333333333333,0.4327,0.0489,0.070004779720995,0.078558633560533,1.62222222222222,30
"Dach1",0.529271708683473,0.5191,0.2451,0.145020980676966,0.0793373778206188,1.08888888888889,17
"Dapk1",0.432777777777778,0.3649,0.0435,0.0711065825642601,0.0833734537698132,1.48888888888889,30
"Dclre1c",0.382575757575758,0.3931,0.4005,0.202199124684918,0.0765354631020977,1.04444444444444,22
"Dcn",0.549608925695882,0.5284,0.1975,0.126690071335335,0.0789479689528346,2.02222222222222,18
"Ddx5",0.295454545454545,0.278,2e-04,0.0543211342275458,0.082850479010205,0.8,22
"Dennd1a",0.527417027417027,0.4999,1e-04,0.0499374547007771,0.0762131391463202,1.77777777777778,33
"Dennd1b",0.484615384615385,0.4851,0.2409,0.141591529748209,0.0765354631020977,1.04444444444444,26
"Dennd4a",0.475308641975309,0.5094,1e-04,0.0552239324788357,0.0842873528726751,1.17777777777778,27
"Dennd4c",0.604166666666667,0.4897,0.0772,0.0812614870060795,0.0793373778206188,1.08888888888889,24
