"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"9530026P05Rik",0.5011,0.520502645502645,18,0.0238,0.0562999216239562,0.0721847469603224,0,-0.000876495116372666,0.966603347412025,1
"Abca1",0.5465,0.528095238095238,35,0.0022,0.0585221669202611,0.0881068562762122,0.267933205246633,-0.0871434356474197,0.676329696672154,1
"Abca9",0.3476,0.408333333333333,28,0.1797,0.125781828231598,0.0878847789857279,-1.03562390973072,-0.585503347319342,0.279194488403336,1
"Abi1",0.6754,0.656617826617827,30,0.1291,0.100715387791031,0.0789479689528346,1.16992500144231,0.134229292867822,1,1
"Ablim1",0.5608,0.498015873015873,24,0.1019,0.0891650328863774,0.077082726895127,0.366782330671623,-0.565476346245696,0.287572219081316,1
"Acer3",0.5294,0.448571428571429,25,0.0243,0.056483284274889,0.0721748028491804,0.20163386116965,-0.37284220055475,0.38784602409539,1
"Actr3",0.3332,0.321428571428571,21,0.077,0.0785660705575519,0.0753365784315676,-0.943416471633633,-0.0271066435958431,0.8158876159853,1
"Acyp2",0.3502,0.375438596491228,19,0.6295,0.286010312074047,0.0717230833077608,-1,-0.632069885503984,0.260868940613892,1
"Adam19",0.7221,0.696078431372549,17,0.5291,0.259276037448079,0.0891229345290326,1.53051471669878,-1.07532649039098,0.14250926890089,1
"Adgre1",0.6197,0.611190476190476,20,0.2413,0.138888347566028,0.0721748028491804,0.754887502163468,0.0734726072915919,1,1
"Adgrg6",0.3502,0.421052631578947,19,0.0831,0.0808825262537544,0.0753365784315676,-0.943416471633633,-0.285136720843163,0.450150278404549,1
"Adgrl4",0.4522,0.446650175221604,21,0.0538,0.0772794107919432,0.0868274200828946,-0.206450877467426,-0.0132364967205731,0.870750525119746,1
"Adk",0.3823,0.388888888888889,24,1.1509,0.484306069085016,0.0721748028491804,-0.900464326449086,-0.944953254617307,0.169212466866344,1
"Aff1",0.3191,0.306818181818182,22,0.3399,0.184905217498967,0.0852699021934217,-1,-0.0120749832038527,0.876503938822598,1
"Aftph",0.4643,0.379710144927536,23,1e-04,0.0472934108571674,0.0721748028491804,-0.20163386116965,0.0206309214244769,1,1
"Agap1",0.4604,0.434782608695652,23,0.4493,0.219856841521723,0.0752006826175122,-0.125530882083859,0.0965955049765732,1,1
"Agfg1",0.4597,0.448412698412698,21,1e-04,0.0528715537644141,0.0806944864495152,-0.231325546106456,-0.00512348184691547,0.919370035839098,1
"Agmo",0.5477,0.530917874396135,23,0.6334,0.297742099736308,0.0873794336639208,0.459431618637297,-0.189168518583507,0.538494572281588,1
"Ago3",0.4781,0.461805555555556,24,0.3632,0.185185997573323,0.0721847469603224,-0.144389909335175,-0.110113018317346,0.638867743758261,1
"Ahnak",0.381,0.447619047619048,20,1e-04,0.0469976538461987,0.0717230833077608,-0.700439718141092,-0.00907644682655473,0.892823237990428,1
"Airn",0.7461,0.746376811594203,23,0.5749,0.272781870861106,0.0831868440951952,1.58496250072116,-1.96004638644504,0.0477122471922895,1
"Akap13",0.273,0.226190476190476,29,1e-04,0.0564242793380937,0.0861206826423817,-1.41503749927884,0.0309043082125342,1,1
"Akt3",0.4723,0.459770114942529,29,1e-04,0.0518751778258709,0.0791726882660468,-0.160464672193246,-0.176771700857909,0.552114117567782,1
"Alcam",0.3566,0.356623700054735,30,0.6271,0.311418657877788,0.111922096798675,-0.591360271919307,0.158469416444639,1,1
"Ank2",0.1728,0.156486291486292,30,0.6448,0.299431633189509,0.0833479144247762,-1.56559717585422,0.168834686654172,1,1
"Ankhd1",0.3002,0.28125,32,2e-04,0.0529095284479585,0.0806944864495152,-1.22239242133645,-0.0555668807436582,0.738857038199235,1
"Ankrd11",0.5276,0.537202380952381,32,0.3944,0.200543923960104,0.0775454198617315,0.270089163367744,0.862436617285482,1,1
"Ankrd17",0.5465,0.607142857142857,33,1e-04,0.0503004589313849,0.0767675676078685,0.269186632815389,-0.0444916933675188,0.76547356887269,1
"Ankrd44",0.4155,0.434770114942529,29,0.0593,0.0778116764115466,0.0844503671059021,-0.53051471669878,-0.174764258040547,0.554380147077062,1
"Anks1",0.45,0.454861111111111,24,4e-04,0.0474138456745891,0.0721847469603224,-0.289506617194985,-0.000580867586474909,0.972809978689113,1
"Ano6",0.5608,0.505555555555556,33,0.0283,0.0608445067846812,0.0765158433624697,0.375509135092206,-1.07613881553623,0.142358567232479,1
"Antxr2",0.6116,0.625457875457875,26,0.5135,0.250185957795291,0.0842873528726751,0.494764691749578,0.129872093635655,1,1
"Aoah",0.3358,0.337301587301587,21,0.5197,0.248685751339687,0.0784000375461488,-0.884522782580064,-0.794288535670507,0.207529548469356,1
"Aopep",0.5618,0.546550671550672,39,0.3919,0.209441307543789,0.0925846903885477,0.443606651475615,-1.7487355656971,0.0614626155788848,1
"Ap2a2",0.4648,0.438505747126437,29,0.3128,0.171072120072638,0.0798601513909419,-0.12199052437861,-1.08850043194406,0.140087216452518,1
"Ap3b1",0.5667,0.562820512820513,26,0.0236,0.0567283541485505,0.0729551062362195,0.395928676331139,-0.302107456570514,0.436974349704293,1
"Apba1",0.6111,0.593055555555556,24,2e-04,0.0559052174989666,0.0852699021934217,0.652076696579693,-0.0822923242742348,0.684970144050286,1
"Apoe",0.7025,0.732506613756614,36,0.0471,0.0677855559665999,0.0762131391463202,1.22239242133645,-0.00423493327935631,0.926672712120319,1
"App",0.6783,0.674988065401599,42,0.2254,0.160033198932716,0.113692039169901,1.05285188226574,0.524735815665622,1,1
"Arb2a",0.4267,0.363520408163265,28,0,0.0498528895960284,0.0761419800430007,-0.425305834732671,-0.153760194901885,0.579205774117284,1
"Arhgap10",0.3161,0.258045977011494,29,2e-04,0.0577091856298999,0.0880251628520671,-1.1096244911745,-0.0826231866131941,0.68437153133007,1
"Arhgap15",0.5683,0.594444444444444,24,0,0.0477663288320948,0.0729551062362195,0.395928676331139,0.0233209516699908,1,1
"Arhgap18",0.4126,0.409876543209877,27,0.2511,0.152819086539259,0.087767684840961,-0.400537929583729,-0.0226011779582613,0.831632374654674,1
"Arhgap21",0.4489,0.411210317460317,24,0.6026,0.27986138464105,0.0779336214750965,-0.241008099503795,0.0386012956114818,1,1
"Arhgap26",0.4449,0.411211407639979,28,0.0405,0.0654774181770862,0.0765158433624697,-0.306661338234052,-0.0133802815480166,0.870056624570226,1
"Arhgef12",0.4927,0.509770114942529,29,0.6194,0.29267984603293,0.087767684840961,-0.0995356735509143,-0.00821975533315111,0.897977519926831,1
"Arhgef3",0.4444,0.494949494949495,33,0.1426,0.109438562578745,0.0844411645786038,-0.373458395527444,0.102679721282136,1,1
"Arid1b",0.4711,0.462265512265512,33,0.1787,0.117715790807394,0.0761452511598261,-0.178337241258513,-0.181229727841455,0.547143479526247,1
"Arih1",0.4995,0.454166666666667,28,0.0871,0.0833666812344852,0.0768107111388036,0.112474729258413,-0.0369838485401459,0.785645063820438,1
"Arl15",0.4223,0.435330261136713,31,0.3082,0.166930729988904,0.0762028682697193,-0.527247002864869,-0.0500515019636154,0.751706060317308,1
"Arpc2",0.5608,0.609259259259259,27,0.1896,0.120441653693517,0.073986552407898,0.192645077942396,-0.152773422279132,0.580425762974921,1
"Asap1",0.539,0.547702297702298,31,0.1992,0.131985378004812,0.0860496673393493,0.0554951125917037,-0.265187980643574,0.466448840447896,1
"Ascc3",0.4393,0.426344086021505,31,0.0701,0.0841615750670414,0.0878847789857279,-0.332575339086871,-0.0855333939127227,0.679165454730919,1
"Ash1l",0.4211,0.428846153846154,26,1e-04,0.0572484288502319,0.0873794336639208,-0.459431618637297,0.0518064672718843,1,1
"Atf7",0.3433,0.341269841269841,21,0.4167,0.222187821909061,0.0976688666624394,-0.874469117916141,0.305016179474407,1,1
"Atp2a2",0.5841,0.542391304347826,23,0.1816,0.116728354148551,0.0729551062362195,0.667424660913129,0.056455045775273,1,1
"Atp2b1",0.66,0.652777777777778,30,0.2344,0.144305347297623,0.0844503671059021,1,-0.415556546519241,0.361950863928926,1
"Atp6v0b",0.4375,0.441954022988506,29,0.0016,0.0571538168216291,0.0863649295589016,-0.362570079384708,0.00531314835246022,1,1
"Atxn1",0.4767,0.474774774774775,37,0.1855,0.120335793280043,0.0762028682697193,-0.174029399775049,-1.15538867384073,0.128479782973113,1
"B4galt1",0.4271,0.406526806526807,26,0.315,0.171457456306884,0.0791726882660468,-0.160464672193246,-2.43633018127782,0.0272854053802107,1
"Babam2",0.5942,0.619047619047619,21,0.1619,0.108419150777709,0.0716901829544877,0.497499659470817,-1.11107732334031,0.136043081541684,1
"Baz2b",0.4238,0.441176470588235,17,0.3612,0.208584867569609,0.109082621067982,-0.440572591385981,-0.156591257139922,0.575733802043654,1
"Bicc1",0.4889,0.527450980392157,17,0,0.0484416536935168,0.073986552407898,-0.0641303374197155,0.0557421818382693,1,1
"Birc6",0.5688,0.580882352941176,34,0.2525,0.147321235417197,0.078558633560533,0.357552004618084,-1.99415435045527,0.0458170323043534,1
"Bmpr2",0.574,0.6,22,0.1829,0.116393834322013,0.0716901829544877,0.3536369546147,-0.275204873465178,0.458150320093134,1
"Btbd9",0.6163,0.574285714285714,25,0.2222,0.141844402994955,0.087767684840961,0.925999418556223,-1.01271120615765,0.154685906254263,1
"C1qa",0.3439,0.300595238095238,28,0.1066,0.0963102807901059,0.0852699021934217,-0.881355503501381,-0.508757316898862,0.313109271258074,1
"C1qc",0.3911,0.342307692307692,26,0.0017,0.0498821579774196,0.0752006826175122,-0.637429920615292,-0.106184930481419,0.644916238621349,1
"C5ar1",0.5031,0.521739130434783,23,0.3667,0.186191302676443,0.0716901829544877,-0.0703893278913981,-1.60507451744803,0.0731828171378778,1
"Camk1d",0.5491,0.551825396825397,35,0.1345,0.112186481735598,0.0933361531041705,0.338168735894573,0.11381528441882,1,1
"Camk2d",0.5613,0.578914141414141,24,0.5997,0.285275499117674,0.0878847789857279,0.332575339086871,-0.567678174404271,0.28663569707914,1
"Ccdc50",0.3939,0.433333333333333,20,1e-04,0.0714582852911276,0.109082621067982,-0.62148837674627,-0.0328015421701053,0.797849692898531,1
"Ccdc88a",0.4551,0.445098039215686,17,0.1285,0.107149455169598,0.0891229345290326,-0.247927513443585,0.0756652133863156,1,1
"Ccnd3",0.4667,0.432022084195997,23,2e-04,0.0577091856298999,0.0880251628520671,-0.192645077942396,-0.0904583438642668,0.670586634342282,1
"Ccny",0.5685,0.577956989247312,31,0.7432,0.339557445284144,0.0875614047639831,0.186413124230881,-0.180137579462162,0.548353458993052,1
"Cd163",0.3419,0.274630541871921,29,0.2505,0.148613321769524,0.0816920801159861,-0.736965594166206,0.236086067246433,1,1
"Cd2ap",0.6098,0.595238095238095,21,1e-04,0.0469761128030255,0.0716901829544877,0.643856189774725,0.00150087303044089,1,1
"Cd36",0.4304,0.431150793650794,24,0.5156,0.249733008042387,0.0823775476167393,-0.341036917835067,0.0801003501823594,1,1
"Cd44",0.4151,0.319111111111111,25,0.2308,0.14158110930821,0.0823775476167393,-0.169925001442312,-0.0213097864798151,0.836443256805428,1
"Cdc37l1",0.5666,0.589583333333333,16,0,0.11205461929874,0.171144755208942,0.387023123109247,-0.30233832273638,0.436799216716842,1
"Cdc42",0.3166,0.309895833333333,32,0,0.0576332362628113,0.0880251628520671,-1.1096244911745,0.0364130939504541,1,1
"Cdh13",0.5728,0.534453781512605,17,0.0948,0.090465415164903,0.0831868440951952,0.447458976971221,-0.095670612582822,0.661802664057953,1
"Cdk13",0.4256,0.446527777777778,24,1e-04,0.0501484917735253,0.0765354631020977,-0.432959407276106,-0.0255459341005952,0.821174117799912,1
"Cdk14",0.4855,0.56510496671787,31,0.0121,0.0732187482153682,0.104811434774272,-0.0943273825481532,-0.247195869109333,0.481974763833742,1
"Cdk6",0.5583,0.607777777777778,15,0.0915,0.129236144213788,0.144316670929191,0.280107919192735,-0.047236752980055,0.758565240266176,1
"Cdkal1",0.6221,0.626543209876543,27,0.2681,0.150251780275795,0.073986552407898,0.719892080807265,-0.136775533446141,0.600959572697236,1
"Celf1",0.2602,0.232183908045977,29,0,0.055829268131878,0.0852699021934217,-1.51457317282976,-0.0251368341792997,0.822587752931784,1
"Celf2",0.5295,0.579445187165775,34,0.0768,0.0979891654450066,0.105118118689673,0.074962057681222,-0.110720612137492,0.637943965220668,1
"Cep85l",0.5076,0.486363636363636,22,0.0901,0.0814706260470409,0.0721748028491804,0.0671141958585368,0.0490313373845126,1,1
"Cert1",0.6846,0.696666666666667,25,1.4468,0.597859375212504,0.073986552407898,0.719892080807265,0.0525429733544058,1,1
"Chd2",0.5204,0.496794871794872,26,0.0409,0.0632979744017151,0.0729551062362195,0.131244533278252,-0.0909814404073543,0.669691770391127,1
"Chd7",0.4574,0.528888888888889,15,0,0.0583519868151676,0.0891229345290326,-0.247927513443585,-0.673861314056241,0.245676644913254,1
"Chd9",0.5193,0.4109375,32,2e-04,0.0503666812344851,0.0768107111388036,0.112474729258413,-0.111520791857728,0.636732093007276,1
"Clic4",0.3798,0.396545454545455,25,0.2054,0.133976928504015,0.0854954288017982,-0.678071905112637,-0.203862034697273,0.523126944017041,1
"Cltc",0.3998,0.373563218390805,29,1e-04,0.0564242793380937,0.0861206826423817,-0.584962500721156,-0.0512562564501096,0.748835102688541,1
