"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"1600010M07Rik",0.56578947368421,0.5434,1.0212,0.508664665310365,0.184604498817364,0.326797385620915,38
"1700025G04Rik",0.544600938967136,0.5329,0.1591,0.122999568780149,0.0955833413835479,1.03267973856209,71
"2210408F21Rik",0.503125466487535,0.496,0.0663,0.0859803170481907,0.0928666042382699,2.25490196078431,116
"2310014F06Rik",0.260551948051948,0.2613,0.5917,0.314834805810215,0.137671693407468,0.470588235294118,44
"2610008E11Rik",0.75,0.7529,0.3188,0.297272279309979,0.269129861266108,0.26797385620915,30
"2610037D02Rik",0.442982456140351,0.4255,0.4575,0.262023368724929,0.134847025165875,0.503267973856209,57
"2610307P16Rik",0.469298245614035,0.489,0.1089,0.140689685958124,0.151718047020041,0.38562091503268,38
"2700097O09Rik",0.621875,0.5958,1e-04,0.134004764192149,0.204611943176142,0.30718954248366,32
"4632427E13Rik",0.561904761904762,0.531,0,0.0626929296003052,0.0957530011428661,1.05882352941176,84
"4732440D04Rik",0.351752966558792,0.3567,0.1626,0.124450611013563,0.095769566554716,1.75816993464052,103
"4930506C21Rik",0.416666666666667,0.4224,0.3636,0.272042738875693,0.204611943176142,0.30718954248366,36
"5031425E22Rik",0.561561119293078,0.5619,0.0475,0.0813657947778474,0.0967226905573655,1.38562091503268,97
"5330438D12Rik",0.490740740740741,0.5,0.0014,0.0914883126318962,0.138921149493116,0.457516339869281,54
"6720427I07Rik",0.540540540540541,0.5294,1e-04,0.117349087192111,0.17917317250475,0.333333333333333,37
"9330159M07Rik",0.11542934677263,0.1117,0.0863,0.095546739243523,0.0958777197379407,0.901960784313726,67
"9530026P05Rik",0.52468487861345,0.526,0.0714,0.0821390897310196,0.0840417697158439,3.96732026143791,140
"AW554918",0.548484848484849,0.5639,0.0144,0.0933861623600794,0.134279798644628,0.509803921568627,55
"Aak1",0.53421052631579,0.5196,0.1429,0.116989739944425,0.0958003294751187,1.06535947712418,95
"Abca1",0.496296296296296,0.4941,1.2452,0.570942852566371,0.149804050153037,0.392156862745098,45
"Abca6",0.635135135135135,0.6295,1.1467,0.552766808711098,0.17917317250475,0.333333333333333,37
"Abca8a",0.72118018967334,0.7245,0.3067,0.179867565296551,0.0968317280629324,1.20915032679739,73
"Abca8b",0.588235294117647,0.5986,0.3023,0.232108580862997,0.17917317250475,0.333333333333333,34
"Abcc5",0.516428571428571,0.5116,0.1027,0.104291843799772,0.0997224094301856,0.797385620915033,70
"Abcc9",0.473913043478261,0.4473,1e-04,0.0632874428475512,0.0966030210424932,1.16993464052288,92
"Abcd3",0.529661016949152,0.5376,0.2735,0.184702423817674,0.123472168644194,0.601307189542484,59
"Abhd18",0.522541743970315,0.4952,0.3077,0.179806618939979,0.0961586426609947,1.11111111111111,77
"Abhd2",0.426829268292683,0.4136,0.1712,0.169184243275892,0.159104734230046,0.366013071895425,41
"Abi1",0.637032746370096,0.6447,0.5025,0.253578632193414,0.0958490975700738,1.0718954248366,83
"Abi2",0.34009009009009,0.421,2e-04,0.102430521830511,0.156329550342467,0.372549019607843,37
"Ablim1",0.451153626608401,0.4675,0.0783,0.0762449714627872,0.0710374864141636,8.22222222222222,131
"Abra",0.355460468351093,0.3549,0.2935,0.174874684397059,0.0968619346357754,1.2156862745098,64
"Abtb2",0.490196078431373,0.4941,0.174,0.128897842474854,0.0959499714065938,1.08496732026144,68
"Acacb",0.540659041394336,0.5302,0.0406,0.0782767154447763,0.096006636722655,1.68627450980392,102
"Acadl",0.466374269005848,0.4667,0.0255,0.0917746722808042,0.125380516130215,0.588235294117647,57
"Acadm",0.452482269503546,0.4491,0.0313,0.103290199259978,0.139604564336407,0.450980392156863,47
"Acadsb",0.40625,0.3951,0.4739,0.31392881482506,0.204611943176142,0.30718954248366,32
"Acap2",0.379084967320261,0.3955,0.6207,0.327594937510127,0.140340667890467,0.444444444444444,51
"Acat1",0.572404371584699,0.5673,0.6263,0.311732820222668,0.112865927420088,0.673202614379085,61
"Acbd5",0.442708333333333,0.4333,0.3385,0.280308713382286,0.231794841572545,0.287581699346405,32
"Acer2",0.508547008547009,0.5367,0.6769,0.343790813025538,0.132481168427672,0.529411764705882,39
"Aco2",0.467049808429119,0.436,0.0739,0.0914411078140297,0.0967990520012946,1.20261437908497,87
"Acot13",0.461764705882353,0.4372,0.2875,0.183675361611614,0.113783502301471,0.666666666666667,68
"Acox1",0.495833333333333,0.5122,0.4246,0.237597628442821,0.116622777841668,0.647058823529412,56
"Acsl1",0.489965986394558,0.4782,0.1939,0.13654958396856,0.0960947312479811,0.888888888888889,70
"Acss1",0.546897163120567,0.5435,0.2166,0.145059336684594,0.0959259602296025,1.71241830065359,94
"Actc1",0.410396003433978,0.4133,0.1708,0.127732362832144,0.096025895498962,1.6797385620915,79
"Actc1dt",0.575177304964539,0.5728,0.0858,0.120871469990752,0.134847025165875,0.503267973856209,47
"Actn2",0.509873502537726,0.4912,0.0617,0.0734306847136667,0.0763671324526736,6.09150326797386,119
"Actr2",0.503968253968254,0.554,0.0451,0.11011091133395,0.142018065244053,0.431372549019608,42
"Actr3",0.486969696969697,0.4491,0.0882,0.118909402020021,0.130458293351913,0.549019607843137,55
"Acvr2a",0.596014492753623,0.6008,0,0.091886076750633,0.140340667890467,0.444444444444444,46
"Acyp2",0.436257858137021,0.4239,0.0873,0.0848024925084098,0.0788876735578445,5.29411764705882,134
"Adam10",0.395348837209302,0.3954,0.7626,0.390346463090587,0.153881164627022,0.379084967320261,43
"Adam19",0.408461538461538,0.3998,0.0155,0.0736483510939703,0.103495581570857,0.751633986928105,65
"Adam22",0.761178861788618,0.7761,0.064,0.116189874218987,0.140340667890467,0.444444444444444,41
"Adam9",0.56547619047619,0.5303,0.2904,0.307929626180545,0.301879182386419,0.254901960784314,28
"Adamts1",0.344444444444444,0.3801,1.203,0.546974046316544,0.137671693407468,0.470588235294118,30
"Adamts12",0.280797101449275,0.2857,2e-04,0.0883651408768275,0.134847025165875,0.503267973856209,46
"Adamts2",0.576190476190476,0.6094,0.3561,0.260028570832651,0.190612303851735,0.320261437908497,35
"Adamts6",0.438725490196078,0.4466,0.0529,0.128665160075151,0.165832587821448,0.352941176470588,34
"Adamts9",0.585150049603175,0.5874,0.3114,0.181741243812748,0.0969674597166703,1.30718954248366,64
"Adamtsl5",0.361111111111111,0.379,0.1215,0.116189152387234,0.106989565412769,0.718954248366013,57
"Adap2",0.518518518518518,0.5423,0.135,0.131470455576342,0.122499209150267,0.607843137254902,63
"Adarb1",0.483673469387755,0.464,0.1963,0.163928777506546,0.136519886178331,0.483660130718954,49
"Adcy6",0.47962962962963,0.4686,0.2041,0.141391963519041,0.0975746589480818,0.836601307189543,81
"Adcy9",0.585978835978836,0.5807,1.0828,0.48392020761803,0.111083463768605,0.686274509803922,63
"Adgrf5",0.528472222222222,0.5024,0.1768,0.184450353014896,0.17917317250475,0.333333333333333,24
"Adgrl2",0.585555555555555,0.5854,0.264,0.163969231363101,0.0973156727019097,0.843137254901961,75
"Adgrl3",0.37171052631579,0.3401,0.1448,0.119736642447926,0.098893765232132,0.810457516339869,76
"Adgrl4",0.422123015873016,0.4258,0.273,0.21776816100447,0.174264571240827,0.339869281045752,24
"Adhfe1",0.521929824561403,0.5205,0.8872,0.44314536867243,0.162254693085692,0.359477124183007,38
"Adk",0.475018428864583,0.463,0.0463,0.0714439912332797,0.0822647892769626,4.38562091503268,117
"Adprhl1",0.474025974025974,0.4607,0.0899,0.0966059562819437,0.0954074972279553,0.986928104575163,77
"Adra1a",0.393854696028609,0.3973,0.4602,0.236721132406429,0.0946360762287522,1.98692810457516,92
"Aebp2",0.490990990990991,0.4582,0.3402,0.24038467916986,0.169831533318767,0.34640522875817,37
"Afap1",0.472868217054264,0.468,0.773,0.399778280064835,0.162254693085692,0.359477124183007,43
"Aff1",0.48640409434802,0.464,0.0417,0.0789665454267496,0.0964222370484555,1.51633986928105,107
"Afg1l",0.550695970695971,0.5419,0.1837,0.133645128076003,0.0975746589480818,0.836601307189543,65
"Afg2a",0.433862433862434,0.439,0.5976,0.30963457067027,0.126307200937059,0.581699346405229,63
"Afg3l2",0.551851851851852,0.5281,0.5337,0.280301986377175,0.118568567193405,0.633986928104575,63
"Aftph",0.533783783783784,0.5229,0.0617,0.137527654675356,0.174264571240827,0.339869281045752,37
"Agap1",0.377252252252252,0.3811,0.0815,0.100034244667409,0.105515636355356,0.73202614379085,74
"Agfg1",0.49685534591195,0.4884,0.1376,0.142391767835531,0.137671693407468,0.470588235294118,53
"Agl",0.559325396825397,0.5566,0.0722,0.0901416386786024,0.0958003294751187,1.06535947712418,84
"Ago3",0.418541666666667,0.402,0.4424,0.231565096322191,0.0970850904494271,0.849673202614379,80
"Agtpbp1",0.586022408963585,0.5749,0.2909,0.173966139967612,0.0969822844438664,1.30065359477124,85
"Ahnak",0.57,0.5566,0.0141,0.113930982859961,0.165832587821448,0.352941176470588,35
"Aig1",0.46426116838488,0.4447,0.3751,0.205955383797184,0.0970045228528996,1.28104575163399,97
"Airn",0.875508009074159,0.8668,0.2604,0.149654699065852,0.0775406103732453,5.70588235294118,146
"Akap10",0.554093567251462,0.5415,0.1171,0.124672987221912,0.122499209150267,0.607843137254902,57
"Akap13",0.531330663106364,0.554,5e-04,0.0635062825692979,0.0967052622441744,1.3921568627451,107
"Akap6",0.549337893957368,0.5339,0.1324,0.102772632999882,0.0801760681351531,4.9281045751634,122
"Akt3",0.52796234772979,0.528,0.1424,0.116739001697703,0.095707368592958,1.05228758169935,86
"Aldh1a1",0.633004926108374,0.6289,0.3903,0.242536848417372,0.144060613149466,0.418300653594771,29
"Alpk1",0.54040404040404,0.5564,0.8514,0.444183652652137,0.184604498817364,0.326797385620915,33
"Alpk2",0.500744047619048,0.5105,0.0988,0.100238213494203,0.0957931647434799,1.7516339869281,96
"Alpk3",0.478333333333333,0.4938,0.0529,0.0830889555044625,0.0962225313738157,0.88235294117647,70
"Ambra1",0.552845528455285,0.553,2e-04,0.0633836634178153,0.0966919819268099,0.862745098039216,82
"Amd1",0.470679012345679,0.4161,0.0348,0.0981422868647988,0.129711986138169,0.555555555555556,54
"Anapc1",0.527485380116959,0.5246,0.5512,0.297234263625902,0.134279798644628,0.509803921568627,57
"Anapc10",0.455729166666667,0.42,3e-04,0.120981121006567,0.184604498817364,0.326797385620915,32
"Anapc16",0.438095238095238,0.4408,0.1934,0.170414369159487,0.148107546496256,0.398692810457516,42
"Angpt1",0.476744186046512,0.4755,1.223,0.551576407758375,0.133101033449625,0.522875816993464,43
"Ank",0.528993974132863,0.5215,0.1064,0.101529598634292,0.0933575403141089,2.17647058823529,108
"Ank2",0.506736663824264,0.5116,0.0978,0.0850949063239448,0.0732442869254383,7.26143790849673,142
"Ank3",0.562130325814536,0.5543,0.0077,0.0650922248567203,0.0949515247644974,1.93464052287582,95
"Ankhd1",0.439115646258503,0.4455,0.0209,0.071267206300162,0.0967267797557807,1.18954248366013,98
"Ankib1",0.569298245614035,0.5412,0.2273,0.167158120020205,0.123472168644194,0.601307189542484,57
"Ankrd1",0.419708994708995,0.4262,1.9516,0.803777167607148,0.0957076606586505,0.915032679738562,42
"Ankrd11",0.488888888888889,0.4621,0.1134,0.106277341347316,0.0965489260178,1.45751633986928,102
"Ankrd12",0.457936507936508,0.4756,1.104,0.49815909698664,0.120534994130928,0.620915032679739,63
"Ankrd17",0.479874390701162,0.5056,0.0696,0.0864850131209801,0.0917234433734436,2.45098039215686,127
"Ankrd23",0.568376068376068,0.5612,0.6091,0.330639053046731,0.151718047020041,0.38562091503268,39
"Ankrd28",0.43800539083558,0.434,4.3971,1.75610266097026,0.131836130855244,0.535947712418301,53
"Ankrd33b",0.583333333333333,0.5546,0.3322,0.214806933919217,0.135405790405951,0.496732026143791,53
"Ankrd44",0.395021645021645,0.4174,0.1541,0.122404621746889,0.0975746589480818,0.836601307189543,77
"Anks1",0.548484848484849,0.5694,0.0103,0.0883182676239761,0.128917434084353,0.562091503267974,55
"Ano1",0.538888888888889,0.5593,0.1601,0.138428568655656,0.118568567193405,0.633986928104575,60
"Ano4",0.31796875,0.3151,0.2552,0.165097476056431,0.104142878430188,0.745098039215686,64
"Ano6",0.610818713450292,0.6147,0.1391,0.12672016199482,0.112865927420088,0.673202614379085,57
"Antxr2",0.442105263157895,0.4497,0.2039,0.154421968596735,0.117591820036747,0.640522875816993,57
"Aopep",0.437978640793439,0.4496,0.118,0.101853021309668,0.0871235145469668,3.3202614379085,128
"Aox1",0.696428571428572,0.7131,1.3088,0.580301066897946,0.12720916284213,0.57516339869281,56
"Ap1g1",0.521857923497268,0.53,0.6522,0.318749052625573,0.108560053043458,0.705882352941177,61
"Ap2b1",0.653439153439153,0.6205,0.2283,0.172111933665591,0.130458293351913,0.549019607843137,63
"Ap3b1",0.470052083333333,0.5167,0,0.0826978618095102,0.126307200937059,0.581699346405229,64
"Apbb2",0.573887163561076,0.5851,0.1353,0.114816819113506,0.096889555059362,1.22222222222222,92
"Apc",0.480833333333333,0.4752,0.2164,0.144759062451035,0.0955833413835479,1.03267973856209,80
"Aplp2",0.462765957446808,0.4688,0.268,0.196878447359312,0.14525901526679,0.411764705882353,47
"App",0.514063492063492,0.503,0.2765,0.167500365171025,0.0954588910712118,1.00653594771242,75
"Appbp2",0.565217391304348,0.5555,1e-04,0.0951442701441226,0.14525901526679,0.411764705882353,46
"Appl2",0.810810810810811,0.8321,0.1867,0.19176593113315,0.184604498817364,0.326797385620915,37
"Aqr",0.508547008547009,0.5036,0.2516,0.216411500753403,0.184604498817364,0.326797385620915,39
"Arap2",0.593023255813953,0.5754,0.1265,0.152209559731588,0.159104734230046,0.366013071895425,43
"Arb2a",0.466836734693878,0.4753,0.1022,0.102186660027637,0.0967970920822102,1.35947712418301,98
