gene,condition
1110019D14Rik,F1_Aged
1500004A13Rik,F1_Aged
1500009L16Rik,F1_Aged
1600014C10Rik,F1_Aged
1700037F03Rik,F1_Aged
2210408I21Rik,F1_Aged
2310002L09Rik,F1_Aged
2310057M21Rik,F1_Aged
4921524J17Rik,F1_Aged
4930470G03Rik,F1_Aged
4930512H18Rik,F1_Aged
4932441J04Rik,F1_Aged
5330438D12Rik,F1_Aged
6430548M08Rik,F1_Aged
6720427I07Rik,F1_Aged
9630050E16Rik,F1_Aged
A330032B11Rik,F1_Aged
A430046D13Rik,F1_Aged
Aars1,F1_Aged
Aarsd1,F1_Aged
Abcc1,F1_Aged
Abcc5,F1_Aged
Abcf3,F1_Aged
Abhd12,F1_Aged
Abi2,F1_Aged
Abtb2,F1_Aged
Acacb,F1_Aged
Acin1,F1_Aged
Acot13,F1_Aged
Actr1a,F1_Aged
Adamts6,F1_Aged
Adamtsl4,F1_Aged
Adcy6,F1_Aged
Adcy9,F1_Aged
Adk,F1_Aged
Aebp2,F1_Aged
Ahcyl2,F1_Aged
Ahdc1,F1_Aged
Aifm2,F1_Aged
Ak3,F1_Aged
Ak6,F1_Aged
Akap11,F1_Aged
Akirin2,F1_Aged
Akr1a1,F1_Aged
Akr1b10,F1_Aged
Akt3,F1_Aged
Aldh6a1,F1_Aged
Alkbh1,F1_Aged
Alpk3,F1_Aged
Ambra1,F1_Aged
Ank2,F1_Aged
Ankmy2,F1_Aged
Ankrd11,F1_Aged
Ankrd28,F1_Aged
Ankrd33b,F1_Aged
Ano6,F1_Aged
Antxr2,F1_Aged
Anxa11,F1_Aged
Ap4b1,F1_Aged
Aplp2,F1_Aged
Arfip1,F1_Aged
Arhgap32,F1_Aged
Arhgef10,F1_Aged
Arid2,F1_Aged
Ark2n,F1_Aged
Arl5a,F1_Aged
Arpc3,F1_Aged
Ate1,F1_Aged
Atf3,F1_Aged
Atg3,F1_Aged
Atg7,F1_Aged
Atl2,F1_Aged
Atp1a1,F1_Aged
Atp2c1,F1_Aged
Atp6v1d,F1_Aged
Atp6v1e1,F1_Aged
Atpaf2,F1_Aged
Atxn2l,F1_Aged
Atxn7l1,F1_Aged
B3galnt2,F1_Aged
B430010I23Rik,F1_Aged
Bace1,F1_Aged
Bag3,F1_Aged
Baz2a,F1_Aged
Bbof1,F1_Aged
Bbs2,F1_Aged
Bbs7,F1_Aged
Bclaf1,F1_Aged
Bcs1l,F1_Aged
Bdh1,F1_Aged
Bhlhe40,F1_Aged
Bltp2,F1_Aged
Bmal1,F1_Aged
Bmpr2,F1_Aged
Bmt2,F1_Aged
Brd3,F1_Aged
Brix1,F1_Aged
Cabcoco1,F1_Aged
Cacul1,F1_Aged
Calcoco1,F1_Aged
Calm2,F1_Aged
Calu,F1_Aged
Casq2,F1_Aged
Cav1,F1_Aged
Cav3,F1_Aged
Cbfb,F1_Aged
Cbl,F1_Aged
Cc2d2a,F1_Aged
Ccar1,F1_Aged
Ccdc146,F1_Aged
Ccdc159,F1_Aged
Ccdc191,F1_Aged
Ccdc28a,F1_Aged
Ccdc47,F1_Aged
Ccdc69,F1_Aged
Ccdc88a,F1_Aged
Ccnk,F1_Aged
Cct4,F1_Aged
Cd36,F1_Aged
Cd46,F1_Aged
Cdc123,F1_Aged
Cdc14b,F1_Aged
Cdc42se2,F1_Aged
Cdh2,F1_Aged
Cdk5rap2,F1_Aged
Cdkl3,F1_Aged
Cecr2,F1_Aged
Cemip2,F1_Aged
Cenpc1,F1_Aged
Cenpv,F1_Aged
Cep135,F1_Aged
Cep295,F1_Aged
Cep350,F1_Aged
Cep70,F1_Aged
Cert1,F1_Aged
Cfap61,F1_Aged
Chchd3,F1_Aged
Chchd6,F1_Aged
Chd7,F1_Aged
Cir1,F1_Aged
Clcn7,F1_Aged
Clock,F1_Aged
Clptm1,F1_Aged
Cmss1,F1_Aged
Cmtm4,F1_Aged
Cnep1r1,F1_Aged
Cnot6,F1_Aged
Cnot7,F1_Aged
Col3a1,F1_Aged
Copg2,F1_Aged
Cops2,F1_Aged
Cops5,F1_Aged
Cops8,F1_Aged
Coq10b,F1_Aged
Coq7,F1_Aged
Cox10,F1_Aged
Cox11,F1_Aged
Cox7a2l,F1_Aged
Cpd,F1_Aged
Cpne8,F1_Aged
Cpsf7,F1_Aged
Crebbp,F1_Aged
Cript,F1_Aged
Cry1,F1_Aged
Cs,F1_Aged
Csnk1g3,F1_Aged
Cstf3,F1_Aged
Cstpp1,F1_Aged
Ctr9,F1_Aged
Ctsh,F1_Aged
Cul4a,F1_Aged
Cul9,F1_Aged
Cxadr,F1_Aged
Cyp27a1,F1_Aged
Cyp2u1,F1_Aged
D530033B14Rik,F1_Aged
D830013O20Rik,F1_Aged
Dach1,F1_Aged
Dbt,F1_Aged
Dcaf10,F1_Aged
Dcbld1,F1_Aged
Ddhd2,F1_Aged
Ddr2,F1_Aged
Ddx50,F1_Aged
Decr1,F1_Aged
Dennd4a,F1_Aged
Dennd5b,F1_Aged
Dgcr2,F1_Aged
Dgcr8,F1_Aged
Dhps,F1_Aged
Dicer1,F1_Aged
Dlc1,F1_Aged
Dld,F1_Aged
Dnajb14,F1_Aged
Dnajc21,F1_Aged
Dnajc25,F1_Aged
Dnajc5,F1_Aged
Dock1,F1_Aged
Dpf3,F1_Aged
Drc3,F1_Aged
Drg1,F1_Aged
Dsc2,F1_Aged
Dtwd1,F1_Aged
Dtwd2,F1_Aged
Dusp1,F1_Aged
E130102H24Rik,F1_Aged
Ecd,F1_Aged
Ece1,F1_Aged
Echdc2,F1_Aged
Eci2,F1_Aged
Eed,F1_Aged
Ehmt1,F1_Aged
Eif2ak3,F1_Aged
Eif2d,F1_Aged
Eif4g2,F1_Aged
Ell,F1_Aged
Elmo1,F1_Aged
Elp1,F1_Aged
Elp4,F1_Aged
Eml1,F1_Aged
Eml4,F1_Aged
Enpp1,F1_Aged
Entpd6,F1_Aged
Epb41l5,F1_Aged
Ercc6,F1_Aged
Ero1a,F1_Aged
Erp44,F1_Aged
Esd,F1_Aged
Esrrb,F1_Aged
Etf1,F1_Aged
Etl4,F1_Aged
Etv5,F1_Aged
Exoc2,F1_Aged
Exosc10,F1_Aged
Extl3,F1_Aged
Ezh1,F1_Aged
Ezh2,F1_Aged
Fam118b,F1_Aged
Fam149b,F1_Aged
Fam193b,F1_Aged
Fam204a,F1_Aged
Fam228b,F1_Aged
Fbn1,F1_Aged
Fbxl2,F1_Aged
Fbxl20,F1_Aged
Fbxo10,F1_Aged
Fbxo3,F1_Aged
Fbxo30,F1_Aged
Fbxo38,F1_Aged
Fbxo9,F1_Aged
Fdx1,F1_Aged
Fhip1a,F1_Aged
Fig4,F1_Aged
Fign,F1_Aged
Flrt2,F1_Aged
Fmo5,F1_Aged
Fndc5,F1_Aged
Fnip1,F1_Aged
Foxj2,F1_Aged
Frmd4b,F1_Aged
Frmd6,F1_Aged
Fus,F1_Aged
Gabpb2,F1_Aged
Gars1,F1_Aged
Gcc2,F1_Aged
Gigyf2,F1_Aged
Gin1,F1_Aged
Gk5,F1_Aged
Glis3,F1_Aged
Glmn,F1_Aged
Glrx2,F1_Aged
Gm12519,F1_Aged
Gm15283,F1_Aged
Gm15543,F1_Aged
Gm15614,F1_Aged
Gm15787,F1_Aged
Gm15934,F1_Aged
Gm16193,F1_Aged
Gm16541,F1_Aged
Gm17036,F1_Aged
Gm19522,F1_Aged
Gm20468,F1_Aged
Gm26542,F1_Aged
Gm27003,F1_Aged
Gm28609,F1_Aged
Gm29642,F1_Aged
Gm32391,F1_Aged
Gm33934,F1_Aged
Gm36827,F1_Aged
Gm37677,F1_Aged
Gm43713,F1_Aged
Gm47071,F1_Aged
Gm48321,F1_Aged
Gm49164,F1_Aged
Gm49417,F1_Aged
Gm49741,F1_Aged
Gm5105,F1_Aged
Gm55759,F1_Aged
Gm56583,F1_Aged
Gm56880,F1_Aged
Gm57242,F1_Aged
Gm6225,F1_Aged
Gm7854,F1_Aged
Gnb1,F1_Aged
Gnl2,F1_Aged
Gnptab,F1_Aged
Golph3l,F1_Aged
Gpcpd1,F1_Aged
Gphn,F1_Aged
Gpn1,F1_Aged
Grk4,F1_Aged
Gss,F1_Aged
Gtdc1,F1_Aged
Gtf2a2,F1_Aged
Gtf2f2,F1_Aged
Gtf3c3,F1_Aged
Gtpbp2,F1_Aged
Gys1,F1_Aged
Hacd3,F1_Aged
Hace1,F1_Aged
Hdac4,F1_Aged
Hdgfl3,F1_Aged
Hectd2,F1_Aged
Herc3,F1_Aged
Hivep1,F1_Aged
Hmbox1,F1_Aged
Hmgn1,F1_Aged
Hnrnpk,F1_Aged
Hnrnpr,F1_Aged
Hnrnpul1,F1_Aged
Hsdl2,F1_Aged
Hsf1,F1_Aged
Hsf2,F1_Aged
Htra3,F1_Aged
Igf2bp2,F1_Aged
Ik,F1_Aged
Ikzf2,F1_Aged
Inpp4a,F1_Aged
Inpp5b,F1_Aged
Inpp5k,F1_Aged
Ints4,F1_Aged
Ip6k2,F1_Aged
Isca1,F1_Aged
Itga7,F1_Aged
Itprid2,F1_Aged
Jade1,F1_Aged
Kansl1,F1_Aged
Katna1,F1_Aged
Kcnj2,F1_Aged
Kctd18,F1_Aged
Kctd8,F1_Aged
Kdm1a,F1_Aged
Kdm5a,F1_Aged
Klf6,F1_Aged
Klhl12,F1_Aged
Klhl2,F1_Aged
Klhl9,F1_Aged
Kpna1,F1_Aged
Krba1,F1_Aged
Kxd1,F1_Aged
Lamc1,F1_Aged
Larp4,F1_Aged
Larp7,F1_Aged
Lcp1,F1_Aged
Lgals4,F1_Aged
Lig3,F1_Aged
Lims1,F1_Aged
Lncppara,F1_Aged
Lpgat1,F1_Aged
Lrrc20,F1_Aged
Lrrc8a,F1_Aged
Luc7l3,F1_Aged
Lyn,F1_Aged
Lyrm1,F1_Aged
Lzic,F1_Aged
Lztfl1,F1_Aged
Mad1l1,F1_Aged
Manea,F1_Aged
Map3k4,F1_Aged
Mapk9,F1_Aged
Mark4,F1_Aged
Mat2b,F1_Aged
Mbd2,F1_Aged
Mbip,F1_Aged
Mboat2,F1_Aged
Mbtd1,F1_Aged
Mdga2,F1_Aged
Mdh1,F1_Aged
Mdn1,F1_Aged
Meaf6,F1_Aged
Mef2c,F1_Aged
Memo1,F1_Aged
Mgst3,F1_Aged
Micall1,F1_Aged
Micu1,F1_Aged
Mier3,F1_Aged
Mindy2,F1_Aged
Mlxipl,F1_Aged
Mob1b,F1_Aged
Mocs2,F1_Aged
Mon2,F1_Aged
Mov10l1,F1_Aged
Mphosph9,F1_Aged
Mpi,F1_Aged
Mrap,F1_Aged
Mrpl33,F1_Aged
Mrpl45,F1_Aged
Mrpl47,F1_Aged
Mrps28,F1_Aged
Mrps31,F1_Aged
Mrps5,F1_Aged
Msra,F1_Aged
Msrb1,F1_Aged
Mtarc2,F1_Aged
Mtch2,F1_Aged
Mtdh,F1_Aged
Mtg2,F1_Aged
Mtx3,F1_Aged
Mvp,F1_Aged
Myh14,F1_Aged
Myl12a,F1_Aged
Myom2,F1_Aged
Mypn,F1_Aged
Naa15,F1_Aged
Naca,F1_Aged
Nae1,F1_Aged
Nap1l1,F1_Aged
Napg,F1_Aged
Naxd,F1_Aged
Ncbp1,F1_Aged
Ndel1,F1_Aged
Ndufb8,F1_Aged
