gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
1110002L01Rik,0.9709,2.9237557819651096e-44,0.9456,1.1477561555008799e-35,above,above,consistent_above
1500002F19Rik,0.6247,4.71482804937644e-5,0.5988,0.00816407022643431,above,above,consistent_above
1600020E01Rik,0.2958,1.6386573825828199e-19,0.2796,4.47456879991241e-19,below,below,consistent_below
1700025G04Rik,0.545,4.0461078979122e-5,0.5652,2.54995315118426e-7,above,above,consistent_above
1700087I21Rik,0.0952,1.2579080679827099e-86,0.0972,1.4774028814535502e-61,below,below,consistent_below
1700109H08Rik,0.4042,7.47655932055737e-6,0.3927,0.00590415847846595,below,below,consistent_below
1700120C14Rik,0.7499,9.55212332447232e-17,0.7636,2.5685218643291604e-15,above,above,consistent_above
1700123M08Rik,0.6473,8.9846914967008e-6,0.6,0.0151037505709795,above,above,consistent_above
1810034E14Rik,0.6489,0.00264440091506259,0.6639,0.00752122676406134,above,above,consistent_above
1810037I17Rik,0.1141,4.2701011883389296e-26,0.1319,7.417094276929449e-23,below,below,consistent_below
2010001K21Rik,0.9344,6.01245984176685e-16,0.9782,1.41495189176111e-35,above,above,consistent_above
2010109A12Rik,0.3913,0.0532848678268111,0.3621,0.0495305824059252,below,below,consistent_below
2310014F06Rik,0.3689,3.2029403419469897e-16,0.3658,6.421852378726089e-16,below,below,consistent_below
2310016D03Rik,0.6956,4.94265202127812e-7,0.705,0.00226786645595495,above,above,consistent_above
2310069G16Rik,0.2518,2.1728168730663797e-11,0.2271,6.97423459275897e-10,below,below,consistent_below
2500002B13Rik,0.6312,5.59237996257322e-6,0.5917,0.0322930531210485,above,above,consistent_above
2610005L07Rik,0.737,3.0060030670210997e-13,0.7492,2.0760566819226697e-11,above,above,consistent_above
2610008E11Rik,0.776,5.557524377024209e-40,0.7498,3.99573875549212e-29,above,above,consistent_above
2610035D17Rik,0.969,5.70788838165294e-88,0.9669,1.0241965712012699e-106,above,above,consistent_above
2610037D02Rik,0.4429,4.71482804937644e-5,0.4559,0.00336406971586994,below,below,consistent_below
2700049A03Rik,0.5603,0.0284044868223802,0.6002,6.36993297483592e-5,above,above,consistent_above
2700097O09Rik,0.6065,4.9700928329903694e-11,0.6244,1.48191141539238e-11,above,above,consistent_above
2810030D12Rik,0.5927,0.00656719396750127,0.6343,0.0244938854631305,above,above,consistent_above
2810449D17Rik,0.7637,3.99967042489211e-12,0.779,9.51694292086817e-13,above,above,consistent_above
2900089D17Rik,0.7271,3.60335133103475e-5,0.7283,1.0196184844741e-4,above,above,consistent_above
3222401L13Rik,0.4061,3.83548801105562e-10,0.4011,7.94572190481207e-8,below,below,consistent_below
3300002I08Rik,0.3859,0.00133300832997931,0.2951,2.59388346794303e-7,below,below,consistent_below
3425401B19Rik,0.6135,2.40066442519444e-7,0.5748,0.029603394798239,above,above,consistent_above
4631405J19Rik,0.2785,1.08838342454223e-6,0.3409,0.00107028774129341,below,below,consistent_below
4732440D04Rik,0.3148,1.14266747633858e-108,0.3507,2.1243672431384e-86,below,below,consistent_below
4732471J01Rik,0.3446,2.3567277787516e-8,0.3307,4.32423480650193e-10,below,below,consistent_below
4833420G17Rik,0.894,1.56036907488315e-39,0.8701,2.16047296913769e-27,above,above,consistent_above
4930402D18Rik,0.8746,1.08311927509538e-33,0.8493,3.13474799222386e-16,above,above,consistent_above
4930412C18Rik,0.9542,5.261403330985989e-26,0.9481,1.28148317142944e-19,above,above,consistent_above
4930473A02Rik,0.3496,0.00529625892790175,0.3449,9.68882517991543e-5,below,below,consistent_below
4930481A15Rik,0.9388,1.72426408829518e-102,0.8921,5.790925614293801e-59,above,above,consistent_above
4930506C21Rik,0.4182,1.0297889395831e-4,0.4351,1.9682021221352e-4,below,below,consistent_below
4930517O19Rik,0.6374,0.00134056873394024,0.6674,4.73010565665542e-5,above,above,consistent_above
4930522O17Rik,0.9682,4.90203089477005e-26,0.9891,1.31253573115575e-21,above,above,consistent_above
4930523C07Rik,0.4206,0.0237579855050491,0.3235,5.71713392324354e-6,below,below,consistent_below
4930544I03Rik,0.8513,2.04129305313355e-7,0.9094,2.40143944438989e-7,above,above,consistent_above
4933431K23Rik,0.4448,0.00133410707138177,0.4494,0.0420173470084206,below,below,consistent_below
4933434E20Rik,0.5917,0.00126185020502666,0.5624,0.0283204887133899,above,above,consistent_above
5031425E22Rik,0.524,0.019612053150632,0.5221,0.0782308666279505,above,above,consistent_above
5430402O13Rik,0.3746,2.027463897406e-4,0.3983,2.3764253759898e-4,below,below,consistent_below
5430431A17Rik,0.5377,0.00233502423980628,0.5423,0.0100548077232374,above,above,consistent_above
5830417I10Rik,0.9352,9.79523118905176e-82,0.9271,1.7234149170142401e-93,above,above,consistent_above
6030443J06Rik,0.7277,5.46993173909677e-22,0.715,2.03655996811157e-18,above,above,consistent_above
6530409C15Rik,0.3969,0.0795548989587081,0.4316,0.0175260514966509,below,below,consistent_below
6820431F20Rik,0.7359,1.78599330821485e-29,0.7393,5.024085116058349e-31,above,above,consistent_above
9230114K14Rik,0.3105,5.3193545380498e-6,0.3513,0.0342021385718834,below,below,consistent_below
9330111N05Rik,0.6157,0.0269134240984444,0.6912,3.8612052323587e-4,above,above,consistent_above
9330158H04Rik,0.303,1.57433169117173e-7,0.2958,3.53527463734194e-7,below,below,consistent_below
9330159M07Rik,0.0757,0,0.0786,0,below,below,consistent_below
9330162G02Rik,0.2895,3.0126459250256e-14,0.3055,1.82774027924854e-13,below,below,consistent_below
9430037G07Rik,0.177,3.3922954210030296e-35,0.1409,2.00996378795474e-31,below,below,consistent_below
9530026P05Rik,0.643,1.1412569417340899e-60,0.635,1.6270541675917e-49,above,above,consistent_above
9930024M15Rik,0.5938,0.0420539137387461,0.6878,1.11299782293567e-7,above,above,consistent_above
A330102I10Rik,0.1849,3.40864093076773e-41,0.1909,1.74167342395319e-48,below,below,consistent_below
A730017L22Rik,0.917,7.473518616292958e-43,0.9433,7.056183142241739e-40,above,above,consistent_above
A730056A06Rik,0.2278,5.847201900583461e-10,0.1564,6.261899636624069e-11,below,below,consistent_below
A930002C04Rik,0.9518,6.90365833863158e-36,0.9669,8.72207538557489e-33,above,above,consistent_above
A930005H10Rik,0.3631,1.31927148037182e-7,0.4043,0.00676384470713998,below,below,consistent_below
A930015D03Rik,0.7539,1.8186965199862998e-17,0.7393,2.3608046981834403e-15,above,above,consistent_above
A930029G22Rik,0.6694,6.50312114769723e-5,0.6839,1.0367228556899e-7,above,above,consistent_above
A930033H14Rik,0.6533,1.68089184727997e-6,0.6698,1.18101250535546e-8,above,above,consistent_above
A930037H05Rik,0.6116,0.00913433809217866,0.6009,0.00504479554044631,above,above,consistent_above
AA672651,0.3246,1.2421549969823e-8,0.3297,5.94655289587285e-8,below,below,consistent_below
AI839979,0.9739,2.5574126371735797e-55,0.9901,8.53047460343162e-48,above,above,consistent_above
AW011738,0.7745,4.5574176905291194e-18,0.7331,5.24176639861075e-6,above,above,consistent_above
AW146154,0.6441,1.27916840305982e-5,0.6465,1.40906835068161e-5,above,above,consistent_above
AW554918,0.5517,0.0138838659794207,0.5545,0.0693860254744562,above,above,consistent_above
Aaas,0.0229,3.08329932832156e-119,0.0212,5.943643811300009e-109,below,below,consistent_below
Aagab,0.3669,1.2778442865464e-4,0.3916,0.0201214880000421,below,below,consistent_below
Aamdc,0.3743,1.7332923076308e-7,0.355,1.06107959349402e-11,below,below,consistent_below
Abca8a,0.6906,4.37019859949926e-6,0.6243,1.393898094717e-4,above,above,consistent_above
Abca8b,0.7339,3.21397614901828e-10,0.6608,0.0188170347542421,above,above,consistent_above
Abcb4,0.4259,0.00139812251214949,0.3815,8.83056626169268e-7,below,below,consistent_below
Abcb9,0.6177,0.00540975080629388,0.6403,0.00271053681160835,above,above,consistent_above
Abcc4,0.6015,1.0511493788182e-4,0.6153,1.4587887593885e-4,above,above,consistent_above
Abcc8,0.3411,2.59096559444036e-12,0.3975,5.60817360578517e-6,below,below,consistent_below
Abcc9,0.408,5.18707644555963e-8,0.3935,4.61457465562325e-8,below,below,consistent_below
Abcd3,0.5787,5.03221623508636e-16,0.6092,6.82777658979772e-20,above,above,consistent_above
Abcg2,0.3918,0.0207908347107639,0.4032,0.0891643411343538,below,below,consistent_below
Abhd13,0.3375,6.68193457511588e-6,0.2929,9.13715372475224e-9,below,below,consistent_below
Abhd18,0.4593,4.4126732771657e-4,0.4788,0.0819354094470326,below,below,consistent_below
Abhd2,0.172,3.0901633555995602e-52,0.2467,1.0768637092458097e-43,below,below,consistent_below
Abhd6,0.2716,7.3177259161957996e-31,0.2832,2.8593415193326895e-20,below,below,consistent_below
Abi1,0.5625,3.11702734357885e-5,0.5582,0.00214580688472913,above,above,consistent_above
Abi3bp,0.6385,0.0127174528284939,0.7333,1.921778817658e-4,above,above,consistent_above
Ablim1,0.4838,1.38626525732296e-5,0.4876,4.651441507234e-4,below,below,consistent_below
Abra,0.3936,5.53692218301477e-34,0.3889,7.12099630725338e-33,below,below,consistent_below
Abraxas1,0.641,7.7066768237534e-4,0.6524,0.0062877688520375,above,above,consistent_above
Acaa2,0.4115,2.69196181898861e-5,0.3937,2.24885640192157e-5,below,below,consistent_below
Acad11,0.6237,1.18014562450384e-9,0.6504,2.5711682388469596e-11,above,above,consistent_above
Acad12,0.3353,4.26462844252249e-9,0.2617,1.90467045794864e-16,below,below,consistent_below
Acadl,0.4564,2.9548658967504e-4,0.4761,0.0993459120952346,below,below,consistent_below
Acadm,0.5344,0.00138311756501058,0.5413,2.9725758988225e-4,above,above,consistent_above
Acat1,0.5315,0.00223812955124941,0.5624,1.30074759924758e-6,above,above,consistent_above
Acbd6,0.4328,0.00433743124049283,0.4408,0.0154021989628563,below,below,consistent_below
Aco2,0.4774,0.0520255959590892,0.4723,0.00448534864414148,below,below,consistent_below
Acot11,0.4635,0.0245464977221598,0.448,0.0102335858944236,below,below,consistent_below
Acox1,0.5369,5.83572138264403e-6,0.5319,0.0186346267369083,above,above,consistent_above
Acsl6,0.3433,1.83998620119863e-5,0.1971,4.28976801515167e-10,below,below,consistent_below
Acsm5,0.124,1.99853654468279e-137,0.0926,2.50404473103129e-90,below,below,consistent_below
Acss1,0.563,2.4607279168881502e-17,0.5811,1.16733916572178e-24,above,above,consistent_above
Acss2,0.5968,1.3358419690364e-4,0.6007,2.6959728824393e-4,above,above,consistent_above
Acss3,0.2003,1.733897762872e-11,0.2983,1.9757630532932e-4,below,below,consistent_below
Actc1,0.3987,6.661438274293019e-40,0.4014,4.13875914002685e-33,below,below,consistent_below
Actc1dt,0.4255,7.06136020903504e-8,0.4409,2.42867672151674e-5,below,below,consistent_below
Actg1,0.1633,1.56331700593642e-45,0.1458,1.14248245611834e-33,below,below,consistent_below
Actl6a,0.6436,3.0263585825697e-4,0.713,8.311535265376549e-11,above,above,consistent_above
Actn1,0.636,3.11844122071842e-5,0.658,1.6992013504513e-5,above,above,consistent_above
Actn2,0.509,0.0535616793940385,0.5211,3.3412568181704e-5,above,above,consistent_above
Acyp2,0.4333,8.189142135281661e-47,0.4353,4.42775596304961e-40,below,below,consistent_below
