gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
0610043K17Rik,0.4855,0.844559818450438,0.5948,0.0106007424960234
1110038F14Rik,0.4872,1,0.4453,0.0684906302932995
1110059E24Rik,0.4351,1,0.4152,0.00487824122188277
1810024B03Rik,0.6005,0.118798923322697,0.6354,0.0712350882105315
1810062O18Rik,0.5409,0.417712394823782,0.5676,0.0504008857754792
2310015A10Rik,0.5272,0.849187643138435,0.5867,0.00344248039505038
2310039L15Rik,0.5598,0.127222424720698,0.5844,3.4669029317587e-4
2810013P06Rik,0.5395,0.179111581187247,0.5626,0.0621384212154324
3110056K07Rik,0.4698,0.403314182633935,0.4311,0.00581242226627395
3110082I17Rik,0.518,0.623733077675734,0.4577,0.0798413153614732
4930432B10Rik,0.547,0.401275359431419,0.5943,0.0126273856002333
4930551O13Rik,0.5894,0.207550126580519,0.6391,0.0012746374128538
4930558N01Rik,0.465,0.673087621600367,0.5468,0.0959980875133968
4931414P19Rik,0.4361,0.339992061903156,0.4068,0.00309211360765868
5830418P13Rik,0.5192,1,0.6739,1.42117919096623e-5
A630072M18Rik,0.5718,0.183178279693281,0.5649,0.00309743588541798
AU040320,0.5268,0.118305205680917,0.5686,0.00180938906949921
Aasdhppt,0.5613,0.216084426327575,0.635,2.4912451144019e-4
Abca1,0.5269,0.155384507370509,0.5445,0.0749517543651804
Abca3,0.4342,0.138767524260183,0.4063,0.0289052971232065
Abca5,0.4603,0.622497503733226,0.4198,0.0678022336249789
Ablim2,0.4996,1,0.4571,0.0561535477712713
Ablim3,0.4273,0.195087333504277,0.248,9.69550902933344e-8
Abraxas2,0.4608,0.130419870539331,0.372,1.22190148773114e-6
Acaca,0.4664,0.120343370552509,0.4499,0.0299296941029339
Acad10,0.494,1,0.4593,0.0598548025609239
Acadsb,0.4496,0.109468825956499,0.4337,0.00123979242432336
Adat1,0.4663,0.622497503733226,0.4065,0.00887758891244305
Agl,0.5001,1,0.5318,3.8142807716161e-4
Ago1,0.483,0.614351245212833,0.5975,0.051277396574666
Ago3,0.4903,1,0.4773,0.0609516518107432
Ahi1,0.5309,0.514943839239363,0.5863,0.0819354094470326
Akap10,0.4774,0.53889886747287,0.4755,0.09493486290274
Akap7,0.4799,1,0.4364,0.036961300301326
Alas1,0.5463,0.116746807098986,0.5642,0.00889099835390566
Aldh7a1,0.4826,0.855048826116413,0.4188,0.0197869732589869
Alkbh3,0.5141,0.293982157552352,0.5302,0.0928975808399313
Ammecr1l,0.4652,0.160709462710101,0.4568,0.0735023165503567
Anapc16,0.5126,0.326945726311437,0.4575,0.0400279629601082
Ank,0.4995,0.81984859498382,0.4759,0.0236657752737455
Ankrd13c,0.476,0.418868777486647,0.5445,0.0736503375754606
Ankrd9,0.5574,0.163000500809856,0.5902,9.7109764428014e-4
Anp32b,0.4337,0.30144854756271,0.4187,0.058890422979994
Anxa6,0.5181,0.411494794338029,0.5632,0.0024248869705473
Ap1g1,0.5168,0.323585846701437,0.5439,7.7843815928797e-4
Ap2a1,0.4921,0.869503996922707,0.3676,0.00120283632139071
Ap3b1,0.5085,0.72398583824525,0.5372,0.0578744672820864
Apba3,0.4439,0.574242422091814,0.4325,0.0708302637213001
App,0.5471,0.102941654386619,0.5765,0.00481245701134182
Arfrp1,0.5899,0.210347018141692,0.5618,0.0190360402024349
Arglu1,0.492,1,0.4233,5.3849825340124e-4
Arhgap42,0.5052,0.678949173519082,0.5622,4.63421807181081e-5
Arid4a,0.5503,0.125520242024149,0.6192,0.00771640345180369
Armc8,0.4929,0.592651110271621,0.5476,0.0870621578584289
Armh3,0.5058,0.492719498524787,0.5281,0.0183354612502907
Arpp19,0.5227,1,0.4502,0.0768379149674927
Arv1,0.5453,0.492772763815809,0.5573,0.0466090487891181
Asah1,0.4372,0.125678165957849,0.4006,5.1025830075165e-4
Asb4,0.4666,0.757108170254492,0.406,0.027053368081619
Asb5,0.528,0.385773466847119,0.5726,0.0434083602623347
Ascc3,0.4714,0.100215640996718,0.4314,9.91501248822933e-5
Atg2b,0.536,0.628584124085727,0.5493,0.0891094577502331
Atg9a,0.4559,0.213305718867463,0.441,0.0329360301805271
Atosb,0.46,0.25246097899122,0.4124,0.0621384212154324
Atp2b1,0.476,0.727178634937976,0.5394,0.0289052971232065
Atp5mf,0.5274,0.448278665921694,0.5833,0.00127686200522876
Atp5pf,0.5227,0.192481631823763,0.5277,0.0577189763744199
Atp6v0d1,0.4912,0.575236933085378,0.4551,0.044355990933205
Atp6v1a,0.4862,0.549600287587281,0.4499,0.0284681232601279
Atxn2,0.5192,0.100215640996718,0.5197,0.0484756127281162
B3galt1,0.5396,0.369741973895954,0.5675,0.0995374276270527
B3gat3,0.5111,1,0.4073,0.0044518010054319
B3gntl1,0.5495,0.144924202466899,0.6069,0.00153904804429409
BC004004,0.4384,0.14209975815673,0.4319,0.0505398346576318
Bak1,0.4499,0.294293840846872,0.3754,0.0101373184922289
Bcap29,0.4674,0.225941268878557,0.4415,0.0607081095346749
Bend7,0.4606,0.162360053227968,0.4444,0.0799809563284575
Bhlhe41,0.5811,0.185803517790792,0.6128,0.00565343458790648
Birc2,0.5061,1,0.4519,0.0188407821279447
Bmper,0.4587,0.415402120756875,0.5992,0.0355170346582591
Bnip3,0.5017,0.978080762826037,0.539,2.0811468999979e-4
Bnip3l,0.4288,0.277488749263564,0.4184,0.0416801350207884
Bphl,0.4973,0.932944084441064,0.4054,0.0039069523769947
Brd1,0.4725,0.369741973895954,0.4494,0.0154432724882255
Brd8,0.5371,0.387773751047479,0.5516,0.0815262025021895
Btrc,0.4702,0.824200623303897,0.4195,2.3798536454972e-4
C87436,0.4841,0.517819129820058,0.5525,0.0724596193410244
C920021L13Rik,0.4611,0.220709793368916,0.4435,0.0851145635449959
Cables1,0.4244,0.179111581187247,0.365,0.00471256380231834
Cadm1,0.5107,0.74240375102373,0.6268,0.0590727872709382
Calr,0.455,0.259369205827173,0.4361,0.0900228112087963
Camk2g,0.523,0.220709793368916,0.5603,0.0459276254378463
Camsap1,0.5261,0.265633659554182,0.5706,0.0260678764398305
Canx,0.4642,0.166301017993873,0.4469,0.00472840479961383
Capn15,0.5144,0.828728133443305,0.4188,0.0119787037052836
Capn7,0.4845,0.533685160538616,0.4314,1.3158912627401e-4
Capns1,0.4899,0.807801084224123,0.5916,0.0157275477699199
Carmn,0.4741,0.404942970034741,0.4062,5.796787466059571e-9
Carnmt1,0.5246,0.139093511071463,0.5336,0.0610362114021843
Cars1,0.4396,0.134774648716437,0.4284,0.0451243220369772
Cblb,0.4877,0.490456828492412,0.4658,0.0561261891085973
Ccdc117,0.5514,0.285677202363667,0.5747,0.0882559553909578
Ccdc59,0.5969,0.137823642878567,0.6564,2.2539647207053e-4
Ccdc80,0.58,0.514943839239363,0.5875,0.0680410323478465
Ccnh,0.55,0.589846374769832,0.6602,1.08342376420964e-7
Ccpg1,0.4861,0.448785316277,0.456,0.0917378425942618
Cct6a,0.4634,0.201915152598018,0.4388,0.0184117955983708
Cdc27,0.4661,0.285752252059698,0.4601,0.0523249313938194
Cdc42ep3,0.5364,0.194987564053126,0.5777,0.0484756127281162
Cdc73,0.5265,0.123415081280926,0.5452,0.0037536628136195
Cdin1,0.4835,0.741962702735886,0.4332,0.0123080114931655
Cdk13,0.4903,1,0.5189,0.0543887907920663
Cdk14,0.4669,0.344682467115153,0.3949,6.03556939230295e-5
Cdkal1,0.4826,0.148486757572944,0.478,0.0805369207944961
Cdkl1,0.5744,0.102851130350858,0.6739,0.00303152207529857
Cdv3,0.5169,0.607192578025447,0.5597,0.00177806678007314
Cep128,0.4318,0.138175989137014,0.3854,0.0104832385233216
Cep20,0.5341,0.459166231734804,0.5497,0.0644535083950009
Cep290,0.5506,0.585902573993354,0.5903,0.0259235380522157
Cep57l1,0.5334,0.248765966101999,0.5716,0.0134268534813323
Cers5,0.5046,0.942421976466274,0.4379,0.0655123983552516
Chd2,0.49,0.245640274479002,0.477,0.0756893027242685
Chtop,0.4655,0.195295181422566,0.4556,0.0870868880391203
Ciart,0.4595,0.151519262488302,0.4048,0.0390254944831357
Clasp2,0.4822,0.146617289481213,0.4685,0.00175693603364134
Clcn6,0.5308,0.611218548532325,0.5886,0.0388829084228881
Clec16a,0.4658,0.205274729625368,0.4401,0.0203853872787233
Clint1,0.5166,0.338926017714108,0.5288,0.0778108175270176
Clk1,0.5077,0.371615295608818,0.5272,0.0644034574829732
Cnot9,0.4807,0.927926087085863,0.415,0.0210666189385589
Col5a2,0.4901,1,0.6248,0.0563558961121678
Col8a1,0.5383,0.47428096222759,0.625,0.00710888979392666
Cops4,0.5435,0.653535793507635,0.6193,0.014728527769382
Cpox,0.5603,0.495648437246586,0.6186,0.0055984709082425
Cpped1,0.5147,0.230980370267136,0.5446,1.5569400966856e-4
Creb3l2,0.5097,1,0.5754,9.9134414193662e-4
Crem,0.4662,0.138896227240879,0.4414,0.00835675868525352
Crhr2,0.5411,0.623733077675734,0.5775,0.00254480628085257
Crlf3,0.5735,0.130816922199918,0.6045,0.0142168067900931
Crot,0.5739,0.256516826319161,0.5878,0.0161094540467194
Cryzl1,0.5441,0.174335215037261,0.5688,0.0495305824059252
Csnk1a1,0.4765,0.41431588213383,0.4693,0.00688986114027767
Ctsb,0.456,0.32599719246409,0.4202,0.0871457171204743
Ctsd,0.5589,0.163220320350651,0.6471,2.113077325203e-4
Cul1,0.5192,0.115755861121129,0.5399,0.00751579611113313
Cycs,0.4412,0.138896227240879,0.4433,0.0339188146693836
Cyp39a1,0.5059,0.871802417090827,0.6285,0.0102466326362537
Cyp4f13,0.4849,0.946865825558797,0.3976,5.66303503622045e-6
D330041H03Rik,0.4396,0.305677570084584,0.4228,0.0538494243734667
D3Ertd751e,0.5538,0.225792677093741,0.6048,0.0032228257441862802
Daam1,0.4922,0.68391923093257,0.516,0.0441753305208609
Dab2ip,0.5473,1,0.5748,0.048871170150169
Dap3,0.5224,0.764560523522362,0.42,0.0186195869082781
Dcaf11,0.4687,0.257251937393963,0.4259,0.0373325433157909
Dcbld2,0.4626,0.155492706089212,0.4245,0.0323835907886702
Dcun1d1,0.5447,0.132322890208703,0.5331,0.0847902091306914
Ddit3,0.5253,0.170856909064208,0.5522,0.0252089945204975
Ddx55,0.4132,0.157360746205076,0.3602,0.00491663008626089
