gene,condition
5430431A17Rik,F1_Aged
AW554918,F1_Aged
Abca8a,F1_Aged
Abi1,F1_Aged
Ablim1,F1_Aged
Adam22,F1_Aged
Adk,F1_Aged
Adra1a,F1_Aged
Ankrd1,F1_Aged
Ankrd23,F1_Aged
Aopep,F1_Aged
Arhgap29,F1_Aged
Asap1,F1_Aged
Atp8a1,F1_Aged
Auts2,F1_Aged
Babam2,F1_Aged
Cacnb2,F1_Aged
Cav1,F1_Aged
Ccdc50,F1_Aged
Cd2ap,F1_Aged
Cdh13,F1_Aged
Cpeb3,F1_Aged
Cped1,F1_Aged
Cul5,F1_Aged
Cux1,F1_Aged
Dock4,F1_Aged
Eif4g3,F1_Aged
Eln,F1_Aged
Epb41l4a,F1_Aged
Etl4,F1_Aged
Ets1,F1_Aged
Fam222b,F1_Aged
Frmd4a,F1_Aged
Fsd1l,F1_Aged
Garem1,F1_Aged
Gda,F1_Aged
Gm20732,F1_Aged
Gm35041,F1_Aged
Heatr5a,F1_Aged
Hectd2os,F1_Aged
Hpcal1,F1_Aged
Itpr2,F1_Aged
Kdm7a,F1_Aged
Kif1b,F1_Aged
Klhl31,F1_Aged
Lrrc10,F1_Aged
Lrrfip2,F1_Aged
Ly6c1,F1_Aged
Man2a1,F1_Aged
Mapk1,F1_Aged
Mark3,F1_Aged
Mcu,F1_Aged
Mgat5,F1_Aged
Naca,F1_Aged
Nav3,F1_Aged
Nipbl,F1_Aged
Nr6a1,F1_Aged
Oxct1,F1_Aged
Palld,F1_Aged
Pam,F1_Aged
Pde4b,F1_Aged
Pds5a,F1_Aged
Pds5b,F1_Aged
Pecam1,F1_Aged
Phlpp1,F1_Aged
Picalm,F1_Aged
Plekhm2,F1_Aged
Ppfia1,F1_Aged
Ppp2r5c,F1_Aged
Ptprg,F1_Aged
Pygb,F1_Aged
Rab7,F1_Aged
Rapgef4,F1_Aged
Rasa1,F1_Aged
Rasgrf2,F1_Aged
Rbm20,F1_Aged
Rbm25,F1_Aged
Resf1,F1_Aged
Rhoq,F1_Aged
Rnf216,F1_Aged
Septin7,F1_Aged
Sgk3,F1_Aged
Slc25a13,F1_Aged
Slc25a4,F1_Aged
Slc35f5,F1_Aged
Slc4a4,F1_Aged
Smap1,F1_Aged
Smg6,F1_Aged
Snta1,F1_Aged
Socs2,F1_Aged
Sptan1,F1_Aged
Srgap2,F1_Aged
St3gal3,F1_Aged
Strn3,F1_Aged
Synpo2,F1_Aged
Tanc2,F1_Aged
Tgm2,F1_Aged
Tnnc1,F1_Aged
Tom1l2,F1_Aged
Tpm1,F1_Aged
Trim54,F1_Aged
Unc13b,F1_Aged
Vegfa,F1_Aged
Vmp1,F1_Aged
Yes1,F1_Aged
Yipf7,F1_Aged
Zdhhc14,F1_Aged
Zfp366,F1_Aged
Zfp445,F1_Aged
Abcc5,F1_Young
Ackr3,F1_Young
Acss1,F1_Young
Adgrl2,F1_Young
Adprhl1,F1_Young
Ank2,F1_Young
Ankrd44,F1_Young
Ano4,F1_Young
Appl1,F1_Young
Art1,F1_Young
Asb14,F1_Young
Atp2a2,F1_Young
Birc6,F1_Young
Bltp3b,F1_Young
Brwd1,F1_Young
Camkmt,F1_Young
Cdh2,F1_Young
Cnot2,F1_Young
Coro6,F1_Young
Cpne8,F1_Young
Dlat,F1_Young
Egfl7,F1_Young
Egln1,F1_Young
Etv6,F1_Young
Ext1,F1_Young
Fgf1,F1_Young
Fign,F1_Young
Fsd2,F1_Young
Fyn,F1_Young
Gja1,F1_Young
Glul,F1_Young
Gm20619,F1_Young
Gm43361,F1_Young
Grk5,F1_Young
Gys1,F1_Young
Hycc1,F1_Young
Igf1r,F1_Young
Igf2r,F1_Young
Il15ra,F1_Young
Kcnip2,F1_Young
Kiz,F1_Young
Larp4,F1_Young
Lhfpl6,F1_Young
Lncpint,F1_Young
Lpgat1,F1_Young
Lrtm1,F1_Young
Magi1,F1_Young
Man1a,F1_Young
Mat2a,F1_Young
Mbnl1,F1_Young
Mhrt,F1_Young
Mkln1,F1_Young
Mrtfb,F1_Young
Myo6,F1_Young
Nek7,F1_Young
Nt5dc1,F1_Young
Nudt4,F1_Young
Pcdh9,F1_Young
Phactr2,F1_Young
Phyhd1,F1_Young
Plpp1,F1_Young
Pnisr,F1_Young
Ppfibp1,F1_Young
Ptprb,F1_Young
Qki,F1_Young
Rab30,F1_Young
Ralgapa2,F1_Young
Rasa2,F1_Young
Sec24a,F1_Young
Sema5a,F1_Young
Slc38a2,F1_Young
Smad1,F1_Young
Smc6,F1_Young
St3gal6,F1_Young
Stag1,F1_Young
Tab2,F1_Young
Tacc2,F1_Young
Tbc1d4,F1_Young
Tcf4,F1_Young
Tcf7l1,F1_Young
Tecrl,F1_Young
Tlr4,F1_Young
Tpp2,F1_Young
Trabd2b,F1_Young
Trip11,F1_Young
Tut7,F1_Young
Ubc,F1_Young
Ube2r2,F1_Young
Usp28,F1_Young
