gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
5430431A17Rik,0.627,0.092030062135199,0.5576,0.641829566681747
AW554918,0.3924,0.0947964426291788,0.4671,0.561706574053358
Abca8a,0.6771,0.00910283436609585,0.6464,0.14331663219332
Abi1,0.6311,0.00464819378073222,0.5826,0.542478796163595
Ablim1,0.4481,0.0806410235942196,0.4662,0.372285136167838
Adam22,0.7619,0.00998655570555945,0.7464,0.161502359343208
Adk,0.4102,0.00223240128894036,0.4769,0.65502674098367
Adra1a,0.3179,0.0028550495066224,0.3764,0.158160784074202
Ankrd1,0.2262,1.0898183528696e-4,0.3778,0.259066336932175
Ankrd23,0.673,0.0682342144681015,0.6199,0.520977787849421
Aopep,0.4277,0.0821489992671336,0.4565,0.446835660605037
Arhgap29,0.6049,0.091644053959418,0.661,0.129656962237251
Asap1,0.3994,0.00396862721805346,0.5023,1
Atp8a1,0.6015,0.0875180749066362,0.5798,0.448664466115835
Auts2,0.7011,0.00113990466314459,0.5806,0.33960130087956
Babam2,0.5767,0.0344049366689814,0.5816,0.113524212299877
Cacnb2,0.5534,0.0847293673475434,0.4901,0.98549029048146
Cav1,0.4023,0.0751841579749059,0.4871,1
Ccdc50,0.3314,0.0590056274144459,0.3642,0.372285136167838
Cd2ap,0.6194,0.0374704983459341,0.6101,0.262102423452585
Cdh13,0.5571,0.0653582195840317,0.5467,0.144222064611118
Cpeb3,0.59,0.00255559543541742,0.5108,1
Cped1,0.4324,0.0559894882205985,0.4186,0.18747119953821
Cul5,0.3617,0.0386246613838351,0.4638,0.950731460263404
Cux1,0.6238,0.0350163098223684,0.4874,1
Dock4,0.5772,0.00648327386123094,0.4845,1
Eif4g3,0.4037,0.081214383620677,0.4642,0.938721064772266
Eln,0.7832,2.8385253887653e-4,0.5533,0.853034912683771
Epb41l4a,0.2826,0.00415356926451785,0.3585,0.167120520125889
Etl4,0.5715,0.091644053959418,0.5473,0.582579267210542
Ets1,0.3608,0.0369253908982134,0.4247,0.292751081155099
Fam222b,0.6539,0.00790197702553568,0.5394,0.736205981974682
Frmd4a,0.2487,0.00285537542415602,0.3893,0.62936347050268
Fsd1l,0.6487,0.0191897186376579,0.5178,0.828080371311085
Garem1,0.6358,0.092030062135199,0.6532,0.158160784074202
Gda,0.2654,0.00910283436609585,0.3795,0.242837049210501
Gm20732,0.6352,0.0406087340494757,0.522,1
Gm35041,0.3726,0.0559894882205985,0.3371,0.41395572907099
Heatr5a,0.2841,0.00247992916176483,0.4361,0.454277061030522
Hectd2os,0.6776,0.0778213843854767,0.6843,0.134950857155366
Hpcal1,0.6262,0.0924000230671259,0.525,1
Itpr2,0.3196,3.85685790272855e-5,0.3605,0.351283528066747
Kdm7a,0.36,0.0228055383472629,0.4965,1
Kif1b,0.3526,5.9320501648005e-5,0.4233,0.306075711835222
Klhl31,0.3342,0.0480952663737303,0.4841,1
Lrrc10,0.3288,0.0108246112581733,0.3927,0.532840618201834
Lrrfip2,0.6099,0.0177463193419785,0.5687,0.143390310268589
Ly6c1,0.3699,0.0708544669882304,0.3651,0.480258700175186
Man2a1,0.6592,0.0369253908982134,0.5801,0.435251002046362
Mapk1,0.2969,0.0203606305437288,0.5001,1
Mark3,0.6188,0.0518370147301487,0.4917,1
Mcu,0.3971,0.056871065187671,0.4245,0.380876363319251
Mgat5,0.30620000000000003,0.00615394447493722,0.3507,0.167120520125889
Naca,0.6115,0.0780969810428316,0.4264,0.471431900228326
Nav3,0.6445,0.0111383347879161,0.5014,1
Nipbl,0.5878,0.018157870204976,0.5149,0.962759363729616
Nr6a1,0.3834,0.0708544669882304,0.4778,0.903646441828058
Oxct1,0.6083,0.0290340769321195,0.5757,0.192940589565586
Palld,0.4196,0.0344505959021434,0.4771,0.589517493673247
Pam,0.3938,0.0102252388175512,0.427,0.152762588337559
Pde4b,0.4409,0.0824468371794991,0.4463,0.503561977507708
Pds5a,0.6479,0.0278503511246108,0.4376,0.541851409495023
Pds5b,0.3389,0.00770713826766077,0.5077,0.989925397366072
Pecam1,0.598,0.092030062135199,0.5587,0.889461806582718
Phlpp1,0.631,0.0045618446297356,0.5769,0.150662032745897
Picalm,0.6283,0.00516744341036379,0.5728,0.437750030705066
Plekhm2,0.578,0.0749554264169491,0.5312,0.603340526977652
Ppfia1,0.321,0.0630446239453838,0.428,0.653072060791432
Ppp2r5c,0.6144,0.0989449035673312,0.5148,1
Ptprg,0.5646,0.0708544669882304,0.5453,0.415101742408144
Pygb,0.6579,0.0290340769321195,0.6449,0.103639202617636
Rab7,0.3718,0.0548216754531357,0.5211,0.938721064772266
Rapgef4,0.2194,3.08127721996138e-5,0.3754,0.246987288251398
Rasa1,0.3806,0.0379719870616206,0.5626,0.595004718200144
Rasgrf2,0.3718,0.0708544669882304,0.4409,0.728916949470145
Rbm20,0.5677,0.00910283436609585,0.5166,0.702184873082922
Rbm25,0.4494,0.0681201078279034,0.5039,0.938721064772266
Resf1,0.2792,0.0045618446297356,0.3557,0.279656063141641
Rhoq,0.7338,0.00285537542415602,0.6257,0.65574472173915
Rnf216,0.7319,0.0389786004862706,0.622,0.309367237879749
Septin7,0.409,0.0988864674186399,0.4771,0.895836178568575
Sgk3,0.6812,0.0234796304072264,0.5329,1
Slc25a13,0.3915,0.0518279310270723,0.4199,0.225464981214218
Slc25a4,0.3461,0.0548216754531357,0.4681,1
Slc35f5,0.2927,0.00735582770964788,0.569,0.607057909446226
Slc4a4,0.6488,0.0188874654654693,0.5781,0.934426360440567
Smap1,0.3372,0.00869053619090603,0.4951,1
