gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
4732440D04Rik,F1_Aged,0.0532090224908842,0.3288,shared,0.0245704522895104,0.3451,Mesothelial
9330159M07Rik,F1_Aged,1.1967801035171e-5,0.0985,shared,2.03067077358623e-5,0.1469,Mesothelial
9530026P05Rik,F1_Aged,0.039418894139596,0.607,shared,0.00705206989563998,0.6228,Mesothelial
Abi1,F1_Aged,9.69643126423863e-47,0.9205,shared,2.91681575759124e-30,0.8983,Mesothelial
Airn,F1_Aged,0.001604263640289,0.3156,shared,8.20569487542034e-14,0.8286,Mesothelial
Arhgef12,F1_Aged,3.75627088252512e-13,0.7668,shared,3.05755646587708e-6,0.6753,Mesothelial
Bicd1,F1_Aged,5.2385848098812405e-9,0.8352,shared,1.68088685772676e-5,0.8128,Mesothelial
Cacna1c,F1_Aged,0.0988161034542078,0.5747,shared,0.033770044016158,0.6008,Mesothelial
Cacna2d1,F1_Aged,2.2656672647592e-5,0.7634,shared,0.0257362267443373,0.6827,Mesothelial
Ccdc171,F1_Aged,3.65793920953523e-8,0.9189,shared,3.6647444305082497e-13,0.9499,Mesothelial
Cd2ap,F1_Aged,1.71473165391436e-5,0.7129,shared,3.22308845379727e-7,0.7434,Mesothelial
Cdk14,F1_Aged,1.5372774613091798e-22,0.1618,shared,9.27743350628656e-17,0.1948,Mesothelial
Cemip2,F1_Aged,0.0362013359598009,0.7053,shared,0.0530224590821578,0.7309,Mesothelial
Clic4,F1_Aged,0.0841152526284436,0.374,shared,4.13134918101836e-9,0.2598,Mesothelial
Col14a1,F1_Aged,0.0792925521009813,0.3304,shared,0.0257362267443373,0.2599,Mesothelial
Cpne8,F1_Aged,0.0735581369095793,0.336,shared,0.0114372131843138,0.2873,Mesothelial
Esyt2,F1_Aged,0.0977697489509853,0.6667,shared,0.0506202392454103,0.434,Mesothelial
Gm13481,F1_Aged,5.4486182807619494e-11,0.9873,shared,7.249929381765e-6,0.9782,Mesothelial
Gm26862,F1_Aged,4.8782766920082e-4,0.1939,shared,0.0773657028100714,0.2724,Mesothelial
Grb10,F1_Aged,0.00749997155062315,0.7295,shared,4.09605387151203e-9,0.128,Mesothelial
Hpgd,F1_Aged,3.4194070173914e-4,0.8114,shared,4.90306228561593e-6,0.8783,Mesothelial
Igfbp6,F1_Aged,0.0117669359279855,0.6535,shared,3.5083318999948e-4,0.7077,Mesothelial
Kcnd2,F1_Aged,8.19269522822749e-35,0.8919,shared,1.61744599643412e-26,0.8808,Mesothelial
Kcnq1ot1,F1_Aged,0.00456799202512301,0.3273,shared,2.58964843274717e-14,0.8653,Mesothelial
Kiz,F1_Aged,0.00507978155357504,0.6643,shared,0.001621197261329,0.7033,Mesothelial
Lama2,F1_Aged,0.00140374292607219,0.3426,shared,0.00498677140132109,0.3611,Mesothelial
Malt1,F1_Aged,0.0287876751969908,0.2562,shared,0.00141127427166832,0.2324,Mesothelial
Mast4,F1_Aged,3.0654729260787104e-9,0.699,shared,6.66117441017983e-6,0.6687,Mesothelial
Mctp1,F1_Aged,0.0917949731925603,0.3809,shared,2.00570817398473e-8,0.2037,Mesothelial
Pals2,F1_Aged,1.49027481700974e-20,0.9486,shared,2.8211558066256598e-11,0.8728,Mesothelial
Pde7b,F1_Aged,1.9257619012441e-4,0.2827,shared,9.402851502685e-4,0.2998,Mesothelial
Plcb1,F1_Aged,2.44890178722631e-7,0.2849,shared,0.0237616230286684,0.3513,Mesothelial
Prkg1,F1_Aged,1.71434143697676e-26,0.1282,shared,2.54485630723452e-17,0.1499,Mesothelial
Rapgef4,F1_Aged,0.00258683885347551,0.2116,shared,0.00424924121115979,0.2583,Mesothelial
Rbbp8,F1_Aged,0.00156721172279691,0.815,shared,1.11425506181091e-8,0.9027,Mesothelial
Rbfox1,F1_Aged,3.65793920953523e-8,0.6572,shared,0.00174452691910342,0.6164,Mesothelial
Rbm28,F1_Aged,0.0911125823810322,0.665,shared,0.0182643671285151,0.7318,Mesothelial
Rbm47,F1_Aged,0.0212905599873525,0.297,shared,0.0244518176669264,0.2592,Mesothelial
