gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
4732440D04Rik,0.3288,0.0532090224908842,0.3451,0.0245704522895104,below,below,consistent_below
9330159M07Rik,0.0985,1.1967801035171e-5,0.1469,2.03067077358623e-5,below,below,consistent_below
9530026P05Rik,0.607,0.039418894139596,0.6228,0.00705206989563998,above,above,consistent_above
Abi1,0.9205,9.69643126423863e-47,0.8983,2.91681575759124e-30,above,above,consistent_above
Airn,0.3156,0.001604263640289,0.8286,8.20569487542034e-14,below,above,discordant
Arhgef12,0.7668,3.75627088252512e-13,0.6753,3.05755646587708e-6,above,above,consistent_above
Bicd1,0.8352,5.2385848098812405e-9,0.8128,1.68088685772676e-5,above,above,consistent_above
Cacna1c,0.5747,0.0988161034542078,0.6008,0.033770044016158,above,above,consistent_above
Cacna2d1,0.7634,2.2656672647592e-5,0.6827,0.0257362267443373,above,above,consistent_above
Ccdc171,0.9189,3.65793920953523e-8,0.9499,3.6647444305082497e-13,above,above,consistent_above
Cd2ap,0.7129,1.71473165391436e-5,0.7434,3.22308845379727e-7,above,above,consistent_above
Cdk14,0.1618,1.5372774613091798e-22,0.1948,9.27743350628656e-17,below,below,consistent_below
Cemip2,0.7053,0.0362013359598009,0.7309,0.0530224590821578,above,above,consistent_above
Clic4,0.374,0.0841152526284436,0.2598,4.13134918101836e-9,below,below,consistent_below
Col14a1,0.3304,0.0792925521009813,0.2599,0.0257362267443373,below,below,consistent_below
Cpne8,0.336,0.0735581369095793,0.2873,0.0114372131843138,below,below,consistent_below
Esyt2,0.6667,0.0977697489509853,0.434,0.0506202392454103,above,below,discordant
Gm13481,0.9873,5.4486182807619494e-11,0.9782,7.249929381765e-6,above,above,consistent_above
Gm26862,0.1939,4.8782766920082e-4,0.2724,0.0773657028100714,below,below,consistent_below
Grb10,0.7295,0.00749997155062315,0.128,4.09605387151203e-9,above,below,discordant
Hpgd,0.8114,3.4194070173914e-4,0.8783,4.90306228561593e-6,above,above,consistent_above
Igfbp6,0.6535,0.0117669359279855,0.7077,3.5083318999948e-4,above,above,consistent_above
Kcnd2,0.8919,8.19269522822749e-35,0.8808,1.61744599643412e-26,above,above,consistent_above
Kcnq1ot1,0.3273,0.00456799202512301,0.8653,2.58964843274717e-14,below,above,discordant
Kiz,0.6643,0.00507978155357504,0.7033,0.001621197261329,above,above,consistent_above
Lama2,0.3426,0.00140374292607219,0.3611,0.00498677140132109,below,below,consistent_below
Malt1,0.2562,0.0287876751969908,0.2324,0.00141127427166832,below,below,consistent_below
Mast4,0.699,3.0654729260787104e-9,0.6687,6.66117441017983e-6,above,above,consistent_above
Mctp1,0.3809,0.0917949731925603,0.2037,2.00570817398473e-8,below,below,consistent_below
Pals2,0.9486,1.49027481700974e-20,0.8728,2.8211558066256598e-11,above,above,consistent_above
Pde7b,0.2827,1.9257619012441e-4,0.2998,9.402851502685e-4,below,below,consistent_below
Plcb1,0.2849,2.44890178722631e-7,0.3513,0.0237616230286684,below,below,consistent_below
Prkg1,0.1282,1.71434143697676e-26,0.1499,2.54485630723452e-17,below,below,consistent_below
Rapgef4,0.2116,0.00258683885347551,0.2583,0.00424924121115979,below,below,consistent_below
Rbbp8,0.815,0.00156721172279691,0.9027,1.11425506181091e-8,above,above,consistent_above
Rbfox1,0.6572,3.65793920953523e-8,0.6164,0.00174452691910342,above,above,consistent_above
Rbm28,0.665,0.0911125823810322,0.7318,0.0182643671285151,above,above,consistent_above
Rbm47,0.297,0.0212905599873525,0.2592,0.0244518176669264,below,below,consistent_below
Rnls,0.2902,0.00743045560491578,0.1224,6.57009822154211e-5,below,below,consistent_below
Sdk1,0.307,0.00531313204610191,0.2529,2.0414187712184e-4,below,below,consistent_below
Slc2a13,0.2233,8.81246791847301e-10,0.2943,4.7246517032829e-4,below,below,consistent_below
Suclg2,0.0479,1.20166999865888e-36,0.1395,1.44060231602024e-19,below,below,consistent_below
Tmtc1,0.715,3.978509223332e-4,0.7002,2.03067077358623e-5,above,above,consistent_above
Ube4b,0.7873,6.91048155279425e-5,0.8874,6.23649970204624e-13,above,above,consistent_above
Usp25,0.3556,0.0584616515053125,0.3302,0.0506202392454103,below,below,consistent_below
Zeb1,0.7335,6.03786701612557e-5,0.7083,7.5944068249825e-4,above,above,consistent_above
