gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
4732440D04Rik,F1_Aged,5.53566195119128e-8,0.2763,shared,2.9050369258907e-4,0.3567,Pericytes
9330159M07Rik,F1_Aged,2.13904271518778e-13,0.1125,shared,8.778556835341429e-12,0.1117,Pericytes
Abca8a,F1_Aged,1.01205320554885e-6,0.6765,shared,7.44737183439765e-6,0.7245,Pericytes
Abi1,F1_Aged,2.89967514130744e-6,0.6692,shared,0.0056462149690378,0.6447,Pericytes
Abra,F1_Aged,0.0483275254179976,0.3768,shared,0.0202762940900047,0.3549,Pericytes
Acyp2,F1_Aged,0.0731225019665525,0.433,shared,0.00473788913896334,0.4239,Pericytes
Adra1a,F1_Aged,0.00202475407213783,0.3354,shared,0.0272533148918257,0.3973,Pericytes
Agap1,F1_Aged,0.0417299494478013,0.3999,shared,0.0572060454366157,0.3811,Pericytes
Airn,F1_Aged,3.7068827806670394e-11,0.343,shared,8.06489164784238e-65,0.8668,Pericytes
Ano6,F1_Aged,6.0626657247558e-4,0.6638,shared,0.0938450829779662,0.6147,Pericytes
Aox1,F1_Aged,1.55313585313441e-6,0.7818,shared,0.00244159299847221,0.7131,Pericytes
Arhgap20,F1_Aged,1.0741081341265e-4,0.7923,shared,0.00500563874604512,0.8169,Pericytes
Arhgap35,F1_Aged,0.0475577184640972,0.6436,shared,0.0655714990874906,0.6505,Pericytes
Art1,F1_Aged,0.0136716992111524,0.3548,shared,1.08645672302962e-5,0.2987,Pericytes
Atp1b1,F1_Aged,8.87214575053581e-5,0.3129,shared,0.0199059691345528,0.2793,Pericytes
Cacna1c,F1_Aged,6.747486844382771e-9,0.577,shared,1.52710468458237e-6,0.5694,Pericytes
Cacna2d1,F1_Aged,5.7681137913429196e-11,0.6658,shared,2.0628409481001898e-11,0.6819,Pericytes
Ccbe1,F1_Aged,0.0467439022471077,0.3643,shared,0.00660763768858654,0.2611,Pericytes
Celf2,F1_Aged,4.38924635932969e-6,0.6102,shared,0.00811144543716384,0.5778,Pericytes
Cisd2,F1_Aged,1.1973378140377e-4,0.8158,shared,6.3080293144043e-4,0.8178,Pericytes
Clic4,F1_Aged,3.1901365941952704e-15,0.3017,shared,2.21966523933903e-21,0.2256,Pericytes
Cobll1,F1_Aged,0.0241780216896315,0.577,shared,1.5882175147169e-4,0.6055,Pericytes
Cp,F1_Aged,8.595133061180729e-11,0.7421,shared,5.3800209059735e-4,0.7174,Pericytes
Cradd,F1_Aged,6.7252201491167e-9,0.2462,shared,0.00919875104532688,0.3227,Pericytes
D830005E20Rik,F1_Aged,5.7946153527861e-5,0.3948,shared,0.0193626609734086,0.4363,Pericytes
D830032E09Rik,F1_Aged,3.88390676980593e-21,0.9524,shared,9.26711300288019e-18,0.9528,Pericytes
Dip2c,F1_Aged,3.0058127444649e-4,0.5947,shared,2.49357437265169e-6,0.6575,Pericytes
Dsg2,F1_Aged,0.0331350148588461,0.7273,shared,4.6800032300053e-4,0.7968,Pericytes
