"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"1700025G04Rik",0.523456790123457,54,-0.0721497857558351,3.20993181176958,1,1
"2210408F21Rik",0.487878787878788,55,-0.0384741478146355,2.25897289281664,1,1
"2610307P16Rik",0.410967741935484,155,-0.512061953673709,-4.83961279954298,0,0
"2900026A02Rik",0.613095238095238,56,0.491853096329674,-10.2632100695876,0,0
"4632427E13Rik",0.434391534391534,63,-0.415037499278844,3.35431073763431,1,1
"5031425E22Rik",0.529220779220779,77,0,-14.679204613458,0,0
"9530026P05Rik",0.468005148005148,185,-0.333830183943654,12.3723791185818,1,1
"AW554918",0.373563218390805,87,-0.880418384247328,-9.82109791906034,0,0
"Aak1",0.440350877192982,95,-0.362570079384708,14.7069771182949,1,1
"Abca1",0.441840277777778,96,-0.084888897586513,18.3079151601369,1,1
"Abca8a",0.636210086210086,39,0.852442811586142,-12.2626109678601,0,0
"Abca8b",0.653601953601954,26,0.641546029087524,-9.43736393326964,0,0
"Abcc5",0.393459915611814,79,-0.584962500721156,5.83459207265713,1,1
"Abhd17b",0.46969696969697,44,-0.222392421336448,1.59577646540805,1,1
"Abi1",0.733879138180758,156,1.6154645891185,-14.8268751754017,0,0
"Abi3bp",0.467372134038801,27,-0.632268215499513,2.06695781032429,1,1
"Ablim1",0.414777162727982,244,-0.312080308931015,-2.38040763641243,0,0
"Ablim3",0.563063063063063,37,0.695145418471579,1.64888072997129,1,1
"Abtb2",0.618376928236083,71,0.817135942850189,5.37644588376277,1,1
"Acap2",0.561111111111111,60,0.160464672193246,1.38163786090676,1,1
"Acer2",0.577712165551839,184,0.375509135092207,4.01602711082154,1,1
"Acer3",0.512121212121212,55,0.165059246270496,0.94396264808185,1,1
"Ackr3",0.508421052631579,95,0.174497731232136,22.910420079459,1,1
"Actn1",0.680268199233717,87,0.885541275415085,-19.0918525762117,0,0
"Actn4",0.5,65,0.074000581443777,2.26664390219922,1,1
"Actr2",0.455128205128205,52,-0.478047296804645,2.01429375086035,1,1
"Actr3",0.491496598639456,49,-0.0780025120012731,4.54061932158984,1,1
"Acvr1",0.59969696969697,110,0.485426827170242,-20.187027211662,0,0
"Acyp2",0.425742574257426,101,-0.349149563622386,6.52828115948401,1,1
"Adam10",0.416666666666667,93,-0.736965594166206,11.3098266768393,1,1
"Adamts1",0.573757763975155,46,0.857980995127572,3.70012431917222,1,1
"Adamts9",0.583267587113741,65,0.28590887208638,-12.1214823809891,0,0
"Adamtsl3",0.518918918918919,37,-0.137503523749935,-5.60111439827873,0,0
"Adarb1",0.636054421768708,49,0.932885804141463,2.20236407896375,1,1
"Add1",0.5,50,-0.0931094043914817,1.18305092019827,1,1
"Adgra2",0.497058823529412,68,0.134301091711591,2.46716790718003,1,1
"Adgrf5",0.499581430745814,146,0.0114047632722492,-21.7979633356113,0,0
"Adgrg6",0.298754789272031,87,-0.955145764215739,-11.8830286887692,0,0
"Adgrl2",0.452798982188295,131,-0.432315490710679,47.5672530852477,1,1
"Adgrl4",0.6121346205417,113,0.462343214057201,-22.9869267302282,0,0
"Adh6b",0.753623188405797,23,1.41503749927884,-3.58812131215564,0,0
"Adipor2",0.662745098039216,68,0.648527629498622,4.08953360066954,1,1
"Adk",0.477820512820513,130,-0.224560258019158,55.0833850406075,1,1
"Adss2",0.46969696969697,33,-0.192645077942396,4.47997031524279,1,1
"Afap1l1",0.604326923076923,104,0.60334103003601,4.76308584298151,1,1
"Aff1",0.402435064935065,154,-0.615519967697126,-2.57095935541187,0,0
"Afg1l",0.431372549019608,51,-0.357552004618083,2.73968317579481,1,1
"Agap1",0.536950904392765,129,0.217591435072627,38.1110567948523,1,1
"Agfg1",0.44758064516129,62,-0.338801913451759,-8.39010949082,0,0
"Agmo",0.771717171717172,33,1.96962635095648,-3.75544352918218,0,0
"Ago3",0.421474358974359,104,-0.295455883526171,22.1378568539882,1,1
"Agps",0.44047619047619,42,-0.383328639551505,2.76808318135984,1,1
"Ahnak",0.52921686746988,166,0.0655883416275769,-15.2857885997609,0,0
"Ahsg",0.75792349726776,61,1.30256277002043,-8.40063648461177,0,0
"Aig1",0.638513513513513,74,0.834940753729504,3.44289934886598,1,1
"Airn",0.851685952935953,260,2.31647366479525,-10.440263243531,0,0
"Akap10",0.578205128205128,65,0.280107919192735,4.48594249292012,1,1
"Akap13",0.501366582135813,169,-0.0726037489568399,-9.38118836380789,0,0
"Akt3",0.521003401360544,196,0.170800688899176,-5.64780732409696,0,0
"Alcam",0.17760101010101,30,-0.802553935793783,-3.69226555504208,0,0
"Ambra1",0.568253968253968,105,0.215728691055437,10.0831892114824,1,1
"Amotl1",0.518264840182648,73,0.125530882083859,3.29925879919158,1,1
"Anapc1",0.461187214611872,73,-0.389042290745899,4.87067631343265,1,1
"Ank2",0.48187134502924,57,-0.125530882083859,-13.7901111263273,0,0
"Ankhd1",0.503058103975535,109,-0.158262083916732,18.6597962078557,1,1
"Ankib1",0.596618357487923,69,0.612976876890753,3.94959141379617,1,1
"Ankrd11",0.535430463576159,151,0.0124909441831971,26.1035316208408,1,1
