"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"1700025G04Rik",0.481997677119628,41,-0.118644496498619,-7.58482691476012,0,0
"2010001K21Rik",0.557142857142857,35,0.443606651475615,-6.90249505760675,0,0
"2610035D17Rik",0.6875,24,0.893084796083488,1.65996964312791,0.98,1
"2610307P16Rik",0.40968253968254,75,-0.63035440353517,2.28308811511354,0.92,1
"4732440D04Rik",0.28953488372093,43,-0.938599455335857,-6.97831892856218,0,0
"5031425E22Rik",0.607407407407407,45,0.602664502454615,-1.33211752070655,0,0
"9530026P05Rik",0.600710683349572,108,0.611273777837003,0.397524703921732,0.99,1
"Aak1",0.475,36,-0.283792966000591,10.9290519908282,1,1
"Abca8a",0.857563025210084,17,1.54748779530249,-34.2649672418064,0,0
"Abcb1b",0.962962962962963,27,6.95419631038687,0.678912026844197,0.05,0.102743142144638
"Abcc5",0.5,36,0.176877762084079,7.09040631374461,1,1
"Abi1",0.907277046385957,101,3.60962455495543,-6.91687725215679,0,0
"Abi3bp",0.373958333333333,32,-0.616671360448494,-5.0801862364977,0,0
"Ablim1",0.560306637806638,60,0.202816882999687,-2.39298251389771,0,0
"Ablim3",0.429365079365079,42,-0.736965594166206,11.5253268511819,1,1
"Acap2",0.494047619047619,28,0.144389909335175,3.3612746917339,1,1
"Ackr3",0.505952380952381,28,0.184424571137427,5.17931875856701,1,1
"Acss3",0.42816091954023,29,-0.214124805352848,-3.64795204818552,0,0
"Adamts9",0.353333333333333,25,-0.943416471633633,3.42311137458487,1,1
"Adamtsl1",0.522203101776272,82,0.189661219503575,2.37923679419499,0.56,1
"Adcy9",0.643790849673203,51,0.800691191776594,-3.53574994680964,0,0
"Adgrd1",0.373626373626374,52,-0.521952703195356,25.3099991690254,1,1
"Adgrg6",0.633838383838384,33,0.514573172829758,5.44181956949433,1,1
"Adgrl3",0.359583333333333,40,-0.954196310386875,-4.66972308692222,0,0
"Adk",0.411582068724926,91,-0.437405312307298,1.60387386269386,0.99,1
"Aebp1",0.668713450292398,57,0.74416109557041,-5.14172316591127,0,0
"Aebp2",0.588141025641026,52,0.499571009490511,16.0662859305146,1,1
"Aff1",0.482748538011696,57,-0.0317088597273383,-10.2036148297262,0,0
"Agap1",0.435111111111111,75,-0.0797271924707341,0.476048867056775,0.99,1
"Agfg1",0.400709219858156,47,-0.389946518316013,-8.2671363903777,0,0
"Ago3",0.573529411764706,34,0.506959988719883,1.68788076835128,0.99,1
"Ahnak",0.40770782889427,59,-0.605721060887953,-2.37984433624948,0,0
"Airn",0.172367538564722,71,-1.94251450533924,-0.170962985973055,0.17,0.341658536585366
"Akap13",0.461335403726708,46,-0.249978253008347,-4.39647957451445,0,0
"Akt3",0.518489583333333,64,-0.146841388329271,14.802022315025,1,1
"Aldh1a1",0.654792107117689,43,0.900464326449085,0.789869595167232,1,1
"Aldh1a2",0.720394736842105,38,1.39231742277876,4.04986003248594,1,1
"Ambra1",0.565705128205128,52,0.228268987673117,-8.42714161913635,0,0
"Anapc1",0.588141025641026,52,0.438121112391885,26.1175450103256,1,1
"Ank2",0.642089093701997,31,0.605721060887954,-5.17517648560389,0,0
"Ankhd1",0.518707482993197,49,0.192645077942396,27.4003968106543,1,1
"Ankib1",0.419354838709677,31,-0.20163386116965,3.34271146264032,1,1
"Ankrd11",0.591129032258065,62,0.321928094887362,-1.36008504612717,0,0
"Ankrd12",0.685849056603774,53,1.10236171762968,-2.36380253623616,0,0
"Ankrd17",0.557598039215686,68,0.31034012061215,54.1407386733935,1,1
"Ankrd44",0.481707317073171,41,-0.186413124230881,11.0194079110506,1,1
"Ano1",0.382886904761905,56,-0.289506617194985,-4.9482888269154,0,0
"Ano6",0.555230288836846,61,0.129283016944966,-1.02688862012698,0,0
"Anxa2",0.621376811594203,46,0.703606997219775,-5.29702087799532,0,0
"Anxa3",0.689716312056738,47,1.29278174922785,-3.32361431619759,0,0
"Aopep",0.563636363636364,44,0.263034405833794,-2.29721369442886,0,0
"Ap2a2",0.603448275862069,29,0.770518153877233,5.13045735399766,1,1
"Ap3b1",0.595238095238095,49,0.716207033999409,21.7513109086837,1,1
"Ap4e1",0.839015151515151,44,2.56293619439116,-4.37015011408873,0,0
"Apbb2",0.589015151515151,44,0.791413378188583,13.6890460685378,1,1
"Apc",0.301418439716312,47,-1.03242147769238,-8.17758464795207,0,0
"Aplp2",0.446846846846847,37,-0.652076696579693,7.6031215086937,1,1
"App",0.382244174265451,94,-0.778973120687782,-0.230370569701023,0,0
"Arb2a",0.433587301587302,75,-0.495527417139212,-0.248681979748156,0,0
"Arf4",0.416666666666667,42,0.0524674198941355,7.73518087343935,1,1
"Arfgef1",0.560493827160494,54,0.228268987673117,28.1265290600551,1,1
"Arhgap10",0.635802469135803,54,0.753360032416875,-6.18817757935889,0,0
"Arhgap18",0.577210884353741,84,0.509861045480437,2.12970239384344,0.79,1
"Arhgap21",0.554166666666667,40,0.383328639551506,7.48336872987227,1,1
"Arhgap24",0.691305916305916,22,0.497499659470817,-7.33002100879185,0,0
"Arhgap26",0.559349593495935,41,0.234465253637023,17.7463774377053,1,1
"Arhgap28",0.597798742138365,53,0.533432200081074,1.31220153880305,1,1
"Arhgap5",0.358333333333333,40,-0.547487795302493,-9.82056940404681,0,0
"Arhgef12",0.754878048780488,82,2.32192809488736,-0.0348243813163691,0.1,0.202955665024631
"Arid1b",0.475,68,-0.169925001442312,-0.301410091567533,0.03,0.0621105527638191
"Arid2",0.521428571428571,35,0.222392421336448,-7.25779012199511,0,0
"Arid4b",0.616319444444444,48,0.746243407754217,-8.08765203056909,0,0
"Arih1",0.481137461572244,69,-0.362570079384708,-0.714256070990913,0,0
"Arl15",0.531454028152141,53,-0.255257055242075,-6.1162588462949,0,0
"Armh3",0.504901960784314,34,-0.222392421336448,-7.31308599344489,0,0
"Arnt",0.361111111111111,36,-0.830074998557688,3.56156557084734,1,1
