"","AR","N","log2FC","llr_var","pval_var","padj_var"
"9530026P05Rik",0.516666666666667,25,0.485426827170242,-14.2532919306265,9.33804110990769e-08,6.63000918803446e-06
"Acta2",0.471605667060213,33,-0.131244533278253,-0.0564251206623325,0.73692222093176,1
"Actn1",0.5,23,0,3.53476165295738,1,1
"Acyp2",0.178571428571429,14,-2.0703893278914,-5.32874574517223,0.00109625971645994,0.0155668879737311
"Akap6",0.548309178743961,23,0.0588936890535686,2.36416534149951,1,1
"Aopep",0.382098765432099,27,-0.283792966000591,4.67442897966462,1,1
"Cacna1c",0.486111111111111,30,-0.156119201917282,2.83436886109261,1,1
"Cacna2d1",0.528571428571429,21,0.556393348524385,0.353739793626399,1,1
"Cacnb2",0.39026169026169,37,-0.409390936137702,-0.623976485634877,0.263943809101222,1
"Cald1",0.512962962962963,36,-0.405992359675837,3.06975826305146,1,1
"Carmn",0.461412151067323,29,-0.137503523749935,5.4482468627697,1,1
"Celf2",0.566176470588235,17,0.131244533278253,2.52195452151753,1,1
"Clic4",0.15,19,-2.50250034052918,1.59833156431319,1,1
"Cobll1",0.510416666666667,16,-0.169925001442312,-8.82008664323274,2.66890662298323e-05,0.000883314187629654
"Cped1",0.596894020766201,28,0.57190634789571,13.317561811816,1,1
"Crim1",0.421645021645022,21,-0.0901978089715781,1.86601015502562,1,1
"Dip2c",0.4625,24,-0.201633861169651,2.30997145891598,1,1
"Dlc1",0.554150579150579,37,0.421463768438277,0.278262266832868,1,1
"Ebf1",0.363852813852814,33,-0.495957494662411,0.810994023691251,1,1
"Enah",0.462797619047619,24,-0.685891409571937,2.77362439042552,1,1
"Entpd1",0.543137254901961,17,-0.304854581528421,-1.84061693745504,0.0550281134917644,0.434110673101697
"Esyt2",0.377777777777778,27,-0.369233809665719,3.70804424797489,1,1
"Ext1",0.601731601731602,22,0.502500340529183,0.49433553345651,1,1
"Fbxl17",0.36231884057971,23,-0.473931188332413,-1.49562467102084,0.0837155577830196,0.594380460259439
"Fry",0.370238095238095,30,-0.597240830499593,0.130514303105329,1,1
"Igf1r",0.547222222222222,24,0,1.59688657672811,1,1
"Igfbp7",0.55,20,0.106915203916512,3.28427132591678,1,1
"Irag1",0.5,30,0,8.3013080857971,1,1
"Itga8",0.622908232118758,19,0.584962500721156,-0.439832706813345,0.348293336283247,1
"Itpr1",0.561538461538462,26,0.131244533278253,4.07043616138463,1,1
"Kcnab1",0.419142416723062,31,-0.390459476558178,0.154878297940925,1,1
"Ldlrad4",0.266666666666667,21,-1.05444778402238,-2.28088603175252,0.0326932294810713,0.331602756165152
"Lhfpl6",0.545238095238095,21,-0.111031312388744,2.03227595163406,1,1
"Lncpint",0.408730158730159,21,-0.289506617194985,-6.23030723446536,0.000415623195982836,0.00737731172869535
"Lpp",0.562825190682333,35,-0.0524674198941355,-1.26716081900121,0.111394751421638,0.659085612578026
"Luc7l2",0.616666666666667,21,0.552541023028779,6.46982809092754,1,1
"Magi1",0.522727272727273,22,0,3.28997747407053,1,1
"Malat1",0.482560678170061,42,-0.0900218705517393,-1.35311771306397,0.0999566222359377,0.645174561704689
"Mast4",0.421095977193538,41,-0.485426827170242,-0.695302166039625,0.238303068934504,1
"Msrb3",0.56820987654321,27,0.584962500721156,0.942845047727065,1,1
"Myh11",0.423370773370773,37,-0.447458976971221,0.00544208073495867,1,1
"Myocd",0.592105263157895,19,0.337034987277571,-0.121651655300436,0.621830403848828,1
"Myom1",0.43,30,-0.415037499278844,0.328460840122474,1,1
"Nfib",0.315217391304348,23,-0.724365557386572,-1.89805515206661,0.051371791570361,0.434110673101697
"Pakap",0.531481481481481,24,-0.15754127698648,0.881979846040139,1,1
"Pbx1",0.66474358974359,26,0.584962500721156,1.27800959481525,1,1
"Pcdh7",0.51555637345111,19,-0.131244533278252,-0.726213843139313,0.228138808863321,1
"Pde1a",0.436507936507937,21,-0.263034405833794,0.0104943910635313,1,1
"Pde3a",0.495172275641026,32,-0.165059246270496,-0.704261957249983,0.235301586432006,1
"Pdlim5",0.644444444444444,30,0.901819606061097,0.61634518070754,1,1
"Phldb2",0.677777777777778,21,0.552541023028779,1.14139374997361,1,1
"Plce1",0.395238095238095,22,-0.389946518316013,-0.582402034733541,0.280471442238183,1
"Plcl1",0.591326530612245,28,0.192645077942396,0.210188087302804,1,1
"Ppm1l",0.520833333333333,12,0.169925001442312,-4.20600312735654,0.00372751087775529,0.0441088787201043
"Ppp1r12a",0.437640056022409,34,-0.196397212803503,0.946241985985196,1,1
