"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Arhgap15",0.525210084033613,17,0,-0.0454656136296343,0.762996614417795,0.977288009144765
"Bcl2",0.669230769230769,13,1.11547721741994,-1.61329597179314,0.07245131978706,0.747618612129722
"Ccnd3",0.394117647058824,17,-0.497499659470817,-0.219587002990092,0.507521397127217,0.930455894733231
"Dock2",0.545098039215686,17,-0.163498732282879,0.0219769474987039,1,1
"Gm2682",0.431565656565657,11,-0.710493382805015,0.235834976263863,1,1
"Malat1",0.533635959608197,20,0.00728635407849243,-0.884692963806629,0.183458093588794,0.747618612129722
"Pde3b",0.380952380952381,14,-0.362570079384708,-0.117066115302318,0.628476626249369,0.977288009144765
"Pitpnc1",0.603535353535353,16,0.37851162325373,-0.668918523609619,0.247415769734621,0.747618612129722
"Skap1",0.528703703703704,18,-0.067114195858537,-0.0322239080162028,0.799599280209353,0.977288009144765
"St6galnac3",0.605922865013774,11,0.0614005446641434,-0.224509538499809,0.502801147480578,0.930455894733231
"Zeb1",0.600915750915751,13,0.523561956057013,-0.603665605573237,0.271861313501717,0.747618612129722
