"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Arhgap15",0.525210084033613,17,0,0.523186561821827,0.79,0.88
"Bcl2",0.669230769230769,13,1.11547721741994,0.359488336474627,0.58,0.88
"Ccnd3",0.394117647058824,17,-0.497499659470817,-1.08869657824932,0,0
"Dock2",0.545098039215686,17,-0.163498732282879,-0.0317202646811694,0.15,0.311666666666667
"Gm2682",0.431565656565657,11,-0.710493382805015,-0.00284429150699239,0,0
"Malat1",0.533635959608197,20,0.00728635407849243,0.00401796629728324,0.8,0.88
"Pde3b",0.380952380952381,14,-0.362570079384708,-0.0353935921913582,0.01,0.0366666666666667
"Pitpnc1",0.603535353535353,16,0.37851162325373,0.214447369369051,0.75,0.88
"Skap1",0.528703703703704,18,-0.067114195858537,1.08092214835669,0.93,0.93
"St6galnac3",0.605922865013774,11,0.0614005446641434,-0.570421588679206,0.17,0.311666666666667
"Zeb1",0.600915750915751,13,0.523561956057013,-0.291989419000334,0.09,0.2475
