"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"1700025G04Rik",TRUE,4,750.945523060434,748.507603349327,230,229,0.00324646680250662
"2210408F21Rik",TRUE,3,1789.29099864216,1788.48034035404,954,953,0.000453061178271263
"4632427E13Rik",TRUE,3,209.151340299086,208.820816722642,124,123,0.00158030819200683
"4732440D04Rik",TRUE,4,1269.07706022991,1266.96871854277,633,632,0.0016613188853648
"5031425E22Rik",TRUE,3,321.86371705222,317.752501674718,180,179,0.0127731557168193
"9330159M07Rik",TRUE,5,316.431896775636,316.047284902533,296,295,0.00121546492949132
"9530026P05Rik",TRUE,4,1301.568128817,1291.59206370911,474,473,0.0076646507293987
"Aak1",TRUE,3,398.892562961797,397.786387931658,258,257,0.00277311520155965
"Abcc5",TRUE,3,350.518063540159,346.019215995581,117,116,0.0128348522160057
"Abcd3",TRUE,4,125.391612272652,125.391605094609,67,66,5.72450034042049e-08
"Abhd18",TRUE,3,614.464601414909,614.295242776475,273,272,0.00027561984538127
"Ablim1",TRUE,3,8799.23525014561,8799.1304027171,4223,4222,1.19155160109852e-05
"Abra",TRUE,4,2457.8966336638,2441.10453480233,678,677,0.00683189790468675
"Abtb2",TRUE,3,1635.25101221009,1630.84833344885,508,507,0.00269235654243138
"Acacb",TRUE,3,1557.82071599103,1555.59735878766,1001,1000,0.00142722277380614
"Acadl",TRUE,3,196.844986705037,196.373899990946,93,92,0.00239318624251939
"Acadm",TRUE,4,97.3731035728879,95.4980069134331,51,50,0.0192568234004299
"Acat1",TRUE,3,134.290742148322,134.265838317127,66,65,0.000185447118659976
"Ackr3",TRUE,4,257.018102732752,249.183311653942,60,59,0.0304834211890396
"Aco2",TRUE,3,1086.59645780459,1085.81065316093,588,587,0.000723179831865761
"Acox1",TRUE,3,340.901179616122,337.481705968131,148,147,0.0100306888108799
"Acsl1",TRUE,3,404.060535984699,398.416797701659,191,190,0.0139675562952107
"Acss1",TRUE,3,1641.52241285194,1640.81340201858,677,676,0.000431922724784761
"Actc1",TRUE,4,1836.91367534767,1836.83641912132,823,822,4.20576249097193e-05
"Actc1dt",TRUE,3,186.593928697101,186.482428854234,80,79,0.000597553434051878
"Actn2",TRUE,3,7540.3601757496,7539.96600772656,3866,3865,5.22744290530897e-05
"Acyp2",TRUE,3,6861.67212609826,6860.84483481841,3393,3392,0.000120567008251915
"Adam19",TRUE,4,372.913530526184,372.641788587762,134,133,0.000728699594349957
"Adamts1",TRUE,4,1217.42910715327,1203.06447769731,192,191,0.0117991506622884
"Adamts9",TRUE,13,518.413442435825,507.476524491546,124,123,0.0210969026823292
"Adamtsl5",TRUE,3,200.126188868778,198.450274762684,107,106,0.00837428682156416
"Adcy6",TRUE,3,92.5258655370514,91.6476662941008,54,53,0.0094913918162578
