"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"Ablim1",TRUE,3,320.014430884785,319.790801579212,167,166,0.000698810066017019
"Actn2",TRUE,3,195.873259441203,195.44645912559,99,98,0.00217896162462783
"Acyp2",TRUE,3,150.560289348074,149.831469452668,95,94,0.00484071795133689
"Adk",TRUE,3,237.971518829531,231.190443003943,104,103,0.0284953252344688
"Airn",TRUE,4,708.67914767957,625.576669041523,102,101,0.117263897082551
"Akap6",TRUE,3,145.994694255607,142.633256088151,90,89,0.023024385814811
"Ank2",TRUE,3,269.549188025582,269.418544723606,119,118,0.00048467332783475
"Aopep",TRUE,3,102.605165269447,101.957281139315,63,62,0.00631434225002248
"Arhgap26",TRUE,3,216.33258761756,216.309139245488,124,123,0.000108390383208312
"Atp2a2",TRUE,3,303.662879126936,301.425243268741,169,168,0.00736881592056371
"Atxn1",TRUE,3,149.660055508633,149.408413443736,68,67,0.00168142437233221
"Cacna1c",TRUE,4,407.941785573134,407.709883540398,171,170,0.000568468445590331
"Cacna2d1",TRUE,4,144.850589731536,144.774572999178,70,69,0.00052479408263828
"Cacnb2",TRUE,3,403.855333675247,400.01450091895,143,142,0.00951041731043767
"Camk2d",TRUE,3,114.063938986747,112.753827069557,77,76,0.0114857677968063
"Ccdc141",TRUE,4,113.503959908932,113.448790177987,61,60,0.000486059966442132
"Ccdc85a",TRUE,4,122.648613010782,114.804760847763,50,49,0.0639538594890503
"Cd36",TRUE,3,275.387364411008,273.348940190448,156,155,0.00740202523423383
"Cdh13",TRUE,3,186.834847894159,185.314087423102,118,117,0.00813959755472771
"Cdh2",TRUE,3,340.842315183867,340.781490405896,132,131,0.000178454303532471
"Celf2",TRUE,4,290.431318247883,283.076864095635,120,119,0.0253225244323351
"Chchd3",TRUE,3,116.740604292955,116.739764241127,69,68,7.19588384645586e-06
"Chrm2",TRUE,4,179.356622209399,176.446671748883,64,63,0.0162243825997026
"Ckmt2",TRUE,3,233.596116847884,233.385616463475,94,93,0.000901129638837928
"Clic4",TRUE,4,112.786367900777,111.659341390589,53,52,0.00999257739356207
"Clip1",TRUE,3,87.1767868928009,87.1728085546782,63,62,4.56352919682157e-05
"Corin",TRUE,4,183.811634952432,182.722092667008,85,84,0.00592749357626854
"Cpeb3",TRUE,3,247.698358501138,246.160181520004,104,103,0.00620987959081609
"Cped1",TRUE,3,161.449694497184,160.511429999882,80,79,0.00581149750839927
"Cyyr1",TRUE,4,103.082061984731,103.033125948465,53,52,0.000474728922999268
"D830005E20Rik",TRUE,4,353.507818212339,345.825698124652,142,141,0.0217311179326524
"Dach1",TRUE,4,202.977993373112,200.289988730917,60,59,0.0132428377950009
"Dip2c",TRUE,4,126.254415366554,121.626259120628,71,70,0.0366573813081177
"Dlc1",TRUE,3,176.588508970381,176.57841157423,93,92,5.71803692623885e-05
"Dst",TRUE,3,139.219949029971,138.397430737672,76,75,0.00590804908369968
"Ebf1",TRUE,3,122.270095858674,119.079461326425,65,64,0.0260949704001009
"Efna5",TRUE,4,326.839823608979,304.121435153001,80,79,0.0695092421881788
"Ehbp1",TRUE,3,78.446119580524,77.8976133548711,52,51,0.00699213968244672
"Esrrg",TRUE,3,136.876104251634,135.148236511213,91,90,0.0126235894122545
"Ext1",TRUE,4,200.040996528543,196.266515693841,95,94,0.0188685364510405
"Fhl2",TRUE,4,1116.58855757149,1113.17854896545,167,166,0.00305395266941644
"Fhod3",TRUE,4,299.464343486978,288.619403454666,147,146,0.036214461815498
"Filip1",TRUE,3,147.856549481747,147.512796502399,82,81,0.00232490870748026
"Flt1",TRUE,3,154.588265201328,154.426258362313,86,85,0.00104798924293581
"Fry",TRUE,3,143.951347829944,143.9087814163,100,99,0.000295700000626509
"Ghr",TRUE,3,170.7231504117,169.483766993664,58,57,0.00725960957871008
"Gpcpd1",TRUE,3,297.217975699848,296.307782316195,108,107,0.00306237663287534
"Grm1",TRUE,6,47.4980466346986,45.99855733877,101,100,0.031569493951214
"Hdac9",TRUE,4,134.134591104105,131.264415874557,57,56,0.0213977260147619
"Heg1",TRUE,3,130.015106910344,126.894158933042,55,54,0.0240045026417921
"Jph2",TRUE,4,136.855026108525,135.79985598661,51,50,0.00771013058065029
"Kcnd2",TRUE,4,243.39645047522,226.919414802164,74,73,0.0676962857958091
"Lama2",TRUE,4,355.045201411355,344.273474105914,122,121,0.0303390308124755
"Ldb3",TRUE,3,138.151572907393,137.585498981896,103,102,0.00409748447725644
"Limch1",TRUE,3,239.427590125105,239.411657525718,126,125,6.65445422531885e-05
"Lmo7",TRUE,3,269.163833635992,269.131599439951,129,128,0.000119756787552827
"Lmod2",TRUE,3,124.296097503457,124.26669765891,52,51,0.000236530712850014
"Lncpint",TRUE,3,293.284213323208,292.705544881126,122,121,0.00197306372383355
"Lpl",TRUE,3,172.004866482676,166.744276496616,86,85,0.0305839601729535
"Lrrc2",TRUE,3,119.031005388249,118.546844867835,49,48,0.00406751601260891
"Luc7l2",TRUE,3,144.775892655854,143.746043809609,99,98,0.00711340007893269
"Magi1",TRUE,4,207.864060194104,206.556948923395,112,111,0.0062882985615158
"Malat1",TRUE,3,514.44747825464,513.896720245882,245,244,0.00107058160850049
"Mast2",TRUE,3,188.049035629964,183.974654678142,111,110,0.0216665878565843
"Mbnl2",TRUE,3,238.545060376778,237.381114615438,106,105,0.00487935386086702
"Mhrt",TRUE,4,157.162569814947,156.304655465269,121,120,0.00545877018102014
"Mir99ahg",TRUE,3,163.005089993462,162.853141678296,94,93,0.000932169143752937
"Mitf",TRUE,4,112.790774157657,112.79077392247,55,54,2.08516282018678e-09
"Mlip",TRUE,3,222.692007893599,218.733436716744,106,105,0.017775991218986
"Msi2",TRUE,3,94.2773664837922,92.2922936982391,62,61,0.0210556664827325
"Msrb3",TRUE,4,108.915786562712,106.697416015744,61,60,0.020367759504637
"Myh6",TRUE,3,581.720088165677,580.714154376894,167,166,0.00172924024672272
"Myocd",TRUE,4,457.665958433312,457.060411322655,117,116,0.00132312027910064
"Myom1",TRUE,3,189.221379467381,188.761595650118,122,121,0.00242987245182358
"Mypn",TRUE,4,101.091814434213,99.4213612532958,51,50,0.0165241190917989
"Myzap",TRUE,4,130.285834458357,121.496140801665,90,89,0.0674646917159747
"Neat1",TRUE,3,277.773754998623,277.158039103424,162,161,0.00221660932366263
"Nfia",TRUE,3,155.209615086189,154.806141573588,82,81,0.0025995394188526
"Nfib",TRUE,3,160.263101420816,159.079406187837,97,96,0.00738594986921493
"Nrp1",TRUE,3,100.853068867217,97.523544360152,51,50,0.0330136161890031
"Obscn",TRUE,4,102.184152289676,102.181615994881,53,52,2.48208233672997e-05
"Ogdh",TRUE,3,174.840410743919,174.284104135803,87,86,0.00318179650659178
"Pakap",TRUE,4,130.615469863765,126.767588768488,69,68,0.0294596122441744
"Palld",TRUE,3,333.533134847559,332.649962828459,121,120,0.00264792887670262
"Pam",TRUE,4,229.904586952992,228.797699584875,65,64,0.00481455103957318
"Pbx1",TRUE,3,156.066281927522,155.983050775215,69,68,0.000533306434156944
"Pcdh7",TRUE,3,318.193042789914,317.849453583593,161,160,0.00107981369834165
"Pde3a",TRUE,4,284.346886196135,281.078351308713,80,79,0.0114948854589068
"Pde4b",TRUE,3,293.977860603603,289.157919250176,96,95,0.016395592999865
"Pde7b",TRUE,4,132.503115567302,125.340460916029,55,54,0.0540564998838448
"Pdgfd",TRUE,4,129.900234518357,117.768024620346,56,55,0.0933963663960621
"Pdlim5",TRUE,3,308.917174714925,308.897200730023,156,155,6.46580589791501e-05
"Pln",TRUE,3,235.779447639731,234.472285170655,115,114,0.0055440051376886
"Ppargc1a",TRUE,4,378.234851412823,377.556577261454,51,50,0.001793261908138
"Psme4",TRUE,4,105.782126866622,105.519563232337,72,71,0.0024821171786017
"Ptprg",TRUE,3,386.976321303216,386.403218244974,177,176,0.00148097706937933
"Ptprk",TRUE,4,103.846874414981,103.845257755311,49,48,1.55677258322218e-05
"Ptprm",TRUE,3,357.957996926156,357.842121385316,205,204,0.000323712675328602
"Qki",TRUE,3,157.990196388878,156.895859534899,106,105,0.00692661240375625
"Ralgapa2",TRUE,3,113.849214959735,110.529817021759,53,52,0.029156089825912
