"","AR","N","log2FC","llr","pval"
"1110002E22Rik",0.618181818181818,11,0.137503523749935,-13.1915822834709,2.79970132608566e-07
"1110059E24Rik",0.477272727272727,11,-0.263034405833793,-14.4089559678219,7.95123497641693e-08
"1600010M07Rik",0.586458333333333,16,-0.0331668639351994,-20.5989612584173,1.37568680418647e-10
"1600020E01Rik",0.0833333333333333,12,-1.85414913353654,-7.99818078738966,6.34643342092787e-05
"1700025G04Rik",0.487065637065637,74,-0.0925121387895381,-0.33619899885484,0.41221680317925
"2210408F21Rik",0.519776781723684,113,0,0.947595395857945,1
"2310014F06Rik",0.4625,16,-0.814444346843923,-20.5310908552545,1.47462205905886e-10
"2310039L15Rik",0.630952380952381,14,0.308122295362332,-24.3390928240512,3.0160250546515e-12
"2610035D17Rik",0.973684210526316,19,3.75488750216347,-3.35912772971713,0.0095430929832672
"2610037D02Rik",0.576,25,0.0901978089715785,-15.648149397578,2.21501520014992e-08
"2610307P16Rik",0.541560807134578,61,0.172467196004766,-0.718216706275243,0.230717364894024
"2700097O09Rik",0.709821428571429,16,1.23132554610646,-8.32189196172133,4.50978565763405e-05
"2900026A02Rik",0.472222222222222,12,-0.0443941193584534,-14.6941328178133,5.92352325558758e-08
"3222401L13Rik",0.311111111111111,15,-0.434402824145775,-4.53179076929691,0.0026075073206514
"4632427E13Rik",0.468783068783069,63,0.150779952175609,-0.229483950639548,0.498106721254907
"4732440D04Rik",0.380116514690983,94,-0.663436558744241,-4.91868120004366,0.001710025212914
"4732471J01Rik",0.339473684210526,19,-1.08406426478847,-8.94144136698114,2.34924626717918e-05
"4930506C21Rik",0.444444444444444,12,-0.39231742277876,-15.7529945969226,1.98826051703161e-08
"4930512H18Rik",0.333333333333333,11,-0.214124805352848,-19.1202028940703,6.25438317143766e-10
"4930523C07Rik",0.45625,16,-0.375509135092206,-23.2383821696989,9.27113298561474e-12
"4933431K23Rik",0.34,20,-0.174029399775049,-11.4339038124161,1.73534070161056e-06
"5031425E22Rik",0.527092660425994,63,0.178597303456763,-1.34110100606927,0.101475324288904
"5330438D12Rik",0.561728395061728,27,0.407175381505874,-2.59942679209279,0.0226017897787705
"5430431A17Rik",0.576881720430108,31,0.614108846380673,-3.30015029040044,0.010196155343868
"6720427I07Rik",0.458333333333333,12,-0.0406419844973458,-28.5237224487811,4.25423749441636e-14
