"","AR","N","log2FC","llr_mean","pval_mean"
"1110019D14Rik",0.4,10,0.222392421336447,1.82106781718193,1
"1600010M07Rik",0.422101449275362,23,-0.408084738637076,0.219645040382375,1
"1600020E01Rik",0.32051282051282,13,-1.55639334852438,-6.65766901116577,0.000263243866418215
"1700025G04Rik",0.468433179723502,62,0.0238467419543675,0.460689067338024,1
"2210408F21Rik",0.532203673519463,95,0.0887042252714783,0.110909198993397,1
"2210408I21Rik",0.591666666666667,10,0.206450877467427,-0.140235545427494,0.596392613262944
"2310014F06Rik",0.558823529411765,17,0.0801703486839838,-0.0362787628504506,0.787648784929972
"2610035D17Rik",0.904166666666667,16,2.69187770463767,-27.8657273231074,8.30783139140883e-14
"2610037D02Rik",0.432323232323232,33,-0.643856189774723,-3.11164293770364,0.0126080907863621
"2610307P16Rik",0.397968336640212,96,-0.644586483407576,-6.38667310720274,0.000351593321275305
"2700049A03Rik",0.606060606060606,11,0.807354922057604,-1.76562107212433,0.0602226554022153
"2700097O09Rik",0.616666666666667,10,0.427421223734676,1.20311532248567,1
"2900026A02Rik",0.564705882352941,17,0.495957494662413,-1.0612618279996,0.145147203188818
"3110056K07Rik",0.426190476190476,14,-0.394278939112045,-0.632591945573168,0.260672126822742
"3110082I17Rik",0.416666666666667,14,-0.347923303420307,-0.167022031810177,0.56328744429503
"3222401L13Rik",0.453508771929825,19,-0.33014860169233,-0.0499622556621091,0.751920242209654
"4632427E13Rik",0.53459595959596,66,0.0703893278913981,0.334650341732271,1
"4732440D04Rik",0.343241695303551,97,-0.808737476107724,-11.6805770731285,1.34262687293426e-06
"4732471J01Rik",0.541666666666667,16,-0.306661338234052,0.652162856413199,1
"4833420G17Rik",0.818181818181818,11,2.53051471669878,-13.4956241142963,2.04378743573057e-07
"4930506C21Rik",0.465277777777778,12,-0.163498732282881,-0.0784240886569023,0.69207505822299
"4930523C07Rik",0.416,25,-0.509013647487859,-1.1310692229043,0.132570885889165
"4933431K23Rik",0.357142857142857,14,-0.343954401217361,1.11441414255258,1
"5031425E22Rik",0.474422077922078,100,0.00757321970480163,-0.0190169663596294,0.845375017813175
"5330438D12Rik",0.584285714285714,25,0.218640286475339,2.47263971804665,1
"5430431A17Rik",0.536904761904762,14,-0.367731784500483,1.02975134588669,1
"6720427I07Rik",0.522222222222222,15,0.42449782852791,-0.362815576267579,0.394302977936027
"6820431F20Rik",0.761363636363636,22,1.35548065459839,-7.41186852427126,0.000118040373711977
"9330159M07Rik",0.0695833333333333,40,-3.69116190455308,-72.7563814138994,1.65905042367894e-33
"9530026P05Rik",0.503507589019249,169,0.0190667318026883,0.00594247157448535,1
"9630014M24Rik",0.708333333333333,12,0.146841388329271,4.48796080055211,1
"A930015D03Rik",0.590909090909091,11,0.888968687611256,-2.75087239667721,0.0189975092754316
"AU040320",0.604166666666667,24,0.584962500721158,-2.00147828226719,0.0454205237011057
"AW554918",0.398095238095238,70,-0.487265826834022,-2.25958384049676,0.0335171331937994
"Aak1",0.464734950584007,106,-0.0688950812110672,0.323343977494716,1
"Aatf",0.769230769230769,13,0.704544116473828,5.25630082375377,1
"Abca1",0.468798003072197,62,-0.356934544715277,-1.21243952062395,0.119422459586802
"Abca6",0.646153846153846,13,0.485426827170242,0.233654079743786,1
"Abca8a",0.651978375891419,69,0.753562104696902,-6.55549764365783,0.000293567681925711
"Abca8b",0.458121693121693,30,0.233199176293031,0.00850818995592562,1
"Abca9",0.777173913043478,23,1.04580368961312,2.03915599948793,1
"Abcc1",0.586206896551724,29,0.299560281858908,0.457383231305585,1
"Abcc4",0.563492063492063,21,0.295455883526172,-0.337026388074463,0.411642183132597
