"","AR","N","log2FC","llr_var","pval_var"
"0610043K17Rik",0.6,15,0.97982211806237,-1272.95998980476,0
"1110002E22Rik",0.583333333333333,12,0.353636954614701,-11018.5347237753,0
"1110004F10Rik",0.333333333333333,12,-0.489384840738925,-9286.73161232288,0
"1110019D14Rik",0.425438596491228,19,0.211504105193712,112.099077485664,1
"1110059E24Rik",0.46,25,-0.20163386116965,-123.063207140427,1.81527413014982e-55
"1500002F19Rik",0.65,10,0.795180208111502,-7102.41535576521,0
"1500004A13Rik",0.453418803418803,39,-0.477321777533187,14.092074719465,1
"1600010M07Rik",0.515178571428571,56,-0.054107405339451,7780.14284864242,1
"1600020E01Rik",0.455555555555556,15,-1.07476776840197,1501.43739292967,1
"1700025G04Rik",0.552793032364461,175,0.199699835476346,7912.14708891963,1
"2210408F21Rik",0.468816779091899,330,-0.17089618629278,8254.49257694144,1
"2210408I21Rik",0.613945578231292,49,0.489805267680816,6090.4201840951,1
"2310014F06Rik",0.404411764705882,34,-0.488747185461853,7617.47295198351,1
"2310022A10Rik",0.454545454545455,11,-0.0331668639351994,-10403.0938900394,0
"2610008E11Rik",0.704166666666667,20,1.15055967657538,-27.7167391923285,9.66758436330814e-14
"2610035D17Rik",0.651075268817204,62,1.34900762894365,5970.80298166964,1
"2610037D02Rik",0.469135802469136,90,-0.247927513443585,7703.08215881853,1
"2610307P16Rik",0.502587519025875,73,0.0482551686072208,7793.63710296494,1
"2700049A03Rik",0.463768115942029,23,0.233490130219779,54.1557402865301,1
"2700097O09Rik",0.678571428571429,42,0.574694165267329,10428.8347226763,1
"2810013P06Rik",0.46969696969697,11,0.120294233717711,118.88900884398,1
"2900026A02Rik",0.461538461538462,13,0.430634354329862,-988.506166364625,0
"2900093K20Rik",0.5,10,0.175086706558091,-4856.74492687577,0
"3110056K07Rik",0.454761904761905,28,-0.423807708906576,8299.11295028477,1
"3110082I17Rik",0.5,27,-0.0389941316158637,-573.365331886624,2.30373061430422e-251
"3222401L13Rik",0.299019607843137,34,-0.68805599368526,-191.97641195903,1.71546126784539e-85
"4632427E13Rik",0.490318416523236,166,0.0521754650128623,7593.85686259504,1
"4732440D04Rik",0.351278820530645,274,-0.906890595608518,7969.35477581728,1
"4732471J01Rik",0.533333333333333,25,-0.516790998079577,-318.050543691539,2.35451151757864e-140
"4833420G17Rik",0.652777777777778,24,1.43295940727611,-2773.9343175341,0
"4833439L19Rik",0.351515151515152,11,-0.11321061044799,-6062.65616848636,0
