"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"1110004F10Rik",10,0.3,2.2,0.177777777777778,5.65615612938007,12.1203345629561,0.31818181818184,0.0562540727136387,1.06475263977979,1,3.36608035507803,2.22525603486596,3.36608035507803,-3.30982628236439,0.383333333333333,10,-0.777607578663551,-23.0894150590572,-22.4469074850683,-0.642507573988876,0.256968631726885
"1500004A13Rik",11,0.166666666666667,2.27272727272727,0.418181818181818,2.2828069628893,9.13122785144168,0.200000000002025,0.0876114376963738,1.10548186846374,2,2.50474064882332,1.67321384724174,2.50474064882332,-2.41712921112695,0.362068965517241,11,-1.05889368905357,-22.0563509581969,-22.873653775139,0.817302816942021,1
"1600010M07Rik",16,0.604166666666667,2.5625,0.795833333333333,0.33719358582666,0.215803894933524,0.609756097556056,1.80832650200384,2.00838045016552,3,0.938410884618344,1.30111758344429,0.938410884618344,0.869915617385496,0.509433962264151,16,0.263034405833793,-41.8510006452175,-42.7596664895886,0.908665844371143,1
"1600020E01Rik",11,0.371212121212121,2.36363636363636,0.454545454545455,0.119824912340104,0.191719859744166,0.384615384615385,3.20981152503343,2.03890642785186,4,1.77350243398981,2.38009152237617,1.77350243398981,1.43630909104362,0.334782608695652,11,-1,-20.1403134864499,-19.0298724468531,-1.1104410395968,0.13615524964348
"1700025G04Rik",49,0.583096268810555,3.53061224489796,4.17091836734694,1.50447617140058,1.12455794629942,0.572254335260116,0.380367829107842,1.70308574920654,5,0.375884658776359,0.390548668480297,0.375884658776359,0.00448317033148321,0.541477272727273,49,0.362570079384708,-86.126166846478,-85.618122561108,-0.508044285370019,0.313448611274021
"2210408F21Rik",83,0.459827989948472,3.98795180722892,5.45107258301499,2.85281952490672,3.23933055731054,0.468277945619558,0.164145660645978,1.42125559038481,6,0.31167445198636,0.266398255234195,0.31167445198636,-0.147528791340382,0.474951606658924,83,-0.346175641134039,-131.94047250054,-131.152006174654,-0.788466325886105,0.209203074049439
"2610035D17Rik",19,0.833333333333333,2.42105263157895,0.590643274853801,1.52600306439209,0.321263803029915,0.826086956521739,0.541340299896988,1.49262780578486,7,1.44646117000822,1.15262235526962,1.44646117000822,-0.905120870111232,0.810810810810811,19,2.65207669657969,-29.0850745920719,-19.0950647344838,-9.99000985758806,7.82556159702702e-06
"2610037D02Rik",36,0.474404761904762,2.86111111111111,2.18015873015873,0.56308474284662,0.645201267813187,0.466019417488031,0.827618619414398,1.84253657100751,8,0.572346763250077,0.689021538090634,0.572346763250077,0.255271856164321,0.460224089635854,36,-0.222392421336448,-74.9407663095494,-74.6905485374137,-0.250217772135642,0.479308810316277
"2610203C22Rik",10,0.541666666666667,2.4,0.488888888888889,0.000542208875542209,0.000458792125458793,0.541666666666666,998.999999999999,2.75404871049088,9,1.55630426834395,380.386056919474,1.55630426834395,997.443695731655,0.622222222222222,10,0.398549376490275,-27.0305057450454,-26.5694174688357,-0.461088276209683,0.336904128930293
"2610307P16Rik",37,0.431788931788932,3.75675675675676,4.68918918918919,1.706247253979,2.11904900897392,0.446043165467626,0.26141766055737,1.57156394915946,10,0.340614647228832,0.322285174826783,0.340614647228832,-0.0791969866714619,0.482908163265306,37,0.0255350921071369,-55.6708537269947,-56.0136175379927,0.342763810997994,1
"2700097O09Rik",11,0.568181818181818,2.45454545454545,0.672727272727273,0.394684755315843,0.232167503126975,0.629629629629621,1.5952722296704,1.89271540716574,11,1.29286278959683,1.45228329297621,1.29286278959683,0.302409440073576,0.725,11,1.26303440583379,-29.9187930092914,-26.4258617545037,-3.49293125478771,0.00821560517923144
"2900026A02Rik",10,0.55,2.4,0.488888888888889,0.00415335000572765,0.0029666785764997,0.583333333253048,140.448874390216,2.39010243095935,12,1.55630426834395,54.3539839031009,1.55630426834395,138.892570121872,0.641025641025641,10,0.925999418556224,-22.3164358167064,-21.531949163973,-0.784486652733342,0.210356177298274
"3110056K07Rik",10,0.15,2.2,0.177777777777778,0.92559815817447,4.16519169606163,0.181818182379748,0.196433172186019,1.20066727805736,13,3.36608035507803,2.27848860428585,3.36608035507803,-3.16964718289201,0.361111111111111,10,-1,-26.3960916648065,-27.7269405366391,1.33084887183256,1
"4632427E13Rik",46,0.496195652173913,2.73913043478261,1.21932367149758,1.59106043165571,1.6953922632397,0.484126984126984,0.30427944438489,1.40572549449078,14,0.656854998439623,0.54561571989275,0.656854998439623,-0.352575554054734,0.422619047619048,46,-0.365284464081745,-76.9277221438115,-76.4972891278957,-0.430433015915796,0.353496452193119
