"","AR","N","log2FC","llr","pval"
"1110004F10Rik",0.3,10,-0.465663572348812,-16.2652767535311,1.17333317081706e-08
"1500004A13Rik",0.166666666666667,11,-0.959358015502654,-12.3861331515381,6.45191422372143e-07
"1600010M07Rik",0.604166666666667,16,0.415037499278844,-4.67041251182288,0.00224104612386334
"1600020E01Rik",0.371212121212121,11,-0.819427754358179,-13.7063982456175,1.64340169123655e-07
"1700025G04Rik",0.583096268810555,49,0.372658897008292,-2.7454980127937,0.0191146505228126
"2210408F21Rik",0.459827989948472,83,-0.169925001442312,-2.15527865047525,0.0378765513404713
"2610035D17Rik",0.833333333333333,19,2.44745897697122,-2.5369775107204,0.02428790774402
"2610037D02Rik",0.474404761904762,36,-0.346450414021432,0.78996125606141,1
"2610203C22Rik",0.541666666666667,10,0.584962500721156,8.14340619446543,1
"2610307P16Rik",0.431788931788932,37,-0.0896372124846765,-9.42703741447702,1.41109333353763e-05
"2700097O09Rik",0.568181818181818,11,1.23266075679027,-14.7442706033696,5.62482771535414e-08
"2900026A02Rik",0.55,10,0.53051471669878,7.66606995676155,1
"3110056K07Rik",0.15,10,-1.07400058144378,-10.3430142388269,5.41093814886945e-06
"4632427E13Rik",0.496195652173913,46,-0.238159737194765,-1.53685883290097,0.0795673196429382
"4732440D04Rik",0.332206119162641,69,-1.01354653183795,-1.20745941367092,0.120184199636298
"4732471J01Rik",0.416666666666667,27,-0.0255350921071376,-9.77899987772716,9.75912194983865e-06
"4833420G17Rik",0.604166666666667,12,1.52356195605701,0.680812966134486,1
"4930523C07Rik",0.529411764705882,17,-0.201633861169651,-8.42257641215854,4.05567784751294e-05
"4930578G10Rik",0.841666666666667,12,2.20945336562895,-2.75455143393746,0.0189177480841853
"4933406I18Rik",0.388383838383838,33,-0.841302253980942,1.58993557227233,1
"5031425E22Rik",0.625044378020568,63,0.55140994101013,-2.74335611558703,0.0191615435676371
"5033421B08Rik",0.366666666666667,15,-0.351472370501377,7.6451518458082,1
"5330438D12Rik",0.508333333333333,10,-0.255257055242074,-13.6180606717874,1.80063008626169e-07
"5430405H02Rik",0.424242424242424,11,0,-13.4391946482648,2.16668111037439e-07
"5430431A17Rik",0.516666666666667,13,0.0544477840223765,-17.1752980090361,4.60259393590902e-09
"6720427I07Rik",0.331944444444444,12,-0.160464672193246,-15.5990466312514,2.32994817447559e-08
"6820431F20Rik",0.7625,20,1.62293035092018,-8.18370329719382,5.21747650664269e-05
"9330159M07Rik",0.0686813186813187,35,-3.11547721741994,-3.1529825980226,0.0120332382956466
"9530026P05Rik",0.533306866517651,108,0.16806705522173,0.579112130753572,1
"9630014M24Rik",0.369047619047619,14,-0.214124805352848,-4.33514758318913,0.00323438799678924
