"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"1600010M07Rik",11,0.46969696969697,2.09090909090909,0.0909090909090909,0.000478739609189785,0.000522261391811217,0.478260869580595,998.999999999999,2.18409826704855,1,10.9721178751904,386.550928333821,10.9721178751904,988.027882124809,0.47972972972973,11,4.44089209850063e-16,-43.9979214471574,-43.8967859811227,-0.101135466034656,0.652894025608981
"1700025G04Rik",36,0.44755291005291,3.55555555555556,4.53968253968254,0.301372721223411,0.352452843224555,0.460937500169275,1.52945992689092,2.54478959598356,2,0.437385946370911,0.867179858555856,0.437385946370911,1.09207398052001,0.440370128929451,36,-0.244418727666446,-62.3275074609944,-61.7049156494971,-0.622591811497337,0.264474376907387
"2010001K21Rik",21,0.535353535353535,2.9047619047619,3.79047619047619,0.311522646958117,0.216335171498692,0.59016393442623,1.89444953742183,2.2381804280587,3,0.774856051613757,1.22673730902559,0.774856051613757,1.11959348580808,0.650438596491228,21,1.26748031086499,-40.6384637022264,-39.1804136388324,-1.458050063394,0.0876995868278346
"2210408F21Rik",38,0.513565162907268,4.71052631578947,11.5625889046942,2.0585038476787,1.8614130546953,0.5251396646781,0.255107448679429,1.7542694220354,4,0.291845832983364,0.287958197217874,0.291845832983364,-0.0367383843039349,0.534795321637427,38,0.0250909809628299,-58.7008279732375,-58.7202441446997,0.0194161714621544,1
"2610035D17Rik",11,0.772727272727273,2.36363636363636,0.454545454545455,0.964275154035419,0.289282549009422,0.769230767513321,0.797729532171548,1.63411825572983,5,2.54025971871148,1.96613455742316,2.54025971871148,-1.74253018653993,0.823979591836735,11,1.50250034052918,-24.2792819777202,-18.6339568210897,-5.64532515663044,0.000778983906458796
"2610037D02Rik",30,0.461666666666667,2.46666666666667,0.947126436781609,3.51618825688448,4.13669206692291,0.45945945945946,0.130669755397728,1.16956532501467,6,1.78031396067142,1.21525693068666,1.78031396067142,-1.64964420527369,0.425925925925926,30,-0.373458395527444,-59.2763719191761,-58.497911596741,-0.778460322435159,0.21211666725733
"2610307P16Rik",59,0.445480225988701,3.59322033898305,4.17650496785506,0.566266975244823,0.73860909741895,0.433962264392546,0.766356300762417,2.12561622854862,7,0.428816687722159,0.571783069946111,0.428816687722159,0.337539613040258,0.481457967537513,59,-0.398989558046974,-108.948161743872,-108.580857469521,-0.367304274351412,0.391393444967942
"4632427E13Rik",24,0.489583333333333,2.91666666666667,1.55797101449275,0.519968850040083,0.550555252985428,0.485714285713464,0.934121891486426,1.92267516746724,8,0.76522918128465,0.855752866660919,0.76522918128465,0.168892710201776,0.576969696969697,24,0.216811389073148,-47.6917480958335,-48.1125104078715,0.420762312037994,1
"4732440D04Rik",45,0.369241622574956,3.51111111111111,3.71010101010101,0.882763539540867,1.60789073273515,0.354430379746835,0.401500927339135,1.71948982563953,9,0.448386490579318,0.446043449434319,0.448386490579318,-0.0468855632401832,0.323251028806584,45,-0.985500430304885,-80.3409709266003,-72.7574341283858,-7.58353679821451,9.84044443888294e-05
"5031425E22Rik",42,0.571768707482993,2.95238095238095,1.55865272938444,1.71176849487547,1.19589305806368,0.588709677419355,0.343918981557248,1.50083400933321,10,0.737478537722382,0.613455836114526,0.737478537722382,-0.393559556165134,0.584632034632035,42,0.389946518316014,-73.3276223823831,-72.6193973396851,-0.708225042698004,0.233988586428925
