"term","estimate","se","z","p","gene"
"sexM",0.0923141327734207,0.283651044826386,0.325449648281477,0.746226454322087,"9530026P05Rik"
"sexM",0.425667815425633,0.476887812458042,0.892595290350567,0.376186129324383,"Abi1"
"sexM",0.354638542507152,0.178716954691053,1.98435869232561,0.0525046649584883,"Ablim1"
"sexM",0.250935712124136,0.185033762472162,1.35616175540877,0.18139322842579,"Adk"
"sexM",-0.0500615764664841,0.151330105249441,-0.330810425222176,0.742091999567715,"Atp2a2"
"sexM",-0.0159365922603721,0.140318010348448,-0.113574816381712,0.910012217445406,"Cacna1c"
"sexM",0.0522552733898163,0.187861072441005,0.278159134890632,0.781746824638476,"Cacnb2"
"sexM",0.106719557737554,0.145010505658914,0.735943628722834,0.463289939318515,"Celf2"
"sexM",-0.0170297398442619,0.194285129516954,-0.0876533365502675,0.930336709645952,"Efna5"
"sexM",-0.207656701524733,0.238682269656214,-0.870013100779676,0.388369788237859,"Ext1"
"sexM",0.155501118924986,0.216042994536404,0.719769318411215,0.475157266807188,"Fhl2"
"sexM",0.185617533700849,0.279908925147667,0.663135459517505,0.509964377577675,"Gm56730"
"sexM",0.0496538463863771,0.278956845681388,0.177998307462544,0.859344540322491,"Gpm6a"
"sexM",-0.0420007643968579,0.201730565816343,-0.208202283213222,0.835732190886447,"Heg1"
"sexM",-0.232230767916673,0.262374489016557,-0.885111844475163,0.38025049339773,"Igfbp5"
"sexM",-0.448475897734148,0.348576321688787,-1.28659312130372,0.202799686493114,"Kcnd2"
"sexM",-0.0681838838514499,0.178437233567752,-0.382116907374944,0.703660627436127,"Lncpint"
"sexM",0.0412901109870972,0.0387153949154648,1.06650367579239,0.28817267571659,"Malat1"
"sexM",-0.207130995100876,0.222806865250263,-0.929643684310272,0.355538165962662,"Mast4"
"sexM",0.0446101532591188,0.215900856061647,0.206623327359022,0.837067071153025,"Mbnl2"
"sexM",0.00861552554077949,0.23502397956613,0.0366580701964298,0.970871743689254,"Mir99ahg"
"sexM",0.170649055516823,0.194427139971459,0.877701824662307,0.383065978614383,"Muc16"
"sexM",0.14511398724266,0.132641337154651,1.09403290373549,0.279080940939548,"Myh6"
"sexM",0.252318452972361,0.139302007619182,1.81130521580234,0.0739433230346326,"Neat1"
"sexM",-0.0356926346446181,0.200225928809305,-0.178261800841048,0.859063414708297,"Nfia"
"sexM",0.312912139179536,0.187807494766196,1.66613233177454,0.0997504052709518,"Pbx1"
"sexM",-0.0487319030608196,0.16908086756851,-0.288216542543312,0.774349104740232,"Pcdh7"
"sexM",-0.0594327241376959,0.19871538546153,-0.299084663221519,0.76584451329015,"Pdlim5"
"sexM",-0.0784716154414945,0.226998542814082,-0.345692154974603,0.730516769155877,"Plxna4"
"sexM",-0.0496907652836064,0.216083975785638,-0.229960435996888,0.818644370522896,"Rbfox1"
"sexM",-0.106670498557683,0.140172412729485,-0.760994952434355,0.450306910387172,"Rbm20"
"sexM",0.0153767610848196,0.1974520894934,0.0778759096663478,0.938165996804937,"Rora"
"sexM",0.118231857628304,0.133313118647342,0.886873391215667,0.37931027169381,"Ryr2"
"sexM",-0.106052093563405,0.136478902493196,-0.777058516928596,0.440394453275494,"Slc8a1"
"sexM",0.245500458415486,0.292358250325056,0.83972474914776,0.404834755395897,"Slit3"
"sexM",0.130504393404817,0.135271419256464,0.964759548780889,0.339217823930841,"Sorbs1"
"sexM",0.115886928621241,0.189870353008773,0.610347675584123,0.54360806285898,"Sptbn1"
"sexM",-0.0123961661083298,0.0987062691487211,-0.1255864112304,0.900553085660287,"Ttn"
"sexM",0.0374020185465858,0.233593587760522,0.16011577588735,0.873434989721189,"Zbtb16"
"sexM",-0.397166305249079,0.211877099580349,-1.87451265868619,0.0659872954747985,"Zfpm2"
