"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"1110002E22Rik",10,0.316666666666667,2.2,0.177777777777778,0.109841435624383,0.235374504909392,0.318181818181818,2.89673761429959,1.89879755903283,1,5.13123132011549,4.45962841755298,5.13123132011549,-2.23449370581589,0.488888888888889,10,-0.241008099503794,-31.4893257030081,-34.1818712543893,2.69254555138117,1
"1110059E24Rik",10,0.516666666666667,2.2,0.177777777777778,0.00050050050051117,0.000500500500489832,0.500000000010658,998.999999999999,2.27244441456059,2,5.13123132011549,382.726690083009,5.13123132011549,993.868768679884,0.431372549019608,10,-0.547487795302493,-35.4131700592182,-35.3659364288927,-0.0472336303255361,0.758572972450129
"1500004A13Rik",14,0.601190476190476,2.35714285714286,0.554945054945055,0.388116147491159,0.252275495869254,0.606060606060606,1.56154442420979,1.8276995395666,3,2.47585739552243,2.21402433101099,2.47585739552243,-0.914312971312636,0.412820512820513,14,-0.584962500721157,-51.5802659592395,-55.8104963591967,4.23023039995716,1
"1600010M07Rik",19,0.473684210526316,2.26315789473684,0.204678362573099,0.000465581860930699,0.000535419140070303,0.465116279069767,998.999999999999,2.78630687582625,4,3.71772220140439,381.801214885249,3.71772220140439,995.282277798595,0.414285714285714,19,-0.536052900240209,-60.5246327590612,-59.7808432574887,-0.743789501572493,0.222592471413429
"1600020E01Rik",12,0.208333333333333,2.5,1,0.358326780873065,1.4333071234788,0.200000000001503,0.558149741178156,1.53731973868839,5,1.58531512097611,1.24991835717554,1.58531512097611,-1.02716537979795,0.239130434782609,12,-1.32192809488736,-37.4942004045042,-29.919532287676,-7.57466811682817,9.93332278686076e-05
"1700025G04Rik",75,0.488825396825397,3.22666666666667,3.47495495495495,0.560459182390551,0.579298145967447,0.491735537421796,0.877379750161957,2.04017861027516,6,0.639406251343704,0.751824425864888,0.639406251343704,0.237973498818253,0.551140174379611,75,0.168505724356977,-132.175288245825,-132.541080353219,0.36579210739373,1
"1700087I21Rik",11,0.0454545454545454,2,0,45454.5457585443,954545.454241456,0.0454545457585443,1e-06,0.49248146959594,7,NA,1e-06,16.3466181013157,-16.3466171013157,0.0606060606060606,11,-4.08746284125034,-25.1647958047688,-7.76376526989043,-17.4010305348784,3.64986863814678e-09
"1700109H08Rik",12,0.458333333333333,2.08333333333333,0.0833333333333333,0.00465725953050675,0.00504536449138231,0.48,103.064902622631,2.07276992794145,8,9.90998028561641,45.6269907071645,9.90998028561641,93.154922337015,0.5,12,-0.241008099503794,-34.1113552790308,-34.1404945467121,0.0291392676813018,1
"2210408F21Rik",175,0.507098948670377,3.6,3.67816091954022,0.960590027801702,0.948469017965908,0.503174603180207,0.52381826649993,1.89376614775148,9,0.50607703435825,0.530265143340163,0.50607703435825,0.0177412321416803,0.546922102174203,175,0.244934989987537,-275.246595566515,-275.254524922337,0.00792935582137488,1
"2210408I21Rik",14,0.511904761904762,2.28571428571429,0.21978021978022,0.209562779234462,0.184908334618643,0.53125,2.5350398670063,1.91890594929942,10,3.34138252908183,3.15039654208565,3.34138252908183,-0.806342662075537,0.556428571428571,14,0.321928094887362,-35.3558562024992,-35.1937699450094,-0.162086257489712,0.569110840236516
"2310014F06Rik",32,0.313988095238095,2.53125,1.16028225806452,0.682482478377171,1.36496495675434,0.333333333333333,0.488413027285249,1.49882753372263,11,1.46366109300739,1.14378479845013,1.46366109300739,-0.975248065722139,0.371693121693122,32,-0.952694285221644,-55.1307409820911,-52.5316574502864,-2.59908353180475,0.0226107183506234
"2310039L15Rik",12,0.75,2,0,0.000750750750137669,0.000250250250863333,0.74999999938753,998.999999999999,2.14469094972232,12,16.9070900263922,390.436767804272,16.9070900263922,982.092909973607,0.642857142857143,12,1.18442457113743,-19.3655886676758,-19.0472918184341,-0.318296849241694,0.42494696661866
"2610008E11Rik",13,0.692307692307692,2.15384615384615,0.141025641025641,0.172412056854071,0.0689648227421865,0.714285714284063,4.14289886285987,1.93135975636073,13,6.59248995789633,5.88959273135425,6.59248995789633,-2.44959109503646,0.758064516129032,13,1.78135971352466,-43.4402167672753,-35.0539318488104,-8.38628491846484,4.21380440564036e-05
"2610035D17Rik",16,0.885416666666667,2.375,0.383333333333333,2.59114080400537,0.304840094588867,0.894736842105263,0.345306144969885,1.33283645476875,14,2.31919226449371,1.64958740413111,2.31919226449371,-1.97388611952382,0.833333333333333,16,2.0703893278914,-43.003937434889,-30.643186842016,-12.360750592873,6.62410517748476e-07
"2610037D02Rik",34,0.447058823529412,2.67647058823529,1.07397504456328,1.86570160512176,2.27524585990458,0.450549450549451,0.241490627071657,1.32665695125249,15,1.09049740230508,0.805693124840666,1.09049740230508,-0.849006775233425,0.494100294985251,34,-0.0369942074822025,-94.217476026227,-94.6788406015398,0.461364575312885,1
"2610307P16Rik",39,0.500641025641026,2.71794871794872,1.944669365722,0.438507732634136,0.422266705499538,0.509433962264151,1.16174453573249,1.9232297528974,16,1.02373392725689,1.11144418898848,1.02373392725689,0.138010608475598,0.459301994301994,39,-0.265590110737549,-92.8513262364017,-92.947485403385,0.0961591669833126,1
"2700097O09Rik",23,0.559316770186335,2.52173913043478,1.53359683794466,0.264570222751285,0.200431986932792,0.56896551724138,2.15052741508347,2.04133075677786,17,1.49867356671819,1.79789140165862,1.49867356671819,0.651853848365284,0.690821256038647,23,0.97575245375332,-55.0140958308057,-52.1056416417635,-2.9084541890422,0.0158728210155
"3110056K07Rik",13,0.525641025641026,2.15384615384615,0.141025641025641,0.000500500500490561,0.000500500500510441,0.49999999999007,998.999999999999,2.4117726099073,18,6.59248995789633,383.683428606217,6.59248995789633,992.407510042103,0.505747126436782,13,0.0721497857558346,-58.3624678141015,-58.3677509784164,0.00528316431495313,1
"3222401L13Rik",26,0.353846153846154,2.5,0.98,1.20659215968278,1.93054745549254,0.384615384615373,0.318761713747992,1.36928928942889,19,1.58531512097611,1.15901151131598,1.58531512097611,-1.26655340722812,0.455696202531646,26,-0.301655699861102,-62.2773843378391,-62.6908528490661,0.413468511226952,1
