"","AR","N","log2FC","llr","pval"
"1110002E22Rik",0.316666666666667,10,-0.415037499278844,-14.3870851633689,8.13285629846159e-08
"1110059E24Rik",0.516666666666667,10,-0.51937415909358,-15.0285520108081,4.19508887082454e-08
"1500004A13Rik",0.601190476190476,14,-0.122856747785534,-19.6556966236793,3.61326823120255e-10
"1600010M07Rik",0.473684210526316,19,-0.334419039070559,-1.25159650018598,0.113615737067906
"1600020E01Rik",0.208333333333333,12,-1.92599941855622,-11.4688457595265,1.67338252608707e-06
"1700025G04Rik",0.488825396825397,75,0.0637255976103872,0.659300019730637,1
"1700087I21Rik",0.0454545454545454,11,-3.26303440583379,-5.78925109177628,0.000667186603765833
"1700109H08Rik",0.458333333333333,12,-0.356143810225275,-20.5915216058461,1.38619905269705e-10
"2210408F21Rik",0.507098948670377,175,0.064851144349968,-0.201212563325754,0.525839470788256
"2210408I21Rik",0.511904761904762,14,0.186413124230881,-20.4494695649355,1.60308136999031e-10
"2310014F06Rik",0.313988095238095,32,-0.917537839808027,-8.1882583422874,5.19245828074739e-05
"2310039L15Rik",0.75,12,1,-13.0041422768061,3.39955414532202e-07
"2610008E11Rik",0.692307692307692,13,1.77444029958487,-17.0606238653936,5.17827377276969e-09
"2610035D17Rik",0.885416666666667,16,2.78849589480629,-10.4138138234439,5.02528009511661e-06
"2610037D02Rik",0.447058823529412,34,-0.297385910624571,-4.51045701415511,0.00266907891042787
"2610307P16Rik",0.500641025641026,39,-0.122484006524995,-0.156219110295808,0.57618783567143
"2700097O09Rik",0.559316770186335,23,0.73039294024272,-10.1864431857126,6.37263375532404e-06
"3110056K07Rik",0.525641025641026,13,-0.238159737194765,-18.0562266897676,1.86252748410156e-09
"3222401L13Rik",0.353846153846154,26,-0.473931188332412,-15.8417426059308,1.81458713602726e-08
"4632427E13Rik",0.524259259259259,90,0.221079089392415,-10.2359064840887,6.0515914078322e-06
"4732440D04Rik",0.335296416546417,132,-1.16364264919066,-2.26685704846196,0.0332334164214559
"4833422C13Rik",0.578125,16,0.982297998266541,4.66399699098107,1
"4921524J17Rik",0.416666666666667,10,-0.652076696579693,-11.0048998839598,2.71261909813449e-06
"4930506C21Rik",0.394736842105263,19,-1,-12.7217731446239,4.55518923315605e-07
"4930523C07Rik",0.430555555555556,12,-0.104336659814736,-13.7087239623788,1.63945363119435e-07
"4933431K23Rik",0.458974358974359,26,-0.219009781941796,-11.1476357091216,2.33781573231216e-06
"5031425E22Rik",0.563807488807489,117,0.337950112611705,-7.12997518033012,0.000159216817769338
"5330438D12Rik",0.54320987654321,27,-0.181838322985813,-1.3782187474101,0.0968637196844663
"5430405H02Rik",0.357142857142857,14,-0.700439718141092,-19.4461027460456,4.47865303585328e-10
"5430431A17Rik",0.462962962962963,27,-0.125530882083859,-15.8412245478391,1.81555549571564e-08
"6030443J06Rik",0.841666666666667,10,1.51457317282976,-9.00166506081614,2.20518868049739e-05
"6720427I07Rik",0.579365079365079,21,0.437405312307298,-16.1675363525785,1.29750125897687e-08
"6820431F20Rik",0.6875,16,1.89308479608349,-33.7875412097077,2.02814616989391e-16
"9330159M07Rik",0.0927598971077232,69,-3.14684138832927,-2.11125780050732,0.039890977808974
"9330188P03Rik",0.743589743589744,13,1.38466385023533,-10.9053581138859,3.00914755235552e-06
"9530026P05Rik",0.561154541158846,303,0.376831495442247,0.432685537550128,1
"AU040320",0.777777777777778,18,0.489384840738925,-4.82416955822283,0.00189522867233143
"AW554918",0.521825396825397,42,0.0780025120012731,-6.06810042459045,0.000494524151541038
"Aaas",0.05,10,-5.97727992349992,-4.41737427337551,0.00295548358488729
"Aak1",0.422619047619048,92,-0.0728788799170957,-6.66820140662907,0.000260303199919222
"Aamdc",0.55,10,-0.509013647487857,-14.1827288759636,1.0044157559429e-07
"Abca1",0.44,25,-0.106915203916512,5.3857219233688,1
"Abca6",0.625806451612903,31,0.966052668076662,8.4258236656975,1
"Abca8a",0.695283796959055,97,1.12009384549031,-3.16721423931156,0.0118416268079812
"Abca8b",0.663194444444444,32,0.765534746362977,-8.92431491547944,2.39191433880503e-05
"Abca9",0.588235294117647,17,-0.0310268956206241,-7.54770158265239,0.000102211881975189
"Abcc1",0.411111111111111,15,-0.485426827170242,-21.6395099175906,4.74645629729437e-11
"Abcc5",0.491242937853107,59,-0.0119726416660759,-3.23108773424342,0.0110194654416545
"Abcc9",0.425,144,-0.311768228667141,-18.0592053601889,1.85684223037744e-09
"Abcd3",0.625595238095238,56,0.524266569033602,-5.73183287879003,0.000709701666732631
"Abhd17b",0.3375,20,-0.549338590990434,-7.67927066844321,8.89180400338755e-05
"Abhd18",0.496134453781513,85,-0.0415791037513995,0.443701844986549,1
"Abhd2",0.285714285714286,14,-0.788495894806288,-18.1582229800864,1.67742394315857e-09
"Abhd5",0.55,10,0,-14.1958014611495,9.90941948121993e-08
"Abhd6",0.136363636363636,11,-2.12553088208386,-7.33268874769235,0.00012838295470325
"Abi1",0.679760950854701,96,1.11640949211531,-3.66390105407427,0.00678960287253399
"Abi2",0.44047619047619,35,-0.207804885113402,-4.66886330653094,0.00224483835247219
"Abl2",0.491111111111111,15,0.0269670476002695,-23.1893777409508,9.74665644387191e-12
"Ablim1",0.477443511864207,262,-0.0489096004809466,-1.04900213857832,0.147491541418249
"Ablim2",0.58974358974359,13,0.048909600480946,-12.1054519129114,8.63420666855096e-07
"Ablim3",0.380952380952381,14,-0.0473057147783571,-4.63775640293404,0.00232237659400145
"Abr",0.517857142857143,14,0.115477217419936,-18.9203259103881,7.67653471697546e-10
"Abra",0.346802272122341,85,-0.94865311999978,0.253298861358672,1
"Abtb2",0.486309523809524,84,0.059239203374676,0.761896507116802,1
"Abtb3",0.742424242424242,11,0.637429920615292,-11.9928888997799,9.70499454525127e-07
"Acaca",0.517543859649123,19,-0.175849835399418,-12.3272166353938,6.85867942605199e-07
"Acacb",0.501657435042528,161,0.0647056893878153,-6.13421344390244,0.000460686453101218
"Acad10",0.507936507936508,21,0.192645077942396,-9.7133899097682,1.045309911616e-05
"Acad11",0.515625,16,0.618909832644494,-6.21523428820524,0.000422385912158089
"Acadl",0.448724954462659,61,-0.254572827085598,-4.89972960913227,0.0017456319635115
"Acadm",0.503100775193798,43,0.134649526694782,-13.4802089497256,2.07664820368584e-07
"Acadsb",0.4375,28,-0.254572827085598,-11.3922909897129,1.81213686350344e-06
"Acap2",0.505208333333333,32,-0.111031312388744,-8.83254985229392,2.63415724795086e-05
"Acat1",0.586507936507937,63,0.456857674973471,0.485539199538479,1
"Acbd3",0.568421052631579,19,0.278301162487105,-13.8488763053555,1.4182738413972e-07
"Acbd5",0.495098039215686,17,0.495957494662411,-23.6904412506102,5.8449961448139e-12
"Acbd6",0.4,15,-0.0627357553479624,-19.4508131060847,4.45709153212368e-10
"Acer2",0.512878787878788,44,0.03005723385618,0.733141344316159,1
"Acer3",0.5,17,0.169925001442313,-9.58499640450852,1.19578439096321e-05
"Acin1",0.523148148148148,18,0.0631938264871938,-16.6956088590467,7.53635192588057e-09
"Ackr3",0.663978494623656,31,0.937264244652038,2.59770595928992,1
"Aco2",0.455409339922614,113,-0.270089163367744,-2.71704049314192,0.0197474792388976
"Acot11",0.380952380952381,14,-0.597901556428655,-27.338611489502,1.42043032049802e-13
"Acot13",0.411904761904762,42,-0.41046476948902,-2.42983088576946,0.0274917251435977
"Acot7",0.5,13,0.331205908475373,-23.6634500079054,6.00820060674576e-12
"Acox1",0.455645161290323,62,-0.265053573470446,0.868341298958725,1
"Acsl1",0.430064247921391,84,-0.297680548640685,-2.49542241943816,0.0254817648147709
"Acsm5",0.0769230769230769,13,-3.4374053123073,-8.40389732945956,4.13630546623232e-05
"Acss1",0.5964072543618,132,0.483560468512943,-0.108840589771347,0.640812451622436
"Acss3",0.366666666666667,10,-0.637429920615292,-10.1022582222058,6.95884445924584e-06
"Actc1",0.3979745697137,138,-0.401666735910385,0.971877574025825,1
"Actc1dt",0.458771929824561,38,-0.28590887208638,-0.978168745752477,0.161905559369529
"Actn1",0.606666666666667,10,1.17833724125851,-14.5222160552913,7.0737115152068e-08
"Actn2",0.476830397727197,234,-0.0723004746050313,-0.0586313409111199,0.732022506034897
"Actn4",0.558333333333333,20,-0.0255350921071376,-22.5473514256954,1.87732521770416e-11
"Actr10",0.535714285714286,14,-0.0347654181606765,-18.8230719214004,8.481417900091e-10
"Actr2",0.621794871794872,26,0.331205908475373,-1.65889962244283,0.0685335133218102
"Actr3",0.466339869281046,51,-0.228624375047963,-2.72610399463044,0.01954361102592
"Actr3b",0.75,14,0.71822903158462,-5.33697747739187,0.00108654555631314
"Acvr1",0.356060606060606,22,-0.0888092669578562,-7.07665988465189,0.000168499513282504
"Acvr2a",0.454022988505747,29,0.212544635380101,0.76869493820665,1
"Acyp2",0.432310778711664,256,-0.427570177845685,-4.82546933077799,0.00189254852005151
"Adam10",0.386111111111111,24,-0.504042505337589,-16.5738080845417,8.54210346074799e-09
"Adam17",0.375,18,-0.697437229979569,-11.756892034492,1.24022035642006e-06
"Adam19",0.394713478611784,59,-0.73039294024272,-2.77619344736888,0.0184555030110092
"Adam22",0.65462962962963,45,1.0962153152593,-8.66710771521899,3.13491268998914e-05
"Adam9",0.36231884057971,23,-0.263034405833793,-15.346474785157,3.02261342361137e-08
"Adamts1",0.572530864197531,27,0.331843563752445,-7.12598831998271,0.000159892791763913
"Adamts12",0.375905797101449,46,-0.772589503896927,-0.909056117544644,0.177538146978434
"Adamts17",0.85,10,0.736965594166206,-6.60444982862418,0.000278622903411452
"Adamts2",0.601111111111111,30,0.426264754702098,5.07880018558119,1
"Adamts3",0.694444444444444,12,0.748461233004035,-14.2738120324639,9.14219407771639e-08
"Adamts6",0.462962962962963,27,-0.38060400221497,-0.204083140564087,0.522901698954886
"Adamts9",0.6039227072943,82,0.408911396482002,1.01117780037855,1
"Adamtsl5",0.393030303030303,65,-0.52954938040255,-2.89990285753888,0.0160279454963584
"Adap2",0.523809523809524,56,0.243042930646328,17.5074987187632,1
"Adap2os",0.348484848484849,11,0.425305834732671,-17.9347762729245,2.10980090210513e-09
"Adar",0.681818181818182,11,0.862496476250065,-13.413796401532,2.22438527243255e-07
"Adarb1",0.423333333333333,30,-0.0374747054186626,1.55719828269039,1
"Adck1",0.337962962962963,18,-0.0588936890535687,-22.7653373938524,1.50266978877855e-11
"Adcy5",0.404166666666667,20,-0.369233809665719,-8.26843692496114,4.77131206907346e-05
"Adcy6",0.421212121212121,66,-0.347098670622268,-6.36355065878587,0.00036039469446314
"Adcy8",0.366666666666667,10,-1.66742466091313,-12.9045109847481,3.76922491164035e-07
"Adcy9",0.497912087912088,65,0.227667363377122,35.8340687004473,1
"Add1",0.493055555555556,12,0.321928094887362,-23.7084627536188,5.73850540983215e-12
"Adgra3",0.504385964912281,19,-0.160464672193246,-13.2200835267153,2.7182868775645e-07
"Adgrf5",0.481818181818182,22,0.280107919192735,0.22245739701766,1
"Adgrl2",0.536489898989899,66,0.275179835695883,0.338577345140536,1
"Adgrl3",0.420795660036166,79,-0.635085980146992,-1.69274022862875,0.0657730066614909
"Adgrl4",0.453238095238095,25,-0.376148485885249,-12.3216241642009,6.89860198856942e-07
"Adhfe1",0.378787878787879,22,0.121306296222134,6.03396489234107,1
"Adipor2",0.676470588235294,17,0.747233929620033,-11.4882412595273,1.63995363396582e-06
"Adk",0.467083933392079,241,-0.170722290791639,-1.52356053481202,0.0808803971104265
"Adprhl1",0.474696339259446,103,-0.278155692858457,-3.29358998960211,0.0102715753312294
