"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"1700025G04Rik",35,0.403036487322202,3.65714285714286,5.52605042016807,3.02622863473713,4.14705405501014,0.421875,0.139406188665796,1.32506113119324,1,0.366742210506894,0.293058358751455,0.366742210506894,-0.227336021841098,0.396969696969697,35,-0.777607578663552,-56.7169934475339,-54.5224912804563,-2.19450216707759,0.0361714309275234
"2210408F21Rik",43,0.415356220007383,3.44186046511628,4.58582502768549,2.11218448310778,2.92980428122728,0.418918919067908,0.198334436417944,1.40497905591745,2,0.405156791754593,0.340587580670231,0.405156791754593,-0.206822355336649,0.410364145658263,43,-0.757799097583372,-73.321981347482,-71.0497498608397,-2.27223148664235,0.0330253801393968
"2610035D17Rik",11,0.759090909090909,2.81818181818182,1.56363636363636,17.2279715574031,5.02482504903097,0.774193547988566,0.0449381719379425,1.08171060148689,3,0.706622097772987,0.479716000107154,0.706622097772987,-0.661683925835044,0.760869565217391,11,1.28950661719498,-18.7680867767285,-16.0354586033842,-2.73262817334429,0.0193982083102212
"2610037D02Rik",17,0.459803921568627,2.70588235294118,1.47058823529412,1.42625469239691,1.69792225285347,0.456521739130435,0.320084303009879,1.41306836692162,4,0.846011462812243,0.675465097266241,0.846011462812243,-0.525927159802364,0.401960784313726,17,-0.447458976971221,-30.6312897366895,-30.0687048566663,-0.562584880023213,0.288807987926699
"2610307P16Rik",34,0.552696078431373,4.02941176470588,7.18092691622103,532846.715325258,467153.284674742,0.532846715325258,1e-06,0.976968062770144,5,NA,1e-06,0.324464485062868,-0.324463485062868,0.596099004573581,34,0.321928094887363,-63.8321353802457,-63.2465123739094,-0.585623006336391,0.279145366321958
"2900026A02Rik",10,0.566666666666667,2.3,0.233333333333333,8.58197577256191,6.60151983031587,0.565217391108233,0.0658609865708702,1.07982164946434,6,2.06760363615458,1.37874487671258,2.06760363615458,-2.00174264958371,0.389880952380952,10,-0.20163386116965,-24.8287876054409,-25.8626094108242,1.03382180538329,1
"4632427E13Rik",26,0.394871794871795,2.46153846153846,0.658461538461538,0.268357744880453,0.392215165592595,0.406250000001177,1.51383743436267,1.91799390151267,7,1.27231682219014,1.40790650422555,1.27231682219014,0.241520612172529,0.414893617021277,26,-0.716207033999409,-40.3775649889629,-39.2797578429823,-1.09780714598062,0.138404022633727
"4732440D04Rik",32,0.321118551587302,3.78125,3.27318548387097,1.53734664192875,3.35788871789672,0.314049586776877,0.204280269791901,1.48329525444716,8,0.350598064630746,0.307123933507234,0.350598064630746,-0.146317794838845,0.338775510204082,32,-0.923378718397087,-46.4798011043412,-42.9461679625288,-3.53363314181245,0.00785049465615699
"5031425E22Rik",36,0.601124338624339,3.08333333333333,1.96428571428571,3.82159508267251,2.70451344312208,0.585585585585586,0.153230672773442,1.27620327660925,9,0.503069265969623,0.387566383355447,0.503069265969623,-0.349838593196181,0.5775956284153,36,0.618129364656356,-58.9889287990383,-57.5869793192477,-1.40194947979061,0.0940353818564504
"5330438D12Rik",13,0.455128205128205,2.46153846153846,0.602564102564103,0.18493923250825,0.237779013224891,0.437500000000002,2.36564191419193,1.99724075983083,10,1.27231682219014,1.73137655985691,1.27231682219014,1.09332509200179,0.388888888888889,13,-1.10691520391651,-21.9178172708952,-21.149018008998,-0.768799261897193,0.214975614314995
"9330159M07Rik",14,0.0416666666666667,2.5,0.576923076923077,57142.8572312205,942857.142768779,0.0571428572312205,1e-06,0.548425057318189,11,NA,1e-06,1.17446952144329,-1.17446852144329,0.0263157894736842,14,-4.75488750216347,-18.9118046117947,-3.75774765200913,-15.1540569597855,3.6858083351541e-08
"9530026P05Rik",59,0.466914922896977,6.5593220338983,13.9403857393337,1.96106418752488,2.01240094632935,0.49354005168347,0.251669504151408,2.11759227079869,12,0.170998079152909,0.207529282994801,0.170998079152909,0.080671424998499,0.462747252747253,59,-0.158503822362487,-118.217894148161,-117.867820878024,-0.350073270136789,0.402734458974904
"9630014M24Rik",12,0.597222222222222,2.25,0.204545454545455,0.558344902226577,0.38386212092432,0.592592592187839,1.06133787525361,1.64189900932972,13,2.60784427071313,2.11048902555231,2.60784427071313,-1.54650639545952,0.548611111111111,12,0.736965594166206,-21.1934731955799,-21.0733113781803,-0.120161817399641,0.623972466344691
"AU040320",10,0.733333333333333,2.5,0.5,1.49572395287862,0.472333879892353,0.759999999986119,0.508115149539089,1.51281367790384,14,1.17966867506764,0.965326579092302,1.17966867506764,-0.67155352552855,0.825,10,2.26303440583379,-16.6689142156457,-11.7122047275505,-4.95670948809518,0.00164078025981167
"AW554918",20,0.525,2.9,1.77894736842105,1.54502792278733,1.44202606006727,0.517241379518294,0.334778013969585,1.47415082447338,15,0.624955176597903,0.536311495875335,0.624955176597903,-0.290177162628318,0.451388888888889,20,-0.584962500721156,-44.2691090047173,-44.5344808815895,0.265371876872209,1
"Aak1",22,0.456132756132756,3.22727272727273,4.08874458874459,0.996852843454691,1.2149144029604,0.450704225352113,0.452127140240833,1.69434168539294,16,0.452694279589948,0.468089057788934,0.452694279589948,-0.000567139349114565,0.52,22,-0.0801703486839835,-43.3140868557034,-43.6101751373758,0.296088281672404,1
"Abca1",33,0.504617604617605,2.90909090909091,1.33522727272727,0.98636402429966,0.907454902355648,0.520833333333344,0.528033586487653,1.65909103885413,17,0.616955612198403,0.604462085788679,0.616955612198403,-0.0889220257107504,0.415,33,-0.540568381362703,-53.8453373271337,-54.2924215055436,0.447084178409916,1
"Abca6",31,0.552150537634409,3.74193548387097,3.39784946236559,0.792992206059917,0.540154111374149,0.594827586206895,0.750105211200463,2.17169042778544,18,0.355375234674933,0.517527012552075,0.355375234674933,0.39472997652553,0.513395467836257,31,0.0848888975865125,-55.7315904957877,-56.6390809665288,0.907490470741095,1
"Abca8a",78,0.672425301780505,7.12820512820513,25.4119214119214,4.72506471009248,2.15225460616779,0.68705035971223,0.145405492171298,1.77436597093967,19,0.149849206820452,0.153328934273115,0.149849206820452,-0.00444371464915364,0.65182294986239,78,0.933910809542227,-163.691001242935,-150.263879101586,-13.4271221413494,2.19392002119977e-07
"Abca8b",32,0.521502976190476,4.28125,9.95060483870968,0.411456847788482,0.429880288734235,0.489051094890511,1.18858416749918,2.78351821428728,20,0.304272566674103,0.650579256104515,0.304272566674103,0.884311600825079,0.519193391642371,32,-0.225881407416327,-56.8771521260705,-56.8705103237308,-0.00664180233962952,0.908243384813485
"Abca9",27,0.547707231040564,3.85185185185185,11.2849002849003,0.244753971534316,0.135162640999099,0.644230769226468,2.63215654964824,3.06389246397398,21,0.342609942133309,1.22387215687208,0.342609942133309,2.28954660751493,0.45448717948718,27,0.024247546246678,-52.6979590240468,-56.561732827778,3.86377380373111,1
"Abcc1",14,0.595238095238095,2.28571428571429,0.21978021978022,2.6153710168236,1.78946437993194,0.59375,0.227023239219465,1.23806803711844,22,2.20005040240765,1.52666338792336,2.20005040240765,-1.97302716318819,0.347826086956522,14,-0.932885804141462,-19.1814241073758,-20.9968492355613,1.81542512818546,1
"Abcc5",25,0.446,2.84,1.55666666666667,0.835783979184791,1.07843093785663,0.436619719000291,0.522407380225404,1.62588273758627,23,0.683139978230974,0.645658833759303,0.683139978230974,-0.16073259800557,0.37962962962963,25,-0.584962500721156,-43.6182905767384,-42.3049623460855,-1.31332823065284,0.105082789900524
"Abcd3",10,0.583333333333333,3.2,3.28888888888889,0.556068349982344,0.333641010496161,0.624999999644017,1.12396254824405,2.07266602499066,24,0.460401525161589,0.728262638461241,0.460401525161589,0.663561023082457,0.555555555555556,10,0.46948528330122,-20.4643138052974,-20.4679736960124,0.00365989071496386,1
"Abcg2",12,0.472222222222222,2.25,0.386363636363636,0.421239721860409,0.391151170298951,0.518518518518518,1.2309345287488,1.68983312889598,25,2.60784427071313,2.17489281801884,2.60784427071313,-1.37690974196433,0.458333333333333,12,-0.201633861169651,-21.5141126126379,-21.5862249819263,0.0721123692884404,1
"Abhd18",15,0.528888888888889,3,1.14285714285714,0.63464072518358,0.555310636248558,0.533333332565604,0.840370482703153,1.90578546808958,26,0.548457072013461,0.678222578774306,0.548457072013461,0.291913410689692,0.308080808080808,15,-0.69514541847158,-29.6487875790338,-30.4861519492902,0.837364370256388,1
"Abi1",54,0.686727058949281,4.40740740740741,11.0006988120196,2.01246863768125,0.724488709565251,0.735294117647059,0.365369230545753,1.91018663804937,27,0.295710000572665,0.332359769285815,0.295710000572665,0.0696592299730872,0.656888528138528,54,1.42057568282027,-100.266580044948,-89.2302987849725,-11.0362812599754,2.6253556264756e-06
