"celltype","mode","n_rows_bb_mean","n_rows_group_mean","n_rows_group_var","sig_FDR_bb_mean","sig_FDR_group_mean","sig_FDR_group_var"
"Cardiomyocyte","global",7940,NA,NA,3117,NA,NA
"Coronary_EC","global",3009,NA,NA,212,NA,NA
"Endocardial_EC","global",3730,NA,NA,215,NA,NA
"Fibroblast","global",5344,NA,NA,655,NA,NA
"M2","global",2079,NA,NA,137,NA,NA
"MacFib","global",3452,NA,NA,153,NA,NA
"Mesothelial","global",2340,NA,NA,126,NA,NA
"Myeloid","global",1229,NA,NA,23,NA,NA
"Pericytes","global",3279,NA,NA,323,NA,NA
"Unknown_1","global",2132,NA,NA,52,NA,NA
