"","AR","N","log2FC","llr_var","pval_var","padj_var"
"0610043K17Rik",0.612903225806452,155,0.628031222613043,0.492919489687864,1,1
"1110002E22Rik",0.482762557077626,584,-0.0593785470789316,-2.45513053740501,0.0266976055366952,0.154500495831025
"1110002L01Rik",0.943502824858757,177,4.12553088208386,0,1,1
"1110004F10Rik",0.445141065830721,319,-0.238347526982324,0.141171797176696,1,1
"1110019D14Rik",0.546149217809868,554,0.219965683941908,-4.49069332872989,0.0027274359059544,0.0196214101862817
"1110038F14Rik",0.438864628820961,229,-0.432440545540289,0.117248668743628,1,1
"1110059E24Rik",0.424714434060228,321,-0.548011364548265,0.170324155960316,1,1
"1500002F19Rik",0.595930232558139,344,0.605221339704957,-0.383548667372168,0.38111651561179,1
"1500004A13Rik",0.520525451559934,609,0.11488363788435,-4.83680513898412,0.00186933614897149,0.0137941802667526
"1500009L16Rik",0.509661835748792,207,0.096215315259303,0.0560587942879351,1,1
"1600010M07Rik",0.48499743983615,651,-0.119839770006003,-2.28699997521858,0.0324606876553667,0.183379104529265
"1600014C10Rik",0.452620967741935,248,-0.251538766995965,0.270226391141932,1,1
"1600020E01Rik",0.305898653998416,421,-1.23224020729279,-0.0406645987074512,0.775504140053958,1
"1700017G19Rik",0.00510204081632653,196,-6.84549005094437,0,1,1
"1700025G04Rik",0.568190924259389,1446,0.499760178184271,28.4219767909642,1,1
"1700037C18Rik",0.569767441860465,129,0.373043410614216,0.0978862695924079,1,1
"1700037F03Rik",0.49,200,-0.0255350921071376,0.0988355496071733,1,1
"1700081N11Rik",0.536089238845144,254,0.241888596962245,0.285538582342468,1,1
"1700087I21Rik",0.10556586270872,385,-3.12675714228594,0,1,1
"1700109H08Rik",0.410189982728843,386,-0.618909832644494,0.104140520181431,1,1
"1700120C14Rik",0.752873563218391,232,1.65105169117893,0.0773458521982207,1,1
"1700123M08Rik",0.617021276595745,188,0.707446507246152,0.129213588760337,1,1
"1700123O12Rik",0.0260416666666667,96,-5.28540221886225,0,1,1
"1810024B03Rik",0.654255319148936,94,1,0.405030819788706,1,1
"1810034E14Rik",0.666666666666667,104,0.962525294581337,0.438205577953823,1,1
"1810037I17Rik",0.105978260869565,184,-3.08341600818764,0,1,1
"1810062O18Rik",0.596698113207547,212,0.493814612662961,0.214474225236188,1,1
"2010001K21Rik",0.987341772151899,158,6.61470984411521,0,1,1
"2010109A12Rik",0.378787878787879,99,-0.786596361890807,0.174162018787783,1,1
"2210408F21Rik",0.492879824532687,2777,-0.0469313615242848,-102.659623968495,1.44253701787219e-46,2.4857572243725e-45
"2210408I21Rik",0.559917355371901,242,0.461447964235801,-0.164295837180731,0.566489540313175,1
"2310002L09Rik",0.474910394265233,279,-0.274756890858335,0.184527141543981,1,1
"2310014F06Rik",0.373422459893048,935,-0.791991496826208,-10.6948992885339,3.74759903672353e-06,3.25618851514753e-05
"2310015A10Rik",0.607456140350877,342,0.624742402706511,0.113166254768316,1,1
"2310016D03Rik",0.682795698924731,93,1.2410080995038,0.137594031151465,1,1
"2310022A10Rik",0.502306425041186,607,0.00829137363139143,-0.194230980809152,0.533108969835747,1
"2310039L15Rik",0.584912280701754,475,0.477578965347557,-0.615780408266914,0.26710371103859,0.954671375085204
"2310057M21Rik",0.520175438596491,380,0.0736570417253084,0.0568493302520778,1,1
"2310069G16Rik",0.223563218390805,145,-1.74075717332858,4.71222196300661,1,1
"2500002B13Rik",0.58656330749354,258,0.492703992869168,0.176167552754407,1,1
"2610005L07Rik",0.772357723577236,246,1.72973402493513,-4.65046249498712,0.00229038186890986,0.0167508339467713
"2610008E11Rik",0.75537139349294,543,1.61261884362402,-15.9977053591642,1.54537233881255e-08,1.48264416145173e-07
"2610020C07Rik",0.477718360071301,187,-0.188761643455168,0.138134847992831,1,1
"2610035D17Rik",0.984917043740573,442,5.90689059560852,0,1,1
"2610037D02Rik",0.469327731092437,1071,-0.166611180367201,13.0440503705086,1,1
"2700049A03Rik",0.58779443254818,467,0.437974310556003,-0.167286460930143,0.562978712390277,1
"2700097O09Rik",0.600753660637382,774,0.666313934236466,-4.87207200062767,0.00179894884223404,0.0133066131987311
"2810001G20Rik",0.578059071729958,158,0.528928465806827,0.1660980305804,1,1
"2810002D19Rik",0.524647887323944,142,0.0931094043914813,0.0760771288561273,1,1
"2810013P06Rik",0.564734299516908,345,0.393144893430001,0.115750579054748,1,1
"2810030D12Rik",0.583969465648855,131,0.593374740537356,0.466708612204613,1,1
"2810449D17Rik",0.781767955801105,181,1.75973690182486,0.263682629138174,1,1
"2900076A07Rik",0.489166666666667,200,0,0.064132267954335,1,1
"2900093K20Rik",0.482456140350877,133,-0.0896372124846767,11.777871408648,1,1
"3110056K07Rik",0.452659574468085,470,-0.293264336635219,0.0108446012367835,1,1
"3110082I17Rik",0.431880108991826,367,-0.398827272097585,0.109981191675161,1,1
"3222401L13Rik",0.414662658650635,998,-0.49144276516927,7.71149215022047,1,1
"3300002I08Rik",0.307453416149068,161,-1.21459405077604,0.0510365955565533,1,1
"3425401B19Rik",0.570155902004454,449,0.440572591385981,-0.228306743326357,0.49921093218158,1
"4631405J19Rik",0.328703703703704,144,-1,0.0582769951511466,1,1
"4632427E13Rik",0.494440306309132,1822,-0.00096792693391845,-7.67701269317786,8.91308253844594e-05,0.000726351468687886
"4732440D04Rik",0.342457468375155,2697,-0.899016019096042,-76.9786586865216,2.36622876158646e-35,3.45906759010116e-34
"4732463B04Rik",0.758771929824561,76,1.75742969672592,3.80204102996039,1,1
"4732471J01Rik",0.354948805460751,293,-0.906082136612361,0.0657931439725701,1,1
"4732491K20Rik",0.484683281412253,321,-0.0386804681640598,0.0603696947401886,1,1
"4833420G17Rik",0.858649789029536,237,2.66296501272243,0,1,1
"4833439L19Rik",0.504985754985755,234,-0.0113153132278345,0.176525285169987,1,1
"4921504A21Rik",0.848,125,2.53605290024021,-2.7672376643543,0.0186453552145254,0.113211807400007
"4921511C10Rik",0.465909090909091,132,-0.181838322985813,0.271880063677216,1,1
"4921524J17Rik",0.450980392156863,459,-0.242360837569044,-0.512898390541068,0.31114793153537,1
"4930402D18Rik",0.827586206896552,145,2.32192809488736,-2.84465943349083,0.0170684783500898,0.105295442941704
"4930412C18Rik",0.959770114942529,87,4.59991284218713,0,1,1
"4930432B10Rik",0.577114427860697,201,0.632791025811771,0.0836740443089354,1,1
"4930447C04Rik",0.036144578313253,83,-5.01495034146597,0,1,1
"4930453N24Rik",0.478559870550162,206,-0.115477217419936,0.136206285416961,1,1
"4930470G03Rik",0.530042918454936,233,0.222392421336449,0.139874190996352,1,1
"4930473A02Rik",0.334474885844749,146,-1,0.222802448626396,1,1
"4930481A15Rik",0.912016369047619,448,3.30339214344993,0,1,1
"4930506C21Rik",0.415047619047619,875,-0.452636892052572,1.9793462479638,1,1
"4930511M06Rik",0.498809523809524,140,-0.055853234733517,0.433154491812644,1,1
"4930512B01Rik",0.495495495495495,148,0.0347654181606769,0.152439536724643,1,1
"4930512H18Rik",0.471857923497268,610,-0.155794672607424,-0.846348351143547,0.193245865620015,0.751602759709052
"4930517O19Rik",0.648054145516074,197,0.869603362744325,0.0590272680151998,1,1
"4930522O17Rik",0.942857142857143,70,3.98185265328974,0,1,1
"4930523C07Rik",0.368995633187773,229,-0.825166198174065,0.0253033097283151,1,1
"4930544I03Rik",0.9,50,3.39231742277876,-3.44769738919287,0.008641807686017,0.057031976033442
"4930549G23Rik",0.508255933952528,323,0.0411052033296739,0.188796743515695,1,1
"4930551O13Rik",0.672945205479452,146,1.08246216019197,0.25953792779967,1,1
"4930558N01Rik",0.541884816753927,191,0.257797757467647,0.317346224184377,1,1
"4930581F22Rik",0.454545454545455,165,-0.247927513443585,0.371914145972568,1,1
"4930594M22Rik",0.351123595505618,89,-0.89616418901546,1.1576195536414,1,1
"4930599N23Rik",0.458333333333333,156,-0.115477217419936,0.044070084664952,1,1
"4931414P19Rik",0.38034188034188,195,-0.667424660913128,0.0492784405024338,1,1
"4932441J04Rik",0.434959349593496,164,-0.325240828928198,0.0335287235941166,1,1
"4933431K23Rik",0.469459338695264,746,-0.265703592609778,-6.90211946225111,0.000202877981671192,0.00162118428617822
"4933434E20Rik",0.571729957805907,395,0.324782091942516,0.00979860684708456,1,1
"5031425E22Rik",0.519194324194324,1980,0.0833373164462217,-72.3466333217593,2.50623017519262e-33,3.61236774550543e-32
"5330438D12Rik",0.526396048109966,776,0.156772337592922,-1.87859358704247,0.0525809622214098,0.268297730309245
"5430402O13Rik",0.39344262295082,366,-0.648834683887541,0.00645561105665138,1,1
"5430405H02Rik",0.480257116620753,363,-0.124328135002202,-0.094080843105246,0.66445105437485,1
"5430427G11Rik",0.596354166666667,128,0.628031222613043,0.2963033082181,1,1
"5430431A17Rik",0.529644139732289,1021,0.195015982405142,13.0134082705604,1,1
"5730480H06Rik",0.478787878787879,165,-0.0155968550510188,0.27156560065481,1,1
"5830417I10Rik",0.933018867924528,530,3.82235708539685,0,1,1
"5830418P13Rik",0.616255144032922,162,0.637429920615292,-0.238591508384673,0.489701072561345,1
"6030443J06Rik",0.707951070336391,436,1.39459045781788,-0.845832889372616,0.193381528368927,0.751602759709052
"6030458C11Rik",0.472532588454376,358,-0.135463417295119,0.125728271029345,1,1
"6230400D17Rik",0.493540051679587,387,0,0.201070069141281,1,1
"6430590A07Rik",0.549050632911392,316,0.304854581528421,0.230472480002959,1,1
"6530409C15Rik",0.421875,224,-0.445625819112267,0.13496911453359,1,1
"6720427I07Rik",0.519862405681314,751,0.126985651835935,-0.42875154293813,0.354438379839264,1
"6820431F20Rik",0.749229583975347,649,1.56722941479613,-10.8923762266559,3.05014508248424e-06,2.67277628037575e-05
"9230114K14Rik",0.373626373626374,182,-0.807354922057604,0.170866636068382,1,1
"9330111N05Rik",0.694444444444444,126,1.28379296600059,0.00192378539352944,1,1
"9330136K24Rik",0.55448717948718,156,0.225066555634773,0.063100732491975,1,1
"9330158H04Rik",0.274534686971235,197,-1.1963972128035,-3.24479065661666,0.0108508530527358,0.0700931020757352
"9330159M07Rik",0.0884911192317498,1681,-3.57875735119445,0,1,1
"9330162G02Rik",0.300086355785838,386,-1.23173028591578,0.0527861722148373,1,1
"9430037G07Rik",0.147293972939729,271,-2.58496250072116,18.6092339991563,1,1
"9430038I01Rik",0.476973684210526,152,-0.0164881227885685,0.125408693228877,1,1
"9530026P05Rik",0.63109064510346,2107,0.828639535921061,-133.170604120787,7.11781657794041e-60,1.63233496168455e-58
"9530062K07Rik",0.738636363636364,88,1.58496250072116,-0.00122923401343655,0.960454741110712,1
"9630050E16Rik",0.595808383233533,167,0.557995453120887,0.198305772139321,1,1
"9930024M15Rik",0.672284644194757,267,1.01543004056961,0.113119590033421,1,1
"A230057D06Rik",0.981818181818182,55,6.28540221886225,0,1,1
"A330023F24Rik",0.493548387096774,155,-0.0524674198941355,0.352147932051309,1,1
"A330032B11Rik",0.471041666666667,560,-0.171403930368226,-1.64643816470198,0.0695810308223022,0.336663042464927
"A330102I10Rik",0.175343811394892,509,-1.98318238193973,-52.4158610639967,1.32961571153103e-24,1.69121635555359e-23
"A430046D13Rik",0.543137254901961,255,0.215728691055437,0.115026443169853,1,1
"A530016L24Rik",0.503311258278146,151,0.0648511443499675,0.148183466438468,1,1
"A630072M18Rik",0.553776683087028,406,0.323321330187229,-0.342223255576528,0.408059776208281,1
"A730017L22Rik",0.916666666666667,228,3.51211193531348,0,1,1
"A730056A06Rik",0.178861788617886,123,-2.26052755022322,-0.00627671284586029,0.910790048664283,1
"A930002C04Rik",0.948630136986301,146,4.28540221886225,0,1,1
