"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1700025G04Rik",0.463534675615213,0.485576923159914,998.999999999999,833.632681113168,549.225137131259,0.291725105189341,149
"2210408F21Rik",0.619883040935672,0.626666666662239,998.999999999999,893.024063485314,702.631659388278,0.105189340813464,57
"2610037D02Rik",0.363636363636364,0.379746835443205,998.999999999999,904.411138687075,732.044202683456,0.110799438990182,66
"2610307P16Rik",0.517115600448934,0.515151515151515,43.3636211710065,47.9831144911591,54.313142812817,0.509116409537167,216
"4632427E13Rik",0.509132420091324,0.482758620689655,998.999999999999,919.063806876043,769.891694674312,0.122019635343619,73
"4732440D04Rik",0.364864864864865,0.352941176470591,998.999999999999,916.71372631546,763.82149271195,0.119214586255259,74
"4732471J01Rik",0.525900900900901,0.517241379310344,998.999999999999,919.063806876043,769.891694674312,0.122019635343619,74
"4930523C07Rik",0.449367088607595,0.473684210526316,998.999999999999,922.095191631597,777.72168910109,0.133239831697055,79
"5031425E22Rik",0.529411764705882,0.529411764048218,998.999999999999,919.33471627309,770.591447176911,0.143057503506311,85
"9530026P05Rik",0.453260261520173,0.471830986011143,11.5173348502606,16.3034083466507,23.6186922405323,0.597475455820477,227
"9630014M24Rik",0.454166666666667,0.440366972477064,998.999999999999,914.270880164545,757.511679445225,0.152875175315568,80
"AW554918",0.477891156462585,0.469565217564899,998.999999999999,908.987339276174,743.864419514332,0.161290322580645,98
"Aak1",0.47411003236246,0.474576271186441,998.999999999999,904.789774126414,733.022208980536,0.165497896213184,103
"Abca8a",0.572222222222222,0.550724637459285,1.18705319734291,252.587036839213,650.520311025333,0.0967741935483871,36
"Abcc4",0.757142857142857,0.765432098765422,998.999999999999,909.45432193242,745.070624562736,0.113604488078541,70
"Abcc5",0.364978902953586,0.362745098039217,998.999999999999,919.33471627309,770.591447176911,0.143057503506311,79
"Abcg2",0.557971014492754,0.545454545454546,998.999999999999,919.960994007101,772.20910760683,0.123422159887798,69
"Abi1",0.53525641025641,0.549738219646774,998.999999999999,840.167254913149,566.10378519514,0.267882187938289,156
"Ablim1",0.455265359026421,0.460302457470429,0.793108825626905,0.688836078165009,0.50580479908528,1.48387096774194,452
"Ablim3",0.476421229284665,0.469565217446019,3.89824454784381,29.8627699162744,70.8756682807097,0.483870967741935,227
"Acer2",0.441537010843942,0.5,998.999999999999,868.503396169889,639.295361325532,0.190743338008415,101
"Ackr3",0.566216216216216,0.552083333333333,998.999999999999,921.930289609747,777.295751116909,0.134642356241234,74
"Actn1",0.537634408602151,0.526315789940709,998.999999999999,896.010597476385,710.345805361538,0.106591865357644,62
"Actn4",0.550438596491228,0.559139784882759,998.999999999999,922.120921032823,777.788147529975,0.130434782608696,76
"Acyp2",0.330467091295117,0.3171806167401,998.999999999999,801.76854480711,466.920834045555,0.318373071528752,157
"Adam10",0.507912457912458,0.507575757575723,998.999999999999,876.816081781915,660.766829734305,0.185133239831697,99
"Adam17",0.358490566037736,0.349206349206355,998.999999999999,848.153241851352,586.731398731784,0.08835904628331,53
"Adamts9",0.534585758048873,0.548327137546468,1.6135446241814,3.83569074342976,7.31673579374348,0.754558204768583,244
"Adamtsl3",0.325757575757576,0.336283185840709,3.95197854219504,292.503835404972,749.18499081478,0.158485273492286,77
"Adarb1",0.434782608695652,0.425925926467698,998.999999999999,915.060287720751,759.550700309938,0.151472650771388,92
"Adgrf5",0.542779783393502,0.562945368170249,5.14872311817994,12.9190234512823,25.1025651571592,0.590462833099579,277
"Adgrl2",0.537140439932318,0.548022598851557,13.0290162743778,32.0788138817624,61.9389811891335,0.496493688639551,197
"Adgrl4",0.510246866042014,0.517426273458423,2.10599476291809,1.97057455858637,1.70849064283287,1.04628330995792,371
"Adipor2",0.567204301075269,0.586826347305389,998.999999999999,833.207226916892,548.126199103155,0.23422159887798,124
"Aebp2",0.516339869281046,0.51515151515117,998.999999999999,861.120024104155,620.224287612571,0.0925666199158485,51
"Afap1l1",0.571517412935323,0.55813953488372,998.999999999999,834.043893018922,550.287287663083,0.241234221598878,134
"Aff1",0.46235119047619,0.453333333333333,998.999999999999,844.718767647392,577.86023388653,0.210378681626928,112
"Afg1l",0.41358024691358,0.421052631578949,998.999999999999,922.095191631597,777.72168910109,0.133239831697055,81
"Afg2a",0.538011695906433,0.567567567531866,998.999999999999,889.937288993535,694.658594595672,0.103786816269285,57
"Agap1",0.498441247002398,0.508379888267703,998.999999999999,836.545537908198,556.748976666738,0.251051893408135,139
"Agmo",0.895833333333333,0.892857142857142,1e-06,1e-06,761.914348695896,0.11781206171108,56
"Ago3",0.531835205992509,0.54464285714218,998.999999999999,911.860083591137,751.284649471781,0.157082748948107,89
"Agps",0.573232323232323,0.554216867469879,998.999999999999,913.543052297846,755.631717447836,0.1164095371669,66
"Ahnak",0.462470862470862,0.461165048566097,998.999999999999,835.430986642579,553.870117365829,0.288920056100982,143
"Airn",0.909567901234568,0.920600858366652,1e-06,1e-06,13.8910040224776,0.653576437587658,270
"Akap13",0.516803840877915,0.497797356828359,10.083489658993,187.036660000538,466.920834045555,0.318373071528752,162
"Akap6",0.376623376623377,0.364583333333335,998.999999999999,921.930289609747,777.295751116909,0.134642356241234,77
"Akt3",0.466600529100529,0.492146596888362,998.999999999999,637.10544314016,41.5999749939968,0.535764375876578,252
"Ambra1",0.530172413793103,0.558823529407674,998.999999999999,868.503396169889,639.295361325532,0.190743338008415,116
"Amotl1",0.613526570048309,0.62962962962963,998.999999999999,909.45432193242,745.070624562736,0.113604488078541,69
"Ank2",0.481666666666667,0.492753623188406,998.999999999999,872.84913890573,650.520311025333,0.0967741935483871,50
"Ankhd1",0.494202898550725,0.520833333332392,998.999999999999,853.648856168706,600.926439264913,0.201963534361851,115
"Ankrd11",0.510208333333333,0.519047619043227,998.999999999999,831.529251044314,543.792027498419,0.2945301542777,160
"Ankrd12",0.560975609756098,0.534591194632522,998.999999999999,835.614046399233,554.342956345357,0.223001402524544,123
"Ankrd17",0.515804597701149,0.531645569440881,998.999999999999,779.409678593073,409.168416598642,0.332398316970547,174
"Ankrd33b",0.557291666666667,0.562499999999999,998.999999999999,885.35976947797,682.834971009235,0.179523141654979,96
"Ankrd44",0.652777777777778,0.628930817609926,998.999999999999,835.614046399233,554.342956345357,0.223001402524544,120
"Ano6",0.559302325581395,0.552631577766742,998.999999999999,799.54030158364,461.165335015185,0.319775596072931,172
"Anxa2",0.478927203065134,0.45535714288386,998.999999999999,911.860083591137,751.284649471781,0.157082748948107,87
"Anxa3",0.390677397719651,0.405,998.999999999999,839.062560338956,563.250385492787,0.280504908835905,142
"Aopep",0.453908355795148,0.461206896551793,48.9286658492433,199.996825221328,438.025503323237,0.325385694249649,159
"Ap2a2",0.538690476190476,0.514705882352941,998.999999999999,869.070717819432,640.760739597284,0.0953716690042076,56
"Ap3b1",0.551779935275081,0.559055118110236,998.999999999999,887.487845468001,688.331740467869,0.178120617110799,103
"Apba1",0.554,0.54802259882235,4.0510872467758,217.276458685851,554.715341075244,0.248246844319776,100
"Apbb2",0.536722931247427,0.546944858420135,0.965966336155928,1.62537923913417,2.64732755497066,0.94109396914446,347
"Apc",0.574596774193548,0.582781456953642,998.999999999999,843.4438294357,574.567098934343,0.211781206171108,124
"Aplp2",0.652173913043478,0.642857142857142,998.999999999999,915.237023528255,760.007204679842,0.11781206171108,69
"App",0.478268526345449,0.44929797195909,0.983883105350765,1.86347945596567,3.23356695837935,0.899018232819074,338
"Aqp1",0.537400793650794,0.524637681157958,1.80165175782784,28.5594825062645,70.8756682807097,0.483870967741935,216
"Arb2a",0.451127819548872,0.456692913469288,998.999999999999,743.657785522389,316.822130638972,0.356241234221599,171
"Arfgef1",0.494971264367816,0.506849315068493,998.999999999999,850.43679028468,592.629749798398,0.20476858345021,116
"Arhgap10",0.458333333333333,0.457142857324009,998.999999999999,876.501663339186,659.95469440581,0.0981767180925666,60
"Arhgap12",0.604477611940298,0.562499999999999,998.999999999999,907.035133114968,738.821917623354,0.112201963534362,67
"Arhgap17",0.539906103286385,0.529411764701423,998.999999999999,916.71372631546,763.82149271195,0.119214586255259,71
"Arhgap18",0.467676767676768,0.482233502538071,998.999999999999,839.954728917843,565.5548356249,0.276297335203366,132
"Arhgap21",0.50354609929078,0.483050847335608,998.999999999999,904.789774126414,733.022208980536,0.165497896213184,94
"Arhgap26",0.489184236035381,0.471395881007305,6.2873120590669,11.928238778055,20.7152351175521,0.612903225806452,262
"Arhgap29",0.65952380952381,0.604938271604937,998.999999999999,766.276395274174,375.245459440581,0.340813464235624,175
"Arhgap5",0.616438356164384,0.597701149425287,998.999999999999,919.063806876043,769.891694674312,0.122019635343619,73
"Arhgef12",0.575938438438438,0.550819671775809,998.999999999999,673.125233434818,134.638233085159,0.427769985974755,222
"Arhgef15",0.532624113475177,0.544378698224852,998.999999999999,833.392068235438,548.603639814501,0.237026647966339,141
"Arhgef2",0.514285714285714,0.547619047619047,998.999999999999,915.237023528255,760.007204679842,0.11781206171108,70
"Arhgef3",0.489134438305709,0.485829959514197,998.999999999999,757.796576634708,353.342290413473,0.346423562412342,181
"Arid1b",0.474959349593496,0.489208633185068,998.999999999999,703.443749824992,212.950236841284,0.389901823281907,205
"Arid2",0.557971014492754,0.567164179104478,998.999999999999,872.610467842785,649.903829369792,0.187938288920056,115
"Arid4b",0.501346801346801,0.520661156975378,998.999999999999,899.59647436856,719.608039734591,0.169705469845722,99
"Arih1",0.514367816091954,0.516129031934051,998.999999999999,839.095967433779,563.336675220871,0.260869565217391,145
"Arl15",0.532946732622889,0.512406947890775,0.486778609061395,0.793432747612136,1.2678296487869,1.1304347826087,270
"Armh3",0.54228855721393,0.493670886075949,998.999999999999,904.411138687075,732.044202683456,0.110799438990182,67
"Arpc2",0.444444444444444,0.46236559151317,998.999999999999,922.120921032823,777.788147529975,0.130434782608696,75
"Asap1",0.546476964769648,0.521518987301703,123.829967842873,90.5024623295728,34.9401166087724,0.553997194950912,246
"Ascc3",0.480434782608696,0.468965517282311,998.999999999999,852.014628652097,596.70526861883,0.203366058906031,115
"Ash1l",0.455601092896175,0.437086093365572,998.999999999999,843.4438294357,574.567098934343,0.211781206171108,122
"Asxl1",0.515873015873016,0.551282051256869,998.999999999999,901.69994949772,725.041265757124,0.109396914446003,63
"Asxl2",0.480952380952381,0.5,998.999999999999,919.960994007101,772.20910760683,0.123422159887798,70
"Atad2b",0.527131782945736,0.536363636324916,998.999999999999,913.471752693517,755.447552272661,0.154277699859748,86
"Atf2",0.583333333333333,0.530864197530864,998.999999999999,909.45432193242,745.070624562736,0.113604488078541,62
"Atf7",0.483169934640523,0.488188976381542,998.999999999999,887.487845468001,688.331740467869,0.178120617110799,102
"Atg10",0.539115646258503,0.571428571428571,998.999999999999,876.501663339186,659.95469440581,0.0981767180925666,49
"Atp10d",0.491967871485944,0.490566037735769,998.999999999999,916.592654252612,763.508766465107,0.148667601683029,83
"Atp13a3",0.586666666666667,0.580645161290323,998.999999999999,843.540187000543,574.815988223081,0.0869565217391304,50
"Atp2a2",0.559753086419753,0.55113636360625,998.999999999999,835.376701608696,553.729900419768,0.246844319775596,135
"Atp2b1",0.576779026217228,0.575471698113207,998.999999999999,916.592654252612,763.508766465107,0.148667601683029,89
"Atp2b4",0.545197740112994,0.554054053991424,998.999999999999,889.937288993535,694.658594595672,0.103786816269285,59
"Atp2c1",0.486531986531987,0.457627118644068,998.999999999999,904.789774126414,733.022208980536,0.165497896213184,99
"Atp6v0b",0.553819444444444,0.559633027275036,998.999999999999,914.270880164545,757.511679445225,0.152875175315568,96
"Atp8a1",0.504385964912281,0.500000000000186,998.999999999999,857.079360362959,609.787349669909,0.199158485273492,114
"Atrn",0.428571428571429,0.402597402745441,998.999999999999,898.901154357626,717.812044752276,0.107994389901823,63
"Atrnl1",0.462025316455696,0.44897959183711,998.999999999999,921.339811924167,775.770561357096,0.137447405329593,79
"Atxn1",0.507769869513642,0.492440604752732,4.50899423130708,8.77399182806497,15.4232177931971,0.649368863955119,281
"Atxn7",0.550653594771242,0.567796609960589,998.999999999999,904.789774126414,733.022208980536,0.165497896213184,102
"Auts2",0.610042735042735,0.609442060085834,998.999999999999,788.339629731216,432.234267119577,0.326788218793829,156
"B2m",0.520182291666667,0.515527950308379,998.999999999999,834.420866335211,551.261000736021,0.225806451612903,128
"B4galt1",0.569444444444444,0.560975609756098,998.999999999999,911.619569502435,750.663407324722,0.115007012622721,66
"Babam2",0.573643410852713,0.565217391304347,998.999999999999,908.987339276174,743.864419514332,0.161290322580645,86
"Bach2",0.494220430107527,0.497175141243088,998.999999999999,835.758215262179,554.715341075244,0.248246844319776,124
"Baz2b",0.535807291666667,0.533742331258302,998.999999999999,833.664550139828,549.307454066011,0.228611500701262,128
"Bbx",0.454732510288066,0.475247524822937,998.999999999999,919.920918540109,772.105593632689,0.141654978962132,81
"Bcam",0.478632478632479,0.4666666666714,998.999999999999,921.257375608265,775.5576303219,0.126227208976157,78
"Bcas3",0.53448275862069,0.510204081610706,998.999999999999,848.916917496317,588.703954684302,0.20617110799439,116
"Bcl2",0.502401129943503,0.499999999997036,58.5978192668939,253.874021062081,561.663893889812,0.258064516129032,118
"Bclaf1",0.483870967741935,0.479999999979343,998.999999999999,893.024063485314,702.631659388278,0.105189340813464,62
"Bend7",0.518867924528302,0.544117647001506,998.999999999999,869.070717819432,640.760739597284,0.0953716690042076,53
"Bicc1",0.452898550724638,0.454545454545454,3.74823135392991,242.450005756599,620.224287612571,0.0925666199158485,46
"Bicral",0.483333333333333,0.500000000605833,998.999999999999,883.445808606111,677.89125578725,0.100981767180926,60
"Birc6",0.482015065913371,0.483333333354839,998.999999999999,772.79123670744,392.073139272496,0.336605890603086,177
"Bmpr2",0.45062893081761,0.450479233230035,998.999999999999,666.609481363895,117.808201097924,0.438990182328191,212
"Bptf",0.535185185185185,0.534653465190185,998.999999999999,919.920918540109,772.105593632689,0.141654978962132,90
"Braf",0.442477876106195,0.451851852163587,998.999999999999,870.542411422445,644.562089026256,0.189340813464236,113
"Brwd1",0.655555555555556,0.673913043478261,998.999999999999,921.963208695345,777.380780328823,0.129032258064516,75
"Btbd7",0.440366972477064,0.425373134779756,998.999999999999,872.610467842785,649.903829369792,0.187938288920056,109
"Btbd9",0.518518518518518,0.507812499944064,998.999999999999,885.35976947797,682.834971009235,0.179523141654979,99
"Btg2",0.483956386292835,0.496453900709242,998.999999999999,858.871624497638,614.416725126171,0.197755960729313,107
"Cacna1c",0.595412844036697,0.615384615384615,2.17044985997341,213.741266797044,548.603639814501,0.237026647966339,109
"Calcrl",0.41004016064257,0.396396396396399,998.999999999999,912.666902804878,753.368644232073,0.155680224403927,83
"Cald1",0.359663654618474,0.386363636873159,2.99455981696118,106.143259207979,269.357337109114,0.370266479663394,166
"Camk2d",0.56962962962963,0.563451776320166,998.999999999999,839.954728917843,565.5548356249,0.276297335203366,150
"Camkmt",0.376422764227642,0.350000000000004,998.999999999999,901.416849123829,724.310024252489,0.168302945301543,82
"Capn2",0.498983739837398,0.489795918408852,998.999999999999,921.339811924167,775.770561357096,0.137447405329593,82
"Capza1",0.363387978142077,0.394736842105305,998.999999999999,896.010597476385,710.345805361538,0.106591865357644,61
"Car8",0.576851851851852,0.576419213973798,998.999999999999,797.305622686459,455.393212793316,0.321178120617111,144
"Casp4",0.448275862068966,0.452054794976048,998.999999999999,886.745976174328,686.415509799948,0.102384291725105,58
"Cast",0.481382978723404,0.5,998.999999999999,901.416849123829,724.310024252489,0.168302945301543,94
"Cav1",0.486393857714612,0.461873638366721,9.20224391188902,11.9603660821869,16.1179060610479,0.643758765778401,265
"Cavin2",0.414236111111111,0.404255319148936,998.999999999999,839.632465997918,564.722438199156,0.26367461430575,144
"Cbl",0.379032258064516,0.395061728395062,998.999999999999,909.45432193242,745.070624562736,0.113604488078541,62
"Cblb",0.538333333333333,0.523437499347213,998.999999999999,885.35976947797,682.834971009235,0.179523141654979,100
"Ccdc85a",0.58250320993874,0.560150375147142,1.90059925434314,1.69104309969951,1.31625753193193,1.11921458625526,349
"Ccdc88a",0.477272727272727,0.469135802469136,998.999999999999,909.45432193242,745.070624562736,0.113604488078541,66
"Ccnd3",0.531609195402299,0.537414965775506,998.999999999999,848.916917496317,588.703954684302,0.20617110799439,116
"Ccny",0.486358024691358,0.495391705069125,1.9667698928814,9.53137114085231,21.4613918021923,0.608695652173913,270
"Ccser2",0.388888888888889,0.393617021276604,998.999999999999,922.161760052212,777.893633741723,0.131837307152875,75
"Cd200",0.504609929078014,0.500000000005219,998.999999999999,872.610467842785,649.903829369792,0.187938288920056,94
"Cd2ap",0.581578947368421,0.589743589141854,998.999999999999,906.317319431154,736.967822021195,0.164095371669004,95
"Cd36",0.549879398784508,0.528046421669265,0.460480924165916,0.496320603978185,0.542620529342899,1.45021037868163,411
"Cd81",0.583333333333333,0.563106796116497,998.999999999999,918.702885539594,768.959443481942,0.144460028050491,86
"Cd9",0.448039215686275,0.472440944889421,0.0371908026687085,266.510964075066,688.331740467869,0.178120617110799,85
"Cd93",0.51875,0.516483516463091,998.999999999999,921.678770344124,776.646082860697,0.127629733520337,80
"Cdc42",0.423484848484848,0.416058394160584,998.999999999999,866.497384754061,634.113881746865,0.192145862552595,110
"Cdc42bpa",0.51551724137931,0.508361204013463,998.999999999999,678.678237610165,148.981510250874,0.419354838709677,203
"Cdc42bpb",0.448412698412698,0.451388889496213,998.999999999999,853.648856168706,600.926439264913,0.201963534361851,126
"Cdc73",0.526515151515151,0.528301886782461,998.999999999999,916.592654252612,763.508766465107,0.148667601683029,88
"Cdh13",0.515436261673173,0.521613832852602,0.794672831000012,0.699739303360356,0.531456349474555,1.46002805049088,382
"Cdh5",0.501199040767386,0.502958579881657,998.999999999999,833.392068235438,548.603639814501,0.237026647966339,139
"Cdk12",0.616071428571429,0.606060606060554,998.999999999999,861.120024104155,620.224287612571,0.0925666199158485,56
"Cdk13",0.456521739130435,0.439716312079225,998.999999999999,858.871624497638,614.416725126171,0.197755960729313,115
"Cdk14",0.635507246376812,0.646387831954569,4.26775248532857,108.669345890034,273.837877493958,0.368863955119215,161
"Cdk17",0.527777777777778,0.543209875399951,998.999999999999,909.45432193242,745.070624562736,0.113604488078541,66
"Cdk19",0.513565891472868,0.455357142866623,998.999999999999,911.860083591137,751.284649471781,0.157082748948107,86
"Cdk6",0.196969696969697,0.212962962964733,4.4067457455171,296.799616157154,759.550700309938,0.151472650771388,77
"Cdkal1",0.468098958333333,0.452830188679245,998.999999999999,835.614046399233,554.342956345357,0.223001402524544,128
"Cds2",0.493589743589744,0.477272727272727,998.999999999999,919.960994007101,772.20910760683,0.123422159887798,78
"Cecr2",0.40809968847352,0.393939393939394,998.999999999999,876.816081781915,660.766829734305,0.185133239831697,107
"Celf1",0.548295454545455,0.548076923076915,998.999999999999,918.031495309349,767.225258551645,0.14586255259467,88
"Celf2",0.478396087117017,0.541176470185994,2.24105942784238,213.958388805924,549.051087669065,0.238429172510519,86
"Cemip2",0.354938271604938,0.364485981308417,998.999999999999,915.835720682731,761.553625131513,0.150070126227209,81
"Cep112",0.585271317829457,0.58181818181829,998.999999999999,807.050723377287,480.564575141089,0.0771388499298738,43
"Cep350",0.525114155251142,0.511904761722234,998.999999999999,915.237023528255,760.007204679842,0.11781206171108,73
"Cep85l",0.45405604719764,0.447368421075073,20.9993000245145,41.7761706592984,74.1896651418516,0.479663394109397,226
"Cflar",0.483021806853583,0.475177304964539,998.999999999999,858.871624497638,614.416725126171,0.197755960729313,107
"Cgnl1",0.514866979655712,0.556521738771149,998.999999999999,908.987339276174,743.864419514332,0.161290322580645,71
"Chaserr",0.469348659003831,0.467889908266883,998.999999999999,914.270880164545,757.511679445225,0.152875175315568,87
"Chchd3",0.466049382716049,0.476923076932395,998.999999999999,881.081125642744,671.783336167236,0.182328190743338,108
"Chd2",0.547619047619048,0.543859649122807,998.999999999999,910.10108407879,746.741195740562,0.159887798036466,91
"Chd6",0.441947565543071,0.435185185185185,998.999999999999,915.060287720751,759.550700309938,0.151472650771388,89
"Chd7",0.546969696969697,0.585585585549031,998.999999999999,912.666902804878,753.368644232073,0.155680224403927,88
