"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5390625,64,0.0911478880581953,-0.23760726836413,0.490597968415181,0.968125166836782
"2210408F21Rik",0.423529411764706,85,-0.407657968913246,-0.750604988732718,0.220485280956312,0.716025409638029
"2610037D02Rik",0.444444444444444,63,-0.222392421336448,-0.249586445074371,0.479863772671526,0.965652066366508
"2610307P16Rik",0.41786318588349,197,-0.352452961900821,-1.81796674954836,0.0565448860399338,0.376769570523031
"4632427E13Rik",0.565789473684211,76,0.192645077942396,-0.626094038733967,0.26313497749285,0.780720442315746
"4732440D04Rik",0.244588744588745,77,-1.58496250072116,-9.27368428734184,1.65733866963294e-05,0.000963767547583519
"4930523C07Rik",0.416666666666667,62,-0.321928094887363,-0.556753684662013,0.291320793153841,0.797900362790546
"5031425E22Rik",0.594036697247706,109,0.444302093784038,-1.90920740854668,0.0506921753521091,0.358303671764842
"9530026P05Rik",0.463662159659926,237,-0.149895430483059,-0.409534469888285,0.365452526636705,0.874482555806127
"A930015D03Rik",0.625,48,0.788495894806288,-1.45082442811329,0.0884889947227938,0.483940210508296
"AW554918",0.450730994152047,114,-0.364572432295856,-0.208855849563918,0.518081075940069,0.970287278405817
"Aak1",0.476086956521739,115,-0.0365258760251139,0.00149757656751603,1,1
"Abca1",0.430275229357798,109,-0.351985328743543,-0.706645572750716,0.234510811828737,0.740174749834451
"Abca6",0.583585858585859,36,0.884522782580064,0.0172775102798184,1,1
"Abca8a",0.701425217974514,71,1,-4.19468271589523,0.00377422649791837,0.0689784823762415
"Abca8b",0.470833333333333,40,-0.180572245641821,-0.0131640942802278,0.871101401425237,1
"Abca9",0.54874213836478,53,0.793549122532574,1.15048486186815,1,1
"Abcc4",0.587301587301587,63,0.371968777386958,-1.02800878412902,0.151605941493483,0.629378116250433
"Abcc5",0.414855072463768,92,-0.584962500721156,-0.753457076919744,0.21961056360252,0.716025409638029
"Abcg2",0.596794871794872,52,0.302562770020431,-0.988315826102095,0.159745705377303,0.633424935115871
"Abhd17b",0.302380952380952,70,-1.04580368961313,-4.36416269758281,0.00313304119391929,0.0635119038480774
"Abi1",0.667431561996779,207,1.16871923869692,-14.949552783544,4.55122735844723e-08,4.17637109154297e-06
"Ablim1",0.420223858267337,299,-0.367731784500487,-3.6885514947507,0.00660594969554835,0.0946031154160991
"Ablim3",0.5,50,-0.166009951438929,0.0878488021462971,1,1
"Abtb2",0.476608187134503,57,-0.180572245641821,-0.030767310539872,0.804086646607414,1
"Acap2",0.524390243902439,82,0.14017765804826,-0.147803765203363,0.586649299326638,0.999348264482741
"Acbd6",0.4,45,-0.605721060887953,-0.748520471070741,0.221127223238411,0.716025409638029
"Acer2",0.610133713638387,214,0.450815058835674,-5.59981563514441,0.000818135876254361,0.0270538733847317
"Acer3",0.513235294117647,68,0.280107919192735,0.139754229106032,1,1
"Ackr3",0.525525525525526,111,0.382247564161174,0.534292228763945,1,1
"Actn1",0.577477870388318,134,0.315305152693627,-1.47357061055001,0.0860296166531516,0.477141139761266
"Actn4",0.527777777777778,78,0.180572245641821,-0.215051440965951,0.511938469969322,0.970287278405817
"Actr2",0.517647058823529,85,0.026967047600269,-0.0485063663344505,0.755444356544449,1
"Actr3",0.495039682539683,84,0.104969559601543,0.151710506984855,1,1
"Acvr1",0.486714285714286,150,0.139724763666613,0.425808077643239,1,1
