"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.481997677119628,41,-0.118644496498619,-15.484004234291,2.62316780521807e-08,2.84406614671012e-07
"2010001K21Rik",0.557142857142857,35,0.443606651475615,-16.302032936302,1.12978157278005e-08,1.36902943525111e-07
"2610035D17Rik",0.6875,24,0.893084796083488,1.09829401885136,1,1
"2610307P16Rik",0.40968253968254,75,-0.63035440353517,4.694292387342,1,1
"4732440D04Rik",0.28953488372093,43,-0.938599455335857,-9.70350974777888,1.05618142381233e-05,6.08596848406547e-05
"5031425E22Rik",0.607407407407407,45,0.602664502454615,8.81931042478304,1,1
"9530026P05Rik",0.600710683349572,108,0.611273777837003,1.30205652025879,1,1
"Aak1",0.475,36,-0.283792966000591,6.58810847155429,1,1
"Abca8a",0.857563025210084,17,1.54748779530249,-35.1793333934783,4.94451438171355e-17,1.35809328351065e-14
"Abcb1b",0.962962962962963,27,6.95419631038687,-0.327614086461685,0.418249649702549,0.984679175299714
"Abcc5",0.5,36,0.176877762084079,7.19207348566027,1,1
"Abi1",0.907277046385957,101,3.60962455495543,-8.3417535485839,4.41632853154467e-05,0.00022355186284286
"Abi3bp",0.373958333333333,32,-0.616671360448494,-12.592899033921,5.20641865750562e-07,4.08579902265203e-06
"Ablim1",0.560306637806638,60,0.202816882999687,7.72875397440001,1,1
"Ablim3",0.429365079365079,42,-0.736965594166206,4.46370768664546,1,1
"Acap2",0.494047619047619,28,0.144389909335175,3.11569567211636,1,1
"Ackr3",0.505952380952381,28,0.184424571137427,2.71728967941908,1,1
"Acss3",0.42816091954023,29,-0.214124805352848,-15.6610299541093,2.18581807188148e-08,2.40148545497379e-07
"Adamts9",0.353333333333333,25,-0.943416471633633,3.24515722219021,1,1
"Adamtsl1",0.522203101776272,82,0.189661219503575,3.70217987057667,1,1
"Adcy9",0.643790849673203,51,0.800691191776594,-1.39639650315599,0.0946890589466037,0.251689627651618
"Adgrd1",0.373626373626374,52,-0.521952703195356,12.8737950751702,1,1
"Adgrg6",0.633838383838384,33,0.514573172829758,-6.19310466782061,0.000432516417150984,0.00176297989070925
"Adgrl3",0.359583333333333,40,-0.954196310386875,-7.78401659967109,7.95888737841677e-05,0.000379082265885284
"Adk",0.411582068724926,91,-0.437405312307298,6.5413163138988,1,1
"Aebp1",0.668713450292398,57,0.74416109557041,-3.93722776704958,0.00501379648718873,0.0169318373173915
"Aebp2",0.588141025641026,52,0.499571009490511,11.0338799633406,1,1
"Aff1",0.482748538011696,57,-0.0317088597273383,-8.07132387751896,5.87461651578202e-05,0.000288922089288149
"Agap1",0.435111111111111,75,-0.0797271924707341,3.07966580456488,1,1
"Agfg1",0.400709219858156,47,-0.389946518316013,-0.0619744119297536,0.724790517562861,1
"Ago3",0.573529411764706,34,0.506959988719883,1.64322090667586,1,1
"Ahnak",0.40770782889427,59,-0.605721060887953,1.00422837741056,1,1
"Airn",0.172367538564722,71,-1.94251450533924,-3.92326250198368,0.00509184870565868,0.0171252380957663
"Akap13",0.461335403726708,46,-0.249978253008347,-6.58819134819836,0.000283499469309875,0.00121038115394475
"Akt3",0.518489583333333,64,-0.146841388329271,19.8211500064065,1,1
"Aldh1a1",0.654792107117689,43,0.900464326449085,1.86218060970523,1,1
"Aldh1a2",0.720394736842105,38,1.39231742277876,2.90547138021365,1,1
"Ambra1",0.565705128205128,52,0.228268987673117,2.98530161088922,1,1
"Anapc1",0.588141025641026,52,0.438121112391885,18.7777279887466,1,1
"Ank2",0.642089093701997,31,0.605721060887954,-17.5294799429703,3.19871748229045e-09,4.70668429537023e-08
"Ankhd1",0.518707482993197,49,0.192645077942396,-2.96330081633697,0.0149139761744002,0.045347292869763
"Ankib1",0.419354838709677,31,-0.20163386116965,3.46649470418391,1,1
"Ankrd11",0.591129032258065,62,0.321928094887362,14.8973689561761,1,1
"Ankrd12",0.685849056603774,53,1.10236171762968,0.512971815493266,1,1
"Ankrd17",0.557598039215686,68,0.31034012061215,42.0207253616245,1,1
"Ankrd44",0.481707317073171,41,-0.186413124230881,10.2872175706078,1,1
"Ano1",0.382886904761905,56,-0.289506617194985,-5.18296639492664,0.00128362025864816,0.00478598684672437
"Ano6",0.555230288836846,61,0.129283016944966,8.34788128083729,1,1
