"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"9530026P05Rik",0.65,15,0.823122237915921,-0.641223160921399,0.257444678198729,1
"Cacna1c",0.534,25,-0.362570079384708,0.174852678491121,1,1
"Cacnb2",0.491656565656566,25,-0.0216950710993191,-0.158175771643549,0.57380852788846,1
"Cald1",0.402797202797203,22,-0.37851162325373,-0.0289773225787435,0.809758409746622,1
"Carmn",0.43702380952381,20,-0.111031312388744,-0.00999610567854958,0.887558838879622,1
"Cped1",0.389583333333333,16,-0.662965012722429,-0.160223670458745,0.571338933411482,1
"Dlc1",0.429986772486772,30,0.144389909335175,0.267962154022484,1,1
"Ebf1",0.437053571428571,24,0.0740005814437769,0.192205884183455,1,1
"Errfi1",0.403703703703704,18,-0.362570079384708,-0.0659474989416644,0.716475275091206,1
"Filip1",0.555555555555556,16,0.523561956057013,-0.158561051734132,0.573342310010703,1
"Fry",0.363768115942029,23,-1.65711228647699,0.617999686773054,1,1
"Gucy1a2",0.439814814814815,18,-0.53051471669878,0.0579088767974909,1,1
"Itpr1",0.453787878787879,22,-0.415037499278844,0.0941781187859299,1,1
"Kcnab1",0.342028730796847,27,-1.25276607037997,-2.99324102658775,0.0144159247102823,0.197017637707192
"Lhfpl6",0.430555555555556,18,0.144389909335175,0.220429981837242,1,1
"Lpp",0.60291737248259,23,1.23029761942179,-3.06265054151676,0.0133260590287237,0.197017637707192
"Malat1",0.477112539020512,32,-0.134017347971688,-1.16490138887707,0.12691795648248,0.743376602254524
"Mast4",0.454336829281212,29,-0.2606517545228,-0.00497647769803677,0.920531292550959,1
"Msrb3",0.397789929368877,19,-0.710493382805015,0.00428714583491896,1,1
"Myh11",0.579777777777778,25,0,-0.525912660741454,0.305087073197579,1
"Myom1",0.579437229437229,21,0,-0.38028123247021,0.383152557998751,1
"Pakap",0.503968253968254,21,0.0780025120012732,-0.214346858222893,0.512630618728445,1
"Pde3a",0.577612769245629,29,-0.0981803939389034,-0.378786620580158,0.38408903919637,1
"Pdlim5",0.659495329232171,19,0.338801913451759,-1.60001366592083,0.0736370394863106,0.581331842198192
"Plce1",0.567329545454546,16,0,-0.359513345139455,0.396463358056785,1
"Plcl1",0.393939393939394,22,-1.25375659224578,0.454784053391833,1,1
"Ppp1r12a",0.40419411506368,23,-0.584962500721156,-0.161674392088045,0.569602064397161,1
"Prkg1",0.18644685146786,28,-2.26534456652099,-13.1672821600322,2.87104279490064e-07,1.17712754590926e-05
"Rasal2",0.434210526315789,19,-0.691877704637668,0.109026672637135,1,1
"Rbpms",0.606419043919044,24,0.533432200081074,-1.84049185924213,0.0550363698738705,0.564122791207173
"Rgs6",0.410714285714286,14,-0.263034405833794,-0.00673150913922527,0.907628569846415,1
"Rock1",0.557142857142857,21,0.362570079384708,-0.448077641843053,0.343814717058598,1
"Ryr2",0.453703703703704,18,-0.652076696579693,0.331240919553888,1,1
"Slc8a1",0.413941798941799,30,-0.308122295362332,-0.0278334133327007,0.813480637991327,1
"Sorbs2",0.53921568627451,17,0.101879614019214,-0.360151757154199,0.396044369009168,1
"Syne1",0.623529411764706,17,0.777607578663552,-0.916065339034123,0.175876087600684,0.901364948953505
"Synpo2",0.474074074074074,18,-0.234465253637023,-0.000543448760815579,0.973700003290536,1
"Tpm1",0.59469696969697,22,0.295455883526171,-0.718680788188081,0.230566772340042,1
"Utrn",0.535493827160494,27,0.520832163301441,-0.271137091085741,0.461491756860431,1
"Zbtb16",0.552631578947368,19,-0.371968777386958,0.14887461718315,1,1
"Zfpm2",0.689814814814815,18,1.05889368905357,-1.48260935700662,0.0850729525168086,0.581331842198192
