"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"9530026P05Rik",0.65,15,0.823122237915921,-0.464981047557952,0,0
"Cacna1c",0.534,25,-0.362570079384708,-0.759951974275239,0,0
"Cacnb2",0.491656565656566,25,-0.0216950710993191,-0.580747622555968,0.08,0.1312
"Cald1",0.402797202797203,22,-0.37851162325373,-0.206128787145726,0.09,0.141923076923077
"Carmn",0.43702380952381,20,-0.111031312388744,-3.85195605930744,0,0
"Cped1",0.389583333333333,16,-0.662965012722429,-2.3998666494058,0,0
"Dlc1",0.429986772486772,30,0.144389909335175,0.305501778968697,0.86,0.927894736842105
"Ebf1",0.437053571428571,24,0.0740005814437769,0.356540049948162,0.86,0.927894736842105
"Errfi1",0.403703703703704,18,-0.362570079384708,-1.50719120104275,0.01,0.0195238095238095
"Filip1",0.555555555555556,16,0.523561956057013,-1.45491901613824,0,0
"Fry",0.363768115942029,23,-1.65711228647699,-0.452865040622381,0,0
"Gucy1a2",0.439814814814815,18,-0.53051471669878,-3.83347271530954,0,0
"Itpr1",0.453787878787879,22,-0.415037499278844,-5.20284889543334,0,0
"Kcnab1",0.342028730796847,27,-1.25276607037997,0.000711987633962963,0.3,0.424137931034483
"Lhfpl6",0.430555555555556,18,0.144389909335175,-4.41257492429824,0,0
"Lpp",0.60291737248259,23,1.23029761942179,0.252698358269026,0.69,0.832058823529412
"Malat1",0.477112539020512,32,-0.134017347971688,0.0027859725602184,0.52,0.687741935483871
"Mast4",0.454336829281212,29,-0.2606517545228,-1.04247324381684,0.01,0.0195238095238095
"Msrb3",0.397789929368877,19,-0.710493382805015,-1.80529022889681,0,0
"Myh11",0.579777777777778,25,0,-0.174309454226517,0.08,0.1312
"Myom1",0.579437229437229,21,0,0.289940698767651,0.79,0.9225
"Pakap",0.503968253968254,21,0.0780025120012732,-1.31232230379852,0,0
"Pde3a",0.577612769245629,29,-0.0981803939389034,0.543398459110804,0.32,0.437333333333333
"Pdlim5",0.659495329232171,19,0.338801913451759,-0.0273357641810534,0.07,0.124782608695652
"Plce1",0.567329545454546,16,0,-0.255529962505488,0.01,0.0195238095238095
"Plcl1",0.393939393939394,22,-1.25375659224578,13.8755700447343,0.96,0.96
"Ppp1r12a",0.40419411506368,23,-0.584962500721156,-1.04153584537457,0.04,0.0745454545454545
"Prkg1",0.18644685146786,28,-2.26534456652099,-0.299239584820164,0.14,0.205
"Rasal2",0.434210526315789,19,-0.691877704637668,18.9838467923978,0.96,0.96
"Rbpms",0.606419043919044,24,0.533432200081074,0.284950894278182,0.67,0.832058823529412
"Rgs6",0.410714285714286,14,-0.263034405833794,-0.91221306377194,0,0
"Rock1",0.557142857142857,21,0.362570079384708,-2.14714639153552,0,0
"Ryr2",0.453703703703704,18,-0.652076696579693,-4.93613482731575,0,0
"Slc8a1",0.413941798941799,30,-0.308122295362332,-5.75112098660694,0,0
"Sorbs2",0.53921568627451,17,0.101879614019214,0.268338132204693,0.57,0.7303125
"Syne1",0.623529411764706,17,0.777607578663552,-1.47246954052731,0,0
"Synpo2",0.474074074074074,18,-0.234465253637023,-0.573269024738636,0.1,0.151851851851852
"Tpm1",0.59469696969697,22,0.295455883526171,18.5252681259649,0.9,0.946153846153846
"Utrn",0.535493827160494,27,0.520832163301441,-0.993736523875771,0,0
"Zbtb16",0.552631578947368,19,-0.371968777386958,-3.90688983818131,0,0
"Zfpm2",0.689814814814815,18,1.05889368905357,8.70550492667874,0.81,0.9225
