"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"0610005C13Rik",0.2225,0.224,125,0.7285,0.740866538676896,-1.82102985895468,-21.0786151316928,8.42219807422518e-11,5.83205923972089e-10
"0610040B10Rik",0.6543,0.66030534351145,131,0.7989,0.760550967780034,0.863938450423972,-6.55547199546533,0.000293575720305787,0.000977716325027877
"0610040J01Rik",0.6885,0.687878787878788,165,0.332,0.525622315425188,1.15324626029568,-12.7714721439513,4.32645262648698e-07,2.17422576907354e-06
"0610043K17Rik",0.5387,0.527050610820244,191,2e-04,0.368391954943901,0.224431566610047,-0.469021369601933,0.332781707871318,0.446469576397492
"1110002E22Rik",0.5086,0.510825780463243,662,1.0368,0.6482853073139,0.0143552929770703,-0.0948594680612587,0.663150647521984,0.752693870503898
"1110002L01Rik",0.9527,0.950520833333333,192,0.2077,0.44979456078122,4.36457243229586,-103.143951789072,8.86693892989947e-47,2.27712766298166e-45
"1110004F10Rik",0.4432,0.440251572327044,371,0.1204,0.346344857698739,-0.326702600207709,-2.53786821406703,0.0242629633477161,0.0515004872382574
"1110019D14Rik",0.5386,0.540962441314554,710,1.2292,0.705156051173161,0.208206515093137,-2.4184982092255,0.0278553711331387,0.0579957184492383
"1110059E24Rik",0.4429,0.442928039702233,403,0.7656,0.588352352777057,-0.326144449688432,-2.76151455249209,0.0187677340477595,0.0413447920275365
"1200007C13Rik",0.4222,0.422535211267606,71,2.5542,1.51606961799901,-0.473931188332412,-0.910306316877218,0.177240370585654,0.272545718371103
"1500002F19Rik",0.6256,0.624537037037037,360,1.4317,0.843952392011422,0.770518153877233,-12.3973834843034,6.37703623119283e-07,3.13602701050358e-06
"1500004A13Rik",0.4508,0.454098360655738,610,0.9675,0.633622501434769,-0.322832322457477,-3.25238051722567,0.0107586022083432,0.0253077397061028
"1500009L16Rik",0.5533,0.554907677356657,343,1.0737,0.70668995654172,0.290837516773585,-2.17077799896612,0.0371929180681827,0.0742378838919081
"1500026H17Rik",0.2949,0.291970802919708,137,1.7274,1.10354381882975,-1.19464743085354,-12.0400127856269,9.24139447302278e-07,4.47580993506221e-06
"1600010M07Rik",0.4719,0.476684515841142,747,0.3499,0.376938511839347,-0.191343985077218,-1.23952700386189,0.115371625871423,0.19033108638323
"1600014C10Rik",0.4492,0.446127946127946,297,0.3566,0.447466452460363,-0.279522528622363,-1.58836736777459,0.0746938556100201,0.133596934506214
"1600020E01Rik",0.3016,0.300226537216828,515,0.4338,0.442353587041012,-1.20844286265222,-46.3014185553395,6.39157387024233e-22,8.09557987487199e-21
"1700017G19Rik",0,0,210,2e-04,0.340615357614493,-Inf,NA,NA,NA
"1700025G04Rik",0.5698,0.574480803498109,1618,0.5453,0.355473839962297,0.394302807206595,-22.2489429466837,2.54632021592586e-11,1.85375521969692e-10
"1700037F03Rik",0.5833,0.575129533678757,193,0.947,0.727082162086564,0.584962500721156,-2.98388778478025,0.0145696485173687,0.0329078314677271
"1700081N11Rik",0.6017,0.603703703703704,225,3e-04,0.351222860087589,0.594946589293778,-5.00015505617128,0.0015651386736219,0.00453146896051295
