"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"0610005C13Rik",0.2225,0.224,125,0.7285,0.740866538676896,0.709020160072512,-1.82102985895468,0.0362496264263257,1,1
"0610040B10Rik",0.6543,0.66030534351145,131,0.7989,0.760550967780034,0.698252844789371,0.863938450423972,-0.660163311284037,0.250533440566192,1
"0610040J01Rik",0.6885,0.687878787878788,165,0.332,0.525622315425188,0.610240483092736,1.15324626029568,-0.939965684874295,0.170341948217662,1
"0610043K17Rik",0.5387,0.527050610820244,191,2e-04,0.368391954943901,0.562541312517651,0.224431566610047,0.424717325905277,1,1
"1110002E22Rik",0.5086,0.510825780463243,662,1.0368,0.6482853073139,0.388803759370764,0.0143552929770703,-0.443583848564458,0.346245990903251,1
"1110002L01Rik",0.9527,0.950520833333333,192,0.2077,0.44979456078122,0.566520225833184,4.36457243229586,-1.58272250083314,0.0752119360457319,0.912438423188615
"1110004F10Rik",0.4432,0.440251572327044,371,0.1204,0.346344857698739,0.459152045991874,-0.326702600207709,-0.0789517300005969,0.691094130898143,1
"1110019D14Rik",0.5386,0.540962441314554,710,1.2292,0.705156051173161,0.364072342158474,0.208206515093137,-0.165789733170755,0.564730517875148,1
"1110059E24Rik",0.4429,0.442928039702233,403,0.7656,0.588352352777057,0.454562160141491,-0.326144449688432,0.0515762961080668,1,1
"1200007C13Rik",0.4222,0.422535211267606,71,2.5542,1.51606961799901,0.834107663223827,-0.473931188332412,-0.284546567073512,0.450619505886208,1
"1500002F19Rik",0.6256,0.624537037037037,360,1.4317,0.843952392011422,0.458610620065445,0.770518153877233,-2.43247658034659,0.0274075425884267,0.679592668831095
"1500004A13Rik",0.4508,0.454098360655738,610,0.9675,0.633622501434769,0.40660276719137,-0.322832322457477,0.176816947443569,1,1
"1500009L16Rik",0.5533,0.554907677356657,343,1.0737,0.70668995654172,0.456605126958053,0.290837516773585,-0.975576937127983,0.162462564035782,1
"1500026H17Rik",0.2949,0.291970802919708,137,1.7274,1.10354381882975,0.683587259292631,-1.19464743085354,-0.932583911939446,0.172029542258687,1
"1600010M07Rik",0.4719,0.476684515841142,747,0.3499,0.376938511839347,0.372768753749297,-0.191343985077218,-0.810143537637941,0.203051763676469,1
"1600014C10Rik",0.4492,0.446127946127946,297,0.3566,0.447466452460363,0.476602428391128,-0.279522528622363,-0.0265610740271711,0.8177169190243,1
"1600020E01Rik",0.3016,0.300226537216828,515,0.4338,0.442353587041012,0.424017378607306,-1.20844286265222,-0.173923608680695,0.555334305138284,1
"1700017G19Rik",0,0,210,2e-04,0.340615357614493,0.520117189529869,-Inf,-0.0970452515257421,0.659533711557063,1
"1700025G04Rik",0.5698,0.574480803498109,1618,0.5453,0.355473839962297,0.226653044902415,0.394302807206595,0.29624173192633,1,1
"1700037F03Rik",0.5833,0.575129533678757,193,0.947,0.727082162086564,0.561236822226879,0.584962500721156,-0.483198804975927,0.325580250786378,1
