"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"0610043K17Rik",0.612903225806452,0.6069,3e-04,0.38839736338421,0.593038239675483,0.0366572114335588,155
"1110002E22Rik",0.482762557077626,0.4856,0.4655,0.403320394553553,0.346014682614794,0.159066113899193,584
"1110002L01Rik",0.943502824858757,0.9459,0,0.357246628368138,0.545634683727602,0.0442941304822169,177
"1110004F10Rik",0.445141065830721,0.4524,0.5661,0.496845879295143,0.430511272976781,0.0794239581060441,319
"1110019D14Rik",0.546149217809868,0.5448,1.2869,0.714297164606183,0.34456786940851,0.160593497708924,554
"1110038F14Rik",0.438864628820961,0.4343,0.9199,0.676822566508515,0.500191666580672,0.052803840279293,229
"1110059E24Rik",0.424714434060228,0.4169,0.7199,0.556450621751809,0.432343582955596,0.0778965742963125,321
"1500002F19Rik",0.595930232558139,0.5979,1.5941,0.879689908983628,0.419001720987661,0.0907702378354789,344
"1500004A13Rik",0.520525451559934,0.521,0.5781,0.439555006273589,0.336049012915194,0.169975998254419,609
"1500009L16Rik",0.509661835748792,0.51,3.7894,1.76785503581946,0.502251924708259,0.052367444905084,207
"1600010M07Rik",0.48499743983615,0.4806,0.2195,0.301407783163743,0.333040154152089,0.173467161248091,651
"1600014C10Rik",0.452620967741935,0.4553,0.1224,0.354029962249354,0.46972976234218,0.0602225616408466,248
"1600020E01Rik",0.305898653998416,0.3034,0.994,0.641606666628066,0.403427248829933,0.106698668994109,421
"1700017G19Rik",0.00510204081632653,0.0086,3e-04,0.334549778251161,0.510795027982273,0.0506218634082479,196
"1700025G04Rik",0.568190924259389,0.5745,0.6163,0.362802678889194,0.196666624890096,0.587824569059568,1446
"1700037C18Rik",0.569767441860465,0.5692,4.4941,2.1172808689218,0.627215647133223,0.0305476761946323,129
"1700037F03Rik",0.49,0.4907,2.1664,1.16152049167848,0.517516964290273,0.0493126772856208,200
"1700081N11Rik",0.536089238845144,0.5416,0.0123,0.312728042246366,0.47050596319095,0.0600043639537421,254
"1700087I21Rik",0.10556586270872,0.1047,0.435,0.431129047105573,0.406177764612579,0.104080296748854,385
"1700109H08Rik",0.410189982728843,0.4045,0.8866,0.609685130042259,0.416964421951211,0.0929522147065241,386
"1700120C14Rik",0.752873563218391,0.7546,0.4557,0.486445259655853,0.478658059914373,0.0578223870826969,232
"1700123M08Rik",0.617021276595745,0.6175,1.271,0.835709664019722,0.539227226846121,0.0453851189177395,188
"1700123O12Rik",0.0260416666666667,0.025,1e-04,0.422289513650192,0.644918850515059,0.026183722452542,96
"1810024B03Rik",0.654255319148936,0.659,0.9144,0.773593221639287,0.651182713850405,0.0235653502072878,94
"1810034E14Rik",0.666666666666667,0.6651,0.6011,0.652546287150701,0.64801769590817,0.0250927340170194,104
"1810037I17Rik",0.105978260869565,0.1055,4e-04,0.360821597350338,0.55086285301975,0.0434213397337988,184
"1810062O18Rik",0.596698113207547,0.587,0.1313,0.381460389695926,0.506463168528911,0.0514946541566659,212
"2010001K21Rik",0.987341772151899,0.9886,0.9988,0.740825160898348,0.552182962412077,0.0432031420466943,158
"2010109A12Rik",0.378787878787879,0.3771,3.3406,1.69469925067815,0.650822655535759,0.0237835478943923,99
"2210408F21Rik",0.492879824532687,0.4922,0.1215,0.135924890991918,0.137132616841656,1.48919921448833,2777
"2210408I21Rik",0.559917355371901,0.5594,5.8059,2.49901017413856,0.449399539300959,0.0674230853152957,242
"2310002L09Rik",0.474910394265233,0.4606,0.2656,0.393022911050613,0.446228992811302,0.0689504691250273,279
"2310014F06Rik",0.373422459893048,0.3714,0.7434,0.453951075751012,0.262162609697046,0.297403447523456,935
"2310015A10Rik",0.607456140350877,0.6069,0.2288,0.364218339022826,0.423578809800863,0.0859698887191796,342
"2310016D03Rik",0.682795698924731,0.6846,5.7674,2.61573501270573,0.65000727607255,0.0242199432686014,93
"2310022A10Rik",0.502306425041186,0.502,0.2802,0.337566584216361,0.353060696293122,0.151865590224744,607
"2310039L15Rik",0.584912280701754,0.5838,1.146,0.686482538549332,0.38380766387768,0.123718088588261,475
"2310057M21Rik",0.520175438596491,0.5179,0.6722,0.527600264055707,0.41594546996775,0.0940432031420467,380
"2310069G16Rik",0.223563218390805,0.2274,0.3456,0.522167922958796,0.597076474332402,0.0360026183722453,145
"2500002B13Rik",0.58656330749354,0.5856,0.299,0.423153710291998,0.472876766852645,0.0593497708924285,258
"2610005L07Rik",0.772357723577236,0.7683,4e-04,0.316976165843606,0.483896263965135,0.0565132009600698,246
"2610008E11Rik",0.75537139349294,0.7541,0.2777,0.346701719919407,0.368463093556907,0.137246345188741,543
"2610020C07Rik",0.477718360071301,0.474,0.775,0.654973496084516,0.55086285301975,0.0434213397337988,187
"2610035D17Rik",0.984917043740573,0.9836,2e-04,0.254367813090526,0.388388439860264,0.11979053022038,442
"2610037D02Rik",0.469327731092437,0.4695,0.2977,0.280537432818265,0.255808172391096,0.313986471743399,1071
"2700049A03Rik",0.58779443254818,0.5839,1.0584,0.655881698788187,0.387877981282491,0.120226925594589,467
"2700097O09Rik",0.600753660637382,0.6088,0.4119,0.354111209558714,0.301943854066009,0.217324896356099,774
"2810001G20Rik",0.578059071729958,0.5836,0.7769,0.680637042365543,0.588957642706306,0.0373118044948724,158
"2810002D19Rik",0.524647887323944,0.5239,5.1126,2.34089533116195,0.610019469128024,0.0338206415012001,142
"2810013P06Rik",0.564734299516908,0.5655,0.9767,0.649661494099121,0.425763655320725,0.0837879118481344,345
"2810030D12Rik",0.583969465648855,0.6012,0.0071,0.411246443735532,0.623992401732069,0.0312022692559459,131
"2810449D17Rik",0.781767955801105,0.7745,0.1801,0.434294110920652,0.558853872079476,0.0421121536111717,181
"2900076A07Rik",0.489166666666667,0.4913,3.7683,1.77441091560504,0.524502938434097,0.0480034911629937,200
"2900093K20Rik",0.482456140350877,0.4845,1e-04,0.394429915692579,0.602367957901132,0.0351298276238272,133
"3110056K07Rik",0.452659574468085,0.4512,0.361,0.392384060167949,0.389921254563181,0.118481344097753,470
"3110082I17Rik",0.431880108991826,0.4312,0.2244,0.359684424611523,0.41920601119,0.0905520401483744,367
"3222401L13Rik",0.414662658650635,0.4148,0.3589,0.310699915666764,0.266380337861704,0.287148156229544,998
"3300002I08Rik",0.307453416149068,0.3068,4.8898,2.23800746161069,0.582099396366725,0.0384027929303949,161
"3425401B19Rik",0.570155902004454,0.5741,0.1574,0.31757910810231,0.393757157774928,0.115208378791185,449
"4631405J19Rik",0.328703703703704,0.3302,5.1714,2.35991335927668,0.604962337401921,0.0346934322496182,144
"4632427E13Rik",0.494440306309132,0.4993,0.0794,0.153775215856011,0.188814013017414,0.650447305258564,1822
"4732440D04Rik",0.342457468375155,0.3462,0.1771,0.158561054421093,0.139457583785816,1.42395810604408,2697
"4732463B04Rik",0.758771929824561,0.7718,2e-04,0.426855043976354,0.651833937166551,0.0200741872136155,76
