"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5083,0.515384615384615,65,0.4015,0.346091956604897,0.0324214776923775,-0.000444880066574171,0.97620355215477,1
"2210408F21Rik",0.4183,0.422364672364672,117,0.8345,0.485874997371262,-0.52083216330144,-2.47113221947862,0.0262076804996041,0.117986355096347
"2610037D02Rik",0.3646,0.373711340206186,97,0.3499,0.318611058728484,-0.851901361010866,-4.60891470050917,0.00239669527041218,0.0194731490720989
"2610203C22Rik",0.663,0.650537634408602,93,0.3765,0.330340765677134,1.05889368905357,-5.01721408856778,0.00153641235191357,0.0137594261738038
"2610307P16Rik",0.44,0.438888888888889,30,1e-04,0.183840592692402,-0.347923303420306,-0.440010162959783,0.34819611236923,0.631516801461744
"4632427E13Rik",0.4204,0.412186379928315,93,1.5543,0.778405536478472,-0.34577483684173,-1.45886386264196,0.0876111576164431,0.27713733531732
"4732440D04Rik",0.2742,0.270833333333333,72,0.3479,0.325625012944056,-1.37851162325373,-9.41210281502477,1.433364362222e-05,0.000244765185582825
"4732471J01Rik",0.5737,0.583333333333333,114,0.4096,0.331591220936966,0.385653692497749,-1.046718288777,0.14793297083129,0.383142591548907
"4933406I18Rik",0.4114,0.425818452380952,224,0.548,0.35450061165803,-0.555962628998604,-5.66461036247063,0.000762969123382913,0.00757331420500773
"5031425E22Rik",0.5748,0.580490196078431,170,0.4234,0.317782679315815,0.381870635343645,-1.66290398385135,0.0682004963186201,0.234304472590265
"5033421B08Rik",0.4902,0.485401459854015,137,0.7557,0.453935226279138,-0.0327899351176693,-0.11271692151216,0.63493043153409,0.83917182631526
"9530026P05Rik",0.4439,0.435828877005348,51,0.3279,0.313072204285967,-0.214124805352848,-0.658334128872994,0.251190870702713,0.531669752590301
"AW554918",0.512,0.515447154471545,123,0.5633,0.384222707939155,0.0531113364595623,-0.000744744977737355,0.969214157107362,1
"Aak1",0.4663,0.465151515151515,110,1.5134,0.754601279515187,-0.154328146391294,-0.417251695159308,0.360973550807373,0.643162909397452
"Abca1",0.4951,0.497411199322027,471,0.2393,0.221946547891586,-0.0566801945891172,-0.356438763931692,0.398490194331796,0.672585225429238
"Abca6",0.6057,0.601063829787234,47,1.7194,0.842282911750489,0.748461233004035,-1.1082576525399,0.136540938904211,0.371268773218763
"Abca8a",0.699,0.722514005602241,34,0.2178,0.272013312422643,1.08246216019197,-4.60055887408523,0.00241867396394767,0.0194945121494182
"Abca9",0.5331,0.558037358589845,362,0.0779,0.164372230225308,0.165832246808429,-0.850374349342076,0.192190092758907,0.45721728088453
"Abcb1b",0.9004,0.903030303030303,55,1.1171,0.614215822272542,3.14684138832927,-21.7895267320762,4.07174034483227e-11,2.05113919870925e-09
"Abcc1",0.5063,0.504651162790698,129,0.0341,0.183531947864377,0.0356239097307216,-0.00300073636027776,0.938250314166371,0.986729845013172
"Abcc5",0.4418,0.453074433656958,103,0.1314,0.235240113707759,-0.349942471056959,-0.993098278700685,0.158739131506763,0.406055703255922
"Abhd12",0.5389,0.533068783068783,126,0.7035,0.437193338774419,0.246914740470517,-0.272206834441604,0.460609293009132,0.724642608984057
"Abi1",0.5589,0.56562860438293,289,0.3438,0.270425693803896,0.336141954107063,-1.8234810820785,0.0561715786439787,0.206920897564199
"Abl2",0.497,0.48375,160,0.3843,0.303085898996034,0.0381351288867711,-0.0513565287852202,0.748597835095451,0.901089986688969
"Ablim1",0.4871,0.508569538926682,84,0.0749,0.196391193283312,-0.100693999619473,-0.0886454216022798,0.673711859291317,0.865771298770411
"Ablim3",0.5071,0.506565656565657,33,0.0462,0.204364190817079,0.0489096004809468,-0.00138003943594711,0.958101250300082,0.998228551889692
"Abr",0.6447,0.632183908045977,145,0.4536,0.336689425390379,0.94251450533924,-6.46578078471615,0.000323088148318854,0.00389833903510473
"Abtb2",0.3807,0.385934744268078,54,0.6932,0.456952867641163,-0.53051471669878,-2.1193661094339,0.0395116612687775,0.159551097107388
"Acaca",0.44,0.448275862068966,58,1.8339,0.88708879911748,-0.534336427651189,-0.71171195884974,0.232840664155836,0.505575364519407
"Acap2",0.5711,0.565972222222222,144,0.0844,0.201026896105439,0.415037499278844,-1.19240004834107,0.122520564285206,0.345768819376316
"Acbd3",0.6963,0.69047619047619,63,0.0636,0.216572101301291,1.20435849850619,-5.05785574219072,0.00147010670929624,0.0132836996378113
"Acer3",0.514,0.512778782399036,237,0.3338,0.27077584560177,0.0784266469568164,-0.011950184882437,0.87713868497592,0.961783051982911
"Acss1",0.6813,0.677083333333333,48,4.345,1.83807299439962,1.32192809488736,-3.31578197752366,0.0100187261770449,0.0580107277205332
"Actr2",0.5044,0.496781115879828,233,0.1484,0.204174951640957,0.0554951125917036,-0.0224351044153934,0.832242867392019,0.938980687416726
"Actr3",0.4895,0.484263233190272,233,0.0626,0.170030732899931,-0.0606627819066241,-0.251086079800558,0.478547245874834,0.740696374463132
"Acvr1",0.5566,0.545833333333333,80,0.1796,0.260089599186048,0.355094958822562,-0.37999198382979,0.383333539974217,0.660732992037453
"Acvr2a",0.49,0.490909090909091,110,1.0443,0.571709109220836,-0.0395283641866375,-0.0983072806786396,0.657467464479071,0.851959447540404
"Acyp2",0.3365,0.350213675213675,78,1.4692,0.74025394550028,-1.23349013021978,-6.29298682043906,0.000388652513067561,0.00444962962404054
"Adam10",0.4128,0.404320987654321,108,0.2054,0.256568435547413,-0.496425826119499,-2.38494326938351,0.0289617343198436,0.1271009904843
"Adam17",0.3949,0.399206349206349,105,0.5819,0.399219118467867,-0.602664502454615,-3.18916418591861,0.0115522186768956,0.0646701289691169
"Adam19",0.5699,0.568663194444444,192,0.875,0.482820859860976,0.466085104869236,-1.76533788732891,0.0602432297304932,0.217036975902396
"Adam22",0.3099,0.306034482758621,116,4.8981,2.03062055545931,-0.881355503501381,-9.84920204367374,9.06770602034326e-06,0.000163137746705283
"Adam9",0.4273,0.42572706935123,149,0.4238,0.322904354052894,-0.42349907802704,-2.39192010757233,0.0287279873633943,0.1271009904843
"Adamts6",0.6899,0.686274509803922,34,4.2364,1.79218098075076,1.18057224564182,-2.48838519562854,0.0256898983596935,0.116394616514339
"Adamts9",0.4569,0.439102564102564,26,0.1857,0.252694128119257,-0.125530882083859,-0.233224221239919,0.494625604480017,0.751491473951953
"Adap2",0.5797,0.576352530541012,191,0.7353,0.431654866176649,0.543935232461101,-2.42859600683846,0.0275311094003275,0.122732711154115
"Adarb1",0.2539,0.25,50,5.219,2.17060357458877,-1.27563444261343,-7.0397191669867,0.000175249136568837,0.00226363468068081
"Adcy7",0.539,0.531152647975078,107,0.2454,0.274454917105941,0.250543461650597,-0.199820399072081,0.527274821957593,0.775678465076582
"Adcy9",0.5298,0.526006235827664,168,0.0729,0.184832734439072,0.165423609207372,-0.172582469905194,0.556862985007716,0.791310941319146
"Add1",0.494,0.48943661971831,71,0.1838,0.263421070528948,-0.0324214776923775,-0.0409861294882461,0.774642247270063,0.915362446901058
"Adgre1",0.526,0.531818181818182,275,0.092,0.175611327078638,0.132450296023649,-0.24094082168898,0.487571243491902,0.746547154738741
"Adgrf5",0.6346,0.628205128205128,39,0,0.184526272230935,0.796466605914868,-1.50216007641837,0.0830428085197906,0.266451049629583
"Adgrg6",0.478,0.471350826044704,245,0.5725,0.359893179267485,-0.0145728010872728,-0.516462260129828,0.309472770410618,0.591078324528337
"Adgrl2",0.6328,0.653486394557823,56,0.3532,0.32793108214104,0.556393348524386,-2.09147059011857,0.0408327801303947,0.164556103925491
"Adgrl4",0.5551,0.554583333333333,40,1.2352,0.661483493706354,0.304854581528422,-0.19486351795895,0.532442918130431,0.780458156901031
"Adipor2",0.5618,0.583333333333333,62,2e-04,0.191435934537054,0.357552004618084,-0.442304482571537,0.346942420751344,0.631516691792194
"Adk",0.2564,0.245567375886525,188,0.7267,0.429806938920441,-1.37056287013824,-28.4827685202981,4.43516420487951e-14,3.19173424029722e-12
"Aebp2",0.4053,0.405797101449275,69,0.201,0.269550289411394,-0.554588851677638,-1.65263770308712,0.0690577686380397,0.236652047288521
"Afap1l1",0.6624,0.667910447761194,67,2.333,1.07950785302949,0.68965987938785,-3.10518486992972,0.0127004100412861,0.0686262805099226
"Aff1",0.4816,0.4822,250,0.3049,0.258073262249066,-0.115477217419936,-0.529454775010151,0.303464023096256,0.586270380190754
"Aff3",0.4833,0.443478260869565,46,0.4483,0.363914010184631,0.0703893278913981,-0.0671454945397159,0.7140238325091,0.884545783952702
"Aff4",0.3574,0.364583333333333,80,0.0129,0.196785801717693,-0.84799690655495,-4.16929877826526,0.00388115462621697,0.028131390546141
"Afg2a",0.4978,0.494791666666667,96,0.4358,0.35083505041662,0,-0.0290232150949805,0.809610712873649,0.927966772719228
"Aftph",0.4204,0.418843537414966,245,0.5342,0.347295600997452,-0.44305187544844,-4.88253486996882,0.00177858768494225,0.015514520282072
"Agap1",0.4277,0.414102564102564,195,0.1403,0.206634642433752,-0.398549376490275,-3.25893784156332,0.0106795491789257,0.0606177228043248
"Agfg1",0.5093,0.52212962962963,180,0.3117,0.269106241357862,0.0310268956206246,-0.00020469884520935,0.983857041761742,1
"Agmo",0.5736,0.572911622276029,236,0.9586,0.505602761875537,0.441435189343451,-2.70352529539085,0.0200555738578577,0.0964486427770482
"Ago2",0.6066,0.606227106227106,91,3.8371,1.643265361916,0.723482364802584,-1.9428388862656,0.0486996022199564,0.187628486564459
"Ago3",0.5389,0.533498349834983,202,0.1481,0.206782885177431,0.236700258020331,-0.416788571310832,0.361240196262078,0.643162909397452
"Ago4",0.4532,0.4453125,64,1.729,0.849990560159062,-0.144389909335175,-0.377913698948952,0.384637490526658,0.66148641613783
"Agpat4",0.5483,0.552631578947368,57,1.1404,0.623396980538732,0.247927513443585,-0.174244815303766,0.554969361238687,0.790850963858525
"Agps",0.4542,0.452857142857143,175,0.5494,0.363507043296803,-0.27392272197653,-1.31005865589253,0.105516639661842,0.31313111770046
