"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"2210408F21Rik",0.455284552845528,82,-65.7860210746731,-65.7767184246085,-0.00930265006462605,0.891504088085282,0.997738022337199
"2610307P16Rik",0.4748,125,-103.53815565052,-103.481941252923,-0.0562143975969036,0.737395751030635,0.985439463818346
"4632427E13Rik",0.521551724137931,116,-88.213897442905,-88.0605778571403,-0.153319585764692,0.579749883933214,0.965431296087971
"4732440D04Rik",0.191666666666667,60,-33.3385977783642,-32.3188361719622,-1.019761606402,0.153257676634787,0.88424513429172
"4833422C13Rik",0.727213541666667,128,-85.3493271814758,-85.3501288153113,0.000801633835521898,1,1
"5031425E22Rik",0.546666666666667,125,-95.0912688538501,-95.0426744087643,-0.0485944450857971,0.755229516785932,0.98679480119485
"9330188P03Rik",0.510204081632653,49,-39.755239691403,-39.6494825523721,-0.105757139030921,0.645583108646718,0.976102412158868
"9530026P05Rik",0.514635477003435,568,-663.093983080687,-662.043711594518,-1.05027148616966,0.147246841005873,0.864128604074467
"A830082K12Rik",0.565543071161049,89,-66.9457183378539,-66.6468900545353,-0.29882828331867,0.439473551522138,0.965431296087971
"AW554918",0.455555555555556,120,-95.505743580299,-95.3427270083058,-0.163016571993225,0.568004306007986,0.965431296087971
"Abca6",0.455182072829132,119,-94.5868095666105,-92.6631802678387,-1.92362929877187,0.0498273694026803,0.691523086169631
"Abca8a",0.776280892103677,237,-153.483731007695,-153.467089617794,-0.0166413899015367,0.855240821725169,0.994053657707802
"Abca8b",0.725177304964539,94,-61.691512894207,-61.617621707176,-0.0738911870310019,0.700663673194584,0.985439463818346
"Abca9",0.509259259259259,90,-69.6170837221257,-69.5607249416602,-0.0563587804654162,0.737071192218448,0.985439463818346
"Abcc9",0.429628104844243,347,-317.114743724628,-316.507250209925,-0.607493514703606,0.270346697770731,0.928702814536704
"Abhd17b",0.487272727272727,55,-42.0480631003461,-41.3120209284446,-0.736042171901474,0.225017118953075,0.92590314230776
"Abi1",0.60219298245614,190,-149.001138048014,-148.961837144284,-0.0393009037305205,0.779201215760228,0.989804710682013
"Abi2",0.560109289617486,122,-92.8030877170408,-92.5717635972933,-0.231324119747498,0.496388908786235,0.965431296087971
"Abl2",0.537037037037037,54,-41.5979307158571,-41.5580458380233,-0.0398848778337495,0.777609673456832,0.989804710682013
"Ablim1",0.392543859649123,76,-58.5258054125962,-58.5262880914848,0.000482678888509724,1,1
"Abr",0.497942386831276,81,-61.1752601207185,-61.0440045032858,-0.131255617432693,0.608400128274096,0.968723925174413
"Acadsb",0.5,55,-41.588962237591,-40.8923654033888,-0.696596834202218,0.237866505093676,0.92590314230776
"Acap2",0.546728971962617,107,-79.4887914506568,-76.8738627765356,-2.61492867412127,0.0222023532624213,0.485145038308652
"Acer2",0.541801075268817,124,-96.5321392666009,-96.3472917418134,-0.184847524787529,0.543170539170665,0.965431296087971
"Actr2",0.5,88,-66.3808329341357,-65.4384402171263,-0.942392717009369,0.169791247292161,0.912961313974081
"Actr3",0.596168582375479,87,-66.8694079003252,-66.866030261125,-0.00337763920015277,0.934495227255939,1
"Acyp2",0.339495305164319,142,-108.989531950323,-108.227242577597,-0.762289372726926,0.216927905382907,0.92590314230776
"Adam22",0.675,80,-57.1633135671885,-55.4682708859329,-1.69504268125556,0.0655895533970411,0.734885924038017
"Adam9",0.446428571428571,56,-43.8834280220719,-43.8696653566737,-0.0137626653981613,0.868229668685097,0.996281418703458
"Adamts12",0.455938697318008,174,-147.924453334122,-146.44596653215,-1.47848680197211,0.0855078501332367,0.798332382607583
"Adamts17",0.741935483870968,31,-18.8055835331343,-18.0243730746488,-0.781210458485539,0.211311103262721,0.92590314230776
