"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"9530026P05Rik",0.5402,0.516666666666667,25,1.1512,0.499732723120659,0.214124805352847,-0.483531050286889,0.325413977053041,0.722012261586435
"Acta2",0.4719,0.471605667060213,33,0.0533,0.055175684889423,0.148098638989134,0.119476985981336,1,1
"Actn1",0.5001,0.5,23,4e-04,0.0803788682918059,-0.234465253637023,0.0430653207580995,1,1
"Acyp2",0.1921,0.178571428571429,14,0.3256,0.830928690596939,-1.67807190511264,-1.72302933717981,0.0634027906668796,0.41343005651678
"Akap6",0.5126,0.548309178743961,23,0.0209,0.0674479537855028,-0.395928676331139,0.282427025955201,1,1
"Aopep",0.4253,0.382098765432099,27,0.1664,0.11774820487368,-0.752072486556414,-0.848586187189202,0.192658184423521,0.613820692831047
"Cacna1c",0.4727,0.486111111111111,30,1e-04,0.0317201615216455,0.20945336562895,0.105794461168067,1,1
"Cacna2d1",0.5535,0.528571428571429,21,0.4042,0.246700566765591,0.251538766995964,0.0102139172583868,1,1
"Cacnb2",0.4201,0.39026169026169,37,0.2001,0.14492614685745,-0.215728691055437,-0.0508412040636443,0.749819944064656,1
"Cald1",0.4301,0.512962962962963,36,1e-04,0.0371935047417411,-0.131244533278253,0.381227807842407,1,1
"Carmn",0.476,0.461412151067323,29,1e-04,0.0368572008409689,0.347923303420307,0.0539485077127289,1,1
"Celf2",0.5476,0.566176470588235,17,0.3055,0.196239627785477,0.180572245641821,-0.116145377769854,0.629830445528696,0.996252148828265
"Clic4",0.1408,0.15,19,0.411,0.266304515363225,-2.14684138832927,-6.72407110011096,0.000245248917863941,0.0087063365841699
"Cobll1",0.4977,0.510416666666667,16,2.3354,1.09125871539601,0.736965594166206,-0.0197753122772433,0.842361786796012,1
"Cped1",0.5837,0.596894020766201,28,0.0546,0.0573595111061536,0.505235308250422,-1.36545211763734,0.0984235452572543,0.436754482079066
"Crim1",0.4843,0.421645021645022,21,0.061,0.0586954068038277,0,-0.0108340924570349,0.882973235886239,1
"Dip2c",0.4441,0.4625,24,0.2717,0.18946267499409,-0.667424660913129,-0.38370402119595,0.381020091421958,0.813035951633624
"Dlc1",0.5725,0.554150579150579,37,1e-04,0.0605998980349314,0.929610672108602,-4.54535944413476,0.00256909869231881,0.0608020023848786
"Ebf1",0.4023,0.363852813852814,33,0.2552,0.134632650066641,-0.465663572348812,-0.90528103772769,0.178440818357262,0.603299909684077
"Enah",0.4002,0.462797619047619,24,0.4529,0.212663605000338,-0.610053481683987,-0.300442004104614,0.438240935551597,0.889003040690382
"Entpd1",0.477,0.543137254901961,17,0.1826,0.20212920871816,0.115477217419936,0.0100592133698214,1,1
"Esyt2",0.4071,0.377777777777778,27,0.2543,0.144013000827248,-0.163498732282879,-0.079645053926523,0.689810939727455,1
"Ext1",0.5829,0.601731601731602,22,0.0866,0.0761533710258758,0.283792966000591,-0.486367076253952,0.323999234515212,0.722012261586435
"Fbxl17",0.4189,0.36231884057971,23,0,0.0862854598042163,-0.839535327806754,-0.825424845604214,0.198843323029776,0.613820692831047
"Fry",0.3877,0.370238095238095,30,0.3377,0.168511351664381,-0.756728848987636,-1.46132439104585,0.0873443781373478,0.41343005651678
"Igf1r",0.5284,0.547222222222222,24,0.4209,0.230082102340421,0,-0.251537012288537,0.478152527619335,0.943023040582578
"Igfbp7",0.5275,0.55,20,0.3324,0.175221766040824,0.0524674198941354,-0.164140119901134,0.566673504198818,0.996252148828265
"Irag1",0.5011,0.5,30,0.0334,0.0616774622433552,-0.15754127698648,0.0508052454607189,1,1
"Itga8",0.61,0.622908232118758,19,0.1262,0.0808835641436313,0.389946518316013,-0.952337108327896,0.167556057314766,0.59482400346742
"Itpr1",0.5307,0.561538461538462,26,0.2851,0.188492792342439,0.819427754358179,-0.792481499911624,0.208047259336943,0.615473142205124
"Kcnab1",0.4275,0.419142416723062,31,0.0739,0.102963548831093,-0.249027547839915,0.0652963804721054,1,1
"Ldlrad4",0.3194,0.266666666666667,21,0.0629,0.134114641945504,-1.13750352374994,-1.68081721553533,0.0667318068526731,0.41343005651678
"Lhfpl6",0.5143,0.545238095238095,21,0.173,0.118206580893589,0.125530882083859,-0.123961318762348,0.618541625405309,0.996252148828265
"Lncpint",0.4503,0.408730158730159,21,0,0.110228565996137,-0.46948528330122,-0.155270140392663,0.577348836585793,0.996252148828265
"Lpp",0.4979,0.562825190682333,35,0.0187,0.080794791476968,0.0480942882010451,-0.214469222544672,0.512510297262528,0.957585029095777
"Luc7l2",0.6034,0.616666666666667,21,0.141,0.200331804031077,0.874469117916141,-1.49134364723538,0.0841594332377866,0.41343005651678
"Magi1",0.5082,0.522727272727273,22,0.0814,0.10115805170751,0.523561956057013,-0.370499329180415,0.389341159937228,0.813035951633624
"Malat1",0.4834,0.482560678170061,42,0.0168,0.0172992086345944,-0.107264778679766,0.0182524939966697,1,1
"Mast4",0.4206,0.421095977193538,41,0.082,0.107836394956846,-0.37851162325373,-0.575461489508015,0.283356021134805,0.693733706916247
"Msrb3",0.6018,0.56820987654321,27,0.1155,0.0756492040969272,0.855610090664825,-2.50716107496758,0.0251384695343366,0.262201016331492
