"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"1700025G04Rik",0.463534675615213,0.4752,0.238,0.255615233091094,0.252369666007798,0.291725105189341,149
"2210408F21Rik",0.619883040935672,0.6254,1.551,0.781460037716666,0.293969964272588,0.105189340813464,57
"2610037D02Rik",0.363636363636364,0.3725,0.3897,0.331024373507396,0.27955855980363,0.110799438990182,66
"2610307P16Rik",0.517115600448934,0.5164,0.4575,0.332190687417963,0.242015909916369,0.509116409537167,216
"4632427E13Rik",0.509132420091324,0.4973,0.5927,0.397657632600518,0.263589757525191,0.122019635343619,73
"4732440D04Rik",0.364864864864865,0.3532,1e-04,0.174481763104845,0.2664338128488,0.119214586255259,74
"4732471J01Rik",0.525900900900901,0.5171,0.0755,0.201252569309378,0.263589757525191,0.122019635343619,74
"4930523C07Rik",0.449367088607595,0.4552,1.6689,0.801852530267173,0.256734097894729,0.133239831697055,79
"5031425E22Rik",0.529411764705882,0.5294,1.1176,0.590161142851236,0.253164785514788,0.143057503506311,85
"9530026P05Rik",0.453260261520173,0.4599,0.6149,0.385074498883543,0.231495117961465,0.597475455820477,227
"9630014M24Rik",0.454166666666667,0.4554,2.9013,1.2650163170294,0.249347588209574,0.152875175315568,80
"AW554918",0.477891156462585,0.473,0.3142,0.280468058050822,0.246132213996289,0.161290322580645,98
"Aak1",0.47411003236246,0.4755,0.1896,0.232149841391883,0.24460219108587,0.165497896213184,103
"Abca8a",0.572222222222222,0.5595,0.1249,0.263528784811264,0.330054297335071,0.0967741935483871,36
"Abcc4",0.757142857142857,0.7602,0.7669,0.470796771008274,0.274261601586638,0.113604488078541,70
"Abcc5",0.364978902953586,0.3653,0.2139,0.246983927661363,0.253164785514788,0.143057503506311,79
"Abcg2",0.557971014492754,0.5557,1.6097,0.783067655009019,0.262379331750442,0.123422159887798,69
"Abi1",0.53525641025641,0.5421,0.3151,0.281788159966013,0.247626449654758,0.267882187938289,156
