"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"1700025G04Rik",0.523456790123457,54,-47.1728525845668,-46.947187457694,-0.225665126872741,0.501703914122681,0.967730651348646
"2210408F21Rik",0.487878787878788,55,-46.3960093494057,-45.8366314873707,-0.559377862034999,0.290186536545094,0.967730651348646
"2610307P16Rik",0.410967741935484,155,-146.670747780611,-146.361641185468,-0.309106595143049,0.431712051565068,0.967730651348646
"2900026A02Rik",0.613095238095238,56,-44.1247422367538,-43.7692142041043,-0.355528032649509,0.399093446603435,0.967730651348646
"4632427E13Rik",0.434391534391534,63,-50.5021914725971,-50.4525209007539,-0.049670571843194,0.752621724441879,0.994759090870903
"5031425E22Rik",0.529220779220779,77,-64.97538730269,-64.7390796289173,-0.236307673772728,0.491786440544072,0.967730651348646
"9530026P05Rik",0.468005148005148,185,-194.245564367385,-191.550652032808,-2.69491233457711,0.0202545058491073,0.405122574883502
"AW554918",0.373563218390805,87,-68.4385668662257,-68.290568980907,-0.147997885318688,0.586403671354914,0.968735563642237
"Aak1",0.440350877192982,95,-77.1859565969813,-77.1673736881708,-0.0185829088104583,0.847127836055451,1
"Abca1",0.441840277777778,96,-80.5074407370267,-80.4684355031965,-0.0390052338301814,0.780011889544858,0.997219680807108
"Abca8a",0.636210086210086,39,-39.4190488340508,-38.9909504418085,-0.428098392242326,0.354805187611391,0.967730651348646
"Abca8b",0.653601953601954,26,-26.4098985124529,-26.1271319709133,-0.282766541539615,0.452039430220002,0.967730651348646
"Abcc5",0.393459915611814,79,-60.0421955835931,-59.9841590828334,-0.0580365007597123,0.733333293207311,0.990377952682038
"Abhd17b",0.46969696969697,44,-38.8142140876614,-37.2669332622521,-1.54728082540929,0.0785543061204637,0.690289722136203
"Abi1",0.733879138180758,156,-128.057588865189,-127.493008704733,-0.564580160456302,0.287954514819314,0.967730651348646
"Abi3bp",0.467372134038801,27,-26.1509874182156,-24.995260981089,-1.15572643712669,0.128423963022347,0.881582837865194
"Ablim1",0.414777162727982,244,-269.444373610464,-267.775235613631,-1.669137996833,0.0676854928855575,0.671037020805573
"Ablim3",0.563063063063063,37,-31.517275638085,-30.4300211251547,-1.08725451293029,0.140314289596916,0.903986574413242
"Abtb2",0.618376928236083,71,-63.4586714119144,-60.2517904112488,-3.2068810006656,0.0113239248064065,0.292725634335768
"Acap2",0.561111111111111,60,-46.5337879896953,-46.1198413522629,-0.413946637432332,0.362882418757379,0.967730651348646
"Acer2",0.577712165551839,184,-196.305886432486,-194.927406815438,-1.3784796170481,0.0968321289639481,0.757109753009492
"Acer3",0.512121212121212,55,-44.8362428797961,-42.9817919757605,-1.85445090403559,0.0541229898953293,0.601595339941905
"Ackr3",0.508421052631579,95,-84.3323790888975,-83.760825409875,-0.571553679022472,0.284996683378573,0.967730651348646
"Actn1",0.680268199233717,87,-76.1293876021231,-75.905761148929,-0.223626453194143,0.503642400431833,0.967730651348646
"Actn4",0.5,65,-49.6045863220459,-49.5394754333384,-0.065110888707494,0.718202203265377,0.989169081646257
"Actr2",0.455128205128205,52,-41.4264563301967,-41.3470109690802,-0.0794453611165622,0.690179861709183,0.989169081646257
"Actr3",0.491496598639456,49,-42.4911298100618,-42.479730192304,-0.0113996177577604,0.87998032491587,1
"Acvr1",0.59969696969697,110,-91.9983162203653,-91.8058007780289,-0.192515442336472,0.534923013969207,0.967730651348646
"Acyp2",0.425742574257426,101,-101.676544302928,-99.069180048343,-2.60736425458512,0.0223963436004239,0.405122574883502
"Adam10",0.416666666666667,93,-75.2098838434494,-74.9963833637209,-0.213500479728538,0.513464212922748,0.967730651348646
"Adamts1",0.573757763975155,46,-46.9038622499972,-43.8831863590836,-3.02067589091362,0.0139745799453059,0.337969841138782
"Adamts9",0.583267587113741,65,-73.5235615587169,-70.6112861722399,-2.91227538647706,0.0158040039993059,0.356833181805053
"Adamtsl3",0.518918918918919,37,-35.1450885643869,-34.7293809845289,-0.415707579858015,0.36186363979681,0.967730651348646
"Adarb1",0.636054421768708,49,-37.4682713484163,-37.4144587489848,-0.053812599431545,0.742864182281304,0.991326396049414
"Add1",0.5,50,-39.9254780769625,-38.7955661249457,-1.12991195201676,0.132769157644866,0.889942723381589
"Adgra2",0.497058823529412,68,-53.5301104983233,-53.4627854533114,-0.0673250450118701,0.713658563153328,0.989169081646257
"Adgrf5",0.499581430745814,146,-130.657199860885,-129.737954946464,-0.919244914421483,0.175128051720031,0.94987940274611
"Adgrg6",0.298754789272031,87,-71.7865946700878,-71.5124463941723,-0.274148275915451,0.459014558624886,0.967730651348646
"Adgrl2",0.452798982188295,131,-113.364581930354,-112.377017624706,-0.987564305648107,0.159904539452573,0.946202013076581
"Adgrl4",0.6121346205417,113,-105.229701060581,-105.199840067649,-0.0298609929318587,0.806935893870726,1
"Adh6b",0.753623188405797,23,-19.8767539145434,-19.8416367005658,-0.0351172139776281,0.790995758774422,0.998341770500055
"Adipor2",0.662745098039216,68,-53.6207026583907,-53.2840139399119,-0.336688718478861,0.411876551244698,0.967730651348646
"Adk",0.477820512820513,130,-118.921060233194,-116.646901452004,-2.2741587811901,0.0329511092198075,0.470901306304885
"Adss2",0.46969696969697,33,-27.6224616550812,-27.440489440652,-0.181972214429166,0.546323719786355,0.967730651348646
"Afap1l1",0.604326923076923,104,-81.125837330497,-78.9908308136261,-2.13500651687085,0.0387906329462048,0.530251086882034
"Aff1",0.402435064935065,154,-143.815556261874,-143.230179180251,-0.585377081622738,0.279246334458055,0.967730651348646
"Afg1l",0.431372549019608,51,-43.6545810123276,-43.2530701647256,-0.401510847602012,0.370191465161473,0.967730651348646
"Agap1",0.536950904392765,129,-111.14233141241,-110.147323912008,-0.9950075004013,0.15833931089683,0.946202013076581
"Agfg1",0.44758064516129,62,-46.0548913930659,-45.5112682435662,-0.54362314949968,0.297082146301974,0.967730651348646
"Agmo",0.771717171717172,33,-24.2685586337343,-24.2678112435979,-0.000747390136407233,0.969159560724301,1
"Ago3",0.421474358974359,104,-87.2398597493275,-87.1183616428542,-0.121498106473297,0.622050417873951,0.973953691297026
"Agps",0.44047619047619,42,-33.2370468465496,-33.0837361834739,-0.153310663075722,0.57976091314321,0.968735563642237
"Ahnak",0.52921686746988,166,-145.262384040426,-144.611952159648,-0.650431880778314,0.254055507895016,0.967730651348646
"Ahsg",0.75792349726776,61,-49.1178013597619,-48.201567948226,-0.916233411535913,0.175836454325139,0.94987940274611
"Aig1",0.638513513513513,74,-59.7522017478364,-58.3441773224519,-1.40802442538447,0.0933258782177274,0.753495398800672
"Airn",0.851685952935953,260,-251.070960630419,-233.184901472475,-17.8860591579437,2.21799501492744e-09,3.48668816346594e-06
