"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.4797,0.481997677119628,41,1e-04,0.119585001309079,-0.040641984497346,-0.156007407675439,0.576446437925623,0.880506097490786
"2010001K21Rik",0.5631,0.557142857142857,35,0.1594,0.171076096658798,0.669851398307669,-0.315179490972152,0.427223667552249,0.737544025095726
"2610035D17Rik",0.6834,0.6875,24,4.747,1.95025983521729,1.05889368905357,-1.37976212708182,0.0966769831193558,0.319954777466439
"2610307P16Rik",0.4089,0.40968253968254,75,0.3197,0.236733567803828,-0.599912842187128,-4.08200808090299,0.00427296461511163,0.0400410392022821
"4732440D04Rik",0.3309,0.28953488372093,43,0.1907,0.190468721797742,-1,-4.78866806013684,0.00196994027688402,0.0219057358789503
"5031425E22Rik",0.6036,0.607407407407407,45,0.1272,0.165158335591232,0.186413124230881,0.37639632272878,1,1
"9530026P05Rik",0.6069,0.600710683349572,108,0.1282,0.156477624737076,0.646639397275981,-2.99401698500327,0.014403246791084,0.0891064548980491
"Aak1",0.451,0.475,36,2e-04,0.110801076293418,-0.497499659470817,-0.839651379304073,0.195017125251987,0.485877037031675
"Abca8a",0.7454,0.857563025210084,17,1e-04,0.110763101609874,1.65207669657969,-2.66877769804167,0.0208707211178486,0.110165705141049
"Abcb1b",0.9642,0.962962962962963,27,3.5755,1.47437462765014,6.74146698640115,-16.9783395377456,5.63529046633256e-09,2.04340532561798e-07
"Abcc5",0.5182,0.5,36,0.3682,0.252899235744044,0.222392421336448,0.00571873324181738,1,1
"Abi1",0.9247,0.907277046385957,101,0,0.108370819886931,3.26303440583379,-93.2045776047027,1.93273965738533e-42,3.22380974851872e-40
"Abi3bp",0.3974,0.373958333333333,32,0.5499,0.329504932468082,-1.14438990933517,-3.04165000339997,0.0136465617691416,0.087547942426647
"Ablim1",0.5446,0.560306637806638,60,0.125,0.164306717135317,0.645335118700638,-0.275282101323064,0.45808725285679,0.764089537765125
"Ablim3",0.4087,0.429365079365079,42,0.6072,0.344577749566977,-0.719892080807265,-1.58022925635507,0.0754419915419594,0.267738812536145
"Acap2",0.5059,0.494047619047619,28,1.6679,0.78098135420463,0.371968777386958,-0.016728216938489,0.854867851850202,1
"Ackr3",0.5145,0.505952380952381,28,1.4522,0.668492192322877,-0.0824621601919731,-0.0471832951657483,0.758697648842624,1
"Acss3",0.4528,0.42816091954023,29,0.4753,0.289819122653852,-0.559427408614019,-0.851157021792144,0.191985628538405,0.482277151207921
"Adamts9",0.3519,0.353333333333333,25,1.461,0.717923924534228,-1.29545588352617,-2.89909522704543,0.0160426767555046,0.093114183511925
"Adamtsl1",0.5215,0.522203101776272,82,0.3788,0.256077192489217,0.306661338234052,-0.00690071255674241,0.906480114502552,1
"Adcy9",0.6403,0.643790849673203,51,0.2778,0.227455971707734,1.05246741989414,-2.97634365428778,0.0146948678374778,0.0891064548980491
"Adgrd1",0.3899,0.373626373626374,52,1.1073,0.540835451708963,-0.384663850235325,-2.79620615272869,0.0180384376831295,0.0989740593929608
"Adgrg6",0.6073,0.633838383838384,33,0.9881,0.485952975027596,0.754887502163469,-0.743616043416619,0.222646414287264,0.522552303305255
"Adgrl3",0.3386,0.359583333333333,40,0.3152,0.240258225501406,-0.505235308250422,-1.0026775844982,0.156744578562993,0.439443306443011
"Adk",0.4212,0.411582068724926,91,0.1661,0.176836975675918,-0.389042290745899,-2.98746683502003,0.0145106272442751,0.0891064548980491
"Aebp1",0.6323,0.668713450292398,57,0.0738,0.145837149972296,0.765534746362977,-2.39168659788721,0.0287357788482409,0.136168406587687
