"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5083,0.515384615384615,65,0.4015,0.357762271545083,0.277533975528909,0.00329123490304539,1,1
"2210408F21Rik",0.4183,0.422364672364672,117,0.8345,0.489325745072039,-0.551409941010129,-2.05285646140234,0.0427385691537624,0.177282705718953
"2610037D02Rik",0.3646,0.373711340206186,97,0.3499,0.328067355277765,-1,-4.43633077266411,0.00289472799064939,0.0232145832975608
"2610203C22Rik",0.663,0.650537634408602,93,0.3765,0.340183712059714,1.04439411935845,-5.3412496498005,0.00108153838907268,0.0107890049056275
"2610307P16Rik",0.44,0.438888888888889,30,1e-04,0.237245384529944,-0.862496476250065,-0.792747726026121,0.207970890437547,0.507525029598949
"4632427E13Rik",0.4204,0.412186379928315,93,1.5543,0.788411823232884,-0.611434712082347,-2.04269597494112,0.0432554179634163,0.178195202621457
"4732440D04Rik",0.2742,0.270833333333333,72,0.3479,0.337150759975135,-1.85798099512757,-11.8282813902494,1.15152534640356e-06,2.9983125261647e-05
"4732471J01Rik",0.5737,0.583333333333333,114,0.4096,0.337414043526598,0.44930740136359,-1.154619957142,0.128606924552093,0.380059480793397
"4933406I18Rik",0.4114,0.425818452380952,224,0.548,0.355417919809604,-0.561503527897167,-4.05521273172803,0.00440113956536433,0.0325403961207267
"5031425E22Rik",0.5748,0.580490196078431,170,0.4234,0.319640758905427,0.366427555054222,-1.80089605781622,0.0577173201449523,0.220208805403782
"5033421B08Rik",0.4902,0.485401459854015,137,0.7557,0.456958554460675,-0.137503523749935,-0.233564326557513,0.494311096563145,0.811940716844685
"9530026P05Rik",0.4439,0.435828877005348,51,0.3279,0.323154031120461,-0.362570079384708,-0.744793019524614,0.222280699326575,0.526115775605145
"AW554918",0.512,0.515447154471545,123,0.5633,0.388015413349241,-0.129283016944966,0.0438963221383659,1,1
"Aak1",0.4663,0.465151515151515,110,1.5134,0.762008960975209,-0.355094958822562,-0.518534969110604,0.308503907234143,0.630890490293821
"Abca1",0.4951,0.497411199322027,471,0.2393,0.221534701493816,-0.0145875362230462,-0.0927409224613598,0.666703948308696,0.946155152179933
"Abca6",0.6057,0.601063829787234,47,1.7194,0.864895445015432,1.23703919730085,-2.2117789683552,0.0354460532377933,0.156898655565557
"Abca8a",0.699,0.722514005602241,34,0.2178,0.282236354401164,1.36923380966572,-3.69047916244315,0.00659180360238623,0.0452356992177176
"Abca9",0.5331,0.558037358589845,362,0.0779,0.164138743358864,0.22922543537991,-1.02077091465031,0.15305444272773,0.417337716766916
"Abcb1b",0.9004,0.903030303030303,55,1.1171,0.634889901210443,2.7279204545632,-15.3487688233816,3.01547474531204e-08,1.02777430902719e-06
"Abcc1",0.5063,0.504651162790698,129,0.0341,0.187401561483471,0.090197808971578,0.0087284236922045,1,1
"Abcc5",0.4418,0.453074433656958,103,0.1314,0.244587361830497,-0.321928094887362,-0.815102616324346,0.201674664345735,0.497107693860162
"Abhd12",0.5389,0.533068783068783,126,0.7035,0.440911973972814,0.330148601692331,-0.433241926223388,0.351930569621754,0.678320466424587
"Abi1",0.5589,0.56562860438293,289,0.3438,0.270703258972556,0.241008099503795,-0.779042371661831,0.21194587114401,0.510996939444144
"Abl2",0.497,0.48375,160,0.3843,0.304956837575709,0.0489096004809464,-0.0153272565462999,0.86101339229099,1
"Ablim1",0.4871,0.508569538926682,84,0.0749,0.199612430308903,0.0601209924375707,0.083096899325767,1,1
"Ablim3",0.5071,0.506565656565657,33,0.0462,0.237697690924123,-0.62148837674627,-0.0318634297446572,0.800699598779632,1
"Abr",0.6447,0.632183908045977,145,0.4536,0.339296707856046,0.853158611670729,-5.05857321203706,0.00146896257903457,0.0134709797045995
"Abtb2",0.3807,0.385934744268078,54,0.6932,0.468783114630627,-0.285402218862248,-0.574793054377722,0.283635808300761,0.607891955969705
"Acaca",0.44,0.448275862068966,58,1.8339,0.906068904049302,-0.334419039070559,-0.423509794719465,0.357396851023445,0.683879203149375
"Acap2",0.5711,0.565972222222222,144,0.0844,0.204477643806217,0.17218097538268,0.156282523805018,1,1
"Acbd3",0.6963,0.69047619047619,63,0.0636,0.232259249467565,1.12029423371771,-5.04174243879538,0.00149604124547686,0.0135973526533341
"Acer3",0.514,0.512778782399036,237,0.3338,0.271481065225277,-0.0518389315196179,0.0854223762789275,1,1
"Acss1",0.6813,0.677083333333333,48,4.345,1.8653928394191,1.16992500144231,-2.10888123927222,0.0400028788970548,0.170784733495777
"Actr2",0.5044,0.496781115879828,233,0.1484,0.205196919507864,-0.111892880070897,-0.122424228046725,0.620726027114621,0.912485284406664
"Actr3",0.4895,0.484263233190272,233,0.0626,0.170937184784658,-0.085518071186057,-0.309017828541585,0.431778186006633,0.756265384866023
"Acvr1",0.5566,0.545833333333333,80,0.1796,0.270835319714258,0.337034987277571,-0.21580682977573,0.511198210567741,0.825912182765139
"Acvr2a",0.49,0.490909090909091,110,1.0443,0.577168115203834,0.0703893278913976,0.121259301098348,1,1
"Acyp2",0.3365,0.350213675213675,78,1.4692,0.748611351291577,-0.886343218204433,-4.05386841633472,0.0044076722373796,0.0325403961207267
"Adam10",0.4128,0.404320987654321,108,0.2054,0.263431965607918,-0.750972452160085,-3.30127587279495,0.0101832723434229,0.0632972399462004
"Adam17",0.3949,0.399206349206349,105,0.5819,0.405948271671849,-0.475338009546658,-1.82255674789872,0.0562339710108582,0.215756980707702
"Adam19",0.5699,0.568663194444444,192,0.875,0.484047623847891,0.724765140560679,-2.93860020801307,0.0153381911134296,0.0847745968296311
"Adam22",0.3099,0.306034482758621,116,4.8981,2.03449016907841,-0.84799690655495,-7.22158757170301,0.00014445235442135,0.00202332236158672
"Adam9",0.4273,0.42572706935123,149,0.4238,0.325207507943197,-0.330148601692331,-1.17644619179104,0.125050793348034,0.372782612823221
"Adamts6",0.6899,0.686274509803922,34,4.2364,1.84854843456241,1.69187770463767,-3.49214682371641,0.00822280992729831,0.0533830041311906
"Adamts9",0.4569,0.439102564102564,26,0.1857,0.319096731103435,-0.678071905112637,-0.48511192122406,0.324624359588086,0.650840015056505
"Adap2",0.5797,0.576352530541012,191,0.7353,0.433050132181153,0.635427567704144,-2.92320365239647,0.0156088857106293,0.0860381975154634
"Adarb1",0.2539,0.25,50,5.219,2.19542243314684,-1.36923380966572,-5.38622925978596,0.00103021576490163,0.010586890649366
"Adcy7",0.539,0.531152647975078,107,0.2454,0.282408990300324,0.189477798863713,0.0278366423818142,1,1
"Adcy9",0.5298,0.526006235827664,168,0.0729,0.186703673018747,0.114332675478995,-0.0593986690177246,0.73034255145282,0.98903168234322
"Add1",0.494,0.48943661971831,71,0.1838,0.275091385469134,0.0824621601919731,0.0440010293570481,1,1
"Adgre1",0.526,0.531818181818182,275,0.092,0.17596873377939,0.12199052437861,-0.267764041219664,0.464291966058855,0.783178988578402
"Adgrf5",0.6346,0.628205128205128,39,0,0.232508891431736,0.502500340529183,0.0538427432335737,1,1
"Adgrg6",0.478,0.471350826044704,245,0.5725,0.360435804155377,-0.199937570508752,-1.20476382135169,0.120598750869851,0.365369548931622
"Adgrl2",0.6328,0.653486394557823,56,0.3532,0.340590633506132,1.03952836418664,-2.38877170193126,0.0288332251272173,0.134314226389885
"Adgrl4",0.5551,0.554583333333333,40,1.2352,0.677170641872628,0.616671360448494,-0.372836137345544,0.387849882829532,0.714552261609363
"Adipor2",0.5618,0.583333333333333,62,2e-04,0.20894607625377,0.186413124230882,-0.229798625125362,0.497812258955638,0.814420855651424
"Adk",0.2564,0.245567375886525,188,0.7267,0.431351426668341,-1.32192809488736,-24.6529898065307,2.18993936366672e-12,1.31718411726425e-10
"Aebp2",0.4053,0.405797101449275,69,0.201,0.283831119147163,-0.478047296804644,-1.48426122655103,0.0848993648585911,0.289848415919564
"Afap1l1",0.6624,0.667910447761194,67,2.333,1.09304571923599,0.280107919192735,-0.131171293209647,0.608515315137669,0.902234127443657
"Aff1",0.4816,0.4822,250,0.3049,0.258595091378266,-0.11839470080223,-0.457184852343858,0.338957659714057,0.667711435165433
"Aff3",0.4833,0.443478260869565,46,0.4483,0.377130178766988,0.263034405833793,0.125769014569805,1,1
"Aff4",0.3574,0.364583333333333,80,0.0129,0.207531522245903,-0.601450623509725,-2.01273347673258,0.0448182113370301,0.182213205137627
"Afg2a",0.4978,0.494791666666667,96,0.4358,0.360182298539358,-0.263034405833793,-0.139880103836205,0.596858428172957,0.895506592526557
"Aftph",0.4204,0.418843537414966,245,0.5342,0.348043782977445,-0.391830108117519,-3.15392578997091,0.0120204414140429,0.0714587287549936
"Agap1",0.4277,0.414102564102564,195,0.1403,0.208125270998274,-0.285402218862249,-1.2832689462002,0.109146368986649,0.343920376853153
"Agfg1",0.5093,0.52212962962963,180,0.3117,0.270349244402093,0.0138057995250302,-0.000622708481287759,0.971848125942202,1
"Agmo",0.5736,0.572911622276029,236,0.9586,0.506051364440692,0.508464363247112,-3.19754042817007,0.0114437017840124,0.06944323486144
"Ago2",0.6066,0.606227106227106,91,3.8371,1.65282614966821,0.68965987938785,-1.9825791935435,0.0464511517757189,0.18810416907197
"Ago3",0.5389,0.533498349834983,202,0.1481,0.208009649164347,0.415037499278844,-0.84851345068904,0.192677253000652,0.483173716562768
"Ago4",0.4532,0.4453125,64,1.729,0.86388241208373,-0.381870635343645,-0.387342553187551,0.378771568149814,0.707788487390956
"Agpat4",0.5483,0.552631578947368,57,1.1404,0.643194855192032,0.206450877467426,-0.105734337097495,0.645618699672965,0.928674385407992
"Agps",0.4542,0.452857142857143,175,0.5494,0.365166893200137,-0.648834683887541,-2.87709747622254,0.0164493314310498,0.089465113767279
"Agtpbp1",0.6185,0.618721461187215,73,0.8311,0.520644430861211,0.505235308250422,-1.16609088094659,0.126724152490969,0.376672807912837
"Ahcyl2",0.4772,0.484126984126984,84,1.2568,0.679550474715424,0.106915203916513,0.170309984795153,1,1
"Ahnak",0.4983,0.502367941712204,183,0.1844,0.221900535264404,0.0398927271235126,-0.0487837128627859,0.754768580619037,1
