"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5965,0.601388888888889,60,0.3337,0.290687019070691,0.906890595608518,-2.03621315035961,0.0435886215939131,0.195349947066904
"2210408F21Rik",0.3947,0.38855421686747,83,0,0.121902255976282,-0.930737337562886,-4.41451955678413,0.0029647445223117,0.0288556190463505
"2610035D17Rik",0.9768,0.976190476190476,42,2.3182,1.08038303807514,Inf,-24.7007451758251,2.08587120615481e-12,2.06481516532042e-10
"2610307P16Rik",0.3778,0.388888888888889,27,0.3552,0.309805914046863,-1.13750352374993,-1.08948384946151,0.139908276466916,0.398611398588469
"3110082I17Rik",0.493,0.49685534591195,53,1.1207,0.618889934386032,-0.214124805352848,-0.0809933109716141,0.687334029813968,0.987857655047843
"4632427E13Rik",0.4806,0.452380952380952,70,0.1361,0.217827671208152,-0.160464672193246,-0.156015800443662,0.576436181480432,0.893447573076001
"4732440D04Rik",0.1976,0.203125,64,1.1699,0.610409949689164,-1.9205655325056,-11.5797560099853,1.49103817459981e-06,5.56299242761407e-05
"4732471J01Rik",0.6302,0.634408602150538,93,0.1273,0.175851981593375,0.89616418901546,-3.81182154220037,0.00576079969982313,0.047262686542528
"4933406I18Rik",0.4396,0.432831325301205,166,0.381,0.265819869786086,-0.226068079479846,-1.32037615001633,0.104154213150465,0.328389641864746
"5031425E22Rik",0.6213,0.60974358974359,130,0.2777,0.227904844034367,0.825321468587053,-4.67788905953125,0.00222283577850595,0.0232594496118779
"5033421B08Rik",0.5114,0.507575757575758,66,0.1967,0.245176951990585,-0.255257055242075,0.0312502228739504,1,1
"9530026P05Rik",0.4933,0.524702380952381,48,0.3642,0.27269832382097,-0.321928094887362,-0.117955562542594,0.627175040164366,0.935929837637878
"AW554918",0.4997,0.48952380952381,70,0.5221,0.332660349137426,0.115477217419936,0.0535576794374393,1,1
"Aak1",0.415,0.396713615023474,71,0.4515,0.304523555750131,-0.62148837674627,-1.10251201514595,0.137561750272349,0.394075434509635
"Abca1",0.5172,0.502294447190641,289,0.1723,0.178658799994288,0.125530882083859,-0.0489404994901292,0.754387490580822,1
"Abca8a",0.5219,0.568025493025493,18,0.0903,0.220103889814556,0,0.0217989517799992,1,1
"Abca9",0.5323,0.542272727272727,220,0.336,0.24203548104698,0.288721049497443,-0.808745704260502,0.203441929914802,0.502094221688419
"Abcc1",0.5827,0.601449275362319,92,3e-04,0.121680741961351,0.864344900642434,-2.85698434600233,0.0168304483934991,0.10507295869567
"Abcc3",0.4875,0.5,57,0.8108,0.499864612030645,-0.178337241258513,-0.00326514132086686,0.935592924628082,1
"Abhd12",0.49,0.508771929824561,76,0.1282,0.180496002504705,0.0671141958585371,0.0328400160744877,1,1
"Abi1",0.5391,0.517202181876095,184,0.1367,0.168898130134161,0.144389909335175,0.120754891884985,1,1
"Abl2",0.5329,0.538617886178862,82,0.9445,0.483034988646569,-0.0840642647884744,0.152192330723118,1,1
"Ablim1",0.5192,0.461022050865801,64,0.0713,0.149362012043513,-0.182864057149811,0.171285007238609,1,1
"Ablim3",0.5367,0.47463768115942,23,0,0.161247832505775,-0.652076696579694,0.29846832490588,1,1
"Abr",0.5979,0.59775641025641,104,0.1692,0.185654677524771,0.841302253980942,-3.44658932449292,0.00865252744948393,0.0647361042245979
"Abtb2",0.4076,0.413690476190476,42,1.5997,0.798019143820229,-0.646363045385299,-1.57872484318791,0.0755811717373243,0.26734920115663
"Acap2",0.4314,0.434959349593496,82,2e-04,0.13070469472022,-0.625604485218502,-1.82126482499407,0.0563212987789379,0.223480979613963
"Acer3",0.5621,0.562141541699553,181,0.0666,0.145375938418638,0.443606651475615,-2.21566592277844,0.0352849642235747,0.171576363950679
"Actr2",0.4888,0.515151515151515,154,0.0634,0.147202172775953,0.0607540310790959,0.174527858139896,1,1
"Actr3",0.4491,0.446687370600414,161,0.5002,0.312703341848676,-0.0136749368970768,0.387550890069164,1,1
"Acvr1",0.6104,0.617021276595745,47,3.1428,1.39020350362101,0.556393348524385,-0.000122779311748644,0.98749741307274,1
"Acvr2a",0.4031,0.414814814814815,90,0.1558,0.181883104293541,-0.563900885193327,-2.15396551598317,0.0379350718755984,0.181397389321152
"Acyp2",0.3631,0.367222222222222,60,0.5236,0.334627326938821,-1.1096244911745,-3.89377005509139,0.00526077738786514,0.0440836265603459
"Adam10",0.5437,0.535140562248996,83,0.3111,0.246616709331001,0.467126010427298,-0.5181625702958,0.308677689846628,0.643215345730938
"Adam17",0.4286,0.407142857142857,70,0.2771,0.26064015419945,-0.472068444315223,-1.25573489217719,0.113020477440282,0.347260957154749
"Adam19",0.5943,0.56980056980057,117,0.4143,0.279511150177194,0.561115758766788,-1.78771734130594,0.0586400997094368,0.228432527298837
"Adam22",0.2943,0.284722222222222,60,0.4257,0.3440190195234,-1.13750352374993,-5.29670077674539,0.00113491977360977,0.0129811626660329
"Adam9",0.5228,0.4996336996337,91,0.1399,0.174693400189199,0.137503523749935,0.015777392991879,1,1
"Adamts9",0.5545,0.568475073313783,31,0.4424,0.342705636084561,-0.247927513443585,0.457993198668959,1,1
"Adamtsl3",0.4031,0.417233560090703,21,0.2204,0.274898909393008,-1.4594316186373,-1.12193089919835,0.134145582805961,0.386408324001731
"Adap2",0.4815,0.48478835978836,126,0.1564,0.181811403888133,-0.263034405833793,-0.506199550977598,0.314328773709707,0.6498063171545
"Adap2os",0.5448,0.561224489795918,49,0.426,0.359421012147832,0.175086706558091,-0.249326209909256,0.48009283638526,0.813303215800759
