"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"2210408F21Rik",0.46420581655481,0.4635,1.84,0.942156533226648,0.371787078414834,0.203174603174603,149
"2210408I21Rik",0.621527777777778,0.6293,0.5245,1.13445319435749,1.42847817884867,0.0645502645502646,48
"2610307P16Rik",0.461805555555556,0.4599,0.7127,0.515259411141552,0.373606873950197,0.193650793650794,144
"4632427E13Rik",0.507936507936508,0.5028,1.4583,0.804716014198257,0.383255592352138,0.172486772486772,147
"4833422C13Rik",0.675287356321839,0.6665,0.4531,0.405331967055153,0.356279024348903,0.302645502645503,203
"4930523C07Rik",0.339285714285714,0.3447,0.9954,0.880477184891257,0.767450153723913,0.101587301587302,84
"4933431K23Rik",0.47948717948718,0.4684,0.8784,1.02351982438722,1.05378394511409,0.0835978835978836,65
"5031425E22Rik",0.510224948875256,0.5168,0.4674,0.421383434146694,0.372500965086718,0.198941798941799,163
"9330188P03Rik",0.575757575757576,0.5721,4.9953,2.7185932573633,1.25492410174621,0.073015873015873,55
"9530026P05Rik",0.465829877193514,0.4791,0.1995,0.187686910979876,0.17095047536993,2.57248677248677,770
"9630014M24Rik",0.391071428571429,0.3938,0.483,0.45375571893966,0.412896234727174,0.151322751322751,112
"A830082K12Rik",0.509345794392523,0.5019,49.8071,19.211320159173,0.453971656443619,0.138624338624339,107
"AW554918",0.477011494252874,0.4792,1.5877,0.839294169249143,0.361015961166524,0.261375661375661,203
"Aak1",0.536507936507936,0.5392,1.2521,0.77882710205932,0.463310593878601,0.136507936507936,105
"Abca6",0.587730061349693,0.5931,1.3756,0.763371373445803,0.368074544376222,0.227513227513228,163
"Abca8a",0.759190031152648,0.7637,0.3375,0.327620415069673,0.304635580616414,0.556613756613757,321
"Abca8b",0.775537634408602,0.775,3.6824,1.65389932664627,0.390263571564399,0.165079365079365,124
"Abca9",0.558333333333333,0.5501,0.582,0.568133145985716,0.530168691635516,0.124867724867725,100
"Abcc9",0.422356338161507,0.4176,0.1604,0.225065213756819,0.250717603144581,1.02116402116402,503
"Abcg2",0.48780487804878,0.4852,2.175,1.32842655197987,0.767450153723913,0.101587301587302,82
"Abhd17b",0.304878048780488,0.3049,1.8204,1.19376832413176,0.767450153723913,0.101587301587302,82
"Abi1",0.628109452736318,0.6397,0.516,0.414370689248145,0.333602166045,0.413756613756614,268
"Abi2",0.482758620689655,0.48,0.3043,0.355083184606056,0.365836383954983,0.237037037037037,174
"Ablim1",0.378981937602627,0.3672,0.03,0.27249653189736,0.398793036384568,0.158730158730159,116
"Abr",0.52,0.5082,0.8999,0.658914452771746,0.484440007533379,0.132275132275132,100
"Acaca",0.518115942028985,0.5265,1.2245,0.869887087368252,0.618397544773778,0.114285714285714,92
"Acap2",0.459643605870021,0.4651,0.8667,0.572140735124347,0.371163616113253,0.207407407407407,159
"Acbd6",0.568181818181818,0.5664,7.3587,3.43597200644909,0.979828577849912,0.0878306878306878,66
"Acer2",0.485466034755134,0.4808,0.8389,0.552373901633532,0.357097072428281,0.295238095238095,211
"Acer3",0.676470588235294,0.6787,1.214,1.02415385787761,0.8601043255984,0.0952380952380952,68
"Actr2",0.559895833333333,0.5552,0.4104,0.426186098686496,0.412896234727174,0.151322751322751,128
"Actr3",0.445736434108527,0.4473,0.7578,0.53818236541428,0.38245986610941,0.173544973544974,129
"Acvr1",0.423948220064725,0.4266,0.3659,0.463903081451656,0.496312639737162,0.13015873015873,103
"Acyp2",0.382478632478632,0.3808,0.8398,0.552021157646833,0.356036314779263,0.304761904761905,195
"Adam19",0.544715447154472,0.5361,0.037,0.471808041154541,0.699148148190035,0.106878306878307,82
"Adam22",0.543543543543544,0.5408,1.2549,0.75029727062415,0.418112031333286,0.149206349206349,111
"Adam9",0.533333333333333,0.5326,46.7352,18.3544804652259,0.926993830554947,0.091005291005291,75
"Adamts12",0.451566951566952,0.4616,0.896,0.565437447493568,0.343931461471843,0.371428571428571,234
"Adamts17",0.441176470588235,0.4475,4.6081,2.67084308742948,1.40656967553396,0.0656084656084656,51
"Adamts2",0.614740368509213,0.6193,0.5208,0.433853401408592,0.360574761751389,0.264550264550265,199
"Adamts9",0.591452991452991,0.5824,0.7912,0.520540001891216,0.33614209622185,0.403174603174603,156
"Adap2",0.56075117370892,0.5647,0.2964,0.311116316463058,0.303266320677911,0.565079365079365,355
"Adap2os",0.597058823529412,0.6051,0.4148,0.399865911666738,0.370144535752332,0.214814814814815,170
"Adcy3",0.55787037037037,0.5375,0.4372,0.795857643067063,0.961963906844428,0.0888888888888889,72
"Adcy6",0.441613588110403,0.4251,0.1589,0.305305545335318,0.374141336242142,0.191534391534392,157
