"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"0610043K17Rik",0.641141141141141,0.6428,1e-04,0.442648113450112,0.676013218609472,0.0433734939759036,111
"1110059E24Rik",0.433076923076923,0.4338,0.8588,0.743309929607556,0.637178032487273,0.0512908777969019,130
"1500002F19Rik",0.65,0.6486,35.1429,13.8638146055206,0.791784174165091,0.0247848537005164,60
"1500004A13Rik",0.390873015873016,0.3912,0.6671,0.583504984344736,0.50428861275586,0.085025817555938,210
"1600010M07Rik",0.513888888888889,0.5127,0.1405,0.372074288910937,0.486791463929971,0.091566265060241,228
"1600020E01Rik",0.334532374100719,0.3353,7.252,3.16083880819138,0.621494473044308,0.0547332185886403,139
"1700025G04Rik",0.496860961365678,0.4964,0.3657,0.39756518726983,0.395108562690121,0.201721170395869,424
"2210408F21Rik",0.487140992167102,0.4857,0.3713,0.365202290649326,0.342431631918404,0.371084337349398,766
"2210408I21Rik",0.616573033707865,0.6179,3.3981,1.61079412045334,0.489321553305731,0.0905335628227194,178
"2610035D17Rik",0.650713557594292,0.6486,1.4301,0.815409213556837,0.415943672172476,0.162822719449225,327
"2610037D02Rik",0.504712301587302,0.5055,1.0359,0.677454772954601,0.433877256559327,0.133562822719449,336
"2610307P16Rik",0.557807807807808,0.558,0.3515,0.531466002051052,0.607855740465973,0.0578313253012048,111
"2700049A03Rik",0.646723646723647,0.6448,0.7011,0.705356857535891,0.670677040409817,0.0444061962134251,117
"2700097O09Rik",0.622047244094488,0.6223,37.7727,14.7730445579236,0.655197388135355,0.0475043029259897,127
"2900026A02Rik",0.464912280701754,0.4611,3e-04,0.44038789920631,0.672445118054438,0.0440619621342513,114
"2900093K20Rik",0.587301587301587,0.5867,2e-04,0.513641264374841,0.784385424455174,0.0258175559380379,63
"3110056K07Rik",0.451830443159923,0.4521,0.1638,0.439325222530015,0.575992056544177,0.0654044750430293,173
"3110082I17Rik",0.516393442622951,0.5095,0.1725,0.496698564554736,0.658574274263266,0.046815834767642,122
