"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"Ablim1",0.4974,0.49025974025974,33,0.2696,0.145787689850169,0.231325546106456,0.0528147717722192,1,1
"Airn",0.2742,0.242753623188406,23,1.4089,0.592046341576113,-1.58496250072116,-3.77215509847505,0.00601998639021906,0.128921662491112
"Akap13",0.4467,0.461805555555556,24,0.2441,0.170102218154252,-0.584962500721156,-0.460516469363707,0.337203902384955,0.749680879968615
"Akt3",0.3995,0.375,26,0.0063,0.0449882315600928,-0.280107919192735,-0.0909547331658729,0.669737384860765,1
"Ankrd11",0.4634,0.508558558558559,37,0.1635,0.0992722117777742,0,0.134307724444227,1,1
"Ankrd44",0.4661,0.405691056910569,41,0.0262,0.0656839141524822,-0.0874628412503395,-0.183049600910472,0.545138253242195,0.888812369416622
"Apbb1ip",0.287,0.264603174603175,30,0.036,0.0570788290906754,-1.32192809488736,-4.95294786922238,0.001647501216469,0.0785447253258387
"App",0.6086,0.537719298245614,19,2e-04,0.0438452823541251,1.11547721741994,-0.881745214243448,0.184189745874439,0.658983117992218
"Arb2a",0.4329,0.495454545454545,33,0.0981,0.0742833473652422,-0.334419039070559,-0.431704463390577,0.352786482741172,0.749680879968615
"Arhgap15",0.4543,0.480880230880231,48,0.0205,0.0615573385596687,-0.281412935148648,-0.871013360362596,0.186882232601786,0.658983117992218
"Arhgap26",0.5314,0.545138888888889,24,0.1205,0.0880429341497456,1.05062607306997,-0.393777541583244,0.374840439984307,0.749680879968615
"Arid1b",0.5863,0.57926267281106,31,2e-04,0.0459515042236635,0.667424660913129,-0.813609412065073,0.20208815618428,0.658983117992218
"Arl15",0.3952,0.367025089605735,31,1e-04,0.0374842178381146,-1.20945336562895,-3.65256241511271,0.00687582199952597,0.128921662491112
"Atp2b1",0.4891,0.524404761904762,28,1e-04,0.0423178740271584,0.667424660913129,0.409504108592223,1,1
"Atxn1",0.4535,0.435416666666667,32,0.3143,0.157105739827161,-0.263034405833794,-0.20762746400872,0.519314289772968,0.86552381628828
"Bach2",0.6793,0.616452991452991,26,1e-04,0.0445086444914668,1.18057224564182,-2.93868352146995,0.0153367395669669,0.209137357731367
"Bcl2",0.4848,0.452715605907095,47,0.0139,0.0287385511901286,-0.128324096975539,-0.440180688710221,0.3481027201717,0.749680879968615
"Birc6",0.4894,0.55952380952381,28,0,0.0422798993436141,0.211504105193712,0.155336138019354,1,1
"Camk1d",0.5738,0.591397849462366,31,2e-04,0.0388651314750287,0.283792966000591,-0.19509181531938,0.532202893494755,0.877257516749595
"Camk4",0.4762,0.457407407407407,27,0.0724,0.07261108073657,-0.253756592245783,-0.279087920330973,0.454996159161261,0.822282215351677
"Cblb",0.3964,0.34992784992785,33,0.1082,0.0822610122623843,-0.567040592723894,-1.73017376591826,0.0628571023273963,0.428571152232247
"Ccnd3",0.5061,0.476130952380952,40,0.1987,0.126080760519697,0,-0.0282898152371871,0.811986010692409,1
"Cd44",0.6032,0.578030303030303,22,0.5933,0.282324822588771,0.387023123109247,-0.107136933139088,0.64343801705202,1
"Celf2",0.5193,0.578571428571429,43,0.1393,0.0948855432810866,0.0554951125917036,-0.0069373523618097,0.906233311169445,1
"Chst11",0.5366,0.503086419753086,27,1e-04,0.0626596118638383,0.0824621601919731,0.0634520208810301,1,1
"Crebbp",0.6072,0.607142857142857,28,0.3534,0.176482430989184,1.18442457113743,-1.45039735300594,0.0885358935040678,0.488791280103364
"Crim1",0.6315,0.610215053763441,31,0.3873,0.18967177586389,1,-1.60754234167683,0.0729624158429301,0.463772111899312
"Dennd1b",0.3694,0.335119047619048,28,3e-04,0.0438832570376694,-0.830074998557688,-2.59646608045471,0.0226789214095934,0.226789214095934
"Dennd4a",0.5118,0.551708074534161,23,0.1799,0.107757916637874,0.222392421336448,0.00187008742931027,1,1
"Dlc1",0.5659,0.58796992481203,19,0.723,0.32016183485736,1.08746284125034,-0.522460422693548,0.306679768717146,0.749680879968615
"Dleu2",0.4764,0.464722222222222,30,0.0604,0.0611586094482794,-0.106915203916512,-0.09806014399161,0.657870833010176,1
"Dock10",0.597,0.634053156146179,43,0.0771,0.0779542366116904,0.480625840906421,-0.876686398949985,0.185453285914524,0.658983117992218
"Dock2",0.4686,0.467628205128205,52,0.0309,0.0467320033582246,-0.227805917522812,-0.679108674051079,0.243846669767516,0.698990842021641
"Dst",0.3594,0.435185185185185,18,0.1209,0.132986161637319,-0.777607578663552,-0.822716269049812,0.199581728872347,0.658983117992218
"Ebf1",0.322,0.345643939393939,22,0.083,0.0693119344689742,-0.485426827170242,-0.166073563666473,0.564397508579797,0.910318562225479
"Eif4g3",0.6833,0.691358024691358,27,0.0544,0.0629416683269607,1,-1.76695303090487,0.0601259843280543,0.428571152232247
"Elmo1",0.5902,0.582698412698413,45,0,0.0527202598995418,0.502500340529183,-0.957826121308408,0.166336747784839,0.658983117992218
"Emb",0.5721,0.533854166666667,32,0.0293,0.0553097282054831,0.713695814843359,-1.13587993741544,0.131750216880723,0.598864622185104
"Entpd1",0.5421,0.564285714285714,14,0.8691,0.44264710027391,1.22239242133645,-0.2549389213836,0.475191741793639,0.83666139263594
"Esyt2",0.4791,0.5,34,0,0.0437693329870365,-0.362570079384708,-0.351280914686555,0.401924219072659,0.763147251403783
"Ets1",0.4666,0.437719298245614,38,0.0451,0.0559157643864211,-0.214124805352848,-0.318779482346773,0.424596116106295,0.796117717699302
"Etv6",0.4819,0.487003968253968,24,0.0162,0.0512693085846713,0,0.0132481347014171,1,1
"Ext1",0.3007,0.32993672993673,26,0.0113,0.0507548140997157,-0.954196310386875,-2.61636789723388,0.0221656417772547,0.226789214095934
"Fbxl17",0.6849,0.703888888888889,30,0.0962,0.0753208276775603,1.22239242133645,-3.25529943029991,0.0107233388559425,0.16995530385454
"Fli1",0.5579,0.545977011494253,29,2e-04,0.0442590952940907,0.398549376490275,-0.245111719766168,0.483827650125709,0.83666139263594
"Foxp1",0.3859,0.484567901234568,27,0.0876,0.0755457221284242,-0.616671360448494,-0.978435655994119,0.161848321620905,0.658983117992218
"Frmd4b",0.6866,0.782222222222222,15,0.1001,0.0802925575714622,1.11547721741994,-1.23494374627028,0.116046230851747,0.580231154258734
"Fryl",0.494,0.526666666666667,25,0.1232,0.0895138999114732,-0.616671360448494,-0.270286960882878,0.462194971965869,0.825348164224766
"Fyb1",0.694,0.740686274509804,34,0.0044,0.0450788290906754,1.58496250072116,-5.77243873042013,0.000679361778119669,0.0509521333589752
"Fyn",0.5925,0.627689594356261,27,0.0809,0.0765970738439166,0.819427754358179,-1.03308210779383,0.150599878659504,0.645428051397872
"Gab2",0.4075,0.558002645502645,18,2e-04,0.0451933592175827,-0.830074998557688,-0.926881079780864,0.173346466184013,0.658983117992218
"Gm2682",0.5234,0.502501202501202,33,0.4565,0.231262791863384,-0.0274807364221071,0.0495646571493751,1,1
"Gnaq",0.3784,0.344718013468013,24,1e-04,0.0370681574918245,-1.20645087746743,-3.2063770947935,0.0113303535903027,0.16995530385454
"Gramd2b",0.543,0.547101449275362,23,0.7814,0.366078213592059,-0.0931094043914815,0.13066174906789,1,1
"Grap2",0.4656,0.493045112781955,38,0.4423,0.212882147428498,-0.571156701196126,-0.748477721410744,0.221140411667281,0.663421235001844
"Heg1",0.5877,0.549487433862434,24,0.1316,0.0918592759112107,0.807354922057604,-0.657097020411122,0.251636703127791,0.698990842021641
"Hivep2",0.6203,0.543693693693694,37,1e-04,0.0387408103134865,0.299560281858908,0.309494145396187,1,1
"Igf1r",0.4449,0.417777777777778,30,0.3037,0.153080423371464,-0.12199052437861,-0.414569463891556,0.362521635223308,0.749680879968615
"Il7r",0.6584,0.684615384615385,26,0.6802,0.300587237947214,-0.347923303420307,0.615105097647103,1,1
"Itk",0.5376,0.443981481481481,36,0,0.0409443261765748,0.215728691055437,-0.0447198490717966,0.764890675381929,1
"Itpr2",0.447,0.498888888888889,30,0.076,0.0743200864103157,-0.53605290024021,-0.761205887007186,0.21725488447522,0.663421235001844
"Jak1",0.4729,0.423076923076923,26,0.0224,0.077850365490793,0,0.0106315041142153,1,1
"Kansl1",0.4996,0.446396396396396,37,1e-04,0.0402031387647363,-0.830074998557688,-0.361291035474355,0.39529824698962,0.763147251403783
"Kcnq5",0.5673,0.532804232804233,18,0.0697,0.0715857642808738,0.547487795302493,-0.376930397387227,0.385256626448394,0.760374920621829
"Kcnt2",0.6608,0.674908424908425,13,0.0056,0.0447224087752827,1.1926450779424,-1.42617007285131,0.0912410389526279,0.488791280103364
"Lama2",0.4615,0.471354166666667,16,0.217,0.128390112726976,-0.736965594166206,-0.398091064789037,0.372237307017148,0.749680879968615
"Ldlrad4",0.4528,0.433791208791209,26,0.5089,0.235843192104529,-0.68805599368526,-0.863995158360478,0.188667756280955,0.658983117992218
"Lncpint",0.4795,0.426356589147287,43,0.0536,0.0773177908587346,-0.440572591385981,-0.832834066030458,0.196839758499194,0.658983117992218
"Lpp",0.4152,0.431159420289855,23,0.111,0.0866225685420997,-0.777607578663552,-1.43158524078984,0.0906287070511491,0.488791280103364
"Lrch3",0.4286,0.402777777777778,18,0.4337,0.242102218154252,-0.447458976971221,-0.416540674169976,0.361383035699045,0.749680879968615
"Magi1",0.5003,0.429824561403509,19,0.4581,0.251368040939062,-0.830074998557688,-0.158439857068798,0.573488884182444,0.915141836461347
