"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.612903225806452,155,0.87800947562139,-1.78736762766587,0.0586647992921345,0.142671348931832
"1110002E22Rik",0.482762557077626,584,-0.143194635827791,-0.0117119736045765,0.878359760759402,1
"1110002L01Rik",0.943502824858757,177,4.65535182861255,-70.2271682324354,2.11768797058307e-32,5.40351995074583e-31
"1110004F10Rik",0.445141065830721,319,-0.626185163447669,-1.73074662159848,0.0628135651591464,0.150621698442154
"1110019D14Rik",0.546149217809868,554,0.0950266073857726,0.180192265271955,1,1
"1110038F14Rik",0.438864628820961,229,-1.14438990933517,-3.88980101787705,0.005283943607736,0.0182216867301108
"1110059E24Rik",0.424714434060228,321,-0.421296489750526,-3.57004139802918,0.00753796786611562,0.0249217662783593
"1500002F19Rik",0.595930232558139,344,0.31550182572793,-4.99781549450495,0.0015691205432211,0.0061981240933228
"1500004A13Rik",0.520525451559934,609,0.00623195371151475,0.234194678736969,1,1
"1500009L16Rik",0.509661835748792,207,-0.210566985939658,-0.276549042740001,0.457054573961437,0.685365247399993
"1600010M07Rik",0.48499743983615,651,0.0396642175735162,-0.0650102583424541,0.718410767461314,0.959903576118073
"1600014C10Rik",0.452620967741935,248,-0.709409871645645,-1.03450970951212,0.150318142259445,0.299594709989849
"1600020E01Rik",0.305898653998416,421,-0.921997487998727,-17.2989570036544,4.05340422757731e-09,3.50888398797664e-08
"1700017G19Rik",0.00510204081632653,196,-6.09803208296053,-84.5249440921471,1.19311886253772e-38,3.6829542254335e-37
"1700025G04Rik",0.568190924259389,1446,0.584299040125012,-14.2680643125552,9.19663247614004e-08,6.97797245911441e-07
"1700037C18Rik",0.569767441860465,129,-0.0347654181606769,-0.165344160651131,0.565254060388779,0.801283085604883
"1700037F03Rik",0.49,200,-0.206450877467426,-0.00143444215532895,0.957284158915016,1
"1700081N11Rik",0.536089238845144,254,0.403355694231208,-1.87134633533458,0.0530389077300714,0.131208056339285
"1700087I21Rik",0.10556586270872,385,-3.51211193531348,-110.043068895116,8.66153289438298e-50,3.51347308690099e-48
"1700109H08Rik",0.410189982728843,386,-0.716207033999408,-4.19273978175968,0.0037823040229649,0.0136378460725481
"1700120C14Rik",0.752873563218391,232,1.62058641045188,-20.550072324668,1.44625631799078e-10,1.38246374323953e-09
"1700123M08Rik",0.617021276595745,188,0.647118976783726,-2.15963148630078,0.0376832405053793,0.0980911336561253
"1700123O12Rik",0.0260416666666667,96,-6.65821148275179,-63.6185224093497,1.6485851215056e-29,3.77979951046647e-28
"1810024B03Rik",0.654255319148936,94,1.7951802081115,-4.21932565128315,0.00367328577879081,0.0133282983991905
"1810034E14Rik",0.666666666666667,104,0.633872101202102,-0.759426288009962,0.217793215304509,0.400056739171825
"1810037I17Rik",0.105978260869565,184,-3.34395440121736,-55.5567788891494,5.58765695173097e-26,1.17470741496856e-24
"1810062O18Rik",0.596698113207547,212,0.881355503501381,-2.40998260397467,0.0281319131116033,0.0767887945156723
"2010001K21Rik",0.987341772151899,158,7.07681559705083,-89.4327039948403,8.57337895811523e-41,2.726248344068e-39
"2010109A12Rik",0.378787878787879,99,-1.16046467219325,-3.97909690799731,0.00478701609313029,0.0167452945479981
"2210408F21Rik",0.492879824532687,2777,0.0462802722439706,0.031147947887348,1,1
"2210408I21Rik",0.559917355371901,242,0.263034405833794,-0.839592939444813,0.19503266518021,0.367116117135193
"2310002L09Rik",0.474910394265233,279,-0.660513533728333,-2.12452712119931,0.0392721953186157,0.101641902648753
"2310014F06Rik",0.373422459893048,935,-0.882015926969489,-26.7185236377456,2.67013601217868e-13,3.1290038305679e-12
"2310015A10Rik",0.607456140350877,342,0.765534746362977,-3.70211145831615,0.00650709456204008,0.0219376102230099
"2310016D03Rik",0.682795698924731,93,1.53051471669878,-3.93566310881605,0.00502248041013147,0.0174436092400175
"2310022A10Rik",0.502306425041186,607,-0.227268042877492,0.11342739322069,1,1
"2310039L15Rik",0.584912280701754,475,0.678071905112638,-4.03127106440527,0.00451897349503962,0.0159309550287525
