"","AR","N","log2FC","llr","pval","padj"
"0610043K17Rik",0.612903225806452,155,0.628031222613043,1.22098757827737,1,1
"1110002E22Rik",0.482762557077626,584,-0.0593785470789316,-0.149845101991673,0.58407670023447,1
"1110002L01Rik",0.943502824858757,177,4.12553088208386,-12.3880260295117,6.43925453653756e-07,4.13196383901351e-06
"1110004F10Rik",0.445141065830721,319,-0.238347526982324,1.47725150463151,1,1
"1110019D14Rik",0.546149217809868,554,0.219965683941908,-3.98798767948017,0.00474022090304997,0.0260794588292149
"1110038F14Rik",0.438864628820961,229,-0.432440545540289,-0.539680492478368,0.298840551995434,1
"1110059E24Rik",0.424714434060228,321,-0.548011364548265,0.586582282495556,1,1
"1500002F19Rik",0.595930232558139,344,0.605221339704957,0.439961895369947,1,1
"1500004A13Rik",0.520525451559934,609,0.11488363788435,-2.56145815142281,0.023611903405886,0.12245287938446
"1500009L16Rik",0.509661835748792,207,0.096215315259303,0.329351518509355,1,1
"1600010M07Rik",0.48499743983615,651,-0.119839770006003,-0.56091923828069,0.289522926554885,1
"1600014C10Rik",0.452620967741935,248,-0.251538766995965,1.17804692947024,1,1
"1600020E01Rik",0.305898653998416,421,-1.23224020729279,0.660559979650998,1,1
"1700017G19Rik",0.00510204081632653,196,-6.84549005094437,-14.903793123604,4.77121343943272e-08,3.17428679613994e-07
"1700025G04Rik",0.568190924259389,1446,0.499760178184271,-102.236636585116,2.20656164988889e-46,2.4029114559117e-45
"1700037C18Rik",0.569767441860465,129,0.373043410614216,0.0756384443071738,1,1
"1700037F03Rik",0.49,200,-0.0255350921071376,0.258871211969847,1,1
"1700081N11Rik",0.536089238845144,254,0.241888596962245,1.00853239586831,1,1
"1700087I21Rik",0.10556586270872,385,-3.12675714228594,-54.7181550524513,1.30222158777352e-25,1.16701926145085e-24
"1700109H08Rik",0.410189982728843,386,-0.618909832644494,0.64564281875704,1,1
"1700120C14Rik",0.752873563218391,232,1.65105169117893,0.492800243764748,1,1
"1700123M08Rik",0.617021276595745,188,0.707446507246152,-1.59509944882575,0.0740809977278064,0.350831192083706
"1700123O12Rik",0.0260416666666667,96,-5.28540221886225,-5.84344305246012,0.000629421490760313,0.00365353190095459
"1810024B03Rik",0.654255319148936,94,1,1.46446531225837,1,1
"1810034E14Rik",0.666666666666667,104,0.962525294581337,1.57453223756416,1,1
"1810037I17Rik",0.105978260869565,184,-3.08341600818764,-18.9088140625415,7.76766884142716e-10,5.4185270958886e-09
"1810062O18Rik",0.596698113207547,212,0.493814612662961,1.07292490334828,1,1
"2010001K21Rik",0.987341772151899,158,6.61470984411521,0.393129743765879,1,1
"2010109A12Rik",0.378787878787879,99,-0.786596361890807,0.263530387833498,1,1
"2210408F21Rik",0.492879824532687,2777,-0.0469313615242848,-246.583447576944,2.91565603703509e-109,5.24072606429574e-108
"2210408I21Rik",0.559917355371901,242,0.461447964235801,0.163015478334273,1,1
"2310002L09Rik",0.474910394265233,279,-0.274756890858335,1.22250690383083,1,1
"2310014F06Rik",0.373422459893048,935,-0.791991496826208,43.6525984063892,1,1
"2310015A10Rik",0.607456140350877,342,0.624742402706511,-4.57099788865804,0.00249808466285987,0.014011863175456
"2310016D03Rik",0.682795698924731,93,1.2410080995038,-0.285031190774546,0.450234128683134,1
"2310022A10Rik",0.502306425041186,607,0.00829137363139143,1.70813538250172,1,1
"2310039L15Rik",0.584912280701754,475,0.477578965347557,0.156119469579266,1,1
"2310057M21Rik",0.520175438596491,380,0.0736570417253084,1.13948309883631,1,1
"2310069G16Rik",0.223563218390805,145,-1.74075717332858,-0.411899932824426,0.364071511785289,1
"2500002B13Rik",0.58656330749354,258,0.492703992869168,0.661356119201997,1,1
"2610005L07Rik",0.772357723577236,246,1.72973402493513,-4.41447792719413,0.00296487978999581,0.0165130232669925
"2610008E11Rik",0.75537139349294,543,1.61261884362402,-16.7045751955144,7.46718087167963e-09,5.05292549466492e-08
"2610020C07Rik",0.477718360071301,187,-0.188761643455168,0.405025566019646,1,1
"2610035D17Rik",0.984917043740573,442,5.90689059560852,-27.1058750883058,1.80007216271226e-13,1.35745608742318e-12
"2610037D02Rik",0.469327731092437,1071,-0.166611180367201,100.9020572221,1,1
"2700049A03Rik",0.58779443254818,467,0.437974310556003,0.955089581572565,1,1
"2700097O09Rik",0.600753660637382,774,0.666313934236466,1.74286786119501,1,1
"2810001G20Rik",0.578059071729958,158,0.528928465806827,-0.482429288195746,0.325965791104222,1
"2810002D19Rik",0.524647887323944,142,0.0931094043914813,-0.00342429657050047,0.934045375313133,1
"2810013P06Rik",0.564734299516908,345,0.393144893430001,0.736394540891013,1,1
"2810030D12Rik",0.583969465648855,131,0.593374740537356,1.22239018663542,1,1
"2810449D17Rik",0.781767955801105,181,1.75973690182486,0.850362166105498,1,1
"2900076A07Rik",0.489166666666667,200,0,-1.03554541092629,0.150114120274017,0.642606250997096
"2900093K20Rik",0.482456140350877,133,-0.0896372124846767,-9.40963621380246,1.43707646979255e-05,8.81044847323395e-05
"3110056K07Rik",0.452659574468085,470,-0.293264336635219,1.50160092650106,1,1
"3110082I17Rik",0.431880108991826,367,-0.398827272097585,1.03101906522642,1,1
"3222401L13Rik",0.414662658650635,998,-0.49144276516927,58.0724464679363,1,1
"3300002I08Rik",0.307453416149068,161,-1.21459405077604,0.275832074161784,1,1
"3425401B19Rik",0.570155902004454,449,0.440572591385981,1.12972225523441,1,1
"4631405J19Rik",0.328703703703704,144,-1,0.212836964838345,1,1
"4632427E13Rik",0.494440306309132,1822,-0.00096792693391845,-306.084760094976,3.77463832855359e-135,8.150899899235e-134
"4732440D04Rik",0.342457468375155,2697,-0.899016019096042,-244.301546882463,2.86922018313504e-108,5.12812319172187e-107
"4732463B04Rik",0.758771929824561,76,1.75742969672592,-3.4900113823696,0.00824245603801398,0.0446489891716733
"4732471J01Rik",0.354948805460751,293,-0.906082136612361,0.459638230922565,1,1
"4732491K20Rik",0.484683281412253,321,-0.0386804681640598,0.144337953665342,1,1
"4833420G17Rik",0.858649789029536,237,2.66296501272243,-15.416105878019,2.81329083866404e-08,1.88356519960078e-07
"4833439L19Rik",0.504985754985755,234,-0.0113153132278345,0.65931434964304,1,1
"4921504A21Rik",0.848,125,2.53605290024021,2.13717523458763,1,1
"4921511C10Rik",0.465909090909091,132,-0.181838322985813,0.636130436176657,1,1
"4921524J17Rik",0.450980392156863,459,-0.242360837569044,1.08808858220425,1,1
"4930402D18Rik",0.827586206896552,145,2.32192809488736,-7.65289052835278,9.14362582734781e-05,0.00055202023482471
"4930412C18Rik",0.959770114942529,87,4.59991284218713,-5.66424923293182,0.000763265933961908,0.00441021330061825
"4930432B10Rik",0.577114427860697,201,0.632791025811771,-0.352684598053514,0.400985426365057,1
"4930447C04Rik",0.036144578313253,83,-5.01495034146597,-0.995420789978011,0.158252912587739,0.669741320272991
"4930453N24Rik",0.478559870550162,206,-0.115477217419936,0.230168383887531,1,1
"4930470G03Rik",0.530042918454936,233,0.222392421336449,0.701932842270679,1,1
"4930473A02Rik",0.334474885844749,146,-1,0.241339997401042,1,1
"4930481A15Rik",0.912016369047619,448,3.30339214344993,-35.7643265595508,2.73260980089077e-17,2.16928760479748e-16
"4930506C21Rik",0.415047619047619,875,-0.452636892052572,12.6627505724005,1,1
"4930511M06Rik",0.498809523809524,140,-0.055853234733517,1.38570309949202,1,1
"4930512B01Rik",0.495495495495495,148,0.0347654181606769,0.508841767321783,1,1
"4930512H18Rik",0.471857923497268,610,-0.155794672607424,0.956390328814109,1,1
"4930517O19Rik",0.648054145516074,197,0.869603362744325,0.14077889479131,1,1
"4930522O17Rik",0.942857142857143,70,3.98185265328974,-11.998763642853,9.64595019033732e-07,6.12750269621127e-06
"4930523C07Rik",0.368995633187773,229,-0.825166198174065,-4.9658615217125,0.00162454390587875,0.00921011585348998
"4930544I03Rik",0.9,50,3.39231742277876,3.32299770742001,1,1
"4930549G23Rik",0.508255933952528,323,0.0411052033296739,-0.568924726889691,0.286107207766628,1
"4930551O13Rik",0.672945205479452,146,1.08246216019197,0.956296529500278,1,1
"4930558N01Rik",0.541884816753927,191,0.257797757467647,-0.49243059920633,0.321001594233114,1
"4930581F22Rik",0.454545454545455,165,-0.247927513443585,0.303415170619928,1,1
"4930594M22Rik",0.351123595505618,89,-0.89616418901546,4.065479282399,1,1
"4930599N23Rik",0.458333333333333,156,-0.115477217419936,-1.22478440827621,0.1175571563305,0.522687370416779
"4931414P19Rik",0.38034188034188,195,-0.667424660913128,0.324685838527358,1,1
