"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.509457364341085,215,-0.0675632838126345,0.25040934187092,1,1
"2210408F21Rik",0.474226804123711,97,-0.101283335837181,-0.162379895234821,0.568761128370904,0.953024798992857
"2210408I21Rik",0.423076923076923,26,-0.0671141958585375,-0.122546396812989,0.620551786832621,0.976730154872093
"2610307P16Rik",0.493078449328449,312,0.0740005814437767,0.186282264854754,1,1
"2900026A02Rik",0.644345238095238,112,0.748461233004036,-4.24211940219513,0.00358236436919101,0.0547589982147769
"4732440D04Rik",0.317708333333333,96,-1.13039663725568,-6.62195093834875,0.000273468067427317,0.00671565844272329
"4732471J01Rik",0.308771929824561,114,-1.25375659224578,-8.36381157569046,4.31481621944032e-05,0.00156159657002985
"4930523C07Rik",0.499183006535948,102,0,-0.00445285554296504,0.924815186257306,1
"5031425E22Rik",0.534722222222222,120,0.167456745851563,-0.188598453313261,0.539107235428787,0.935358644371627
"5330438D12Rik",0.574626865671642,67,0.296981737757132,-0.57188624452705,0.284856590592901,0.700635125395203
"9530026P05Rik",0.437946172933766,403,-0.211504105193712,-2.87605253755777,0.0164689107412749,0.154190176815186
"9630014M24Rik",0.49,130,-0.134649526694782,0.0373014678139612,1,1
"AU020206",0.585227272727273,88,0.655351828612554,-0.898113752953179,0.180169240937513,0.563452031157399
"AW554918",0.534632034632035,154,0.0595010117486616,-0.0997315583263401,0.655154552197734,1
"Aak1",0.448863636363636,132,-0.457472765599241,-0.46987425116464,0.332342528812894,0.770664254120303
"Abca8a",0.683760683760684,39,1.28950661719499,-1.88396468850788,0.0522442696284102,0.289858947790217
"Abcb1a",0.679324894514768,79,1,-4.62711515072409,0.00234952062634308,0.038256324981108
"Abcc4",0.779696493982208,91,1.50250034052918,-13.7693987927673,1.53974602518925e-07,9.20503374403365e-06
"Abcc5",0.510869565217391,92,-0.0269670476002695,0.0369735309476056,1,1
"Abcg2",0.582554517133956,107,0.43389652653016,-1.1127884394881,0.135741948032604,0.485301761701291
"Abhd17b",0.367924528301887,53,-0.935869662580284,-1.87810278887516,0.0526118426770976,0.290821182030598
"Abi1",0.559055118110236,254,0.325875279404025,-1.11494819267324,0.135362924993598,0.485301761701291
"Abi2",0.428571428571429,56,-0.209453365628949,-0.497128882840755,0.318703961234723,0.749479645101436
"Ablim1",0.473479645826585,735,-0.165101082313965,-2.2655929153517,0.0332825476247029,0.23082063121206
"Ablim3",0.477808002808003,370,-0.207971905590277,-0.313478145571082,0.428473969191506,0.87446049843171
"Acer2",0.36235632183908,232,-0.967723596976244,-6.7440449736489,0.000240082457563647,0.00599405869050571
"Acer3",0.605555555555556,60,0.569365645670138,-1.19368039208535,0.12231998162313,0.460390282591579
"Ackr3",0.555645161290323,124,0.518467088934249,0.09657547619463,1,1
"Actn1",0.73030303030303,75,1.04580368961313,-7.29502319512866,0.000133618458233396,0.00380467743521396
"Actn4",0.53859649122807,95,0.0515303006400814,-0.0587141736892818,0.731840566191439,1
"Actr2",0.478371501272265,131,-0.192645077942396,-0.0663179437094641,0.715714564046659,1
"Actr3",0.470873786407767,103,-0.0727563424353139,-0.175302376381481,0.553770993700215,0.945893898019296
"Acvr2a",0.453125,128,-0.362570079384708,-0.566562114341792,0.287109915106604,0.703390276891581
"Acyp2",0.392505411255411,264,-0.642738832000357,-6.21204143923802,0.000423832624047925,0.0102403430778031
"Adam10",0.415631469979296,161,-0.64110557875869,-2.12432210586667,0.0392816787358428,0.249299424780071
"Adamts1",0.601025641025641,65,0.796466605914868,-0.87963435044739,0.184715757488744,0.565857269362248
"Adamts9",0.530151482612766,452,0.108275851985764,-0.420035344968142,0.359376554248423,0.7975497455765
"Adamtsl1",0.596774193548387,31,0.956931278108114,-0.209434035974859,0.517502395365142,0.922879271734503
"Adamtsl3",0.326923076923077,130,-0.925999418556223,-7.91638156164626,6.91939608269108e-05,0.00220537347486622
"Adarb1",0.525413711583924,141,0.0771678605224602,-0.0918284764393889,0.668249167751459,1
"Adcy9",0.534552845528455,82,0.148863385914482,-0.1445968298775,0.590737715936389,0.967131255161433
"Adgrf5",0.524254087599952,399,0.1808628479272,0.0217729955214736,1,1
"Adgrl2",0.617460317460317,315,0.543705163243319,-7.40571888625789,0.00011881270464168,0.00354027785154538
"Adgrl4",0.515277777777778,574,0.123456553846,-0.18076127496272,0.547661863844016,0.940311017254868
"Adh1",0.454861111111111,48,-0.374395514781498,-0.13755967835872,0.599918154852763,0.969368138229363
"Adipor2",0.554226475279107,209,0.349746039027125,-1.10486061845276,0.137143450838205,0.486826752027561
"Adk",0.503472222222222,96,-0.117356950638159,0.130574802608706,1,1
"Afap1",0.488636363636364,88,0,-0.0217929587250438,0.834625913585191,1
"Afap1l1",0.602845528455285,205,0.627190736110454,-3.60458117410423,0.00725323380875049,0.0862967578335597
"Afdn",0.437308868501529,109,-0.242856523896163,-0.898504360048733,0.180074547115703,0.563452031157399
"Aff1",0.501164874551971,186,0.12075215946061,0.141520944780211,1,1
"Afg1l",0.494871794871795,130,0.0565835283663674,0.0307782578659328,1,1
"Afg2a",0.606,100,0.616671360448494,-1.92365812232082,0.0498256566985324,0.284095537157405
"Agap1",0.5125,200,0,0.0271686711257075,1,1
"Agmo",0.830795739348371,152,2.19377174339668,-32.2741344693183,9.4196257919135e-16,1.41105994362864e-13
"Ago3",0.4760348583878,153,-0.0901978089715785,-0.247667310983104,0.481557253200933,0.90284451225907
"Ahnak",0.473892100192678,173,-0.267283878835152,0.0673157367178874,1,1
"Aig1",0.5625,80,0.510961919277379,-0.436827071778907,0.349945669705127,0.793069006381665
"Airn",0.286438679245283,424,-1.00564656314114,-40.4028619761488,2.490355659345e-19,4.6631909721235e-17
"Akap10",0.431034482758621,87,-0.480625840906421,-0.813035888316719,0.202247239090713,0.589428724042584
"Akap12",0.555968778696051,99,0.405256478486258,-0.521004246162732,0.307354809416795,0.730756174300997
"Akap13",0.500721153846154,208,0.0210616155278296,0.000160247836731742,1,1
"Akap6",0.402203856749311,121,-0.519374159093579,-2.44674658066333,0.0269580893484034,0.203955645676304
"Akt3",0.471571786609381,399,-0.0673230248436145,-0.634092938679942,0.260107284124658,0.676546371679282
"Ambra1",0.530510018214936,183,0.180572245641821,-0.21191387469554,0.515033224978805,0.921375431395989
"Amotl1",0.446886446886447,91,-0.334419039070559,-0.596359491498959,0.27478179053333,0.69413679969465
"Anapc1",0.46141975308642,108,-0.316473664795255,-0.281960099728309,0.452685032851401,0.887315786909928
"Angpt1",0.5,22,0,-0.000970213342181836,0.96486432946914,1
"Ank",0.519736842105263,76,0.192645077942396,-0.00501396134605869,0.920233563647103,1
"Ank2",0.5,88,-0.0715532610250342,0.0261173617363397,1,1
"Ankhd1",0.567930489731438,211,0.424752654112056,-1.43984006637166,0.0897038392529434,0.399523607909099
"Ankib1",0.542168674698795,83,0.212993723334198,-0.215064019312038,0.511926128334571,0.921375431395989
"Ankrd11",0.516060606060606,275,0.0767571989840379,-0.0584792611796843,0.732356919030737,1
"Ankrd12",0.533333333333333,195,0.112474729258413,-0.245166574192183,0.483778732223382,0.904456513000202
"Ankrd17",0.469763513513514,296,-0.236802864260614,-0.462337738039309,0.336250332146625,0.776590819559991
"Ankrd28",0.455284552845528,82,-0.226770861847022,-0.348281652214013,0.403940888890182,0.854665892030356
"Ankrd33b",0.616352201257862,106,0.584962500721157,-2.36846623009794,0.0295216653012953,0.211392281575307
"Ankrd44",0.507699275362319,184,0.0978473233981445,0.0548591280670507,1,1
"Anks1",0.521024464831804,109,0.0204641025597154,0.00774141169080167,1,1
"Ano6",0.525982256020279,263,0.204013892021593,-0.166386851290213,0.564030378027471,0.947811121221952
"Anxa2",0.511217948717949,104,0.169925001442313,0.0829028552226134,1,1
"Anxa3",0.486545138888889,192,-0.0938669234642222,-0.146628492995092,0.58814089714772,0.967107644267052
"Aopep",0.486299435028249,236,-0.027834208196726,-0.128921043269543,0.611606561148034,0.972597270275748
"Ap2a2",0.614427860696517,67,0.785875194647152,-1.42577651485282,0.0912857161358127,0.402021353462672
"Ap2b1",0.537170263788969,139,0.127111917903339,-0.212903988872966,0.514053111583903,0.921375431395989
"Ap3b1",0.625874125874126,143,0.697072867042694,-3.98658628639345,0.00474756586581671,0.0652463639173709
"Ap3s1",0.496862745098039,85,-0.0824621601919731,0.0337917864590338,1,1
"Apaf1",0.515503875968992,86,-0.0285691521967708,0.0574404859320765,1,1
"Apba1",0.589711934156379,162,0.394859617341214,-1.98843489641808,0.046129211970414,0.270986507967373
"Apbb2",0.577171085690639,537,0.421826664941483,-5.24501092009609,0.00120020952836131,0.0230501778651954
"Apc",0.50187265917603,178,-0.0262315415731798,0.0363121236480879,1,1
"Aplp2",0.505420054200542,123,0.084888897586513,0.0301431531072893,1,1
"Apold1",0.608585858585859,66,0.600392541290763,-1.28562875298951,0.108821196134533,0.437035259542979
"App",0.479882232462878,465,-0.26367717485351,0.658601378100911,1,1
"Appl1",0.411858974358974,104,-0.604071323668861,-1.58590105083445,0.0749197386928655,0.349625447233372
"Aqp1",0.499579124579125,297,-0.0376376573633652,0.0152911654129753,1,1
"Arap3",0.441558441558442,77,-0.358453970912476,-0.59433120689711,0.27559952938428,0.694806268092719
"Arb2a",0.420726144864076,261,-0.482782105914678,-3.16053167245605,0.0119312060566867,0.126758487041962
"Arfgef1",0.531912878787879,176,-0.0124909441831971,0.167243090342538,1,1
"Arfgef2",0.472602739726027,73,-0.169925001442312,-0.142947511608952,0.592863185231069,0.967439053895579
"Arglu1",0.501355013550135,123,-0.0406419844973458,0.00772328137173872,1,1
"Arhgap10",0.552884615384615,104,0.415037499278844,-0.384830268205064,0.380322088587218,0.822110373309744
"Arhgap18",0.485028248587571,177,-0.248576353140103,0.351670105983885,1,1
"Arhgap21",0.553435114503817,131,0.313660478903762,-0.587832117517479,0.278240441958144,0.697369680331403
"Arhgap24",0.525252525252525,33,0.131244533278253,-0.0352135435744856,0.790715953991861,1
"Arhgap26",0.450328692962104,431,-0.258602159518533,-2.28703661070244,0.0324592994530919,0.227215096171643
"Arhgap28",0.518779342723005,71,-0.137503523749935,0.249686321300736,1,1
"Arhgap29",0.528617571059432,258,0.264594919821411,0.0843004973647226,1,1
"Arhgap31",0.396174863387978,61,-0.472068444315223,-1.27384992422552,0.110454956292754,0.441230732070788
"Arhgap35",0.563063063063063,74,0.444784842672896,-0.398529075075984,0.371974392301971,0.813456408274967
"Arhgap5",0.516666666666667,120,-0.094327382548153,0.230754053910601,1,1
"Arhgef11",0.515873015873016,105,0.121306296222134,-0.00728405155415146,0.903929928493305,1
"Arhgef12",0.494444444444444,345,0.00642626915943278,-0.0352431673200044,0.790629989445289,1
"Arhgef15",0.461786372007366,181,-0.230297619421794,-0.523291453235288,0.306295388828575,0.729460242393013
"Arhgef2",0.481308411214953,107,-0.0727563424353139,-0.106333940894345,0.644684333642066,0.997020523076498
"Arhgef28",0.537313432835821,67,0.211504105193712,-0.133807027351608,0.604936793669588,0.969368138229363
"Arhgef3",0.454753309265945,277,-0.216623940876835,-1.33154229639257,0.10270139437957,0.428542308581048
"Arid1b",0.494593088071349,299,-0.0356239097307216,-0.0735050875031789,0.701409073894222,1
"Arid2",0.527272727272727,165,0.131911675505581,-0.154723507888178,0.578019716918024,0.957734760037479
"Arid4b",0.487222222222222,150,-0.0648511443499675,-0.0607284712943965,0.727459658577455,1
"Arid5b",0.507383153569594,118,-0.0824621601919726,0.124945432081574,1,1
"Arih1",0.414944903581267,242,-0.427953387164129,-3.70366901234377,0.00649583677506588,0.0824640973648194
"Arl15",0.498406247895696,429,0.0281968918306521,0.0114525052619001,1,1
"Armh3",0.519345238095238,112,0.267104070142841,0.157011380669758,1,1
"Arnt",0.50936329588015,89,0,0.0141863560288158,1,1
"Arpc2",0.473282442748092,131,-0.190102883379943,-0.232714510075994,0.495097583376762,0.911147849712029
"Asap1",0.499150514477148,398,-0.0439880123773373,0.0791056311124407,1,1
"Asb3",0.56734693877551,98,0.584962500721156,-0.421394021177548,0.358600604871098,0.7975497455765
"Ascc3",0.495810055865922,179,0.126633438531017,0.242957303405518,1,1
"Ash1l",0.542735042735043,195,0.367057470377022,-0.189996981301192,0.537606467479212,0.935358644371627
"Asxl1",0.4,115,-0.532495080827021,-2.3740608802336,0.0293302915865896,0.211392281575307
"Asxl2",0.424528301886792,106,-0.36564947231668,-1.31110134038902,0.105378069860611,0.431301499046981
"Atad2b",0.442424242424242,165,-0.441509710640035,-1.04552830379612,0.148163565679126,0.512613527416283
"Ate1",0.534313725490196,136,0.222392421336448,-0.182532515095886,0.545706615467813,0.940311017254868
"Atf2",0.533333333333333,85,0.257797757467647,-0.12709925675297,0.614134167977439,0.973284209132158
"Atf6",0.436781609195402,87,-0.525091044743757,-0.606425423972269,0.270768252836722,0.687476004660016
"Atf7",0.412693156732892,151,-0.561311232656511,-1.91860085456045,0.0501271152129914,0.284433403746443
"Atp10d",0.488,125,-0.0518389315196184,-0.0650767657479037,0.71827290530884,1
"Atp13a3",0.438333333333333,100,-0.111892880070897,-0.544892482689065,0.296518858492638,0.71643057898623
"Atp2a2",0.560109289617486,183,0.337581359198848,-1.05180551255961,0.146951727915652,0.510751017210316
"Atp2b1",0.492283950617284,108,-0.0671141958585366,-0.00538520293673628,0.91734348928665,1
"Atp2b4",0.51530612244898,98,0.169925001442313,0.0245314468442785,1,1
"Atp2c1",0.473214285714286,112,-0.0888092669578553,-0.189250511954995,0.538406556676996,0.935358644371627
"Atp6v0b",0.602459016393443,122,0.524661990453342,-2.17231349882445,0.0371258987375568,0.241781555567507
"Atp6v1h",0.534632034632035,77,0.32930762525296,-0.0157291777796615,0.859221670065026,1
"Atp8a1",0.532567049808429,174,0.255654875468196,-0.150420546399801,0.583355611021495,0.961906619565716
"Atp9b",0.510204081632653,98,0.0534392589614612,-0.00541725022742412,0.917098794372145,1
"Atrnl1",0.4506038647343,138,-0.343954401217361,-0.617132568207069,0.266579171275563,0.683793833169167
"Atxn1",0.548410839745734,427,0.155364061862936,-1.14516475588857,0.130182282630442,0.477973184755888
"Atxn2",0.455197132616487,93,-0.328054197684203,-0.328106454783594,0.417900120945509,0.864996901745439
"Atxn7",0.588129496402878,139,0.540568381362703,-1.73939520656359,0.0621601604617357,0.314747597790748
"Auts2",0.603556485355649,239,0.651152780415623,-3.8490813619382,0.00552770635850633,0.0732787975667477
"B2m",0.495274914089347,194,0.0212164859096959,-0.00961828228105333,0.88969042425261,1
"B4galt1",0.5125,104,0.0437213774293177,-0.00398320482699432,0.92887945806043,1
"Babam2",0.61139846743295,174,0.789433014060342,-3.10850817994944,0.0126528162832472,0.132544886659471
"Bach2",0.450634920634921,210,-0.296981737757132,-1.10718180237797,0.136731434700156,0.486517076439036
"Banp",0.577777777777778,75,0.452512204697507,-0.637575368927131,0.258802624353927,0.676546371679282
"Baz1a",0.535112359550562,89,0,0.0502594818277657,1,1
"Baz1b",0.560897435897436,104,0.321928094887362,-0.61155815442163,0.268749941068276,0.685838861533694
"Baz2b",0.500754147812971,221,-0.0291463456595169,0.0216857798081946,1,1
"Bbs9",0.500786163522013,106,0.111892880070897,0.110061623241478,1,1
"Bbx",0.486842105263158,114,-0.0418201756946273,-0.0393797386611539,0.778985620317815,1
"Bcam",0.429718875502008,83,-0.0824621601919731,-0.418456999676209,0.360280862670228,0.798373864319528
"Bcas3",0.439300411522634,162,-0.360747343777891,-1.34696888644933,0.100730600169127,0.4283594916972
"Bcl2",0.492462751971954,163,0.0715532610250338,0.0945955852026827,1,1
"Bclaf1",0.489583333333333,80,-0.0317088597273383,-0.0382988350675646,0.78196221561062,1
"Bend7",0.37015503875969,86,-0.691877704637668,-2.91423654835108,0.015768804353644,0.152234616844237
"Bhlhe40",0.484848484848485,55,0,-0.020582148426854,0.839221116992954,1
"Bicc1",0.411835748792271,69,-0.405256478486259,-1.22808187895383,0.117064378257056,0.455261493296493
"Birc6",0.463748378728923,257,-0.177917792195843,-0.801680490991714,0.205427560204754,0.593923747053098
"Bmpr2",0.472441520467836,304,-0.0964297626830928,-0.412423934709182,0.363766564789849,0.803720227220051
"Bptf",0.5,128,0,-0.00558680689593416,0.915816162572959,1
"Braf",0.507471264367816,203,0.0745469533650538,0.0319695102110131,1,1
"Brd10",0.531746031746032,105,0.2081081953302,-0.157956221295834,0.57407453473129,0.956268264313976
"Brwd1",0.548611111111111,144,0.275634442613427,-0.607063829158307,0.27051618775249,0.687476004660016
"Btaf1",0.361111111111111,108,-0.865698908288409,-4.13208141745532,0.00404353026428458,0.0593843954499833
"Btbd1",0.546948356807512,71,0.306661338234052,-0.261289509654532,0.469743614419598,0.901355307067099
"Btbd3",0.414141414141414,66,-0.510194732319184,-0.943018426318659,0.169649603405254,0.546527109464667
"Btbd7",0.5,176,-0.118644496498619,0.154255335118052,1,1
"Btbd9",0.40439672801636,163,-0.614346307502251,-3.28499184042278,0.0103712901812259,0.116813478883281
"Btg2",0.442156862745098,170,-0.165423609207371,-1.02521577431327,0.15216305364289,0.513378951254615
"Btnl9",0.534364261168385,97,0.164386817900882,-0.172892919153455,0.556508414062693,0.947679116295255
"Btrc",0.520618556701031,97,0.146841388329271,-0.0371907220254428,0.785061066286748,1
"Cables1",0.326754385964912,76,-0.955605880641547,-4.5395899527212,0.00258535962296971,0.0412007310128576
"Cacna1c",0.56739417989418,180,0.382469636822413,-0.986391963526955,0.160152673625132,0.531948348315848
"Cacna2d1",0.527472527472527,91,0,0.0411319379302597,1,1
"Cacnb2",0.617248062015504,86,0.642447995381916,-1.96624544405337,0.0473617438268015,0.274991830436235
"Cadm1",0.523206751054852,79,0.0554951125917036,-0.0293721282907953,0.808491816217561,1
"Calcrl",0.488418079096045,118,-0.0181473467102595,-0.0485353133333035,0.755373726069758,1
"Cald1",0.382919621749409,282,-0.701194463144384,-7.13927958893714,0.000157650424907179,0.00429382430019916
"Calm1",0.50625,80,0.0931094043914813,0.0175178381417425,1,1
"Camk1d",0.637619047619048,35,0.765534746362976,-0.954749468207936,0.167018928231513,0.542255978955249
"Camk2d",0.555498633879781,244,0.376969458445324,-1.12035171463151,0.13441981750604,0.485301761701291
"Camkmt",0.437435897435897,130,-0.566583971406302,-0.687869987286717,0.240828119530939,0.659040446119748
"Camsap2",0.43127147766323,97,-0.485426827170242,-0.885986214182253,0.183138163762763,0.564487591186459
"Camta1",0.473404255319149,94,0,-0.0489090087303055,0.754463979078812,1
"Capn2",0.475961538461538,104,-0.192645077942396,-0.140579917121002,0.59594202612028,0.96824420295898
"Capza1",0.383895131086142,89,-0.700439718141092,-2.57739109985528,0.0231824428914811,0.190809337645267
"Car8",0.617638266068759,223,0.611644543373661,-5.26114605951921,0.00117943105786654,0.0229452951257673
"Casp4",0.28974358974359,65,-1.35908109330483,-5.79273029458646,0.000664694688133206,0.0142244663260506
"Cast",0.456834532374101,139,-0.174029399775049,-0.572321940378515,0.284673186371283,0.700635125395203
"Cav1",0.392058722527473,416,-0.72119827830789,-6.99303249825147,0.000184170554495954,0.00492656233276676
"Cav2",0.471111111111111,75,-0.337034987277571,0.024116656533792,1,1
"Cavin1",0.481981981981982,74,-0.134301091711591,-0.084321588441,0.681320485063048,1
"Cavin2",0.492271880819367,179,-0.148098638989134,0.0650478921614308,1,1
"Cbfa2t2",0.525157232704403,53,0.169925001442312,-0.0566095937200544,0.73650848611719,1
"Cbfa2t3",0.618181818181818,110,0.700439718141092,-2.75613004086355,0.0188836301914983,0.171440472890088
"Cbfb",0.538461538461538,104,0.222392421336448,-0.151731922258222,0.581719006083749,0.961826789308451
"Cbl",0.473090277777778,96,-0.327574658028505,0.148432094888747,1,1
"Cblb",0.575980392156863,136,0.337869638756384,-1.29767726312201,0.107177454526421,0.435913650971995
"Cbx5",0.46264367816092,58,-0.203533394085132,-0.248532313823418,0.480792746611875,0.902540769955626
"Ccar1",0.440217391304348,92,-0.517848304862619,-0.555966896975875,0.291661970674921,0.70887093920697
"Ccdc85a",0.557320971871125,499,0.268536843347862,-2.43821738807173,0.0272257982875207,0.204945958968372
"Ccdc88c",0.537234042553192,94,0.160464672193246,-0.180257890722089,0.548219923166094,0.940311017254868
"Ccnc",0.563063063063063,37,0.0544477840223765,-0.0439810526924518,0.766784080928562,1
"Ccnd3",0.475423155044008,211,-0.0675632838126345,-0.333809105452417,0.413883241543248,0.864996901745439
"Ccnt2",0.537216828478964,103,0.342392197447078,0.0210775320975074,1,1
"Ccny",0.493913962451821,383,-0.0708503264704567,-0.119234198177764,0.625314514558559,0.980859835401802
"Ccnyl1",0.416666666666667,106,-0.489384840738925,-1.42368877041189,0.0915231170301755,0.402021353462672
"Ccser2",0.524,125,0.100928908850781,-0.0827534460195096,0.684136242645452,1
"Cd200",0.494152046783626,114,-0.179323699444562,0.0993116625063806,1,1
"Cd2ap",0.580536912751678,149,0.540568381362703,-1.23076847243331,0.116664577418347,0.455113377533029
"Cd300lg",0.58,100,0.52083216330144,-1.09581365992616,0.138762642184058,0.491410018892952
"Cd36",0.506088914552253,641,0.0443435773962176,0.0231606155984991,1,1
"Cd38",0.47843137254902,85,-0.0577154978562868,-0.10163066023847,0.6521011808145,1
"Cd47",0.413265306122449,98,-0.451379346342564,-1.53716812476198,0.0795370548122762,0.365480086223281
"Cd9",0.522569444444444,96,0.102361717629678,-0.0587782321617567,0.731699961889965,1
"Cd93",0.559722222222222,120,0.398549376490275,-0.715604572670827,0.231567206674301,0.638835498339046
"Cdc27",0.502136752136752,78,-0.12832409697554,0.0776477089863903,1,1
"Cdc37l1",0.508130081300813,123,0.0395283641866375,-0.00721522040771561,0.904382726728038,1
"Cdc42",0.381461675579323,187,-0.655088587111798,-5.1305348619465,0.00135866875686922,0.0254266805840724
"Cdc42bpa",0.512222222222222,330,0.101178834367368,0.0345684027835773,1,1
"Cdc42bpb",0.465399610136452,171,-0.198328716445978,-0.430677074846358,0.353360019719353,0.796225046735009
"Cdc42ep3",0.500431034482759,116,0.120294233717712,0.134505971939973,1,1
