"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.481997677119628,41,-0.040641984497346,-0.166775828895375,0.563575189589277,0.990383178357725
"2010001K21Rik",0.557142857142857,35,0.669851398307669,-0.136149898431718,0.601793204826721,1
"2610035D17Rik",0.6875,24,1.05889368905357,-1.24345806075517,0.11479646461729,0.444373411421767
"2610307P16Rik",0.40968253968254,75,-0.599912842187128,-2.41519235050383,0.0279623905709569,0.215741206682704
"4732440D04Rik",0.28953488372093,43,-1,-2.9800070837639,0.0146339235531609,0.143509437622004
"5031425E22Rik",0.607407407407407,45,0.186413124230881,-0.0394042688400233,0.778918583403131,1
"9530026P05Rik",0.600710683349572,108,0.646639397275981,-2.67605083941828,0.0206973080394095,0.181101445344833
"Aak1",0.475,36,-0.497499659470817,-0.287832858646745,0.448016253937521,0.894091232358271
"Abca8a",0.857563025210084,17,1.65207669657969,-3.44129634881392,0.00870392143658618,0.100154712420992
"Abcb1b",0.962962962962963,27,6.74146698640115,-64.7106560950124,5.48482925896837e-30,7.67876096255572e-28
"Abcc5",0.5,36,0.222392421336448,0.0323400470712016,1,1
"Abi1",0.907277046385957,101,3.26303440583379,-127.767624894856,1.61345538876495e-57,3.3882563164064e-55
"Abi3bp",0.373958333333333,32,-1.14438990933517,-1.1043377094499,0.13723646038292,0.503400116688442
"Ablim1",0.560306637806638,60,0.645335118700638,-0.241889963461482,0.486715135417113,0.929507826510084
"Ablim3",0.429365079365079,42,-0.719892080807265,-0.600697788109557,0.273042925901564,0.72461382823222
"Acap2",0.494047619047619,28,0.371968777386958,0.0158027419315019,1,1
"Ackr3",0.505952380952381,28,-0.0824621601919731,0.0290218989586002,1,1
"Acss3",0.42816091954023,29,-0.559427408614019,-0.304111444544205,0.435457709446348,0.881408375746825
"Adamts9",0.353333333333333,25,-1.29545588352617,-2.14423966588528,0.0383714705786608,0.25873694793572
"Adamtsl1",0.522203101776272,82,0.306661338234052,0.0603624612520264,1,1
"Adcy9",0.643790849673203,51,1.05246741989414,-2.14415761506411,0.0383751745008102,0.25873694793572
"Adgrd1",0.373626373626374,52,-0.384663850235325,-2.5453454047911,0.0240546078068857,0.194287216901769
"Adgrg6",0.633838383838384,33,0.754887502163469,-0.635926247575952,0.259419440567331,0.712131797635811
"Adgrl3",0.359583333333333,40,-0.505235308250422,-0.716767618394499,0.231188351402347,0.681929457220926
"Adk",0.411582068724926,91,-0.389042290745899,-1.93677244611636,0.0490528131337763,0.286089349757671
"Aebp1",0.668713450292398,57,0.765534746362977,-2.38641459671447,0.0289122757865813,0.219672228175379
"Aebp2",0.588141025641026,52,0.716207033999409,-0.3420900879944,0.408151001302494,0.844450347522402
"Aff1",0.482748538011696,57,-0.109624491174498,-0.0677731876361349,0.712749286737139,1
"Agap1",0.435111111111111,75,-0.415037499278844,-1.02998933750477,0.151212286557102,0.533690423142711
"Agfg1",0.400709219858156,47,-0.502500340529183,-1.20672756463317,0.120296593369656,0.459314265593231
"Ago3",0.573529411764706,34,0.211504105193712,-0.33411374385787,0.413670268822667,0.849591750149243
"Ahnak",0.40770782889427,59,-0.485426827170242,-1.54520745558177,0.0787547245520023,0.371651509121808
"Airn",0.172367538564722,71,-2.18903382439002,-21.0357579015722,8.79956510361373e-11,3.35983394865252e-09
"Akap13",0.461335403726708,46,-0.0489096004809464,-0.000133869303276413,0.986945020877119,1
"Akt3",0.518489583333333,64,0.173331602885562,0.040758979602991,1,1
"Aldh1a1",0.654792107117689,43,0.903784684740697,-2.21301079896367,0.0353949187527772,0.254117365404554
"Aldh1a2",0.720394736842105,38,1.27008916336774,-2.14992673377863,0.0381156569919239,0.25873694793572
"Ambra1",0.565705128205128,52,0.165059246270497,-0.130306351174262,0.609699532285659,1
"Anapc1",0.588141025641026,52,0.387023123109247,-0.202187077940906,0.524838862802736,0.964692876924067
"Ank2",0.642089093701997,31,0.612976876890753,-0.336966469603993,0.411683756714507,0.847584205000455
"Ankhd1",0.518707482993197,49,0.0395283641866373,0.112521160428443,1,1
"Ankib1",0.419354838709677,31,-0.823122237915921,-0.632352164450587,0.260762500148183,0.71348697108949
"Ankrd11",0.591129032258065,62,0.514573172829758,-0.430618465202372,0.353392776792911,0.797259315995037
"Ankrd12",0.685849056603774,53,1.04439411935845,-2.77147988523233,0.0185551748534221,0.171278537108512
"Ankrd17",0.557598039215686,68,0.381090167355506,0.011544735687778,1,1
"Ankrd44",0.481707317073171,41,0,-0.171027527911917,0.558645399912646,0.988118121558397
"Ano1",0.382886904761905,56,-0.268488835925902,-0.898215581619503,0.180144549340637,0.581252176029017
"Ano6",0.555230288836846,61,0.189033824390017,-0.00814655589158519,0.898430333696768,1
"Anxa2",0.621376811594203,46,0.611434712082347,-0.669381509054254,0.247252230292629,0.701661734614218
