"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Ablim1",0.49025974025974,33,0,4.09929866272238,0.92,1
"Airn",0.242753623188406,23,-0.84799690655495,0.962745579041595,0.96,1
"Akap13",0.461805555555556,24,-0.371968777386958,19.3996457262979,1,1
"Akt3",0.375,26,-0.584962500721156,-1.48397635093986,0.01,0.0230769230769231
"Ankrd11",0.508558558558559,37,-0.270089163367744,2.78455460740599,0.81,1
"Ankrd44",0.405691056910569,41,-0.189033824390017,0.144965309830219,0.97,1
"Apbb1ip",0.264603174603175,30,-1.28950661719498,-1.52394043948171,0,0
"App",0.537719298245614,19,0.637429920615292,-3.79832974846708,0,0
"Arb2a",0.495454545454545,33,-0.472068444315223,1.2350417894727,0.98,1
"Arhgap15",0.480880230880231,48,-0.274622380109006,-0.828201209405805,0,0
"Arhgap26",0.545138888888889,24,0.120294233717712,-2.43307708421286,0,0
"Arid1b",0.57926267281106,31,0.502500340529183,-2.6274044863127,0,0
"Arl15",0.367025089605735,31,-0.616671360448494,-2.22558294948714,0,0
"Atp2b1",0.524404761904762,28,-0.0588936890535685,-0.711022538693129,0,0
"Atxn1",0.435416666666667,32,-0.247927513443586,2.32781183259564,0.65,1
"Bach2",0.616452991452991,26,1.08246216019197,-3.08463939135346,0,0
"Bcl2",0.452715605907095,47,-0.0747677684019722,-0.982385966117597,0,0
"Birc6",0.55952380952381,28,-0.0588936890535685,-0.165529538577196,0,0
"Camk1d",0.591397849462366,31,0.427421223734676,0.0832952205368258,0.94,1
"Camk4",0.457407407407407,27,-0.106915203916512,-0.93112197180093,0.01,0.0230769230769231
"Cblb",0.34992784992785,33,-0.527247002864869,0.222798733062248,0.94,1
"Ccnd3",0.476130952380952,40,0.120294233717712,1.85480074471265,0.83,1
"Cd44",0.578030303030303,22,0.700439718141092,3.43040434280871,0.99,1
"Celf2",0.578571428571429,43,-0.0181473467102594,0.395052762441125,0.85,1
"Chst11",0.503086419753086,27,0.211504105193712,-6.01233592853344,0,0
"Crebbp",0.607142857142857,28,0.658963082164933,3.60128651971844,1,1
"Crim1",0.610215053763441,31,0.830074998557688,5.60225840986505,0.97,1
"Dennd1b",0.335119047619048,28,-0.770518153877233,-4.53688927731469,0,0
"Dennd4a",0.551708074534161,23,0.0430687218918858,0.00270425633020821,0.94,1
"Dlc1",0.58796992481203,19,0.321928094887362,0.326369144501903,0.96,1
"Dleu2",0.464722222222222,30,-0.125530882083859,0.172251979211417,0.96,1
"Dock10",0.634053156146179,43,0.533432200081074,0.804110331066759,0.99,1
"Dock2",0.467628205128205,52,-0.185866545311334,-0.821774440348321,0,0
"Dst",0.435185185185185,18,-0.943416471633633,-4.51623786103005,0,0
"Ebf1",0.345643939393939,22,-1.05658352836637,-0.38250436379311,0.03,0.0616438356164384
"Eif4g3",0.691358024691358,27,1.13750352374994,-1.34948624770546,0,0
"Elmo1",0.582698412698413,45,0.525091044743758,0.0947282404170622,0.98,1
"Emb",0.533854166666667,32,0.428843298803874,-0.0857024785885372,0.01,0.0230769230769231
"Entpd1",0.564285714285714,14,0,13.2580348725183,1,1
"Esyt2",0.5,34,-0.125530882083859,3.4089171685625,1,1
"Ets1",0.437719298245614,38,-0.169925001442312,1.04109074860761,1,1
"Etv6",0.487003968253968,24,-0.106915203916512,-1.92136240343079,0,0
"Ext1",0.32993672993673,26,-1.22239242133645,-1.31773881257125,0,0
"Fbxl17",0.703888888888889,30,1.06413033741972,-0.161683630188911,0.05,0.1
"Fli1",0.545977011494253,29,0.332575339086871,-1.08600354183534,0.01,0.0230769230769231
"Foxp1",0.484567901234568,27,-0.784271308944563,-1.41236011200988,0,0
"Frmd4b",0.782222222222222,15,0.912537158749661,-3.25506862723347,0,0
"Fryl",0.526666666666667,25,-0.0614005446641432,-2.08810145049538,0,0
"Fyb1",0.740686274509804,34,1.17833724125851,-0.730046097311003,0.02,0.0422535211267606
