gene,chromosome,n_groups,groups
1110002L01Rik,12,1,Cardiomyocyte:F1_Aged
1700017G19Rik,3,1,Cardiomyocyte:F1_Aged
1700087I21Rik,14,1,Cardiomyocyte:F1_Aged
1700123O12Rik,4,1,Cardiomyocyte:F1_Aged
1810037I17Rik,3,1,Cardiomyocyte:F1_Aged
2010001K21Rik,13,1,Cardiomyocyte:F1_Aged
2610035D17Rik,11,1,Cardiomyocyte:F1_Aged
4833420G17Rik,13,1,Cardiomyocyte:F1_Aged
4930412C18Rik,4,1,Cardiomyocyte:F1_Aged
4930428N03Rik,14,1,Cardiomyocyte:F1_Aged
4930447C04Rik,12,1,Cardiomyocyte:F1_Aged
4930458D05Rik,5,1,Cardiomyocyte:F1_Aged
4930481A15Rik,19,1,Cardiomyocyte:F1_Aged
4930522O17Rik,4,1,Cardiomyocyte:F1_Aged
4930567K20Rik,10,1,Cardiomyocyte:F1_Aged
5830417I10Rik,3,1,Cardiomyocyte:F1_Aged
9330159M07Rik,9,1,Cardiomyocyte:F1_Aged
9430037G07Rik,9,1,Cardiomyocyte:F1_Aged
A730017L22Rik,2,1,Cardiomyocyte:F1_Aged
A930002C04Rik,13,1,Cardiomyocyte:F1_Aged
AI839979,5,1,Cardiomyocyte:F1_Aged
Aaas,15,1,Cardiomyocyte:F1_Aged
Acsm5,7,1,Cardiomyocyte:F1_Aged
Actg1,11,1,Cardiomyocyte:F1_Aged
Agbl3,6,1,Cardiomyocyte:F1_Aged
Ankrd55,13,1,Cardiomyocyte:F1_Aged
Anks6,4,1,Cardiomyocyte:F1_Aged
Asb18,1,1,Cardiomyocyte:F1_Aged
Atp2a2,5,1,Cardiomyocyte:F1_Aged
Avil,10,1,Cardiomyocyte:F1_Aged
BB218582,2,1,Cardiomyocyte:F1_Aged
Bend6,1,1,Cardiomyocyte:F1_Aged
Best3,10,1,Cardiomyocyte:F1_Aged
Blcap,2,1,Cardiomyocyte:F1_Aged
Cacna1c,6,1,Cardiomyocyte:F1_Aged
Cd28,1,1,Cardiomyocyte:F1_Aged
Cdcp3,7,1,Cardiomyocyte:F1_Aged
Cdh19,1,1,Cardiomyocyte:F1_Aged
Cdh8,8,1,Cardiomyocyte:F1_Aged
Cfap58,19,1,Cardiomyocyte:F1_Aged
Cfap96,Unknown,1,Cardiomyocyte:F1_Aged
Chrna9,5,1,Cardiomyocyte:F1_Aged
Clvs1,4,1,Cardiomyocyte:F1_Aged
Cntnap5b,1,1,Cardiomyocyte:F1_Aged
Cubn,2,1,Cardiomyocyte:F1_Aged
Cyfip2,11,1,Cardiomyocyte:F1_Aged
Cyp2d22,15,1,Cardiomyocyte:F1_Aged
