"gene","mu_intercept","mu_sex_coeff","sigma_intercept","pval_imbalance","pval_sex_diff","bb_theta","bb_mu","alpha","beta","tot_gene_mean","aic","converged","theta_smoothed","thetaCorrected","theta_common","resid"
"1700017G19Rik",-36.0436546707961,7.54764683395748e-15,6.66133198487656e-06,0.996970229063541,1,-150120.626466255,2.22044604925032e-16,-1.47910790243701e-21,-6.66130979825604e-06,0.0441201716738192,6.00000000000186,TRUE,NA,-150120.626466255,347280.450048498,-497401.076514753
"1700123O12Rik",-4.03042787647002,0.492476485092115,1.34544401787347e-06,1.1894229696049e-07,0.731252450438785,-743249.558810459,0.0169491525423252,-2.28041205560238e-08,-1.32263899225316e-06,0.027467811158798,26.1580935638748,TRUE,NA,-743249.558810459,265482.028067629,-1008731.58687809
"2900089D17Rik",1.25591976607379,0.897656652329264,-1.04176124976668e-05,3.92811219577017e-05,0.102269286710472,95990.784014068,0.725,7.55280840183311e-06,2.86485835931601e-06,0.022660944206009,144.490712981504,TRUE,300443.657437061,233163.451875963,300443.657437061,-204452.873422993
"4930567K20Rik",35.5436531116053,6.44349901255539e-16,-11102.2240809275,0.594162643959904,1,2.22044604925031e-16,1,4503599627370493,2,0.0238626609442065,6.00000000000011,TRUE,NA,2.22044604925031e-16,280824.601623412,-280824.601623412
"5330439K02Rik",0.461835419585889,0.462623521948114,1.42840676704295e-06,0.0147295535945619,0.211184509451986,-700081.193476255,0.585365853658537,-8.36139949356304e-07,-5.92265797460715e-07,0.0307296137339058,226.985000118786,TRUE,NA,-700081.193476255,286707.957271257,-986789.150747512
"A930002C04Rik",3.15998430704012,-1.13943428318844,-7.61503814846846e-06,2.50674225611921e-12,0.182764878920194,131318.605762596,0.964912280701757,7.34787180459536e-06,2.67195338348903e-07,0.0312446351931333,56.2108193943612,TRUE,288849.234111463,238987.794928265,288849.234111463,-157530.628348867
"Abcd2",-0.69601251791444,-0.302570684945536,-5.38290649117484e-06,0.0115810897687093,0.571332976523042,185772.743812084,0.353535353535353,1.90305287137798e-06,3.4798681076626e-06,0.0192274678111584,134.301874089955,TRUE,332968.497990299,288553.048494964,332968.497990299,-147195.754178215
"Avil",3.16396839186478,-1.5936895554661,-1.59262810301715e-05,3.35550004449666e-10,0.0869997259511298,62788.7976474385,0.964788732394371,1.53656188451274e-05,5.60789008946172e-07,0.027982832618027,46.3567011125959,TRUE,268703.761408089,199773.85249472,268703.761408089,-205914.96376065
"B130034C11Rik",1.25798767643254,0.546977389063701,-2.22043913690223e-06,4.44123603662156e-08,0.197961399464418,450360.864727795,0.752941176470588,1.67186191217054e-06,5.48579689930958e-07,0.0310729613733912,194.430122342389,TRUE,287794.885453759,359452.763201144,287794.885453759,162565.979274036
"Cdc14a",0.701996969113619,0.793230639124873,-1.59446931063766e-06,0.00633444316253454,0.103521040713769,627167.419330651,0.627659574468529,1.00078472688904e-06,5.93685854933048e-07,0.0183690987124465,127.465193337125,TRUE,328186.035456319,453040.029682298,328186.035456319,298981.383874332
"Chchd4",-0.163552243308807,0.209423486571744,-7.26370623596319e-06,0.284344187546314,0.491846318937369,137670.265794495,0.452127659574468,3.28413442775925e-06,3.9795981889318e-06,0.0345064377682394,264.424808174176,TRUE,301574.561258845,249731.546542767,301574.561258845,-163904.29546435
"Chrna9",-36.0436546707958,-2.56004813372801e-14,6.6613319848765e-06,0.995460720092996,1,-150120.626466255,2.22044604925032e-16,-1.47910790243701e-21,-6.66130979825604e-06,0.214763948497847,6.00000000000226,TRUE,NA,-150120.626466255,NA,NA
"D630045J12Rik",-1.06013176810005,0.652325186039691,-3.86204537506123e-06,6.59432981487495e-06,0.149513054822079,258929.653038315,0.23931623931624,9.24251959974729e-07,2.93780087277681e-06,0.0221459227467817,132.690762463461,TRUE,309842.742528757,301192.890413125,309842.742528757,-50913.0894904414
"Dhrs7b",-0.451693663519124,0.457100224409827,-3.05637867960126e-06,0.00815242092842856,0.176104957505964,327184.088308684,0.370588235294117,1.13265971218161e-06,1.92372363814972e-06,0.0314163090128752,228.320931245608,TRUE,289877.083684762,314040.062136926,289877.083684762,37307.0046239227
"Dnajc2",-0.0635294390594539,0.573345980747324,-5.63438644770989e-06,0.739205872718351,0.130400534265706,177481.113888167,0.466666666666667,2.62938774973386e-06,3.00501457112441e-06,0.0233476394849782,169.53386446132,TRUE,288576.918706454,256339.566626969,288576.918706454,-111095.804818287
"Dpy30",-0.262857118129873,0.147230236982683,-3.19255746790633e-06,0.0994865998552271,0.646043041098028,313228.004124657,0.425837320574163,1.35951228806697e-06,1.83305027604535e-06,0.0389699570815437,290.909499829965,TRUE,311912.434534902,323167.619114275,311912.434534902,1315.56958975492
"E130311K13Rik",-0.078712002586113,0.506130779461785,1.85037686277705e-06,0.644142253384862,0.135852757630618,-540430.94964083,0.447916666666667,-8.28813869680024e-07,-1.02156128123352e-06,0.0351931330472107,267.85708335554,TRUE,NA,-540430.94964083,302975.506556174,-843406.456197004
"E230016M11Rik",0.502998562359326,-0.46541646523883,-3.49157255296553e-06,0.00514149522881123,0.186718819300831,286403.401061797,0.623188405797102,2.1759113316627e-06,1.31566731681931e-06,0.0257510729613738,187.101616279937,TRUE,264815.090480094,282144.737950198,264815.090480094,21588.310581703
"Edar",0.129755597742541,1.43508452528932,2.8396184707753e-06,0.734692524314297,0.0486671055359583,-352160.485681605,0.423076923076923,-1.20137533959286e-06,-1.6382390994448e-06,0.0108154506437769,72.9648371796008,TRUE,NA,-352160.485681605,447466.781529168,-799627.267210773
"Fam227b",-18.6967900913096,-34.693726748721,4.96958292606401e-06,0.998810202913691,0.010517238516456,-201224.629849695,0.166666666666664,-8.28261762942022e-07,-4.14130881471018e-06,0.0185407725321889,75.149165645782,TRUE,NA,-201224.629849695,328731.100082165,-529955.72993186
"Fgf7",-0.435414178899798,1.2354714713875,-6.62916665958996e-06,0.201916144130293,0.0677552318142318,150848.023102458,0.304347826086603,2.01757914904782e-06,4.61160948354559e-06,0.0144206008583694,87.4648764871585,TRUE,355304.424221212,289914.629607576,355304.424221212,-204456.401118755
"Gabrb3",-1.52226121886171,0.271933715483644,-9.71443094229717e-07,0.000921919658743724,0.748792495896249,1029395.87532667,0.175,1.70002624057985e-07,8.01440941987643e-07,0.00927038626609457,42.9955666762128,TRUE,511526.607330953,725824.671554182,511526.607330953,517869.267995715
"Glt28d2",36.0436311846577,-5.8477082385362e-14,-36.0749033891173,0.991399304664847,1,2.22044604925031e-16,1,4503599627370494,1,0.21390557939914,6.00000000000041,TRUE,NA,2.22044604925031e-16,NA,NA
"Gm12381",35.5436531116054,-6.24094150353372e-16,-11102.2240809275,0.840894075100407,1,2.22044604925031e-16,1,4503599627370493,2,0.0257510729613735,6.00000000000004,TRUE,NA,2.22044604925031e-16,265061.445283458,-265061.445283458
"Gm15934",0.53996007782798,0.192057377784036,-1.62939138724356e-06,0.00364358993005899,0.597757018428465,613725.5868334,0.62589928057554,1.01983572789421e-06,6.09556986787342e-07,0.026437768240344,189.508001909781,TRUE,264207.561715382,406046.531260642,264207.561715382,349518.025118018
"Gm16153",-0.110800765481196,-0.187987294329632,-4.12368951896942e-06,0.516369426553683,0.580662178288123,242500.783234003,0.482142857142857,1.98821154601224e-06,2.13548647534648e-06,0.0310729613733912,238.377956015858,TRUE,287794.885453759,280518.555038944,287794.885453759,-45294.1022197555
"Gm26724",0.520497105187557,-0.148420005118274,-5.86648383976405e-07,0.00512799997402819,0.686933791758841,1704598.07610594,0.636363636363636,3.7332180839801e-07,2.13326747656006e-07,0.032961373390558,236.567159599991,TRUE,297384.492362049,842024.035248903,297384.492362049,1407213.58374389
"Gm26760",35.5436531116053,4.83128322832661e-15,-11102.2240809275,0.652726632772553,1,2.22044604925031e-16,1,4503599627370493,2,0.0219742489270385,6.0000000000001,TRUE,NA,2.22044604925031e-16,312898.715498263,-312898.715498263
"Gm26782",-36.0436546707961,1.36267842353895e-14,6.66133198487655e-06,0.997184040033106,1,-150120.626466255,2.22044604925032e-16,-1.47910790243701e-21,-6.66130979825604e-06,0.0206008583690981,6.00000000000094,TRUE,NA,-150120.626466255,333047.290194463,-483167.916660718
"Gm28403",1.92240712786739,0.950976289862147,-1.18993488400851e-05,9.50732232855724e-07,0.166828735541653,84037.71196015,0.858974358974362,1.02212963553991e-05,1.67812328222966e-06,0.0159656652360515,67.5528583750701,TRUE,331596.734420508,249021.349208246,331596.734420508,-247559.022460358
"Gm30735",19.6036034961122,31.8800836998821,-18905.7763563578,0.445295648508177,0.594848094291275,2.22044604925031e-16,0.978260869566097,4405695287649013,97904339721482,0.00995708154506467,15.3525479310025,TRUE,NA,2.22044604925031e-16,479496.694430061,-479496.694430061
"Gm32828",-2.55799790487708,-0.875468737353827,-2.96814946608571e-06,8.88545114335278e-05,0.438665333169003,336909.757186285,0.0816326530612207,2.42298275190897e-07,2.72585559589773e-06,0.011845493562232,33.1086390366169,TRUE,415436.868628276,399941.855824741,415436.868628276,-78527.1114419914
"Gm35212",-2.35024018289626,-0.541597282432709,-5.28721575163298e-06,6.52889875627796e-11,0.400615839443744,189134.963159896,0.0901639344262253,4.76717434576069e-07,4.81051229435877e-06,0.0230042918454931,79.205257192566,TRUE,294354.054891188,264547.577601873,294354.054891188,-105219.091731291
"Gm35992",35.5436531116053,5.79308279441458e-15,-11102.2240809275,0.602083767770855,1,2.22044604925031e-16,1,4503599627370493,2,0.0200858369098714,6.00000000000009,TRUE,NA,2.22044604925031e-16,336248.334999579,-336248.334999579
"Gm40437",0.381070026023449,-0.762140052046898,-4.5796713547031e-06,0.0942181600342446,0.0904440894906661,218355.77986391,0.625,2.86230115085358e-06,1.71738069051215e-06,0.0187124463519314,130.153690317372,TRUE,329821.229333857,298865.723475507,329821.229333857,-111465.449469947
"Gm42413",-0.909579221708084,-1.52879442372717,1.08499295601985e-06,0.008359087290266,0.0112833931351905,-921665.46981157,0.397727272727273,-4.31531055197919e-07,-6.5346131215685e-07,0.0171673819742487,117.86584268421,TRUE,NA,-921665.46981157,326726.188607003,-1248391.65841857
"Gm43597",35.5436531116055,-1.66165443758489e-14,-11102.2240809276,0.532811563398673,1,2.22044604925031e-16,1,4503599627370493,2,0.0276394849785404,6.00000000000013,TRUE,NA,2.22044604925031e-16,266610.2209752,-266610.2209752
"Gm45871",-1.30398337127262,-0.164621979694555,-3.08615487888048e-06,8.88433857861458e-09,0.699718086058933,324027.307824188,0.220238095238095,6.79689920942073e-07,2.4064697200922e-06,0.0310729613733912,182.993507566137,TRUE,287794.885453759,311477.994756736,287794.885453759,36232.4223704298
"Gm46367",0.121109849187513,0.333144446528538,-4.56045975889707e-06,0.522544818967038,0.376394571815615,219275.63724614,0.515384615384615,2.35039615826581e-06,2.21007399956337e-06,0.0240343347639479,185.312726114029,TRUE,278417.566285563,265559.211624831,278417.566285563,-59141.9290394229
"Gm47200",-2.65905999692212,-1.7346010553881,1.55079557060742e-06,2.03088344228342e-05,0.0896389868312837,-644830.817427958,0.0793650793650787,-1.23078918097685e-07,-1.42771544993316e-06,0.0206008583690979,38.0483624545109,TRUE,NA,-644830.817427958,334486.901980178,-979317.719408136
"Gm50020",0.549306144334055,-0.287682072451778,-1.54071700243479e-06,0.0134843715511209,0.510674834760987,649047.961495544,0.642857142857143,9.90461693117199e-07,5.50256496176221e-07,0.0190557939914163,133.311601895794,TRUE,331833.076168448,463736.944894716,331833.076168448,317214.885327096
"Gm56549",-0.174321386120774,-0.591364486250082,2.96528023006229e-06,0.576233610186939,0.33525261371505,-337236.755063687,0.506329113924047,-1.50140548537904e-06,-1.46387034824458e-06,0.0157939914163087,114.576094467932,TRUE,NA,-337236.755063687,334409.239904999,-671645.994968686
"Gm56919",-0.604306591941222,-0.413247248550221,-3.80476746245097e-06,0.000169728860073896,0.186326051114711,262827.651752333,0.362162162162162,1.37794543210177e-06,2.42682926847775e-06,0.035708154506438,246.474842033096,TRUE,304376.451853502,299094.166217714,304376.451853502,-41548.8001011695
"Gm5860",2.27400588607413,0.307484699747963,3.77685449934321e-06,1.54609712261077e-16,0.536551395553904,-264771.091553221,0.901869158878511,-3.40622215812118e-06,-3.70625208914711e-07,0.0420600858369106,142.987410231494,TRUE,NA,-264771.091553221,336857.142686278,-601628.234239499
"Gm9929",-0.232681624844646,0.46536324968929,-6.27276865616974e-06,0.293126011564305,0.290212341221279,159418.738110637,0.41999999999999,2.6345710985901e-06,3.63821723138648e-06,0.0193991416309009,140.939764006627,TRUE,334184.47462219,279341.341811235,334184.47462219,-174765.736511552
"Gsta5",-2.38108696739892,-0.653926467406627,-4.36785478861674e-06,5.93086768242223e-07,0.437488280849163,228944.840078037,0.0921052631578904,4.02303293345663e-07,3.96556103440745e-06,0.0154506437768245,52.1191664195669,TRUE,337221.745389489,307732.269293813,337221.745389489,-108276.905311452
"Heatr1",-0.137705989929983,0.275411979859966,9.1573889393986e-07,0.459996103578519,0.458682873346806,-1092014.83571909,0.452554744525547,-4.14421791465444e-07,-5.01316683224328e-07,0.0252360515021465,194.137786072444,TRUE,NA,-1092014.83571909,266079.390252383,-1358094.22597147
"Hook2",0.320580562746747,0.589210152686971,-2.64299317743859e-06,0.0765169100603156,0.0981160302658376,378358.403277375,0.567164179104478,1.49901303682342e-06,1.14398363336524e-06,0.0252360515021457,186.602306483456,TRUE,266850.980417943,318397.329322668,266850.980417943,111507.422859432
"Hus1",-0.329027930374377,-0.281951397742875,-1.98776504450023e-06,0.0803279824682793,0.448400081476542,503077.065808965,0.43712574850299,8.68904146524901e-07,1.11886287360743e-06,0.0310729613733911,234.288742961472,TRUE,287794.885453759,379471.573738296,287794.885453759,215282.180355206
"Iigp1",35.5436531116054,-5.26066801167851e-15,-11102.2240809274,0.490140454645845,1,2.22044604925031e-16,1,4503599627370493,2,0.0628326180257505,6.00000000000023,TRUE,NA,2.22044604925031e-16,480293.900393335,-480293.900393335
"Kcnv2",4.03545304439421,0.24686007793072,5.59292062274739e-05,3.00531406495289e-10,0.839667531634464,-17880.2459808799,0.98203592814372,-5.49229540350762e-05,-1.00468818356802e-06,0.0326180257510732,36.0211384065298,TRUE,NA,-17880.2459808799,293630.788023405,-311511.034004285
"Kdelr2",0.00540545805210673,0.0743083127333782,-4.10782851913443e-06,0.977682601677218,0.847156142139988,243437.12047351,0.5,2.05391847811644e-06,2.05391847811644e-06,0.0207725321888417,158.455227839375,TRUE,331607.678408747,309559.93558493,331607.678408747,-88170.5579352372
"Med7",0.404603038929116,0.109858580898734,-3.85902788111317e-06,0.0146707396673783,0.73744274605518,259132.118577512,0.596385542168678,2.30147287585381e-06,1.55756245133538e-06,0.0307296137339056,229.8050173923,TRUE,285621.029088756,285410.950150838,285621.029088756,-26488.9105112439
"Nbr1",36.0436311846562,2.88835140136125e-14,-36.0749033891175,0.993520980363695,1,2.22044604925031e-16,1,4503599627370494,1,0.10918454935622,6.00000000000024,TRUE,NA,2.22044604925031e-16,NA,NA
"Ndnf",1.01844096363452,-0.160342650083082,-2.88656071864584e-06,0.000170879088969502,0.756186642954257,346432.538297595,0.737500000000898,2.1288416025384e-06,7.57723282255917e-07,0.0168240343347639,98.0084953377954,TRUE,326739.143116756,345484.514619835,326739.143116756,19693.3951808388
"Nectin2",-0.352490819103818,0.31666960932572,-1.67171189003538e-06,0.124474888042428,0.486224115851312,598188.701127157,0.402298850574609,6.72528333979837e-07,9.99184953341901e-07,0.0169957081545062,122.779430424634,TRUE,326328.051341164,440818.96420444,326328.051341164,271860.649785992
"Nosip",0.628170394921628,0.340674602592293,6.64097706584221e-06,0.00769054368249873,0.456568496319104,-150580.751987882,0.63302752293578,-4.20390730275224e-06,-2.43704771174043e-06,0.0207725321888419,148.742490459905,TRUE,NA,-150580.751987882,325309.169923011,-475889.921910893
"Nphp3",1.00924042094507,0.697766126416241,1.64532033690614e-08,7.95873248172995e-06,0.0975549687902063,-60778438.5879511,0.703703703703704,-1.15781800265466e-08,-4.87502316907225e-09,0.0248927038626606,167.332157129831,TRUE,NA,-60778438.5879511,269611.03069097,-61048049.6186421
"Ntng1",-20.4555957009674,-31.1761224975158,-1.93332019034963e-06,0.993885167105629,0.450413587641617,517244.395604653,0.00574712642677654,1.11110462976756e-08,1.92221101286357e-06,0.0334763948497856,17.7427415602499,TRUE,298960.836405302,392162.321599302,298960.836405302,218283.55919935
"Ostc",0.273482335190932,-0.182321556793954,-3.4369612227691e-06,0.214002425656652,0.675951181936636,290954.193746851,0.574468085106383,1.97442792526375e-06,1.46253920389907e-06,0.0181974248927036,134.044066356353,TRUE,327522.46313868,324929.656598769,327522.46313868,-36568.2693918282
"Parg",2.8537704176307,-0.060818740035057,-7.56305609832417e-06,5.45656435814518e-22,0.910840392870632,132221.182214653,0.945848375451264,7.1535313752961e-06,4.09553323013135e-07,0.0523605150214577,122.639133222217,TRUE,372869.051927053,294341.338462386,372869.051927053,-240647.8697124
"Pcnx4",0.0478725284791912,-0.286365416567035,-3.70073881340749e-07,0.845107887370686,0.557709943609583,2702162.63700349,0.533333333333333,1.97372773211299e-07,1.72701176559886e-07,0.0202575107296135,150.750210112413,TRUE,335926.513765894,1246080.86636485,335926.513765894,2366236.12323759
"Pex5l",-0.35056828529779,0.367028401269248,-3.90164456356847e-06,0.174560078302669,0.473054490945362,256301.678146339,0.39999999999967,1.56066087000525e-06,2.34099130501109e-06,0.0151072961373391,99.7068012010071,TRUE,342375.737099467,321495.445498261,342375.737099467,-86074.0589531288
"Pgrmc2",-0.640466922731033,-0.470003629245739,-6.48061388841143e-06,0.00351993017278673,0.267583396929065,154305.869306258,0.372093023255813,2.41139902797413e-06,4.06923585970636e-06,0.024377682403434,175.066446689076,TRUE,274217.945116597,238137.505007132,274217.945116597,-119912.075810339
"Pkd1l3",-0.211741806805422,-0.249460859631584,-3.58443309906924e-06,0.310107233282601,0.546965343480068,278983.644034252,0.457142857142857,1.63860092488695e-06,1.94583859830325e-06,0.0199141630901292,150.425750160184,TRUE,336739.283358682,326418.461522402,336739.283358682,-57755.63932443
"Plet1os",3.1129388453402,-1.20126644272805,-9.61076933556853e-06,5.72439035250053e-12,0.161680387739909,104049.442838918,0.963855421686747,9.26343664500845e-06,3.47378874187817e-07,0.0329613733905583,55.6647724595823,TRUE,297384.49236205,234220.756793075,297384.49236205,-193335.049523132
"Pmp22",0.063916685754943,-0.318453731118535,2.45174618291883e-06,0.70509866341593,0.344151110754255,-407873.063205521,0.520833333333334,-1.27694957161438e-06,-1.17479360588523e-06,0.0271244635193128,204.481408977582,TRUE,NA,-407873.063205521,264917.931613844,-672790.994819365
"Poc1b",-0.150552546391961,-0.35590304116015,-1.51219972865253e-06,0.439051482859309,0.357164732173737,661287.808070706,0.474137931034483,7.1699179275325e-07,7.95209079235423e-07,0.0228326180257505,165.651824725127,TRUE,297368.151121757,445819.563380249,297368.151121757,363919.656948949
"Pou6f2",2.47082121130468,-1.04982212449867,-9.36186901362024e-06,0.00044009992103689,0.394039716401206,106815.777662831,0.91891891891892,8.60283882236509e-06,7.5907401373808e-07,0.00875536480686721,26.0972966024302,TRUE,539614.207236954,393867.759677911,539614.207236954,-432798.429574123
"Ptx4",-36.0436546707962,1.90704149054209e-14,6.66133198487658e-06,0.997560390188548,1,-150120.626466255,2.22044604925032e-16,-1.47910790243701e-21,-6.66130979825604e-06,0.0243776824034339,6.00000000000109,TRUE,NA,-150120.626466255,276317.75570108,-426438.382167335
"Redic1",35.5436531116053,8.23165905515335e-15,-11102.2240809275,0.717795292511589,1,2.22044604925031e-16,1,4503599627370493,2,0.0137339055793989,6.00000000000006,TRUE,NA,2.22044604925031e-16,372023.504017221,-372023.504017221
"Rmc1",-0.633900422929954,-0.4267948749145,-2.08809642357679e-06,0.0016670492343778,0.27429081144227,478904.587286886,0.370860927152318,7.74394184138718e-07,1.31370441952104e-06,0.0276394849785409,203.947350072533,TRUE,267174.317428985,356791.124872575,267174.317428985,211730.269857901
"Rmdn2",2.37679509555322,0.791587253373205,-7.55692291898789e-06,5.01824072496919e-11,0.209093719395796,132328.492994723,0.900000000000003,6.80125632531683e-06,7.55695147257403e-07,0.0290128755364809,101.947201844554,TRUE,274445.387939873,229940.580888353,274445.387939873,-142116.89494515
"Rnf152",-1.06565668619653,0.00956945101702803,-7.24353766525933e-06,7.32468274888389e-05,0.985070808387784,138053.589896249,0.256097560974989,1.85505904748622e-06,5.38850485223944e-06,0.0169957081545063,99.3050525966644,TRUE,326328.051341164,266084.111838273,326328.051341164,-188274.461444915
"Rwdd3",-1.01297642850356,-0.47957308054015,2.81685611059219e-06,8.57214583296596e-06,0.263230196346608,-355006.208764262,0.280991735519304,-7.91512172413564e-07,-2.02533997076695e-06,0.0224892703862658,148.469095049542,TRUE,NA,-355006.208764262,303572.994427577,-658579.203191838
"Scin",19.5163912815983,-33.0544798061169,-36.0749033891173,0.998510754158325,1,2.22044604925031e-16,0.971753369519335,4376388112863302,127211514507193,0.0187124463519313,17.4780094584107,TRUE,NA,2.22044604925031e-16,329276.164708011,-329276.164708011
"Sgce",-0.503820255231192,1.49788542652836,-2.7027578360569e-06,0.0161374152462246,0.000211251120180761,369991.952403506,0.336065573770492,9.0830509038744e-07,1.7944563980825e-06,0.0236909871244631,148.03919650009,TRUE,283231.636961261,325945.200363571,283231.636961261,86760.3154422453
"Smco2",-3.89452020097195,0.736319352138729,-4.46160200853303e-07,3.42607934874824e-07,0.610201858816987,2241346.88625757,0.0186915887824464,8.33944486551842e-09,4.37820855501786e-07,0.0207725321888417,25.6212272288051,TRUE,331607.678408747,1068259.84664217,331607.678408747,1909739.20784882
"Smim10l3",0.54045635578844,0.0383188643079948,-3.50337324169639e-06,0.0145547835002194,0.926508924155512,285438.684186136,0.629629629630231,2.20583146053058e-06,1.29754791795581e-06,0.0259227467811165,183.96266817824,TRUE,264467.750214988,281550.973620437,264467.750214988,20970.9339711484
"Sorl1",-1.47610300425206,-0.353640040243579,-3.89299020929284e-06,3.42973734657169e-10,0.414236194876411,256871.453497415,0.194805194805195,7.5837619226597e-07,3.13462159469934e-06,0.0286695278969964,157.21312087912,TRUE,272379.240502865,275882.595066368,272379.240502865,-15507.7870054503
"Spata31f1e",2.3899435716985,-0.174716957408702,-9.70460566667515e-06,6.06677151252242e-15,0.759097276026077,103043.357148926,0.91878172588833,8.91645760881447e-06,7.88195147740453e-07,0.0375965665236061,116.909460386909,TRUE,308640.860716873,241208.647662539,308640.860716873,-205597.503567947
"Spidr",-0.215837687437736,-0.179087924226891,-3.46173980289099e-06,0.282692768849312,0.653854396203767,288871.586565726,0.458333333333333,1.58663348923398e-06,1.87511230545834e-06,0.026609442060086,204.424152197231,TRUE,264353.835160059,282780.023156818,264353.835160059,24517.7514056669
"Syndig1",2.3269801750788,0.624154309072969,4.51028135535323e-06,0.00106489185921618,0.617634598963085,-221716.158339354,0.906250000000004,-4.08743326056063e-06,-4.22837923506254e-07,0.00806866952789685,25.6630597464443,TRUE,NA,-221716.158339354,NA,NA
"Tmem214",-0.512289753655535,-0.617381596828591,-5.1810473849559e-06,0.00103189860787366,0.0417019067174492,193010.666602189,0.4,2.07242432266417e-06,3.10863648399625e-06,0.038798283261802,284.517638282006,TRUE,311488.02032327,277237.586394068,311488.02032327,-118477.353721082
"Unc13c",-2.87230223458826,0.693147180559893,-3.16308789774066e-06,3.21853499319744e-05,0.571049866527321,316146.263016429,0.0566037735849037,1.79042994355945e-07,2.98404990593253e-06,0.0127038626609441,28.736039532291,TRUE,392900.402549971,377301.550698058,392900.402549971,-76754.1395335422
"Wdr3",-0.0831606077237636,0.710188646414807,-2.60383202246845e-06,0.669572176664949,0.066152938936057,384048.851639162,0.438848920863307,1.14269036084929e-06,1.46114505157779e-06,0.0255793991416305,193.234577874901,TRUE,265307.800086822,319547.883481581,265307.800086822,118741.05155234
"Zbtb20",19.1969420329309,33.6933783034511,-36.0745476016416,0.99590344568852,1,2.22044604925031e-16,0.94268939390696,4245495603125503,258104024244992,0.100085836909872,73.5384097884722,TRUE,NA,2.22044604925031e-16,NA,NA
"Zfp189",0.0920018214885249,0.124297716677687,-6.88525867000396e-06,0.620155430052948,0.737004995240351,145237.325903032,0.521008403361356,3.58728997605759e-06,3.29799239734311e-06,0.0223175965665237,170.646106573658,TRUE,306702.331418078,255962.449001639,306702.331418078,-161465.005515046
"Zfp605",-0.883830958824509,-0.0649195460993348,6.28437296653701e-07,1.59254061356057e-05,0.869747352726003,-1591249.15033834,0.295597484276728,-1.85764425523103e-07,-4.42672673586971e-07,0.0303862660944212,199.02702532824,TRUE,NA,-1591249.15033834,281895.815372462,-1873144.96571081
"Zpbp",-0.156917392631121,-0.188794071299572,-2.21636488506044e-06,0.242042625802024,0.479901889619049,451188.745391729,0.470588235294117,1.04299639585545e-06,1.17337094533739e-06,0.0549356223175964,381.631259969746,TRUE,391054.768403038,427375.10305341,391054.768403038,60133.9769886905
"Shroom4",0.505800455864123,-0.200670695511915,-8.70174041450127e-07,0.147540703947109,0.768446729043859,1149194.89345334,0.621621621626843,5.4091923412474e-07,3.29255185981662e-07,0.00909871244635184,54.9949107459808,TRUE,520407.925244963,777132.887460433,520407.925244963,628786.968208378
"Gripap1",-0.172661730713968,0.569159293835905,5.46926377198595e-07,0.118150068642737,0.00947735741043598,-1828400.15622827,0.454277286135688,-2.48456162393247e-07,-2.98470065212673e-07,0.0655793991416335,466.384432141729,TRUE,NA,-1828400.15622827,539230.467185593,-2367630.62341386
"Tbc1d25",0.176300809275549,1.34199410222331,-4.17904902496986e-06,0.412240963750551,0.00119353040574152,239288.389419197,0.5,2.08952887857871e-06,2.08952887857871e-06,0.0200858369098714,142.446869398717,TRUE,336570.156233264,311233.580595634,336570.156233264,-97281.7668140667
"Lancl3",-0.780323874132339,1.3049810052449,-2.12081027566463e-06,6.52123751268281e-05,0.000559718891956295,471517.396472678,0.275641025641025,5.84582939469546e-07,1.53622958511764e-06,0.0336480686695276,177.796831962975,TRUE,299415.804994176,375095.522663681,299415.804994176,172101.591478503
"Xk",0.235001814622868,0.705569700558501,-1.50464342262993e-06,0.160187363892569,0.0329220418597149,664608.792117165,0.565789473684211,8.51312050630331e-07,6.53332503972113e-07,0.0290128755364809,209.527688832934,TRUE,274445.387939873,432072.340048774,274445.387939873,390163.404177292
"Rpgr",-0.131711512907868,1.09137462136787,-1.90048267792982e-06,0.306611047993827,1.63742790949561e-05,526181.617635832,0.427083333333333,8.11665248307697e-07,1.08881923553472e-06,0.0566523605150232,380.535471239619,TRUE,404290.701029597,464519.449536259,404290.701029597,121890.916606235
"Bcor",-0.291514263728253,1.4582729669419,3.40968702807321e-06,0.0242998607492457,4.94667319749483e-09,-293282.549583259,0.423487544483901,-1.44395752521129e-06,-1.96572368978412e-06,0.05459227467811,354.732431588434,TRUE,NA,-293282.549583259,381961.910165045,-675244.459748305
"Fundc1",0.161902773095239,1.09349718800134,-2.19498341302198e-06,0.256290800578683,8.72739257302096e-05,455583.808318288,0.522935779816514,1.14783662252362e-06,1.04714919949524e-06,0.0405150214592269,292.359488645299,TRUE,316010.527961838,379909.954246909,316010.527961838,139573.28035645
