"","converged","iter","deviance","df_resid","phi_hat","mu_weighted","pmin","pmax","m_eff","theta_map","terms","rank","p_model","error","coef_X.Intercept.","se_X.Intercept.","stat_X.Intercept.","p_X.Intercept.","coef_sexM","se_sexM","stat_sexM","p_sexM"
"2210408F21Rik",TRUE,3,242.942376204964,147,1.65266922588411,0.453342013921896,0.444444444517781,0.458333333343718,1.2890362843768,998.999999999999,"sex",2,0.864600854311443,FALSE,-0.223143551017197,0.259924587180319,-0.858493432413895,0.39201771822689,0.0560894663958603,0.328446355744554,0.170772077128733,0.864637814298215
"2210408I21Rik",TRUE,4,69.2920635713432,46,1.50634920807268,0.638355002826455,0.625,0.655172413793102,1.27059474969168,998.999999999999,"sex",2,0.820144486899142,FALSE,0.510825623765989,0.391522811617841,1.30471484319181,0.198479777704262,0.131028262406398,0.573382021856431,0.228518260796126,0.820256227224974
"2610307P16Rik",TRUE,3,219.101401598186,142,1.54296761688863,0.464781951700858,0.407766991083862,0.524999999992967,1.27197781954253,998.999999999999,"sex",2,0.139455695433611,FALSE,0.100083458528782,0.237919825570577,0.420660440082125,0.674638986807599,-0.473287701136645,0.319382232215794,-1.48188488086232,0.14058666701351
"4632427E13Rik",TRUE,3,215.947468513926,145,1.48929288630293,0.492700199844817,0.453125000007837,0.515151515136948,1.10918878444747,998.999999999999,"sex",2,0.457211720170165,FALSE,0.0606246217581117,0.208796463657848,0.290352722915156,0.771961247754996,-0.248676853229424,0.334019346694766,-0.744498352236675,0.457779927254674
"4833422C13Rik",TRUE,4,291.571558834893,201,1.45060477032285,0.661793240681958,0.645669291338579,0.67295597484276,1.40887925903572,998.999999999999,"sex",2,0.649236702742481,FALSE,0.721585115880444,0.179620485788223,4.01727627399477,8.31617971821345e-05,-0.121528358386529,0.266685956416186,-0.455698380295939,0.649098802316232
"4930523C07Rik",TRUE,4,116.408359611419,82,1.41961414160267,0.356147540983642,0.344262295081977,0.371428571428639,1.14503979050781,998.999999999999,"sex",2,0.798408605627431,FALSE,-0.526093095896488,0.365177783295633,-1.44064923979941,0.153491346603083,-0.11826392049398,0.460963944820235,-0.256557854085745,0.798162709120351
"4933431K23Rik",TRUE,3,97.9720926861519,63,1.55511258231987,0.437950340801725,0.425000000005066,0.461538461538498,1.21287927672969,998.999999999999,"sex",2,0.760117789324349,FALSE,-0.302280871852205,0.340952517711012,-0.886577620489709,0.378678250134439,0.148130192025094,0.483207323136969,0.306556181854688,0.760192108731865
"5031425E22Rik",TRUE,3,236.66219325138,161,1.46995151087814,0.5276614573493,0.513274336283186,0.546666666658857,1.15307685774686,998.999999999999,"sex",2,0.663758338057379,FALSE,0.0531098253139491,0.194113263637786,0.273602248082602,0.784740985662387,0.134101716742685,0.308073820007592,0.435290855741589,0.663934294290321
"9330188P03Rik",TRUE,4,85.318757245676,53,1.60978787255992,0.560670645069445,0.333333333333336,0.647058823529167,1.2550749676066,998.999999999999,"sex",2,0.0434021042317469,FALSE,-0.693147180559931,0.558302860863908,-1.24152539624706,0.219878302014548,1.29928298412917,0.647109890099877,2.00782433402252,0.0497715221660718
"9530026P05Rik",TRUE,3,1366.2138082941,768,1.77892422954961,0.488549453600631,0.487886382623245,0.489465153970963,3.15714367487094,0.565167058260461,"sex",2,0.946867273541796,FALSE,-0.0484639531079041,0.0675301686138342,-0.717663736115355,0.473182878690538,0.00631833165768706,0.0947801570945822,0.0666630215793157,0.946867323065605
