"","AR","N","log2FC","llr_var","pval_var","padj_var"
"0610043K17Rik",0.641141141141141,111,0.84799690655495,0.366994213230953,1,1
"1110059E24Rik",0.433076923076923,130,-0.330645311988471,0.133890339191751,1,1
"1500002F19Rik",0.65,60,0.82312223791592,-0.000869799751882283,0.966731072759566,1
"1500004A13Rik",0.390873015873016,210,-0.653442238603922,0.209906289076628,1,1
"1600010M07Rik",0.513888888888889,228,0.0650950282218847,0.37290203959094,1,1
"1600020E01Rik",0.334532374100719,139,-0.919080004616433,-0.0162782845213059,0.856811558152265,1
"1700025G04Rik",0.496860961365678,424,-0.0196958013409199,-4.56885129681632,0.00250395316263702,0.0268475809230276
"2210408F21Rik",0.487140992167102,766,-0.0963939550615236,8.67612839656408,1,1
"2210408I21Rik",0.616573033707865,178,0.751612370130608,-1.15939055507297,0.127820150164771,0.891429129904363
"2610035D17Rik",0.650713557594292,327,0.807354922057604,-3.38190948608087,0.00930244675025888,0.0893034888024852
"2610037D02Rik",0.504712301587302,336,0.0446229914206278,0.342562068462257,1,1
"2610307P16Rik",0.557807807807808,111,0.345135486048687,-5.13073644378332,0.00135837187469448,0.0149131890923904
"2700049A03Rik",0.646723646723647,117,0.851477475289912,-1.12095244459225,0.134315423405357,0.927180715413566
"2700097O09Rik",0.622047244094488,127,0.815575428862573,-0.000217711733199621,0.983351908243302,1
"2900026A02Rik",0.464912280701754,114,-0.225881407416328,0.355786108853209,1,1
"2900093K20Rik",0.587301587301587,63,0.505235308250422,-8.16985826973779,5.29426583436654e-05,0.000656298179107059
"3110056K07Rik",0.451830443159923,173,-0.274174963438994,0.164087747486349,1,1
"3110082I17Rik",0.516393442622951,122,0.0424352663203971,0.231975555089463,1,1
"4632427E13Rik",0.505374280230326,521,0.0135042643497472,2.65336447155028,1,1
"4732440D04Rik",0.311473429951691,460,-1.15277028040325,0.208807069787156,1,1
"4732471J01Rik",0.367424242424242,132,-0.696607856550065,0.0845416024229166,1,1
"4833420G17Rik",0.675595238095238,168,0.930737337562886,-6.75260387814973,0.00023790230567587,0.00283014616089335
"4930438E09Rik",0.597849462365591,155,0.686500527183219,0.102454288775903,1,1
"4930503L19Rik",0.503164556962025,158,0.0327899351176697,0.150071236201171,1,1
"4930523C07Rik",0.439416419386746,337,-0.329622486677363,-0.139643910475456,0.597168384398258,1
"4930578G10Rik",0.797585886722377,359,2.051743575094,0.27004547707611,1,1
"4930599N23Rik",0.508403361344538,119,0.131244533278253,0.136825916506879,1,1
"4933406I18Rik",0.314634146341463,205,-1.16580889297008,-3.9845184900511,0.00475842475137891,0.0484636920591989
"5031425E22Rik",0.591091414668057,685,0.483856689114781,7.86898646678401,1,1
"5033421B08Rik",0.377551020408163,49,-0.526068811667588,0.470055127479817,1,1
"5330438D12Rik",0.481220657276995,213,-0.130703691644594,0.149354262814398,1,1
"5430405H02Rik",0.431818181818182,132,-0.432111012637786,0.0649401273589234,1,1
"6030458C11Rik",0.373333333333333,150,-0.7796099315747,2.91208598542767,1,1
"6720427I07Rik",0.543243243243243,185,0.231325546106456,0.21568367868872,1,1
"6820431F20Rik",0.725529100529101,252,1.37706964907982,-29.9918261664892,9.56485306185685e-15,1.5793485375738e-13
