"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.652777777777778,72,0.949373926930032,-2.79101900584736,0.0181455947212297,0.102322356309668
"1110059E24Rik",0.445378151260504,119,-0.267104070142841,-0.879502757630178,0.18474860713012,0.475896953057828
"1500004A13Rik",0.457746478873239,142,-0.325986311461715,-0.621077266783772,0.265056226349775,0.578011416270297
"1600010M07Rik",0.489795918367347,196,-0.02487466863903,-0.102889052888685,0.650096800541397,0.904503084181117
"1600020E01Rik",0.403846153846154,104,-0.451379346342564,-2.10304602742561,0.0402790313374686,0.175244612107277
"1700025G04Rik",0.490051282051282,325,-0.101402032208213,-0.111283893597772,0.637090320094082,0.893183346420433
"2210408F21Rik",0.511947565543071,445,0.0810146883730596,-0.013046591667262,0.871672956288748,1
"2210408I21Rik",0.560833333333333,100,0.29176612437711,-0.606921819931102,0.270572232667715,0.585037555844154
"2610035D17Rik",0.624034334763949,233,0.668794091524627,-6.00071162948376,0.000531599371384967,0.00631806779022342
"2610037D02Rik",0.414448669201521,263,-0.50653585376434,-4.3721024399083,0.00310587497835187,0.0263535809730304
"2610307P16Rik",0.473086419753086,135,-0.0710830980614823,-0.277828988000863,0.456015019567068,0.758024966736486
"2700097O09Rik",0.614341085271318,86,0.560714954474479,-1.96372760826458,0.0475037770908667,0.195292123560105
"2900093K20Rik",0.528571428571429,70,0.134301091711591,-0.047451628629446,0.758033844739658,0.980056501780357
"3110056K07Rik",0.422514619883041,114,-0.388565287917653,-1.60282872401611,0.0733840097713575,0.257370116883534
"4632427E13Rik",0.521872265966754,381,0.158989523761157,-0.0928735235405043,0.66648014031201,0.918530811557279
"4732440D04Rik",0.327134646962233,406,-1.02553509210714,-24.9131198819339,1.67982342422253e-12,1.08110900000435e-10
"4732471J01Rik",0.447058823529412,85,-0.389042290745899,-0.559832552687084,0.289990576838027,0.603134172756694
"4833420G17Rik",0.764462809917355,121,1.61381736339334,-16.7492156541646,7.1321491179654e-09,2.7962943265954e-07
"4930438E09Rik",0.581683168316832,101,0.489805267680817,-1.15264473086485,0.128934259380575,0.373776652858592
"4930503L19Rik",0.468503937007874,127,-0.263034405833794,-0.306751768264689,0.433471708070598,0.736340635572117
"4930523C07Rik",0.46969696969697,198,-0.169925001442313,-0.544413895442148,0.296731078491331,0.609211524957522
"4930578G10Rik",0.770422535211268,213,1.78135971352466,-28.9798792372345,2.67535079326114e-14,1.94162160761995e-12
"4930590L20Rik",0.641176470588235,85,0.843274496312547,-2.98130125806361,0.0146124561049484,0.087290871758282
"4930599N23Rik",0.513636363636364,110,0.117356950638158,0.00232938828105489,1,1
"4933406I18Rik",0.274193548387097,93,-1.6338721012021,-10.0567013058521,7.29834419587073e-06,0.000140647751706865
"5031425E22Rik",0.593967721316715,596,0.494490909598479,-7.61704502628447,9.49734479360121e-05,0.00140849752569451
"5330438D12Rik",0.45398773006135,163,-0.396658969963989,-0.71615020084883,0.231389378342577,0.54352825829984
"5430405H02Rik",0.545454545454545,88,0.321928094887362,-0.242731462099961,0.485958201095895,0.780457207427869
"6720427I07Rik",0.561930783242259,183,0.410788026277486,-0.944007580537317,0.169425961755839,0.445919718787938
"6820431F20Rik",0.718660968660969,234,1.32970544547908,-20.7675624853703,1.15772027372569e-10,5.9833088692096e-09
"9330159M07Rik",0.159420289855072,69,-2.46948528330122,-18.233132864827,1.55331447785604e-09,7.15994011346883e-08
"9530026P05Rik",0.449550975505714,707,-0.304365532357335,-3.9485443096853,0.00495144295175269,0.0387370915330927
"9630014M24Rik",0.413690476190476,56,-0.381870635343645,-0.928186142005984,0.173044075214926,0.452648267299167
"A4galt",0.678571428571429,105,0.947532580105864,-6.23599638868669,0.00041309915633535,0.00514263219802876
"A730049H05Rik",0.531446540880503,53,0.084888897586513,-0.0271836681761641,0.815630919834591,1
"A830012C17Rik",0.523584905660377,106,0.110182917750422,-0.0509022907234424,0.749674719589239,0.97414874991196
"A930015D03Rik",0.745098039215686,119,1.59946207041627,-13.4970967310581,2.04067563588964e-07,5.61350370485448e-06
"AU040320",0.607007575757576,176,0.498250867527825,-3.34715198717427,0.00967214211451358,0.0645629682047081
"AW554918",0.507201646090535,324,0.128642151439105,0.183699214591911,1,1
"Aak1",0.494270833333333,320,-0.0372810160794597,-0.112617220586174,0.635080156794997,0.891464368241867
"Aatf",0.516239316239316,195,0.0262315415731802,0.0227351363822947,1,1
"Abca1",0.475254416282642,496,-0.241008099503795,-0.566740084463504,0.28703422818345,0.601241288885464
"Abca5",0.51865671641791,67,0.345135486048687,0.267003835433137,1,1
"Abca6",0.547222648979396,743,0.277755911540559,-1.35807427655573,0.0993374468371076,0.315200028987325
"Abca8a",0.652367574169281,1508,0.979047629066833,-112.507455560818,7.2871583591139e-51,1.91203824330288e-48
"Abca8b",0.527104852914205,834,0.22062549516226,0.344631511726902,1,1
"Abca9",0.456507413509061,607,-0.308752706139629,-2.28286244192782,0.032617867724156,0.155018007333086
"Abcb1b",0.619402985074627,67,0.900464326449085,-1.51830466987169,0.0814057881112168,0.276193918358746
"Abcc1",0.473922902494331,147,-0.0885366746016567,-0.300766648174715,0.437993601364912,0.741069530880812
"Abcc4",0.584848484848485,110,0.353636954614701,-1.2269400642828,0.117234753624066,0.35140919826685
"Abcc5",0.450851749539595,362,-0.413196152454676,-1.62735986290403,0.07121811148801,0.25517329651849
"Abcd2",0.358649789029536,79,-0.662965012722429,-3.27720896232751,0.0104624058861307,0.0682941523642681
"Abcd3",0.592503987240829,209,0.451379346342564,-2.80126898827459,0.0179344786609048,0.102120359653416
"Abce1",0.597389558232932,166,0.493539472957561,-2.53832073064152,0.0242503006790085,0.124935906797949
"Abhd17b",0.490631163708087,169,-0.0151068923902082,-0.0915905220044522,0.668653634552577,0.920771680693708
"Abhd18",0.508333333333333,120,0.0861566437497148,0.0100011341443889,1,1
"Abi1",0.659912901800554,780,1.58943944780765,3.61009120155904,1,1
"Abi2",0.503639010189229,229,-0.0321804057491493,0.0166999372922305,1,1
"Abi3bp",0.680959965608922,527,0.601641241867787,-25.3204366364553,1.10911012592664e-12,7.27533584526111e-11
"Abl2",0.515602836879433,235,0.0104923738176428,0.0607659100196543,1,1
"Ablim1",0.411196530475231,662,-0.406909618395443,-9.7396498825176,1.01695811816999e-05,0.000188524138102057
"Ablim3",0.459333333333333,75,0.0250909809628306,-0.0317531998984464,0.801037383444502,1
"Abtb2",0.483924289140116,278,-0.207892851641333,-0.00902111819704032,0.893148438021796,1
"Acaca",0.470833333333333,352,-0.163746426513188,-0.910010091449124,0.177310874344946,0.461332869863166
"Acadl",0.472463768115942,115,-0.259087221317132,-0.151700712217192,0.581757849167259,0.854597770675934
"Acadsb",0.546587926509186,254,0.295455883526171,-0.735212410127076,0.225278678601252,0.536235570627266
"Acap2",0.495220282626766,401,0.0177747017279759,-0.0656458422004675,0.717096517822824,0.955213101785246
"Acat1",0.535087719298246,114,0.137503523749935,-0.148899051595578,0.585266116371177,0.857857742438321
"Acbd3",0.56989247311828,217,0.495695162624069,-1.43801289128342,0.0899076693078689,0.297705848105632
"Acbd5",0.545584045584046,117,0.339850002884624,-0.192147839705626,0.53531318030975,0.819916146401687
"Acbd6",0.483870967741935,155,-0.0467942114789404,-0.145774188158811,0.589229998714081,0.858905744424588
"Ace",0.464285714285714,154,-0.0620609681322515,-0.369322795926195,0.39009508903911,0.702157782776297
"Acer2",0.364285714285714,70,-0.335603031784439,-1.96343149026509,0.0475205108633501,0.195292123560105
"Acer3",0.556962025316456,158,0.206450877467426,-0.6324578924322,0.260722646568648,0.573574786409198
"Acin1",0.486038394415358,191,-0.119739244274096,-0.124301286051832,0.618060772636221,0.879151499358694
"Ackr3",0.513088628928324,262,0.100401896957838,-0.0365587369221885,0.78685067127662,1
"Acox1",0.407258064516129,124,-0.576192291093425,-2.41228581074299,0.0280568364130956,0.138698360876912
"Acss3",0.31093023255814,215,-1.11042398969365,-16.0656875061373,1.44091427052943e-08,5.34234627910423e-07
"Actb",0.491452991452991,117,0,-0.0401454052461361,0.776903699690761,0.997216926838618
"Actn1",0.574612403100775,86,0.297680548640685,-0.663734647571545,0.249255932246301,0.55971822573544
"Actn4",0.496428571428571,140,-0.0749620576812227,-0.00532476622024092,0.917806960658668,1
"Actr10",0.446009389671362,142,-0.317740297923929,-0.986851030256474,0.160055456822305,0.428195422134024
"Actr1a",0.442307692307692,104,-0.37851162325373,-0.843352881978475,0.194035791820246,0.489189988556312
"Actr2",0.429947916666667,256,-0.467605550082997,-2.75772642488863,0.01884919273598,0.1052284720498
"Actr3",0.535547091797092,312,0.237499313726656,-0.223200693812828,0.504048850590369,0.792674333501037
"Acvr1",0.469367588932806,253,-0.191365525715823,-0.644434448279242,0.256256503276852,0.570555439084427
"Acvr2a",0.475925925925926,180,-0.265590110737551,-0.0721298549408118,0.704082477523942,0.946639862370582
"Acyp2",0.381996302308802,576,-0.7311832415722,-15.4021935661366,2.85391927208672e-08,9.83304912837152e-07
