"","AR","N","log2FC","llr","pval","padj"
"0610043K17Rik",0.652777777777778,72,0.949373926930032,3.09842408702916,1,1
"1110059E24Rik",0.445378151260504,119,-0.267104070142841,0.316073042581337,1,1
"1500004A13Rik",0.457746478873239,142,-0.325986311461715,0.230175648759229,1,1
"1600010M07Rik",0.489795918367347,196,-0.02487466863903,1.03108848790575,1,1
"1600020E01Rik",0.403846153846154,104,-0.451379346342564,-1.19269440335263,0.122474417438651,0.854315414894146
"1700025G04Rik",0.490051282051282,325,-0.101402032208213,4.38398358967038,1,1
"2210408F21Rik",0.511947565543071,445,0.0810146883730596,10.6618185895619,1,1
"2210408I21Rik",0.560833333333333,100,0.29176612437711,0.303968663704381,1,1
"2610035D17Rik",0.624034334763949,233,0.668794091524627,-1.55560940387659,0.0777547551763152,0.605528470105962
"2610037D02Rik",0.414448669201521,263,-0.50653585376434,0.939043845992444,1,1
"2610307P16Rik",0.473086419753086,135,-0.0710830980614823,-54.7147341808023,1.30672408192951e-25,2.37087012950082e-24
"2700097O09Rik",0.614341085271318,86,0.560714954474479,0.626314542167322,1,1
"2900093K20Rik",0.528571428571429,70,0.134301091711591,-14.1769942597672,1.01038416294622e-07,1.23086442136055e-06
"3110056K07Rik",0.422514619883041,114,-0.388565287917653,-1.12632996110537,0.133384951822347,0.908135869592864
"4632427E13Rik",0.521872265966754,381,0.158989523761157,3.00550232645935,1,1
"4732440D04Rik",0.327134646962233,406,-1.02553509210714,6.47341819103258,1,1
"4732471J01Rik",0.447058823529412,85,-0.389042290745899,0.418427712076763,1,1
"4833420G17Rik",0.764462809917355,121,1.61381736339334,-1.54889457777098,0.0783986958275304,0.609152509038055
"4930438E09Rik",0.581683168316832,101,0.489805267680817,-1.81936377771231,0.0564500621835636,0.458455147876513
"4930503L19Rik",0.468503937007874,127,-0.263034405833794,0.465500359075349,1,1
"4930523C07Rik",0.46969696969697,198,-0.169925001442313,0.682961430172725,1,1
"4930578G10Rik",0.770422535211268,213,1.78135971352466,-14.1831686058621,1.00395955999751e-07,1.2274215265776e-06
"4930590L20Rik",0.641176470588235,85,0.843274496312547,0.901785057830693,1,1
"4930599N23Rik",0.513636363636364,110,0.117356950638158,0.569990822222806,1,1
"4933406I18Rik",0.274193548387097,93,-1.6338721012021,0.102526468598057,1,1
"5031425E22Rik",0.593967721316715,596,0.494490909598479,74.1629416368557,1,1
"5330438D12Rik",0.45398773006135,163,-0.396658969963989,-1.17992727866888,0.12449379566646,0.863106376053444
"5430405H02Rik",0.545454545454545,88,0.321928094887362,-0.99549924527637,0.158236517541759,1
"6720427I07Rik",0.561930783242259,183,0.410788026277486,0.359772739398096,1,1
"6820431F20Rik",0.718660968660969,234,1.32970544547908,1.08301440753445,1,1
"9330159M07Rik",0.159420289855072,69,-2.46948528330122,3.68694732598487,1,1
