"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.649470899470899,36,0.700439718141092,-1.63478376337941,0.0705762267268257,0.804356762177243
"5031425E22Rik",0.613333333333333,25,1.22239242133645,-0.192211455243466,0.535245623052053,1
"9530026P05Rik",0.530148423005566,28,0,-0.0326350814679301,0.798352188572491,1
"AW554918",0.546875,32,0.473931188332412,-0.0694519844496355,0.709373055700176,1
"Abca1",0.401515151515151,33,-0.343954401217362,-0.322491312538936,0.421912254654208,1
"Abca8a",0.688746438746439,21,1.5405683813627,-1.26410800391312,0.111826582371737,0.974988015053578
"Abhd17b",0.568181818181818,33,0.695145418471579,0.0141288574026106,1,1
"Abi1",0.519503546099291,47,0.292781749227846,0.0366940010038519,1,1
"Abi3bp",0.532490014693405,59,0.13897641314881,-0.336986929590751,0.411669560146911,1
"Ablim1",0.385507246376812,23,-0.561878887608115,-0.413808772512844,0.362962346586656,1
"Acyp2",0.421320346320346,22,-0.520832163301441,0.302346673333588,1,1
"Adam12",0.736111111111111,24,1.04730571477836,-2.43757306826449,0.0272461337752867,0.538874727713066
"Adamtsl1",0.576798941798942,45,0,-0.0985057983516313,0.657143889519542,1
"Adgrf5",0.480392156862745,34,-0.273018494406416,0.0816148810659243,1,1
"Agap1",0.475609756097561,41,0.215728691055437,0.290901101573631,1,1
"Agfg1",0.523529411764706,34,0.308122295362332,0.0967005017371463,1,1
"Ago3",0.41260162601626,41,-0.604071323668861,-0.56559797241016,0.287520385426089,1
"Ahnak",0.479166666666667,40,-0.289506617194985,0.0509179519936396,1,1
"Airn",0.867149758454106,46,2.42449782852791,-17.0437759266066,5.26872422943564e-09,9.79982706675029e-07
"Akap13",0.487172011661808,49,0,0.0104934166056552,1,1
"Akt3",0.387619047619048,40,-0.660513533728333,-0.459412169186429,0.337783852069182,1
"Ambra1",0.5,33,-0.263034405833793,0.145494854485804,1,1
"Ank2",0.516666666666667,20,-0.263034405833793,0.181395133944314,1,1
"Ankrd11",0.578828828828829,37,0.459431618637298,-0.329192025025193,0.417131014660928,1
"Ankrd17",0.472101449275362,46,-0.162271428898877,-0.0406004381922571,0.775676568769401,1
"Ano6",0.435023041474654,31,0.041820175694627,0.112293888964672,1,1
"Anxa2",0.589080459770115,29,0.476438043942987,-0.436926557807489,0.349890807346987,1
"Aopep",0.385206290308331,49,-0.769387071858584,-0.826491224499762,0.198553489473874,1
"Ap3b1",0.520833333333333,32,0.432959407276106,0.224021320505713,1,1
"Apaf1",0.560606060606061,33,0.415037499278844,-0.244404222275854,0.484459312005423,1
"Apba1",0.458333333333333,24,0.15200309344505,0.169906957607445,1,1
"Apbb2",0.447619047619048,28,0.241008099503795,0.398511222035268,1,1
"Apc",0.382352941176471,34,-0.506959988719883,-0.71227620178847,0.232655550726203,1
"App",0.500162337662338,66,0.195015982405143,0.0431018543032593,1,1
"Arb2a",0.457801418439716,47,0.0317088597273381,0.144689630566027,1,1
"Arhgap21",0.470238095238095,28,-0.275634442613427,0.0654218661622821,1,1
"Arhgap24",0.461111111111111,21,-0.283792966000591,-0.0408275690108511,0.775066824392994,1
"Arhgap26",0.436527293844367,41,-0.296981737757131,-0.302307938829173,0.436822259542251,1
"Arhgap29",0.55703211517165,43,0.192645077942396,-0.217492289038717,0.509553172998714,1
"Arhgap32",0.546,25,0.378511623253729,0.126870355693889,1,1
"Arhgap42",0.504166666666667,20,0.247927513443586,0.0967482959023727,1,1
"Arhgef12",0.567460317460317,42,0.490986352512142,-0.448759734736676,0.343447704408865,1
"Arhgef3",0.69625,40,1.1096244911745,-2.5602367160966,0.0236451649049456,0.522038705675601
"Arid1b",0.486858974358974,52,-0.162271428898877,-0.00541912267823363,0.917084520052388,1
"Arid2",0.62258064516129,31,0.667424660913129,-0.847262153694999,0.193005638044175,1
"Arid4b",0.54,25,0.234465253637023,-0.0950972089665996,0.662754854420515,1
"Arih1",0.53962962962963,45,0.0310268956206246,-0.0889148561566913,0.673245023803637,1
"Arl13b",0.516129032258065,31,0,-0.0174251493202817,0.851909697910716,1
"Arl15",0.576432712215321,50,-0.0955776599822312,0.192750837753451,1,1
"Asap1",0.472739820565908,69,-0.241008099503795,-0.139616174896105,0.597204803758614,1
